"","user","type"
"1","Where else can you talk #artsmarketing over a campfire &amp; s'mores? Register online for #NAMPC before 10/23 and save! http://t.co/VT3fYk4tRx","arts"
"2","#TBT to National Arts Policy Roundtable 2015 on arts funding, w/Robert Redford, @conniebritton, &amp; other #artsleaders http://t.co/LHSt27BsBZ","arts"
"3","Bob #artsceolynch w/First Lady @MichelleObama presenting National Students Program awards at the White House #artsed http://t.co/XUktM7tuvV","arts"
"4","Congrats on the premier of #AHSHotel last night @ladygaga, we'll see you at #NationalArtsAwards 10/19! @AHSFX http://t.co/zXlmc5FHxc","arts"
"5","Our #WCW =@KuhneDonna, VP @NJPAC, speaking @ #NAMPC Nov. 6-9 on audience development &amp; access http://t.co/xDyDyB4Sai http://t.co/r0SVgCFoTW","arts"
"6","Months after #AFTACON there's incredible work &amp; conversations happening to share - like Hoong Yee Krauker's Tshirts http://t.co/5Ivy7edbLR","arts"
"7","Our National Arts Awards 2015 to honor Sophia Loren, @ladygaga, Herbie Hancock, &amp; more! http://t.co/CcNH4JI3e9","arts"
"8","Young Artist Award honoree @ladygaga w/@jimmyfallon on Tonight Show last night talking 2day's premier of #AHSHotel! http://t.co/emn7SwTCOw","arts"
"9","#BCA10 supporting the arts! @ameriprise_news @autozone @bnymellon @corning @firstbuild @nvenergy @specs1962 @tcktrust @usbank @related_group","arts"
"10","Broadway stars @marinmazzie and @jasondanieley perform at the #BCA10 awards #artsandbiz @ The Loeb… https://t.co/QrOnbjPbJH","arts"
"11","This year's #NationalArtsAwards awardees include @ladygaga, @herbiehancock, Maria Bell, Sophia Loren, and more! http://t.co/vXh1ab8l2v","arts"
"12","Latest #Tumblr post with the greatest galleries, museums, bookstores, and music gems that #SLC has to offer! http://t.co/a7tQvXP7zS #NAMPC","arts"
"13","Want hands-on arts admin experience @Americans4Arts? Part-time internships available: http://t.co/h61ed9IqC2","arts"
"14","2015 #BCA10 honoree The Trust Company of Kansas helps connect #ArtsandBiz around Wichita through http://t.co/sdIRbA2dva. Check it out!","arts"
"15","A strong arts and cultural scene attracts the brightest minds and inspires ingenuity"" -@BNYMellon, #BCA10 Honoree http://t.co/0LtcD1qGmg","arts"
"16","#BCA10 honoree 2015 @autozone knows how to engage employees through song! http://t.co/YjeesMTGn9 #artsandbiz http://t.co/NTYaAufoE6","arts"
"17","Thx to @EALAustin for submitting the first Creative Conversation of #NAHM 2015 to our National Arts Meet Calendar! https://t.co/ekFyzwzRjS","arts"
"18","Kate McOmber @greaterhart @LetsGoArts_org writes2 #ARTSBlog abt their new Arts &amp; Wellness grant program https://t.co/lRAzkFVMLz #ArtsandBiz","arts"
"19","Congrats to @philaculture, Twitter Contest winners of a free night at Sheraton #SLC during #NAMPC! We'll see you in Salt Lake City 11/7!","arts"
"20","All month long, share your participation in National Arts &amp; Humanities Month w/#ShowYourArt on your arts photos! http://t.co/z9idf6kT0o","arts"
"21","Happy National Arts &amp; Humanities Month! Our website has events and resources to celebrate arts in your community! http://t.co/8eTGYBzI7X","arts"
"22","“Investing in the arts makes good sense, for our business and for our communities.”- @DukeEnergy #BCA10 http://t.co/mqhhz2ll8N","arts"
"23","Great #regram from limeshiftart at our @artsbizny breakfast Monday on the power of #artsandbiz… https://t.co/S12WOV1KlF","arts"
"24","The arts provide employment opportunities for veterans http://t.co/XpZJGNCMmi @DeptVetAffairs @veteransunited","arts"
"25","Don't forget to vote daily until 10/31 for your favorite school at http://t.co/EH3f6e7T8E! @kriswines… https://t.co/wIywl8y30Q","arts"
"26","“We support programs &amp; artists that enrich communities, inspire new thinking, share beauty of art” @Ameriprise_News http://t.co/YWjGyExXKP","arts"
"27","Nominations for AFTA advisory council members close at midnight! Submit your nomination today! http://t.co/RG2YFHPUPz #memberlove","arts"
"28","#aftastaff and Board with state sen. Richard Cohen, #MN #artsleaders at our first #communityvisions forum today! http://t.co/zeeZIqeqyx","arts"
"29","Our #WCW is @bethkanter, established int'l #socialmedia expert for nonprofits! Catch her speaking at #NAMPC 2015! http://t.co/7UwtaHMc9I","arts"
"30","Congratulations National Endowment for the Arts on 50 years of supporting the arts. #arts4US http://t.co/6zxwpe0yp7","arts"
"31","How do the arts inspire creative thinking and innovation at work? Our third pArtnership movement essay: http://t.co/XNZEepobHX #artsandbiz","arts"
"32","We want #artsleaders 2 serve on #artsed, #publicart, #privatesector &amp; emerging leaders councils! Nominate by 9/30 http://t.co/RG2YFHPUPz","arts"
"33","Thx for participating in our #NAMPC Twitter Contest! The winner of a free night at Sheraton #SLC will be announced tm, 9/29 @ 11:30am EST!","arts"
"34","RT our 11:30 am tweet btw NOW and 1:30pm to enter raffle 4 a free night at the sheraton during #NAMPC! Tweet here: https://t.co/CFBgN6dHQ3","arts"
"35","#NAMPC registrants, RT 2win: Register 4 the nation's best #artsmarketing conference b4 10/23! http://t.co/xDyDyB4Sai http://t.co/qPwRqxbn3V","arts"
"36","Retweet @Americans4Arts in half an hour to win a FREE night at the Sheraton for #NAMPC - be on the lookout for that special tweet @11:30 EST","arts"
"37","NV Energy, a #BCA10 awardee, receives national award for supporting Nevada arts
http://t.co/IxsRbWlrOS via @KTNV","arts"
"38","Twitter contest TODAY 2 win a FREE night at #NAMPC if you've already registered and RT us at 11:30am! Details here: https://t.co/RCjLhXfTdW","arts"
"39","Have a great weekend and don't forget about our Twitter Contest on Mon. 9/28! Win a free ngt @ Sheraton #SLC! https://t.co/RCjLhXfTdW #NAMPC","arts"
"40","GE’s @firstbuild combines #ArtsandBiz 2 create top appliances. We're proud to honor them as a 2015 #BCA10 best biz! http://t.co/q6O6UXVULL","arts"
"41","It's Council Election Season! Nominate yourself or a colleague to serve as an advisory council member! http://t.co/oSQRQQ6Ket","arts"
"42",".@AmeliaOnPointe, former employee of #BCA10 winner @firstbuild, on creativity in corporate innovation http://t.co/l09iWokGHo  #artsandbiz","arts"
"43","A look back on National (Disaster) Prepardness Month - how Katrina gave rise to @BeArtsReady http://t.co/ZSj62glcSR @southarts","arts"
"44","Check out our partner @youngarts events in NYC, LA and Miami Today #becauseofYoungArts Awareness Day… https://t.co/s98RVPWacL","arts"
"45","Shoutout to @kickstarter for the #artsed funding!  https://t.co/b6KcQvs3yD","arts"
"46",".@codaworx ​ and Hovde Properties in Wisconsin prove why all developers should be investing in #publicart: http://t.co/swBM25IIXl","arts"
"47",".@kriswines is partnering w/us again to fund #artsed in schools across the country! http://t.co/sZNvTrHAkZ“art-of-education”-program-returns","arts"
"48","Our #mcm = @bryanjosephlee, Comm. Dir. @RHT_roundhouse! Catch him at #NAMPC speaking on maximizing… https://t.co/B3Re6naVjH","arts"
"49","On @HuffingtonPost, the CEO of @DollarDays says arts ed builds an innovative workforce: http://t.co/gXZe69uFf1 #artsedweek #artsandbiz","arts"
