"","user","type"
"1","#RamCharan @SreenuVaitla @Rakulpreet #BruceLeeTheFighter OCT 16th Release Advert. #BLTF http://t.co/L9t7GK3xhn","movies"
"2","#Rudhramadevi Remained Strong on 2nd Day too. Collected a SHARE of 35.5 Lacs in East Godavari. Pretty Big!.","movies"
"3","#KalyanRam #Sher Theatrical Trailer http://t.co/6LUCMxaAng @sonalchauhan7 @MusicThaman","movies"
"4","Career Highest AP/N Day1 Shares for Telugu Stars

http://t.co/SySkai02Vw

#BoxOffice #Rudhramadevi","movies"
"5","Here`s the Current Top 25 List of   ""AP/Nizam"" Day 1 Distributor `Shares`  http://t.co/UDx4ycZGzv

#Rudhramadevi in Top 10.","movies"
"6","#Rudhramadevi 1st Day AP/N Total collections 

http://t.co/6EjFlcwOPh

All time #9.

#Telugu #Boxoffice","movies"
"7","@Rakulpreet Happy Birthday!,Good Luck for the Upcoming Releases.","movies"
"8","#Rudhramadevi Doing Fairly good biz in USA as well. Looking at a $300K+ finish to Day 1 ( Thu Premiere's+Fri).","movies"
"9","Morning Shows might get hit across Telangana due to Bundh today. Blow to #Rudhramadevi which's strong here, has had Many Full in advance.","movies"
"10","#Rudhramadevi Takes a Good Opening 

Day1 ""SHARES""

Krishna 47,33,577/-

Nellore 46,96,705/-","movies"
"11","Happy Birthday to the Living Legend @ssrajamouli. May you continue to reach Greater Heights of Success forever. http://t.co/enge3rchQ3","movies"
"12","The Audio of #KalyanRam @sonalchauhan7 @MusicThaman #Sher will be released Tomorrow. http://t.co/cSBVSvZSVg","movies"
"13","#Rudhramadevi starts with a Good Opening

http://t.co/ubNs0BOqRy

#Telugu #Trade","movies"
"14","#Rudhramadevi (3D): Average Historical Drama!

ABO Review http://t.co/MD9yRn4LsH

#Telugu http://t.co/ENKYauz5Jn","movies"
"15","Today | #English 

The Walk ( IMAX 3D ) (U/A 123)
 http://t.co/J5emJ0LRVZ

Sicario (A 123)

Release Dates http://t.co/wbtzHiPy7D","movies"
"16","Today | #Hindi 
#Jazbaa : Advocate Anuradha Varma (U/A 122)

http://t.co/RUq6pdYIea

#English 
Pan ( 3D ) (U 112) http://t.co/7zxvoKbOE9","movies"
"17","Today | #Telugu 

#Rudhramadevi (U/A 158) http://t.co/kc7KdFu1Jv

(Dub) The Eyes (U 138) http://t.co/P7bluCe6R8","movies"
"18","#Rudhramadevi (U/A 158) Grand Rel Today in Telugu(3D), Hindi(3D) and Malayalam(2D) in 2450 Screens WW!

Rel Counts http://t.co/kiotdU7whm","movies"
"19","(8/n)
#Rudramadevi (3D) (U/A 158)

Odisha http://t.co/MdsNDewNV5

Nizam http://t.co/dmRSJBkE4J

Vizag http://t.co/dmRSJBkE4J","movies"
"20","(7/n)
#Rudramadevi (3D) (U/A 158)

Delhi/NCR http://t.co/AGEVJ6m6Yx
East Punjab http://t.co/a8HZuFCGHa
West Bengal http://t.co/mZu881knsI","movies"
"21","(6/n)
#Rudramadevi (3D) (U/A 158)

Ahmedabad http://t.co/j7M9xCVtKP

Bihar http://t.co/YrDHkUhPIG

Chhattisgarh http://t.co/rZjLAdqyL8","movies"
"22","(5/n)
#Rudramadevi (3D) (U/A 158)

Nellore http://t.co/Wt30l34dgc

#Malayalam http://t.co/CjibVlzsFj 

UK http://t.co/PVecLGbfWo","movies"
"23","Happy Birthday to the Mass and Crazy Director #VVVinayak #Akhil #akhilthepowerofjua http://t.co/jZzwK5wtRa","movies"
"24",".@Rakulpreet Meets the press #BruceLeeTheFighter  https://t.co/hjorxxXBmA","movies"
"25","BO Trivia: #Anushka's #Arundhati was the AllTime #1 Tollywood(All Dub Incl) and #2 Telugu Lang Earner Back then in early 2009. #Rudhramadevi","movies"
"26","#Rudramadevi Telugu, Hindi and Malayalam Releasing Tomorrow in 3D &amp; 2D. Tamil on 16th OCT. #RudhramadeviEpicDrama","movies"
"27","#Rudhramadevi Total WW Pre-Release Business

http://t.co/aTLyg4Xl5G

#Trade #RudhramadeviEpicDrama #RudramadeviOnOct9th","movies"
"28","#BruceLeeTheFighter New Wallpapers. 8 Days to go for the Grand Release. http://t.co/PDXpPZ3kSB","movies"
"29","#Rudhramadevi to Get Entertainment Tax (15%) Exemption in Telangana. Huge Boost for the film in Nizam.","movies"
"30","#Karthi @tamannaahspeaks from #VamshiPaidipally's Bi-Lingual #Oopiri #Thozha. http://t.co/mh8JWMgRgA","movies"
"31","#Baahubali Asia Release:
Indonesia, Thailand, Vietnam, Laos, Cambodia, Myanmar, and Timor-Leste by MVP Ent.

China- E Stars
Japan- Twin Co","movies"
"32","Happy Birthday to the BlockBusterMovie Director   @DirectorMaruthi &amp; @LakshmiManchu.","movies"
"33","#Ajith @directorsiva @shrutihaasan #Vedalam Official Teaser https://t.co/sGxVSkOqpM #VedalamTeaserBlast @anirudhofficial #Diwali","movies"
"34","'3D' Projection starts in Tens of new of Screens with #Rudhramadevi this 9th OCT. Also Dolby Atmos at Guntur Bhaskar. 3rd such one in City!.","movies"
"35","May be it is surprising considering all the delays and ordinary promo's, but #Rudhramadevi Advance booking is looking solid!.","movies"
"36","http://t.co/evm0UrZ3hY @RGVzoomin @HeroManoj1 #Attack Trailer #2 
@prakashraaj @IamJagguBhai @Surbhiactress","movies"
"37","Thoongaavanam - Official Trailer - #2 | Kamal Haasan | Ghibran | Rajesh ... https://t.co/rfKMhmkxgV via","movies"
"38","@Official_Sri30 Srimanthudu update very soon and charts will be updated then","movies"
"39","Lifetime WW Shares http://t.co/NlHVVPx3Ma

1. #PK upto/around 317 Cr Apx
2. #Baahubali 302 Cr+
3. #BajarangiBhaijaan 250 Cr Apx","movies"
"40","Lifetime WW GBOC http://t.co/TOJTv91IdQ

1. #PK 740 Cr Apx 

2. #BajarangiBhaijaan 605 Cr 

3. #Baahubali 586 Cr+","movies"
"41","Lifetime Ind Shares http://t.co/HoxPewjlmH

1. #Baahubali 254 Cr+
2. #PK  170 Cr Apx
3. #BajarangiBhaijaan 160 Cr Apx","movies"
"42","Lifetime Ind NBOC http://t.co/KrOS8413S8

1 #Baahubali 420 Cr+ 
2. #PK 338 Cr Apx 
3. #BajarangiBhaijaan 317 Cr Apx","movies"
"43","India's Biggest Blockbuster and BOX-OFFICE LEGEND,

#Baahubali 87 Days Total WW Collections 

http://t.co/XoRDBjPAXp

#Boxoffice","movies"
"44","(4/n)
#Rudramadevi (3D) (U/A 158)

Germany http://t.co/DM3pJjae6d
Australia http://t.co/gFNwjDKdha
UAE http://t.co/3YBZfmfSEE","movies"
"45","(3/n)
#Rudramadevi (3D) (U/A 158)

Mumbai http://t.co/GZsNvSRrYz
Pune http://t.co/cbKdXUsFeQ
USA http://t.co/hoxk5QeHNl","movies"
"46","(2/n)
#Rudramadevi (3D) (U/A 158)

Vizag http://t.co/dmRSJBkE4J
Bengaluru http://t.co/R7nX8SGrAR
BomKA http://t.co/QPlZhaJdBt","movies"
