"","user","type"
"1","From Patterson, NJ to the world. 
This is The Rise of @FettyWap. 
http://t.co/hrhsMjctnw http://t.co/v5NLlwBuEs","music"
"2",".@ddlovato bringing it again with #StoneCold.
The next track off #Confident is here!
http://t.co/W0zYq1iiiA http://t.co/kY7v5Pnm7i","music"
"3","Thanks for hanging today @5SOS.
#SoundsGoodFeelsGood coming soon!
#HeyEverybody out now: http://t.co/zQ0biLsbxQ http://t.co/D8F0eIQ3SZ","music"
"4","Exclusive @5SOS playlist!
Feel good anthems, compliments of Luke, Michael, Calum &amp; Ashton:
http://t.co/Qxj6QFUoZ4 http://t.co/NqAi7rwhgC","music"
"5","Fresh off @ZaneLowe's #WorldRecord - @GoldLink drops #Spectrum. 
We back it.
http://t.co/SeQF5GSBCU http://t.co/bDlFZ3ZuyO","music"
"6","O.M.G.
@selenagomez‚Äôs #Revival has arrived!
Ì†ºÌæâ‚ù§Ô∏èÌ†ºÌæ§
http://t.co/IQpHW3lf7p http://t.co/SqhGwywjP3","music"
"7","The picks are in!
Check your @5SOS Fan Favourites playlist: http://t.co/0fnIYsHiKN http://t.co/JSZz2IxZEA","music"
"8","The boys of @5SOS are gonna make a few playlists for us and need your help. What are some of your favorite @5SOS songs??","music"
"9","Whatcha doing tonight? Ì†ΩÌ∏â
Music: http://t.co/ZulsoIeBZy
Story on Snap Ì†ΩÌ±ª: AppleMusic http://t.co/H0dcYrUHHq","music"
"10","‚ÄúYou better believe it.‚Äù
@ZHUmusik + @SoGallant
#TestarossaMusic 
http://t.co/NNQxUA3Xkg http://t.co/CN6wQ4WAIV","music"
"11","There‚Äôs no tweet that will make studying easier, but this playlist may help. GL. Ì†ΩÌ±ìÌ†ΩÌ≥ùÌ†ΩÌ≥ï
http://t.co/4j81hJ8eT3 http://t.co/9olfuvXFuA","music"
"12",".@TamarBraxtonHer dishing about life and love.
#CallingAllLovers is here:
http://t.co/xgweVA4HMa http://t.co/r9iPWYGHwH","music"
"13","Really? REALLY? Yeah! 
@SuperDuperKyle making moves on #SMYLE.
http://t.co/vCb7scgc9y http://t.co/lhjzCCoqUI","music"
"14","Need something funky? Check the Blurred Lines Effect playlist ft. @drake, @daftpunk &amp; more! http://t.co/h8wUIuEtBH http://t.co/kLxr3CFZ8V","music"
"15","New @joshabbottband ‚ÄúAmnesia‚Äù
#FrontRowSeat coming soon!
http://t.co/Jgtq0IlSjn http://t.co/yPqxtlkGYA","music"
"16","From @jbalvin to @gerardoortiznet, we celebrate Hispanic musical contributions worldwide: http://t.co/lZbVDw8Hhm http://t.co/EgavriKDu9","music"
"17","Kick in the saloon doors with this one. 
#TwangySwagger playlist on #AppleMusic: http://t.co/R4lRyKBF06 http://t.co/Obx347Xpne","music"
"18","Sir @PaulMcCartney reissues the classic Tug of War and Pipes of Peace albums.
Out now: http://t.co/hrs8p4NvOC http://t.co/Yyjm7efNsp","music"
"19","I Worship Chaos is the 9th album from @cobhc and their cover of ""Danger Zone"" is face melting. http://t.co/RkHdFzHz1r http://t.co/WXZ6GTakFt","music"
"20",".@RudimentalUk brought it.
#WETHEGENERATION features @edsheeran, @DizzeeRascal &amp; more!
http://t.co/CeEVX2DiDn http://t.co/vYWkOWumrE","music"
"21","‚ÄúDon‚Äôt be afraid to take the road less traveled.‚Äù
@Lauren_Alaina‚Äôs EP is here!
http://t.co/peTIqTb14w http://t.co/WydNluasWD","music"
"22","Here‚Äôs our sing-along album of the day.
@mattnathanson‚Äôs Show Me Your Fangs.
http://t.co/DJDapgknow http://t.co/fyWcoJh0oc","music"
"23","For Terrible Thrills Vol. 2, @bleachersmusic is joined by the likes of @Sia @charli_xcx &amp; more http://t.co/6H8wMMs6nL http://t.co/IuQtRqzUTu","music"
"24","If you dig @LanaDelRey, may we suggest this playlist? 
http://t.co/APjcW3NhTn http://t.co/qu0A4R2jte","music"
"25","‚ÄúIt was all a dream‚Ä¶‚Äù
@DrDre drops the official lyric vid for Talk About It, only on #Connect.
http://t.co/Qak15xEh0m http://t.co/hr63hUEGxo","music"
"26","Will Smith back in the building!
Check his ‚ÄúFiesta‚Äù remix with @bombaestereo: http://t.co/syhxr6XGEi http://t.co/RUHFgtVxl2","music"
"27","‚ÄúYou better keep up, player.‚Äù
@Tinashe drops #Player. Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•
http://t.co/DvjWUCzWoP http://t.co/jCu0RWklXH","music"
"28","New from @hillsongworship, check out ""One Thing"" &amp; ""O Praise The Name.‚Äù
http://t.co/Sprd8zSyNa http://t.co/9GfJ9bbUhy","music"
"29","Worlds. Remixed.
@porterrobinson giving you the vibes for Saturday night.
http://t.co/ZIuUPk5dbb http://t.co/2L8ajedfCf","music"
"30","Here is 47 minutes of intensity from @deafheavenband.
#NewBermuda 
http://t.co/qwv3h0kiT1 http://t.co/uxjxq6MVzw","music"
"31","First, one of the greatest AMAs ever. Now this?
Thanks @wavves. You‚Äôre swell.
V is out: http://t.co/iCYSoZb1mO http://t.co/M2X0wZ9x54","music"
"32",".@Avicii brought some friends for #Stories!
Wyclef, Chris Martin and even Zac Brown help out.
http://t.co/9DwGLz4cln http://t.co/qtcKYQPwo0","music"
"33","Congrats to @FORTLEAN on their full length debut. We are really digging #QuietDay. 
http://t.co/8UDN7T239Q http://t.co/N44EAb3LkV","music"
"34","Fresh off the #applemusicfestival stage, @ChemBros going strong with #BornInTheEchoes. 
http://t.co/Y3HdiiTu7w http://t.co/LSHkpb8BaZ","music"
