"","user","type"
"1","Former deputy Prime Minister Lord Heseltine pays tribute to former chancellor Lord Howe, who has died. http://t.co/xs2ylIrE1l","politics"
"2","The Conservative cabinet minister whose resignation speech helped topple Margaret Thatcher. http://t.co/4g7yziFXwq","politics"
"3","Tributes to the Welsh-born former chancellor Lord Geoffrey Howe are being paid after he died from a suspected... http://t.co/LI9SE9WCo8","politics"
"4","Former Conservative chancellor Lord Geoffrey Howe has died at 88 after suffering suspected heart attack, family says http://t.co/ScXPoGQUhF","politics"
"5","World sporting success for Wales is ""fast becoming the norm"", First Minister Carwyn Jones says. http://t.co/s1P9GMDUI8","politics"
"6","Scottish Greens have ""an unprecedented opportunity"" at next year's Holyrood election, the party's co-convener... http://t.co/mGadtZdvpU","politics"
"7","A review of the ""costs and benefits"" of the UK's EU membership is to be conducted by the Treasury Select Committee. http://t.co/YQWs9qAfnA","politics"
"8","Former Prime Minister Margaret Thatcher was urged to soften her image, newly released personal documents reveal. http://t.co/KtLYBl1DCV","politics"
"9","Lord Stuart Rose, former chief executive of Marks and Spencer, is to lead the campaign for Britain to stay in... http://t.co/pCXlPkYWaD","politics"
"10","Watch: Jeremy Corbyn on his plans to join the Privy Council - http://t.co/8lnKQw6dsF","politics"
"11","A new cross-party group backing Britain's exit from the European Union launched on Friday, bringing together MPs... http://t.co/waYpNmDqOh","politics"
"12","The DUP have confirmed their new South Belfast MLA is to receive a severance payment from her previous job as a... http://t.co/05h71ROsY4","politics"
"13","Who are the EU out campaigners? http://t.co/mzFEou5xWa","politics"
"14","Plaid Cymru will put up candidates for the police and crime commissioner elections in 2016, which they did not... http://t.co/y13RgYKaU4","politics"
"15","The Liberal Democrats win a by-election in Highland Council's Aird and Loch Ness ward. http://t.co/wmNxMPp9z0","politics"
"16","Westminster's standards watchdog will not be investigating allegations surrounding property deals linked to the... http://t.co/7cOkbL6xk8","politics"
"17","UK defence secretary Michael Fallon and his US counterpart Ash Carter hold a news briefing in London. http://t.co/pZwPYlzoST","politics"
"18","David Cameron and German Chancellor Angela Merkel will discuss EU reform, Syria and the migrant crisis over a... http://t.co/GZIyvDyXNV","politics"
"19","NHS trusts in England have racked up a £930m deficit in the first three months of the financial year - twice as... http://t.co/1sG6xH78vy","politics"
"20","Labour's deputy leader Tom Watson should apologise after police dropped a rape inquiry against Leon Brittan, the... http://t.co/gBJn4CPwCG","politics"
"21","A bill to tackle the rise of so-called ""revenge porn"" and domestic abuse is published by the Scottish government. http://t.co/VWetzjaF5E","politics"
"22","Figures show spending by councils on roads and highways falls to an 11-year low and there is a warning... http://t.co/GK9tb4OYTM","politics"
"23","Britain faces tough call on Syrian bombing http://t.co/y3vbLdzwH4","politics"
"24","The pain (and relief) of losing political office http://t.co/0GWdAySSe9","politics"
"25","A new cross-party campaign to bring the UK out of the European Union is due to be launched, the second such... http://t.co/NhVDNDlPR3","politics"
"26","Labour leader Jeremy Corbyn will urge a shake up in the economy to give more support to businesses that operate... http://t.co/Q0psaa0J3x","politics"
"27","The Democratic Unionist Party (DUP) says it could drop its policy of in-out ministerial positions when a report... http://t.co/bfpRDUVM5B","politics"
"28","Former Prime Minister Tony Blair is asked to give evidence to a parliamentary inquiry into compensation for... http://t.co/KIthhFFaOi","politics"
"29","A new cross-party group campaigning for the UK's exit from the EU launches with a clear message: ""Vote leave... http://t.co/V1nmz7kkSF","politics"
"30","This week David Cameron made his Conservative Party conference speech - here's how his last 10 have ended. http://t.co/nCwTxTOxIX","politics"
"31","The Traditional Unionists propose two possible alternatives to the current power sharing executive which, they... http://t.co/evioX0M1lK","politics"
"32","The DUP's Edwin Poots defends comments he made that party members have to hold their noses when doing business... http://t.co/jagfvukJiA","politics"
"33","EU ministers discuss plans to speed up the deportation of failed asylum seekers, at a meeting in Luxembourg. http://t.co/vXejeeEoVP","politics"
"34","A look at who is on the Privy Council, its powers, and whether it is as secret and exclusive as some suggest. http://t.co/JmAEwzf6OU","politics"
"35","The Scottish government extends its fracking moratorium to include underground coal gasification (UCG) developments. http://t.co/DQUUmyVs7R","politics"
"36","Scotland's four richest families are wealthier than the poorest 20% of the population, according to a report by... http://t.co/Y07lX8ykXr","politics"
"37","The BBC understands that a number of parties have raised the issue of tax credits in the Stormont negotiations. http://t.co/JiANKzlBf6","politics"
"38","Britain will make a ""long-term"" deployment of troops to the Baltic region, the defence secretary is expected to... http://t.co/TnVbKuNHMP","politics"
"39","A guide to the origins, powers and membership of the Privy Council http://t.co/e1axRO5zuS","politics"
"40","Labour leader Jeremy Corbyn will not be attending a meeting of the Privy Council due to ""prior commitments"", his... http://t.co/Ra9eIzMirM","politics"
"41","Plaid Cymru announces plans to scrap Wales' seven health boards and place major hospitals under one body. http://t.co/X2G2bfO6W0","politics"
"42","Nato defence ministers are due to hold talks in Brussels, with Russia's growing military involvement in Syria... http://t.co/gAjkxIA7qz","politics"
"43","A Labour AM says she is ""appalled and astonished"" that Welsh ministers are spending nearly £20m this year on... http://t.co/j2ahzTJS45","politics"
"44","Tory leadership hopefuls waiting in the wings http://t.co/cNHeqGTe4c","politics"
