"","user","type"
"1","Leeds Rhinos win the #GrandFinal, complete domestic #SuperLeague treble 

Leeds 22-20 Wigan http://t.co/fZ74qKRHzY http://t.co/ocWwRQVfUz","sports"
"2","#nonleagueday - Stunning goals, power cuts and...spilt chocolate milk?! http://t.co/X5klZ0ACiV http://t.co/rsc4B8IzEE","sports"
"3","Will Wales be singing in the rain?

Follow the key #EURO2016 qualifier right here http://t.co/TPEwJH8wZ7 #BiHvWAL http://t.co/Z6PG1wmlGm","sports"
"4","Try for 20yr old Josh Walters in his 1st #GrandFinal

Sinfield puts Leeds 22-20 up v Wigan http://t.co/fZ74qKRHzY http://t.co/0tiTgdnQbd","sports"
"5","Italy have booked their place at #EURO2016.

Here's how they did it... http://t.co/5bJeMDijep http://t.co/nUsxg02JRH","sports"
"6","Bernard Foley kicks #AUS through as Pool A winners.

Here's the report v #WAL  http://t.co/R8o7tNapnt #AUSvWAL http://t.co/fFZ3B2t8os","sports"
"7","Turnaround.

Matty Bowen converts his own try to put Wigan 18-16 up v Leeds http://t.co/fZ74qKRHzY #GrandFinal http://t.co/FDN4lswRLp","sports"
"8","Dom Manfredi plucks the ball from Ryan Hall to score the first try of the 2nd half. 

Leeds 16-12 Wigan http://t.co/fZ74qKRHzY #GrandFinal","sports"
"9","Netherlands are still alive (just) in their quest to reach the #EURO2016 playoffs 

Report http://t.co/9goqhgzkVr http://t.co/MmwTgBnMOl","sports"
"10","Wales finish 2nd in Pool A &amp; play South Africa in QF. Pool winners Australia face Scotland. http://t.co/KDsn5XsPDu http://t.co/tfPJxDON2v","sports"
"11","apologies, Sinfield.","sports"
"12","HT Leeds Rhinos 16-6 Wigan Warriors

Who'll prevail in the second half of the #GrandFinal?
http://t.co/fZ74qKRHzY http://t.co/VHhxYw8cX6","sports"
"13","Danny McGuire is in for his 2nd try.

Sinfiled puts Leeds 16-6 up v Wigan http://t.co/fZ74qKRHzY #GrandFinal http://t.co/JlFURmAfY4","sports"
"14","A huge night for Wales in #EURO2016 qualifying.

One point would do it...  

Live http://t.co/TPEwJGQW7z #BiHvWAL http://t.co/gyC7jUgW9I","sports"
"15","FT: AUS 15-6 WAL

Bernard Foley scores all 15 points as Australia finish top of Pool A.

http://t.co/KDsn5XsPDu http://t.co/iVKnVVgO8i","sports"
"16","Latest from the #RussianGP with @LeeMcKenzieTV &amp; Eddie Jordan @BBCNews 18:45 BST or here http://t.co/jzvIeNRqJA http://t.co/nuleEwunDj","sports"
"17","SIN BIN
A deliberate knock-on sees Alex Cuthbert leave the match early. #AUSvWAL 15-6
http://t.co/KDsn5XsPDu http://t.co/0yIRDJFSPZ","sports"
"18","Leeds go ahead through a Joel Moon try. Big call. 

Rhinos 10-6 Wigan Warriors http://t.co/fZ74qKRHzY #GrandFinal http://t.co/UXtFVHIin4","sports"
"19","Australia move 15-6 ahead with Bernard Foley's fifth penalty. #AUSvWAL #RWC2015 #bbcrugby

http://t.co/KDsn5XsPDu http://t.co/8ta9lLx49K","sports"
"20","Can Wales breach an incredible Australia defence? 10 minutes left. 
#AUSvWAL 12-6 #bbcrugby
http://t.co/KDsn5XsPDu http://t.co/2PpUptMzSK","sports"
"21","SIN BIN X2
Dean Mumm joins Will Genia on the sidelines. #AUSvWAL 12-6, but it's 13 men v 15
http://t.co/KDsn5XsPDu http://t.co/b8sd5M0lgD","sports"
"22","Leeds respond almost immediately through Danny McGuire.

Sinfield converts. 

6-6 #GrandFinal  https://t.co/SAyARgT59K","sports"
"23","From the lows of depression to new heights

A tale of survival on #WorldMentalHealthDay http://t.co/YiGRcS6zWJ http://t.co/6T9vewPdDx","sports"
"24","SIN BIN

Australia down to 14 men after Will Genia's cynical foul. 

#AUSvWAL 12-6

http://t.co/KDsn5XsPDu http://t.co/rNGzkhQeKy","sports"
"25","Joe Burgess, in his final Wigan appearance, opens the #GrandFinal scoring

Leeds 0-6 Wigan http://t.co/fZ74qKRHzY http://t.co/W1HKZ6jZLb","sports"
"26","The #SuperLeagueGrandFinal is under way.

@leedsrhinos v @WiganWarriorsRL on @5liveSport http://t.co/fZ74qL9irw http://t.co/iBUgz1Ffvw","sports"
"27","Taulupe Faletau goes high with a tackle &amp; Bernard Foley kicks a 4th penalty. #AUSvWAL 12-6
http://t.co/KDsn5XsPDu http://t.co/uCMOSHsxCk","sports"
"28","A sending off after the whistle, a comeback &amp; a hat-trick

Just a quiet day in Cambridge... http://t.co/eH1U5fkq6O http://t.co/dWqY2yTi74","sports"
"29","HT

Three penalties from Bernard Foley give Australia a 9-6 lead at the break. #AUSvWAL

http://t.co/KDsn5XsPDu http://t.co/pLL8f0Dxcx","sports"
"30","#SuperLeagueGrandFinal 

Who will lift the trophy in their final game for their club?
http://t.co/ixZqZvcI5P http://t.co/7dupTaKOFm","sports"
"31","Penalties all the way. Bernard Foley's third effort makes it 9-6 to Australia.

#AUSvWAL

http://t.co/KDsn5XsPDu http://t.co/rqjODl9ZWh","sports"
"32","Australia's lead lasts less than a minute before Dan Biggar makes it 6-6 (34 mins) #AUSvWAL
http://t.co/KDsn5XsPDu http://t.co/vurb8XYK8P","sports"
"33","@pteronaut Apologies. Fixed now. http://t.co/CtNmyMaSEE","sports"
"34","Carlos Sainz's car was in a bad way in Sochi. Thankfully he's ok.

Full story http://t.co/CtNmyMaSEE #RussianGP http://t.co/ghqxn4sQ7h","sports"
"35","Bernard Foley kicks his second penalty to take Australia ahead. 

#AUSvWAL 6-3 #RWC2015 
http://t.co/KDsn5XsPDu http://t.co/Wr6DYk7qRV","sports"
"36","PEN

Bernard Foley makes it 3-3 after 25 mins at Twickenham. Tight and tense.

http://t.co/KDsn5XsPDu  #AUSvWAL http://t.co/fgrf3fYfmw","sports"
"37","A good start for Wales as Dan Biggar's penalty gives them a 3-0 lead. 

#AUSvWAL #RWC2015 

http://t.co/KDsn5XsPDu http://t.co/zNGRCQ0sCg","sports"
"38","October 10 - Welsh sports greatest day?

http://t.co/Ce5B2t5uxd #RWC2015 #EURO2016 http://t.co/T0Ajo2SSTS","sports"
"39","Next up in the #RWC2015 is #AUSvWAL. The winners top Pool A. 
Live text &amp; radio commentary: http://t.co/KDsn5XsPDu http://t.co/KbAKtiBeka","sports"
"40","""Matching Senna is unreal,"" says @LewisHamilton.

http://t.co/6C0Gp6ytMH #bbcf1 #F1 http://t.co/qPqTw1Zb97","sports"
"41","1hr 30 until the #SuperLeagueGrandFinal 

Get fired up for @leedsrhinos v @WiganWarriorsRL http://t.co/IfcF8qnlN6 http://t.co/4T2ej2PQjJ","sports"
"42","SCOTLAND INTO THE QUARTER-FINALS.

They hold on to win. #SAMvSCO 33-36. #RWC2015 #bbcrugby

http://t.co/zG5nwKzpCI http://t.co/98b1QImEpr","sports"
"43","NERVY FINISH

Motu Matu'u try. Scotland need a win to advance.

#SAMvSCO 33-36 (78 mins)
http://t.co/zG5nwKzpCI http://t.co/53Mzbn0fvV","sports"
"44","TRY

Scotland close in on the QF. Greig Laidlaw's converted try.

#SAM 26-36 SCO (75 mins)

http://t.co/zG5nwKzpCI http://t.co/UE8RkAecTO","sports"
"45","One for the memory box...

Butland to make his first competitive start for England.

http://t.co/CStmlJt5b4 http://t.co/S7od5bz0Me","sports"
