"","user","type"
"1","Only the good school. 
#AbstractRadio is on #Beats1.
http://t.co/rAPwDbsSan http://t.co/yQrFFbw2fZ","music"
"2","Stories from The Chronic &amp; much more.
@SnoopDogg + @DrDre
#ThePharmacy 3PM PT/6PM ET.
http://t.co/rAPwDbKt1V
https://t.co/gnRoF6lXQX","music"
"3","Enjoy the flames.
@officialjaden is on, @mr20syl drops a mix.
#MSFTSFREQUENCY
http://t.co/rAPwDbsSan http://t.co/szuVTaB5Xp","music"
"4","‚ÄúIt‚Äôs just a JAM.‚Äù
@ToriKelly breaks down @JohnMayer‚Äôs Room For Squares.
#Gratitude http://t.co/rAPwDbsSan
https://t.co/CYQzbbaTtL","music"
"5","Did you miss this earlier? Second chance.
@ericprydz is on #Beats1. #prydzmix
http://t.co/rAPwDbsSan 
https://t.co/XqRoQJkFfl","music"
"6","Controlling the #Beats1 airwaves‚Ä¶
@atrak‚Äôs #DayOffRadio starts now.
http://t.co/rAPwDbsSan
https://t.co/JtPiEZ1p6l","music"
"7","New music from @porterrobinson + @Diplo is this week‚Äôs Guest Selecta?
OK @annalunoe!
http://t.co/rAPwDbsSan http://t.co/L6TvsB240I","music"
"8","Only the feel good joints on #AbstractRadio. 
@QtipTheAbstract is on. NOW.
http://t.co/rAPwDbsSan http://t.co/W5w0tZGszL","music"
"9","So, @KillerMike, @therealelp, @bootsonboots, @CUZLIGHTYEAR in a hotel room. In Oklahoma. #WRTJ http://t.co/rAPwDbsSan http://t.co/tnjxdU4Bqt","music"
"10","Bow wow wow yippy yo yippy yay
@SnoopDogg + @DrDre
#ThePharmacy Saturday 3P PT/6P ET
Preview: http://t.co/DNOM0Zsxkp http://t.co/QRAjIJxC3b","music"
"11","Here we go‚Ä¶.
@ericprydz is now on #Beats1.
http://t.co/rAPwDbsSan http://t.co/idwMl4WD3u","music"
"12","This week on #OTHERtone, @Skepta and @JamieWoon join @Pharrell and @Brokemogul.
Sunday at 12PM PT/3PM ET.
Also, Ì†ºÌæÇÌ†ºÌæÇÌ†ºÌæÇÌ†ºÌæÇ
https://t.co/ClwIp2cV1G","music"
"13","3 hours to go! 
The premiere of @ericprydz on #Beats1. 
Get. Ready.
http://t.co/rAPwDbKt1V
https://t.co/iaTRsJxJdC","music"
"14","Thanks for coming through @JBALVIN!
Getting Friday going with @OldManEbro now on #Beats1.
http://t.co/rAPwDbKt1V http://t.co/QDiOKH0o2T","music"
"15","#TripleThreat. Starts. Now.
@ZaneLowe
@JulieAdenuga
@OldManEbro.
It‚Äôs FRIDAY!
http://t.co/rAPwDbsSan","music"
"16","Catch up on everything hot right now. 
#Release is on #Beats1.
http://t.co/rAPwDbKt1V http://t.co/VuG7sWqHYD","music"
"17","Si te perdiste el #Beats1TakeOver de @N_A_A_F_I, descubre su sonido electr√≥nico underground Ì†ΩÌ±â http://t.co/rAPwDbsSan
https://t.co/oMzpeXxg0S","music"
"18","A #WorldRecord &amp; interview with @therealkranium and @oldmanebro coming up! LET‚ÄôS GO EBRO. http://t.co/rAPwDbsSan http://t.co/s0JsVg0E0O","music"
"19","Get to know more about @JulieAdenuga‚Äôs #UKRepresent this week, @MrBClementine. Now on #Beats1: http://t.co/rAPwDbsSan http://t.co/Mvds213HB7","music"
"20",".@zanelowe starts now. 
#WorldRecord: @GoldLink
#WorldFirst: @kacyhill @QueensChristine
Guest: @benhowardmusic
http://t.co/rAPwDbsSan","music"
"21","¬°En vivo ahora!
@N_A_A_F_I toma control de @Beats1 #Beats1TakeOver Sintoniza YA.
http://t.co/rAPwDbsSan
https://t.co/oMzpeXxg0S","music"
"22","30 minutes until the #Beats1Takeover with @N_A_A_F_I. Ì†ºÌæâ
http://t.co/rAPwDbsSan http://t.co/PXKYv53E3R","music"
"23",".@kacyhill's request is in, and on now!
@dcfc - ""Marching Bands of Manhattan"": http://t.co/rAPwDbKt1V http://t.co/qCkxl1Ywun","music"
