"","user","type"
"1","Explore the A/W15 make-up collection featuring The Runway Palette in camouflage http://t.co/T6E8EZ9oPV http://t.co/MvU8KtMxxI","fashion"
"2","Bohemian eye colours are at the heart of the A/W15 make-up look from @Burberry http://t.co/T6E8EZ9oPV http://t.co/3EKUgxpNRm","fashion"
"3","Discover the new A/W15 make-up look featuring @Burberry model Amber Anderson http://t.co/hCI4zxoI7a","fashion"
"4","Model Amber Anderson in the opening look and A/W15 make-up before the @Burberry show http://t.co/1kowD0lkUN","fashion"
"5","Amber Anderson in the new @Burberry make-up look inspired by the A/W15 runway collection http://t.co/Km6piKlRkb","fashion"
"6","Discover 'Turbulence' the debut album from #BurberryAcoustic artist @BrokenHandsBand http://t.co/Lta7cHkPAP","fashion"
"7","Watch @BrokenHandsBand perform 'Alarms' for #BurberryAcoustic - taken from their debut album 'Turbulence' http://t.co/buEiVOH6SM","fashion"
"8","British musician @TomPeterOdell wearing shearling outerwear behind the scenes on the @Burberry A/W15 campaign shoot http://t.co/5Ofe49dzTa","fashion"
"9","Framing the shot with Harry Treadaway during the @Burberry A/W15 campaign shoot http://t.co/dGfIm4aH5i","fashion"
"10","American actor @BryanCranston wearing @Burberry tailoring to the @BFI #LondonFilmFestival for the premiere of #Trumbo http://t.co/mZtHaXcQTo","fashion"
"11","Leather and shearling in the A/W15 campaign with Harry Treadaway, Florence Kosky and musician @TomPeterOdell http://t.co/vboBDbgnDa","fashion"
"12","Between takes on the @Burberry A/W15 campaign set with Ranald Macdonald, @ClaraPaget and Amber Anderson http://t.co/Pp5X5PlEI7","fashion"
"13","Coloured cashmere trench coats and sartorial men's outerwear behind the scenes on the @Burberry A/W15 campaign shoot http://t.co/tXJ5O0ETXk","fashion"
"14","Amber Anderson and @ClaraPaget wearing colourful cashmere trench coats with Ranald Macdonald for @Burberry A/W15 http://t.co/WHfi46CMZm","fashion"
"15","Puddles and raindrops in #London today #BurberryWeather 18°C | 64°F https://t.co/VCeKLlHPwC http://t.co/f03Nc0NP6y","fashion"
"16","#BurberryAcoustic introduces @LakeKomo 

Watch their performance on @AppleMusic http://t.co/ztj51rbW8P http://t.co/WvZXYsBKxe","fashion"
"17","Watch the latest #BurberryAcoustic track - 'Tides' by @LakeKomo https://t.co/YEdk5UU3ZT","fashion"
"18","Christopher Bailey's #MusicMonday - The Cure 'Lovesong' #NowPlaying https://t.co/VtuSyTrflj","fashion"
"19","British actor @JohnBoyega wearing @Burberry tailoring at the @SDFilmFestival to receive the Rising Star Award http://t.co/cssKRwczaH","fashion"
"20","The @Burberry A/W15 wallet collection including continental wallets with check embossing http://t.co/nZ1DcgAISt http://t.co/337glvps1l","fashion"
"21","The Mini Field Sneaker - runway inspired footwear for little ones. Explore A/W15 childrenswear http://t.co/6EX5nBqj6o http://t.co/mexptDlSEw","fashion"
"22","Oval optical frames inspired by The Heritage Trench Coat. Explore @Burberry women's eyewear http://t.co/D9Qr7FQgor http://t.co/MuUiJ4256b","fashion"
"23","Last light in #London this evening https://t.co/mkvQnZv21P http://t.co/4MivrwzFpV","fashion"
"24","The Saddle Bag, crafted in dark teal and cognac leather. Discover A/W15 bags from @Burberry http://t.co/SYAu0wAirz http://t.co/ptKvMlA44E","fashion"
"25","The Ponytail boot from @Burberry in animal print and suede leather fringing for A/W15 http://t.co/xsaMq4bmOg http://t.co/32cXWt7BQJ","fashion"
"26",".@ElisaSednaoui wearing @Burberry Autumn/Winter 2015 collection on the October cover of @BazaarArabia http://t.co/7I28Qmyhwq","fashion"
"27","The Britain watch from @Burberry - a partnership of British design and Swiss craftsmanship http://t.co/lOaI0fETXz http://t.co/qlNTYNhMzM","fashion"
"28","Metallic leather sandals crafted from Italian leather for A/W15. Explore women's footwear http://t.co/xsaMq4bmOg http://t.co/hDRbBYYjkU","fashion"
"29","Discover continental wallets in smooth and signature grain leather, from @Burberry http://t.co/6EX5nBqj6o http://t.co/7cxwmN1Vtd","fashion"
"30","Christopher Bailey's #MusicMonday - Yazoo 'Only You' #NowPlaying http://t.co/ETvVlV0jok","fashion"
"31","Director Justin Kurzel and Essie Davis wearing @Burberry on the red carpet at the #Macbeth premiere in Edinburgh http://t.co/sunOzX0g8f","fashion"
"32","Actor #MichaelFassbender wearing @Burberry tailoring to the premiere of #Macbeth in Edinburgh last night http://t.co/rRMtDoisT7","fashion"
"33","Actor #JosephGordonLevitt (@hitrecordjoe) wearing Burberry tailoring to the premiere of #TheWalkMovie at the #NYFF http://t.co/pYLSMiLhxU","fashion"
"34","Make-up inspired by the @Burberry runway. Discover the @Burberry effortless make-up look http://t.co/ypRCap0oFk http://t.co/Q2pOVLMoih","fashion"
"35","Learn how to create effortless strobing with the @Burberry video tutorial http://t.co/Nlz0Kvht1Q http://t.co/itnJge8Z9f","fashion"
"36","Learn how to contour effortlessly with Burberry Artistic Make-up Consultant @WendyRoweMakeUp http://t.co/Nlz0Kvht1Q http://t.co/1k2ANnrktA","fashion"
"37","Watch @WendyRoweMakeUp &amp; @C_Wiggins_ in the Effortless Contouring and Strobing tutorial http://t.co/Nlz0Kvht1Q http://t.co/Gggo8FmGdd","fashion"
"38","Backstage beauty: @WendyRoweMakeUp applies the @Burberry Face Contour pen to Amber Anderson http://t.co/lLAPjy5EN5","fashion"
"39","Make-up techniques that don't take hours to master. Model Amber Anderson contours behind the scenes http://t.co/KDUvoW4NEf","fashion"
"40","Amber Anderson backstage on the Effortless Contouring and Strobing campaign set wearing @Burberry make-up http://t.co/MGno5T0PmZ","fashion"
"41","Discover the @Burberry Effortless Contouring and Strobing campaign starring British model Amber Anderson http://t.co/opDddJGjW1","fashion"
"42","Effortless contouring and highlighting with the @Burberry Fresh Glow pen and Face Contour pen http://t.co/ypRCap0oFk http://t.co/MOcsvNQCPT","fashion"
"43","Introducing Effortless Contouring from @Burberry. Starring British model Amber Anderson http://t.co/sfilPVUsTE","fashion"
"44","The @Burberry Functionregalia finale #LFW http://t.co/T6yeNwEqo5","fashion"
"45","Embroidered detail, lace and silk from the @Burberry S/S16 Functionregalia collection #LFW http://t.co/xXfPFD8jzj","fashion"
"46","The S/S16 eyewear paired with soft silks on the @Burberry runway #LFW http://t.co/KbgXk7bVzp","fashion"
"47","Beauty looks from S/S16, captured backstage at the @Burberry Functionregalia unveiling #LFW http://t.co/rHVftSNWsQ","fashion"
"48","Highlights from British artist @AlisonMoyet's performance at the @Burberry S/S16 runway show http://t.co/KKS18weGVc","fashion"
"49","Chinese model @LiuWenlw wearing @Burberry S/S16 Pre-Collection and The Small Bucket Bag at the #BoF500 gala in London http://t.co/b9nuqzHce0","fashion"
"50","The Lightweight Trench Coat, available for limited pre-orders until 5 October #LFW http://t.co/aRwUM9s8B7 http://t.co/8qydIrcF93","fashion"
"51",".@GabeDayLewis, @SukiWaterhouse, #SiennaMiller, #KateMoss, @CaraDelevingne and @St_Vincent on the @Burberry front row http://t.co/E8tGCijwXN","fashion"
"52","A nude lace dress and ink tie-dye print nubuck trench coat backstage before the @Burberry S/S16 runway #LFW http://t.co/KmQYWY0ckU","fashion"
"53",".@TinieTempah at the S/S16 show wearing @Burberry tailoring with The Scholar eyewear #LFW http://t.co/G7zvcDzUa0","fashion"
"54","Model @LiuWenLW greets Christopher Bailey after the @Burberry S/S16 show #LFW http://t.co/65ZKzSnT2H","fashion"
"55","The Functionregalia finale. Order items from the runway until 5 October #LFW http://t.co/aRwUM9s8B7 http://t.co/HacCLcV0q0","fashion"
"56",".@Burberry models backstage before the show with The Belt Bag, new for S/S16 #LFW http://t.co/NsoeG2NAIS","fashion"
"57","British model  @MissJourdanDunn inside the @Burberry show space wearing an A/W15 shearling coat #LFW http://t.co/ausBaCUjFQ","fashion"
"58","The @Burberry S/S16 beauty look paired with Optic White nails #LFW http://t.co/Vt4S0pM4e5","fashion"
"59","On the @Burberry runway: a lightweight silk wool trench coat layered over a white silk lace dress #LFW http://t.co/VxZp9aNDtI","fashion"
"60","Introducing The Satin Duffle Coat from the S/S16 collection. Shop the @Burberry runway #LFW http://t.co/aRwUM9s8B7 http://t.co/3tLdsBKXOz","fashion"
"61",".@ElisaSednaoui wearing an A/W15 trench coat at the @Burberry show space #LFW http://t.co/xthChbwvym","fashion"
"62","Lace and crystals on the @Burberry S/S16 runway #LFW http://t.co/0BjHzqT4lB","fashion"
"63","Backstage at @Burberry S/S16: a black cashmere storm shield coat #LFW http://t.co/iFOomfvo7l","fashion"
"64","Musician @AlisonMoyet performing on the @Burberry S/S16 runway. 

Download the show EP http://t.co/now0X6ZNpc http://t.co/cBv164GTPB","fashion"
"65","Available to order until 5 October - the S/S16 trench coat and collarless cashmere coat #LFW http://t.co/aRwUM9s8B7 http://t.co/MR4aKjsahK","fashion"
"66","A tiered lace shift dress in pale citrus with strap sandals on the S/S16 runway #LFW http://t.co/bIZxje8vND","fashion"
"67","Watch highlights from the @Burberry S/S16 show with guests #AnnaWintour, @CaraDelevingne and #BenedictCumberbatch https://t.co/eoCdP5GNWd","fashion"
"68","British actress @NaomieHarris wearing a graphic embroidered @Burberry trench coat from the S/S16 pre-collection #LFW http://t.co/mlRJo226mO","fashion"
"69","The Belt Bag in Square from @Burberry with regimental details that reference the trench coat http://t.co/aRwUM9s8B7 http://t.co/izpisT3rva","fashion"
"70","Backstage Beauty: metallic accents and a bold Oxblood lip at the S/S16 show #LFW http://t.co/Bp9rW7VcPF","fashion"
"71","#SiennaMiller and #KateMoss on the front row at the @Burberry Functionregalia show #LFW http://t.co/A68btytPI9","fashion"
"72","The Lightweight Trench Coat opens the @Burberry show. Shop the next season, now: http://t.co/aRwUM9s8B7 http://t.co/AdHbROuWNq","fashion"
"73","British model #KateMoss wearing @Burberry S/S16 pre collection outerwear at the Burberry show space #LFW http://t.co/DTGU9ce2ZR","fashion"
"74","The Rucksack monogrammed for the @Burberry runway. Available to personalise until 5 October http://t.co/aRwUM9s8B7 http://t.co/aEPn1sQURu","fashion"
"75","Brazilian Actor @ChaySuede at the @Burberry S/S16 runway show wearing The Scholar eyewear #LFW http://t.co/58aYaHeOf5","fashion"
"76",".@AlisonMoyet and the 32-piece orchestra opening Monday's @Burberry show at London's Kensington Gardens #LFW http://t.co/R7jc2xi8WY","fashion"
"77","#KateMoss and @CaraDelevingne look on as the @Burberry S/S16 collection take to the runway #LFW http://t.co/9xCG2X3K1T","fashion"
"78","Model @NeelamKG arrives at the @Burberry show wearing an A/W15 printed silk dress #LFW http://t.co/227Tt3H0W5","fashion"
"79","The @Burberry S/S16 beauty look in profile, backstage at the Functionregalia show #LFW http://t.co/EkNCmeNEzF","fashion"
"80","The Biker Jacket for S/S16 from @Burberry. Part of the Runway Made to Order service #LFW http://t.co/aRwUM9s8B7 http://t.co/8Rjiz6s2jZ","fashion"
"81","Guests take their seats as @AlisonMoyet opens the @Burberry S/S16 womenswear show http://t.co/9a7rt3J63u","fashion"
"82","The S/S16 runway sunglasses with oversized temples from @Burberry #LFW http://t.co/NNN2OXoPjz","fashion"
"83","Watch 'Functionregalia', the @Burberry womenswear S/S16 runway show, filmed live in London on Monday 21 September http://t.co/vpO8gv0dWg","fashion"
"84","French actress Melanie Laurent wearing a @Burberry poncho
and The Bucket bag outside the S/S16 show space #LFW http://t.co/dOz2fgom9n","fashion"
"85","Actresses Guey Lun Mei, Miriam Yeung and Sun Li with model @LiuWenlw at the @Burberry S/S16 show in London #LFW http://t.co/HlNLkxOwAV","fashion"
"86","Brazilian actor @ChaySuede arrives at the @Burberry show wearing a A/W15 poncho #LFW http://t.co/FAJJ3WWMHj","fashion"
"87","British actress @NaomieHarris wearing S/S16 pre-collection at the @Burberry show in Kensington Gardens #LFW http://t.co/MwIwuJwbyJ","fashion"
