"","user","type"
"1","#MademoisellePrive has arrived in London. More on http://t.co/kXal9subH9
https://t.co/GUF6fvaoXD","fashion"
"2","Watch the behind the scenes video of the #ChanelSpringSummer2016 Ready-to-Wear show #ChanelAirlines. #PFW
https://t.co/CYuIt4zWQY","fashion"
"3","Backstage at the #ChanelSpringSummer2016 show #ChanelAirlines. #PFW See more photos on http://t.co/rR4TyvC1lp http://t.co/YKNYVm4hr9","fashion"
"4","Front row at the #ChanelSpringSummer2016 show #ChanelAirlines. #PFW See more photos on http://t.co/rR4TyvC1lp http://t.co/R5SHrjlHlf","fashion"
"5","Karl Lagerfeld talks about the #ChanelSpringSummer2016 Ready-to-Wear show #ChanelAirlines #PFW
https://t.co/Xy2sSTDlcK","fashion"
"6","Look from the #ChanelSpringSummer2016 collection. #ChanelAirlines #PFW See the collection on http://t.co/VsjwbOXD88 http://t.co/FZCRmEhPfw","fashion"
"7","Sunglasses from the #ChanelSpringSummer2016 collection. #ChanelAirlines #PFW http://t.co/EX9pJDkk5w","fashion"
"8","Handbag from the #ChanelSpringSummer2016 collection. #ChanelAirlines #PFW http://t.co/XrAxNx7y5N","fashion"
"9","Finale from the #ChanelSpringSummer2016 Ready-to-Wear show #ChanelAirlines. #PFW More on http://t.co/rR4TyvC1lp http://t.co/P57ZBu6BPF","fashion"
"10","Shooting of the #ChanelSpringSummer2016 press kit. #ChanelAirlines #PFW See all photos on http://t.co/RY8K5I0eHO http://t.co/aeE7xPbySb","fashion"
"11","Silhouette from the #ChanelSpringSummer2016 Ready-to-Wear collection shot by Karl Lagerfeld #ChanelAirlines #PFW http://t.co/Wuzo436oXh","fashion"
"12","The decor of the #ChanelAirlines show at the Grand Palais, Paris. #ChanelSpringSummer2016 #PFW http://t.co/iNzrFiTTUD","fashion"
"13","#ChanelAirlines boarding. The #ChanelSpringSummer2016 show is starting. #PFW
https://t.co/1JXv6zusiF","fashion"
"14","Cara Delevingne has arrived at the Grand Palais #ChanelAirlines show. #ChanelSpringSummer2016 #PFW","fashion"
"15","Marine Vacth has arrived at the Grand Palais #ChanelAirlines show. #ChanelSpringSummer2016 #PFW","fashion"
"16","Guests boarding for the #ChanelAirlines show. #ChanelSpringSummer2016 #PFW http://t.co/vv09k4ReTN","fashion"
"17","Lily-Rose Depp has arrived at the Grand Palais #ChanelAirlines show. #ChanelSpringSummer2016 #PFW","fashion"
"18","Vanessa Paradis has arrived at the Grand Palais #ChanelAirlines show. #ChanelSpringSummer2016 #PFW","fashion"
"19","Check-in for today's #ChanelAirlines show, 10:30am at the Grand Palais in Paris. #ChanelSpringSummer2016 #PFW http://t.co/yBjwc24zv7","fashion"
"20","The boarding pass for tomorrow's #ChanelAirlines show. #ChanelSpringSummer2016 #PFW http://t.co/fhALLvlnKV","fashion"
"21","CHANEL is pleased to announce the acquisition of La Pausa, a villa Gabrielle Chanel designed in 1928 #ChanelLaPausa https://t.co/yV05gnDD4V","fashion"
"22","Vanessa Paradis and #MademoisellePrive. More information on http://t.co/kXal9subH9
https://t.co/EsaG7h0jX7","fashion"
"23","Kristen Stewart and #MademoisellePrive. More information on http://t.co/kXal9subH9
https://t.co/T5V0Yt7AJN","fashion"
"24","Stella Tennant and #MademoisellePrive. More information on http://t.co/kXal9subH9
https://t.co/aYqcS0FhAM","fashion"
"25","Julianne Moore and #MademoisellePrive. More information on http://t.co/kXal9subH9
https://t.co/d5kwijuoEt","fashion"
"26","The #MademoisellePrive exhibition will open at the Saatchi Gallery, London, Oct 13th. http://t.co/kXal9subH9
https://t.co/D3cCvPKJbY","fashion"
