"","user","type"
"1","Meet the $310 million Powerball winner » http://t.co/vFlzwww2F1  http://t.co/SdvgTYoXdJ","business"
"2","A major airline says $69 flights from the U.S. to Europe are around the corner: http://t.co/zVajMAgzeI  http://t.co/ADmcorJEg7","business"
"3","Bill Ackman throwing his support behind a man who's not (yet?) in the race for President » http://t.co/yjiBJ8npmm  http://t.co/2EW84vHDEf","business"
"4","Here's how much people in Hollywood make: Report http://t.co/ST6hcWwqC2  http://t.co/Q0EN32VpES","business"
"5","Catalonia isn’t just another Scotland: It’s a much, much bigger deal » http://t.co/43fndwPbO7  http://t.co/bOLNR8DeNr","business"
"6","Mom fears that artificial turf might have caused her daughter's death: http://t.co/dme1r6PQhw","business"
"7","A $4.25 fee every single time you do this » http://t.co/O3cxQLy2jJ  http://t.co/lrCAb8UeGY","business"
"8","Jennifer Aniston is appearing in a new TV ad that's ripping U.S. airlines: http://t.co/fs00PoVQCP  http://t.co/PBwlilgygh","business"
"9","Come celebrate 20 years of Squawk Box on the plaza outside our NYC studio! For info &amp; Free Tickets » http://t.co/jPVG6OZFKe #Squawk20","business"
"10","Sandwich chain: The pope killed our sales http://t.co/vsyEtt8B5E  http://t.co/evn4e0kjzo","business"
"11","Barry Diller vows to take action if Donald Trump is elected » http://t.co/Bv2GaTWSly  http://t.co/EovdmfqJDX","business"
"12","This is how to make 7 times your money in Apple, Goldman Sachs says » http://t.co/HRUK2dbnKO","business"
"13","Something amazing and unexpected is happening at Chernobyl nuclear site » http://t.co/S9rNfPddIj  http://t.co/Vb9nGVaTsI","business"
"14","A Wall St guide to shoes: How to tell where a man is in his career by looking at his shoes » http://t.co/9gcE5qWBqe","business"
"15","A man mistook an airplane door for a restroom at 30,000 feet » http://t.co/QiynGuE0mS","business"
"16","Ditching your boarding pass is dangerous - here's why: http://t.co/XNItlVKdtO","business"
"17","Four car makers join emissions rigging list: Reports » http://t.co/vIPLJ0wPIs","business"
"18","Apple is the ""Tesla graveyard"" where failed workers go, Elon Musk says http://t.co/13eoKC50hO","business"
"19","The oil change may be about to endure a change of its own » http://t.co/v6meDeAcYF","business"
"20","Former NBA star Stephon Marbury is calling out basketball legend Michael Jordan as ""greedy"" » http://t.co/rV5T5bjqqd","business"
"21","The name change of North America's tallest mountain is rippling down to a fast-food chain: http://t.co/jXqy1N52ym","business"
"22","Harry Reid sues fitness band maker over eye injury http://t.co/WZwYO7DCqD","business"
"23","Spain's state attorney  demanded a 22-month jail sentence for soccer star Lionel Messi: http://t.co/BreVCl8qI3","business"
"24","Beware the Chipotle ""burrito pattern"" http://t.co/7DXGzad8wI","business"
"25","UAW approves proposed Fiat Chrysler contract http://t.co/Gl9AIljgGR http://t.co/NTYvbZcj6t","business"
"26","New details » Dell EMC offer could come soon http://t.co/Sg9eauW4d7 http://t.co/ZE77z7MxEY","business"
"27","This stat suggests a 90% chance stocks will fall: BofA » http://t.co/bgKYuxQoHm  http://t.co/E8E4oQxWD1","business"
"28","Next GOP speaker of the House...@mcuban?? http://t.co/0IEcJcad7x  http://t.co/VqQef6LMZE","business"
"29","Latest numbers on how many households don't pay federal income taxes http://t.co/vtb5Ri5PvI  http://t.co/Hu1eoPo1Vi","business"
"30","Munster: This is what will make Apple pop http://t.co/dB0wMRhJVY $AAPL","business"
"31","These stocks are entering a 'sell zone': Technician http://t.co/Nrhsj13Bx1 http://t.co/PfjYBr2qLo","business"
"32","Why mortgage rates matter this weekend http://t.co/6revFttBl4 http://t.co/YMeWhRUF84","business"
"33","Is the oil rally for real? http://t.co/aAhuKo9QeP http://t.co/PYHp2a3ThY","business"
"34","Don't expect good news from earnings: Strategist http://t.co/QEH8zGX0YW http://t.co/8FuIXnoZW0","business"
"35","Debt ceiling fail could get really ugly http://t.co/t9igo9QOkN http://t.co/TOGuGKo2iT","business"
"36","Pentagon ending program to equip Syrian rebels http://t.co/M2v7SksD6T http://t.co/BQw0ZswFTD","business"
"37","SABMiller in bid to try and stay independent http://t.co/im8seFT58A http://t.co/HPbeFCQo2G","business"
"38","Morgan Stanley CEO: Where's what the Fed SHOULD have done » http://t.co/SndNul3Dpt http://t.co/6O0jPhMLOe","business"
"39","Netflix to hike prices » http://t.co/w7qEwBlNMp http://t.co/4QobWzSYkd","business"
"40","How to know if you're paying too much interest on your debt http://t.co/8LF0fd07zv http://t.co/Yi2wUlUt82","business"
"41","Columbia Sportswear's plan for $4B in sales http://t.co/TZIaCd45x5 http://t.co/UhBxTHcmK0","business"
"42","Strong headwinds ahead for Tesla  http://t.co/6Ryw1iMKvD http://t.co/fLgE7S3N8Y","business"
"43","How to avoid going from riches to rags http://t.co/EvpIgiVH3F http://t.co/e8nfyamS7F","business"
