"","user","type"
"1","Great read from @JillDLawrence on Dem trio of potential, non-Hillary candidates. http://t.co/N4wlo6NdE7","politics"
"2","@MattOrtega Ha, awesome, but very painful series.","politics"
"3","@MattOrtega Yes, big-time! Eric Chavez was possibly the most frustrating player to ever watch.","politics"
"4","Good morning, 2016. http://t.co/xB8Udpkb3k","politics"
"5","Good morning, 2016. http://t.co/Bs5OKpJCaj","politics"
"6","Cory Booker is going on Kelly Ripa's show today (and other '16 stuff in Good Morning, 2016). http://t.co/AjXxyU9MFs","politics"
"7","Good morning 2016 features a pic of Andrew Cuomo, in a fishing boat and like-attire over the w/end. http://t.co/4PItwBT7Pv","politics"
"8","Kirsten Gillibrand on fact there are only 20 female senators: ""Frankly, it's pathetic."" http://t.co/3vDrWbtr6J","politics"
"9","Cory Booker: ""This will probably be one of the most productive four months I've ever had."" http://t.co/VbXcBcOmQX","politics"
"10","Good morning, 2016. http://t.co/Au5DImFHat","politics"
"11","Fading Hickenlooper is object lesson in an essentially moderate but weak pol who can't say no to his own party and legislature.","politics"
"12","RT @mikememoli .@clairecmc says @HillaryClinton called her after she announced support for a potential WH bid this week","politics"
"13","I shouldn't say ""pretend""... my in-laws are frighteningly good at NYT crosswords. I just sit and guess ""eel"" every time.","politics"
"14","Pretend to be able to work an NYT crossword while you read Good Morning, 2016. http://t.co/3V3FMcTzPg","politics"
"15",":) Ted Cruz's dad on why it took him 48 years to renounce Canadian citizenship: ""I guess laziness or I don't know."" http://t.co/Sgv3d1RlKC","politics"
"16","Jeb Bush is raising money for Paul LePage in Maine next month. http://t.co/I2SkqgAk66","politics"
"17","After blowback from left, Cuomo changes ""Tax-free New York"" proposal to ""Start-Up New York."" http://t.co/c3SqsmScHS","politics"
"18","RT @DavidMDrucker Great piece from @HotlineReid on the GOP 2016 candidates for 'architect/turd blossom' http://t.co/juW4np5tIr","politics"
"19","Jindal signed 6 gun bills and equal pay bill yesterday http://t.co/v81dwktPly and here. http://t.co/0hu0dzHgSZ","politics"
"20","Mmm -- when asked about difference, Rand Paul refers to Gang of Eight's bill here as ""Rubio bill"" twice. http://t.co/SWnBqsJ0KT","politics"
"21","Big local disputes that never turn into national ones when lawmaker runs -- Casinos. #CuomoAndEveryOtherGovernor.","politics"
"22","Steve Israel on Hillary helping in '14: I told her ""the SECOND"" you're ready; not the ""minute"", help us. http://t.co/PAByhUcq2l","politics"
"23","Sen. Jeanne Shaheen (D-N.H.) on Hillary: ""We're talking to her about helping me in my reelection effort."" http://t.co/PAByhUcq2l","politics"
"24","Lots of interesting stuff in @Emilylgoodin must-read here. http://t.co/PAByhUcq2l","politics"
"25","Did Rubio know that approaching immigration from center (ostensibly place with most mass appeal) would turn out to be so lonely?","politics"
"26","I'm following Bob McDonnell now out of curiosity; not anymore from idea he could make a mark in prez politics in '16.","politics"
"27","How many times between now and '16 will we read ""Hillary has finally stepped out from Bill's shadow""...Didn't that ""happen"" after NH in '08?","politics"
"28","@mattklewis Yeah, totally worn. Not sure if it's just because it was late and live, or because of this year or both.","politics"
"29","Taking over the state -- At this point, Corliss Williamson will soon be named ""Corliss Clinton."" http://t.co/YnctFD2Qu2","politics"
"30","RT @mattklewis Rubio to Hannity: A border security amendment is coming today http://t.co/NlgcBkwZCn …","politics"
"31","Couple good reads on Rand Paul this early AM. http://t.co/j8VK1QyNXR and here. https://t.co/PNYz0vLrFE","politics"
"32","Good morning, 2016. http://t.co/1buiyh7IsY","politics"
"33","Tea Party Nation's Judson Phillips: Rubio ""is the Republican who should be at the top of the list to be primaried."" http://t.co/hUYR4SnSIt","politics"
"34","Kasich on Medicaid expansion: When you die, St. Peter won't ask ""much about what you did about keeping gov't small"". http://t.co/UT6wWOcmok","politics"
"35","Kasich on Medicaid expansion: ""I'm not going to give this up. I will not. I don't care how long it takes."" http://t.co/UT6wWOcmok","politics"
"36","Bobby Jindal's pressing reset with a new, statewide tour. http://t.co/1gFTEOFBuT","politics"
"37","Good morning, 2016. http://t.co/5LGuA3Pkfd","politics"
"38","Susana Martinez headed to Miami next month for address to MavPAC. http://t.co/leYfHSefOQ","politics"
"39","Julian Castro's twin bro just got engaged. http://t.co/CXZG2jMCWh","politics"
"40","Nice! MT @mckaycoppins Speaking of 5-hour Energy, I'm almost 8 months on the wagon. Would like to thank you all for your support.","politics"
"41","@dannyboi965 @mckaycoppins My wife pried me from Rockstar this year. #Onedayatatime.","politics"
"42","Tea partier Steve Lonegan (clearly coveting Christie's help): ""Gov. Christie is a Republican first."" http://t.co/06xOVEuGH6","politics"
"43","Real scandal in Richmond? Bob McDonnell's wife drinks 5-hour energy shots for breakfast. http://t.co/U38As8xYsE","politics"
"44","Painful RT @mattklewis ""I didn't pick when Senator Lautenberg passed away."" - Chris Christie on MoJoe (regarding special election date)","politics"
"45","""A serious mistake"": Cuomo hammers Dem legislators who oppose his abortion proposal. http://t.co/OvezwZElgP","politics"
"46","Very cynical headline. (Would NYT ever write ""Dems fight back against voter ID laws to appease vocal base""?) http://t.co/p6wTuuoE9z","politics"
"47","Another Dem mayor endorsed Chris Christie yesterday. http://t.co/T2bFLj7LN0","politics"
"48","Amy Klobuchar on Senate: ""The women Democrats and Republicans work together incredibly well."" http://t.co/dYcP69IKnK","politics"
"49","Rand Paul thinks the GOP can win win 20%-25% of African Americans (Btw, Reagan only won 9% in '84.) http://t.co/SjyjYT3qVq","politics"
"50","Peter Beinart is really trying to bait Cory Booker into an argument about Israel. http://t.co/gGdE3Fb7Rc","politics"
"51","@robertcostaNRO writes about Santorum 2016 this morning. http://t.co/pe1MHMjevh","politics"
"52","Rand Paul adviser: ""Not everyone is giving us money, but there's definitely some flirtation going on."" http://t.co/6YtqT100mN","politics"
"53","Good morning, 2016. http://t.co/J03lB39vRA","politics"
"54","Ha -- look at how an Irish paper is welcoming O'Malley to the country. http://t.co/NJ54ZYy5Gr","politics"
"55","NY: Cuomo gets his lowest fav rating ever in a Siena poll today, but it's still a strong 58%. http://t.co/pO5k6XPPyL","politics"
"56","Curious: On a scale of 1-10, how closely is Team Clinton watching Cory Booker?","politics"
"57","Dana Rohrabacher (R-CA) on immigration: ""Rubio is so mixed up and confused."" http://t.co/UTBHDyqta6","politics"
