"","user","type"
"1","Oakland A's minor leaguer Mike Nolan dies after drive-by shooting: http://t.co/DO10IesIs8","sports"
"2","Accidental onside kick! http://t.co/36K5bbNsxh","sports"
"3","Ex-NHler, current TSN analyst Aaron Ward arrested for domestic assault: http://t.co/87JfA1XPAj","sports"
"4","BAM http://t.co/4Hce3Qy8OP","sports"
"5","Poetry in motion. http://t.co/ryaR9Ur1mw http://t.co/8YjiMUHM9v","sports"
"6","Gilbert Arenas calls Caron Butler a snitch in rebuttal to locker room guns story: http://t.co/FfLpmsanVN","sports"
"7","Mets press conference descends into chair-lowering prank contest: http://t.co/ZRHpWSfaeq","sports"
"8","Greg Hardy made a stripper-heavy rap video while suspended: http://t.co/eWJKa9K8O0","sports"
"9","Stop making Ryan Mallett's grandmothers cry: http://t.co/ZFzF0kNbrE","sports"
"10","It's the best kind of touchdown. http://t.co/Z3kb7y6oli","sports"
"11","Here's how Tom Brady pushes his sketchy body guru on people http://t.co/8xkZPZCKg4","sports"
"12","We went to Great American Beer Festival and drank a beer from every state http://t.co/htjZgOPrvQ","sports"
"13","The struggle is real http://t.co/6m9NNbkspg","sports"
"14","VIDEO: Timofey Mozgov is still really good at local commercials http://t.co/49SbThPM0T","sports"
"15","Police: UCLA punter arrested on suspicion of rape http://t.co/PyDA9oXFEt","sports"
"16","VIDEO: Here's a bear that's got his fuckin' priorities straight http://t.co/jFw3rhWj2I","sports"
"17","Say what, Bob Costas? http://t.co/PrPGdX8HsF","sports"
"18","What the hell is Jerry Jones talking about? http://t.co/pJtNI3Q2HO","sports"
"19","Update: Here's another angle of the fan fight at last night's Texans game. http://t.co/EiKzUPOqLY","sports"
"20","VIDEO: Keegan-Michael Key dresses up as James Franklin, surprises Penn State football team. http://t.co/F5VfHBfTM1 http://t.co/4EeKECCCDe","sports"
"21","Rougned Odor is torturing the Blue Jays http://t.co/PuVeXi75Go","sports"
"22","So, 3-on-3 overtime is pretty fun, huh? http://t.co/MInTwMT7Iy","sports"
"23","Fighting fans at Texans game tumble down stairs: http://t.co/xJO7ZsUhwh http://t.co/zhoCI4kR78","sports"
"24","VIDEO: Jeb Bush says he didn't smoke weed with Bill Belichick in high school. http://t.co/MC3HaVsw5x http://t.co/JxaVRdabXH","sports"
"25","Fox Sports humiliates America with horrible USMNT promo: http://t.co/9gFFWGb6pd http://t.co/Gj3ji7GsKu","sports"
"26","Look! Jadeveon Clowney did something cool! http://t.co/gTOcJuE4IJ","sports"
"27","We ranked Danny Boyle's movies, from 'Steve Jobs' to 'Slumdog Millionaire' to 'Trainspotting' http://t.co/7YIAIymEjg http://t.co/TL8ffCxcKQ","sports"
"28","Thabo Sefolosha has been found not guilty of resisting arrest, disorderly conduct, and obstruction: http://t.co/XLZvvR9giG","sports"
"29","Here's Jack Eichel's first career NHL goal: http://t.co/9Dp1Z5BzUh","sports"
"30","Matt Hasselbeck went from puking and pooping to beating the Texans: http://t.co/W3Ek2rXQZ0","sports"
"31","Let's go buy a fucking TV: http://t.co/dBBr876iXa","sports"
"32","Gilbert Arenas posts rebuttal to Caron Butler's version of locker room guns story: http://t.co/mHGJfJtX0D","sports"
"33","How daily fantasy fucked things up for everyone: http://t.co/2Q4eeCST3M","sports"
"34","Gilbert Arenas posts rebuttal to Caron Butler's version of locker room guns story: http://t.co/JuaUC63Grb","sports"
"35","VIDEO: Jaelen Strong's first career NFL reception is a Hail Mary touchdown http://t.co/HTWhOyu76j","sports"
"36","The tarp was angry that day. http://t.co/yd3gPFNwYR","sports"
"37","High school QB suspended for inappropriately touching center while getting snap: http://t.co/EDjYEY7sFh","sports"
"38","Here come the daily fantasy class action lawsuits: http://t.co/RGQZzl8yLi","sports"
"39","How not to hit on girls in the club http://t.co/mt8f4DjTaS http://t.co/6L9bEoCeLT","sports"
"40","Klopp in: http://t.co/nl87AHyfpT","sports"
"41","Sean Rodriguez has apologized to that poor cooler he beat up: http://t.co/grrC7wZczF","sports"
"42","There have been more than 60,000 DraftKings and FanDuel TV commercials so far this year: http://t.co/9y6y9ewXpM","sports"
"43","Police video shows teen girl graphically accusing Kevin Johnson of sexual abuse: http://t.co/JCC0gBjbql","sports"
"44","Matt Barnes claims he went to estranged wife's house because he was worried about his son: http://t.co/iRn6mlInjO http://t.co/0yGnSQl9D4","sports"
"45","Vancouver Canucks tweet about that time they didn't win the Stanley Cup, infuriate their fans: http://t.co/WyLdscG8AL","sports"
"46","Remembering the Tour de Trump, Donald Trump's failed bike race: http://t.co/olG4zDyj8V","sports"
"47","Let's go buy a fucking TV! Jamboroo: http://t.co/oTEe2SYlpv","sports"
"48","Panel: NYPD officer used excessive force when wrongly arresting James Blake. http://t.co/511ltl813Q","sports"
"49","VIDEO: Manchester City academy kids can't contain themselves after witnessing nutmeg master's skills http://t.co/spT7hbk2OF","sports"
"50","The storm inside Reggie Jackson (via @DeadspinStacks):  http://t.co/kCtpK6bBHj","sports"
"51","How daily fantasy fucked things up for everyone: http://t.co/RQboorwifd","sports"
"52","VIDEO: American Ninja Warrior is a lot better with dinosaur costumes http://t.co/feZHnjpAhk","sports"
"53","The Colts are an absolute mess at quarterback: http://t.co/hEhT81tzeq","sports"
"54","Here are all the teams you can root for in the MLB playoffs: http://t.co/TXlXwfoNnM","sports"
"55","Can I sue my ex for giving me chlamydia on purpose? http://t.co/qqnkea3QVU http://t.co/FJFNgQP6Nm","sports"
"56","And now, a UConn student reviews his school's world-famous jalapeño mac and cheese http://t.co/3SOscJy6vq http://t.co/fsqjZ4DIkV","sports"
"57","The Rangers were annoyed that the Blackhawks' banner ceremony took so long: http://t.co/lBywlM0woH","sports"
"58","VIDEO: Katie Nolan calls out ""garbage human"" Greg Hardy  http://t.co/EzOHNKjSrj","sports"
"59","Corrupt FIFA executives suspended, to be replaced by corrupt FIFA executives: http://t.co/KiU2DSJJ2B","sports"
"60","I hope the Cubs and Pirates hate each other now: http://t.co/exI8yNlMxJ","sports"
"61","A Caucasian's guide to Black churches, from the ushers to the music to the Black Holy Ghost http://t.co/pIMUiTu43A","sports"
"62","Javaris Crittenton pointing a loaded gun at Gilbert Arenas is still the most insane thing in NBA history: http://t.co/Zot9tIqVkl","sports"
"63","The daily fantasy nightmare is here because the NFL made it so: http://t.co/oouOlrzl66 http://t.co/88foE1AHIw","sports"
"64","The Wild Card game is incredibly cruel, usually to the Pirates: http://t.co/hHvmMX85n6","sports"
"65","Matt Barnes terrorizes ex, amusing sportswriters: http://t.co/HifYaLFTPp","sports"
"66","The Wild Card game is incredibly cruel, usually to the Pirates: http://t.co/CX9jbjLCVB http://t.co/cOxHTIsEs7","sports"
"67","Matt Barnes terrorizes ex, amusing sportswriters: http://t.co/od7FoUmOwv","sports"
"68","Sean Rodriguez does to cooler what Cubs are doing to Pirates: http://t.co/UO74SKnUN9","sports"
"69","Thabo Sefolosha testifies he was giving money to homeless man when arrested outside of nightclub: http://t.co/vLxENRfvL9","sports"
"70","VIDEO: Kyle Schwarber crushes two-run homer into the Allegheny http://t.co/a9th2VOhIo","sports"
"71","The daily fantasy nightmare is here because the NFL made it so http://t.co/CVARADe0xm","sports"
