"","user","type"
"1","#FontSunday alert. This week's theme is #sustainability inspired by the talk @johnthackara will be giving on Tuesday http://t.co/UzzNiOyvRy","arts"
"2","This week @johnthackara will be at the museum. WIN a copy of his latest book http://t.co/b92ywsqBIG #sustainability http://t.co/ER0Q8OggRs","arts"
"3","Join the FREE insight tours of the #LifeonFoot exhibition today at 2 and 3pm. Find out more: http://t.co/mYWEq1SXHj http://t.co/b1zVS2mETC","arts"
"4","Follow the live tweets from @CampusLondon at the #HealthTechAwards launch on 14 Oct, 18:30 @HealthTechYou http://t.co/kh1GaiksYt","arts"
"5","WIN a copy of 'How to Thrive in the Next Economy? by #sustainability expert @johnthackara http://t.co/b92ywsqBIG http://t.co/rFEuhRbb5v","arts"
"6","Congratulations to @LauraService, the winner of the @Saxoprint_uk competition and to runner up @monkeybenslater. Thanks to all who entered!","arts"
"7","Joining Deyan Sudjic @CampusLondon for the #HealthTech discussion are @mike_pallett @nickhardiker @tuomisto http://t.co/vfD9QnGVF5","arts"
"8","It's #WorldEggDay. Have an egg-cellent Friday with this Presto egg opener from the Design Museum Collection http://t.co/NN8LjfeasX","arts"
"9","Happy birthday Peter Saville. Discover the story of the graphic designer: #DesignandDesigners http://t.co/Ew27kb9Vt7 http://t.co/I4YarD6s4e","arts"
"10","@elainecresswll @johnthackara @thamesandhudson Or ride your bicycle #CycleRevolution","arts"
"11","'How to Thrive in the Next Economy? WIN a copy of @johnthackara latest book http://t.co/b92ywsqBIG @thamesandhudson http://t.co/XDd3hon0xL","arts"
"12","Extraordinary bicycles and the people who ride them. #CycleRevolution opens soon: http://t.co/VPd1Oo161a http://t.co/dE0Cs4DGe0","arts"
"13","#DesignersinResidence reveals the dynamism of a new generation of designers. Discover more: http://t.co/KxoCeGvV4U http://t.co/PIqovARrZ5","arts"
"14","See this sign by Aubrey Powell and more in 50 Years of British Road Signs, closing soon: http://t.co/zVJ2YkWERh http://t.co/8ct0q3MaMQ","arts"
"15","Celebrate #NationalPoetryDay by writing your own with these Two CP1 Ballpoint pens from the Design Museum Collection http://t.co/pBD5TlCydX","arts"
"16","@owainmartin The #CycleRevolution exhibition opens 18 November. Have a great birthday and come back to see the show! http://t.co/VPd1OoiHpK","arts"
"17","Last chance to vote! Help @designmuseum @fabrique @q42 win @lovieawards. Vote here #Lovie: http://t.co/0zNywjnGyp http://t.co/faYJVT6EUl","arts"
"18","Tickets now on sale for Cycle Culture Tour w/ @artouride @BromptonBicycle  #CycleRevolution http://t.co/zMHoA3nIJS http://t.co/EsLSdSTlap","arts"
"19","Help @designmuseum @fabrique and @q42 win @lovieawards! Voting closes tomorrow #Lovie: http://t.co/0zNywjnGyp http://t.co/l36uegvGhZ","arts"
"20","1 week till the #HealthTech panel discussion @CampusLondon for launch of @HealthTechYou http://t.co/k9v5g3fQ6O http://t.co/FQ3Y2bbvDs","arts"
"21","Love the @designmuseum website by @fabrique/@q42? It has a @lovieawards nomination! #Lovie: http://t.co/0zNywjnGyp http://t.co/kMn2IVsjyi","arts"
"22","Did you spot the #CycleRevolution bicycle in today's @TimeOutLondon ? Exhibition opens 18 NOV http://t.co/VPd1Oo161a http://t.co/u9fHPik5p6","arts"
"23","Read more about Turn On Light, the #DesignsoftheYear 2015 Social Vote winner via @Dezeen: http://t.co/mI2JPXFRb5 http://t.co/nXFGQIIg0s","arts"
"24","The #DesignsoftheYear Social Vote winner is the Turn On Light by @hoffjoel for @wrongforhay http://t.co/iBQwsvNJpJ http://t.co/FJxECsmwR3","arts"
"25",".@Camper's #LifeonFoot exhibition closes soon. Discover more about the maverick Spanish brand http://t.co/xEin23qaJg http://t.co/KNpYrZhpc1","arts"
"26","See the latest @Pinterest board from this week's kitchenware themed #FontSunday http://t.co/A4fVDMnbeB http://t.co/vZYrEEMsdx","arts"
"27","'Practical, imaginative, experiential' Tutor verdict on YourStudio workshop #WorldTeachersDay http://t.co/h8aQIp1Xqo http://t.co/DUCHa6PJut","arts"
"28","Secondary teacher? Join the next CPD on 'The Future of Design in Schools' #WorldTeachersDay http://t.co/EY2ufbsqEu http://t.co/DxMhb86vUB","arts"
"29","Exhibition resources for teachers to help with activity suggestions &amp; more #WorldTeachersDays http://t.co/Fg3flEW5jC http://t.co/c1MKkOiYPl","arts"
"30","Could the charging for #plasticbags make @TheOceanCleanup's job easier? #DesignMatters http://t.co/vAlmWVz9hG http://t.co/kgFzNXuQjb","arts"
"31","Monday blues? Brighten your day with @Design_Mus_Shop's Pinterest board dedicated to blue: http://t.co/uknOia61EH http://t.co/tsUaCVARaz","arts"
"32","David Mellor was born on this day in 1930. His designs include this 1959 bus shelter #DesignandDesigners http://t.co/gLqQpxcdaL","arts"
"33","Thanks to all who have posted and followed this kitchenware themed #FontSunday. See the board on @Pinterest tomorrow http://t.co/q12HrWcrlV","arts"
"34","Thanks for all the fantastic fonts on kitchenware posted so far this #FontSunday. Keep them cooking! http://t.co/dZw7lezD6c","arts"
"35","Today's #FontSunday theme is kitchenware. Post your fonts on cutlery and crockery from 12 noon http://t.co/OQA7OlDC1L","arts"
"36","Happy birthday to Sir Terence Conran founder of @HabitatUK. Find out more #DesignandDesigners http://t.co/lRTMNH0Mlm http://t.co/zdUInmPF9G","arts"
