"","user","type"
"1","See by Chloé Spring 2016 Ready-to-Wear Collection http://t.co/8xXW8KhM0W http://t.co/TfLBi1XH3B","fashion"
"2","Emma Watson looked casually cool while out with a mystery guy: http://t.co/vZYilcELth http://t.co/kpbMIvCVbU","fashion"
"3","The 'Pride and Prejudice and Zombies' Trailer Is Here...and It's Awesome http://t.co/MVs5uZXPiq http://t.co/F92XWLvx1z","fashion"
"4","5 real women confess why they cheated on their husbands: http://t.co/2E4QT4NFrg http://t.co/rsn2wocaIH","fashion"
"5","Moncler Gamme Rouge Spring 2016 Ready-to-Wear Collection http://t.co/TSMylQKrNd http://t.co/hp8r8cafVn","fashion"
"6","You will not BELIEVE who almost played Blair and Serena in 'Gossip Girl': http://t.co/KH7J0k8xs7 http://t.co/PeI7PODdiv","fashion"
"7","There Might Be an R-Rated Version of Instagram Coming Soon http://t.co/GOKFhy44aN http://t.co/uy4T7QQSun","fashion"
"8","The scientific reason you might need to opt out of hookup culture: http://t.co/LxoMgHP4zZ http://t.co/sqDz24havL","fashion"
"9","Vika Gazinskaya Spring 2016 Ready-to-Wear Collection http://t.co/IumsGF9d8s http://t.co/etTEQ2xctO","fashion"
"10","Here are your first photos of a VERY pregnant Bridget Jones: http://t.co/BxRcn7dKM6 http://t.co/RMBkGip0Cw","fashion"
"11","Noooo: Netflix Is Raising Prices http://t.co/FCig2rbY5i http://t.co/LFFjzkqUIl","fashion"
"12","7 Halloween costumes you can pull off with just a trip to the drugstore: http://t.co/AeY404tmRf http://t.co/PRlL4uTSo2","fashion"
"13","Esteban Cortazar Spring 2016 Ready-To-Wear Collection http://t.co/b0e44Kjk62 http://t.co/q762YdUwlf","fashion"
"14","Kendall Jenner looks like a futuristic princess in a very short, shiny skirt &amp; killer booties: http://t.co/IriCaPOJrc http://t.co/XZEQuX4TXd","fashion"
"15",".@NikkiReed_I_Am has a new diet...for your mind: http://t.co/DxoLZ3QCL0 http://t.co/NvLwECAYEz","fashion"
"16","Christian Wijnants Spring 2016 Ready-to-Wear Collection http://t.co/eKEEUVUd7G http://t.co/8UFYzY2CpL","fashion"
"17","Here's a NEW Beyoncé and Drake collab you must immediately listen to: http://t.co/5YISCdE4oe http://t.co/L767h0125K","fashion"
"18","The bottom of Zendaya's dress is actually shocking: http://t.co/r3eYtHOCpv http://t.co/JTzSypjHJe","fashion"
"19","Forget silicone and saline, THIS is the hot new breast implant: http://t.co/iomsgI5XDk http://t.co/sq3OHgAdEO","fashion"
"20","See by Chloé Spring 2016 Ready-to-Wear Collection http://t.co/cABUoflhN6 http://t.co/TnSNFNtKA1","fashion"
"21","""Here's what happened when I lived like @KylieJenner for a week"": http://t.co/MrWFhR1qpI http://t.co/vawyTnqpTZ","fashion"
"22","Moncler Gamme Rouge Spring 2016 Ready-to-Wear Collection http://t.co/KN3m4UIBMp http://t.co/UugZ1zJ7dv","fashion"
"23","Nicki Minaj explains what led to that ""What's good, Miley"" moment at the VMAs: http://t.co/yjwO3pikIi http://t.co/NIWAE8me8F","fashion"
"24","American Apparel has filed for bankruptcy. What does this mean for the company? http://t.co/6U1Wqy1ST5 http://t.co/lJMSiTABOY","fashion"
"25","Vika Gazinskaya Spring 2016 Ready-to-Wear Collection http://t.co/JrBZXo13Fr http://t.co/oJvbC7dMcY","fashion"
"26","5 Instagram accounts that @karliekloss thinks you should follow: http://t.co/BIyCW3x9C4 http://t.co/PRHZ92V7tL","fashion"
"27","Kylie Jenner's secret makeup trick will blow your mind: http://t.co/Ig764tSa0I http://t.co/7NXGivN3Y3","fashion"
"28","You've Been Throwing Out the Healthiest Part of Avocados This Entire Time http://t.co/hwAXll1kHN http://t.co/VDTESVHTeI","fashion"
"29","Rihanna opens up about why she got back together with Chris Brown: http://t.co/aQtVVIzQJb http://t.co/1arM9ZnGt1","fashion"
"30","How to get rid of your double-chin once and for all: http://t.co/hfGwujl8a6 http://t.co/SW4nTlFobB","fashion"
"31","Duck Face Is Over. The New Selfie Face Is Fish Gape http://t.co/y2ibMmd5Gl http://t.co/pTh4ukdspS","fashion"
"32","The horrible, heartbreaking reason @selenagomez had to go to therapy: http://t.co/0QguAj2JLe http://t.co/SYZdTctnF8","fashion"
"33","So THIS is why Instagram won't #FreeTheNipple: http://t.co/s4U8IsjjzD http://t.co/eofvyBmGUq","fashion"
"34","Beyoncé Could Be on the New $10 Bill http://t.co/wf7TIioEI6 http://t.co/8TEEdL8fLr","fashion"
"35","Kim Kardashian just dropped a MAJOR truth bomb about being pregnant: http://t.co/uapCAgzCVa http://t.co/Lzu33bYnwc","fashion"
"36","Emma Watson shuts down reports on her love life: http://t.co/3XskGSbZrD http://t.co/JJc3ZP8L4h","fashion"
"37","Moncler Gamme Rouge Spring 2016 Ready-to-Wear Collection http://t.co/Tk0V3QIOFa http://t.co/i1gEVzOk0B","fashion"
"38",".@MissFameNYC transformed into 4 iconic movie women, and the results are INCREDIBLE: http://t.co/xwbhXV6j4M http://t.co/TKVLycF7q9","fashion"
