"","user","type"
"1","Daniele Bracciali, Potito Starace have lifetime bans for match-fixing lifted http://t.co/AOJvKtyh08","sports"
"2","Novak Djokovic, Rafael Nadal to renew rivalry in China Open final http://t.co/OdJW3yLAFa","sports"
"3","Djokovic playing Ferrer for a spot in the Beijing final. Watch live on @ESPN3: http://t.co/6VJDTr5gWV","sports"
"4","Rafael Nadal beats Fabio Fognini to reach final of China Open http://t.co/lPgunhpAAV","sports"
"5","Japan Open -  Stan Wawrinka, Benoit Paire to meet in final http://t.co/T4KOpLvB9J","sports"
"6","Tennis - Fabio Fognini an excellent barometer of state of Rafael Nadal's game http://t.co/W5dW3JdvzD","sports"
"7","In three matches to reach the Beijing semifinals, Djokovic has lost just nine games and spent a total of 2:58 on court.","sports"
"8","Rafael Nadal outlasts Jack Sock to reach China Open semifinals http://t.co/LpXaIZlDjQ","sports"
"9","Japan Open - Stan Wawrinka dominates Austin Krajicek to reach Japan Open semifinals http://t.co/AXoso6q9MX","sports"
"10","Japan Open - Marin Cilic reaches quarterfinals http://t.co/3UaSJvMN5l","sports"
"11","Novak Djokovic ties Jimmy Connors mark with China Open win http://t.co/N9iyjONBAJ","sports"
"12","Ivo Karlovic breaks Goran Ivanisevic's ATP ace record, loses to Pablo Cuevas at the China Open in Beijing http://t.co/qBd5tM71p3","sports"
"13","The King of Aces. 
Karlovic sets ATP career ace record - up to 10,247, passing previous mark set by Ivanisevic.  https://t.co/1S5ynMSNbP","sports"
"14","Beijing is live on @ESPN3: 
Isner vs Millman in third set: http://t.co/KPkQpL9zGr
Ivanovic vs Kuznetsova in second: http://t.co/ay3zfPDWnS","sports"
"15","James Blake says New York police watchdog substantiates force complaint http://t.co/aBVogXEWrg","sports"
"16","Serena Williams Stumbled Upon A Gold Medal While Doing Some House Cleaning http://t.co/sl1cyoaDvM","sports"
"17","Tennis - Venus stepping up for Williams family http://t.co/1w1jhTSe5p","sports"
"18","Kei Nishikori beats Sam Querrey to advance at Japan Open http://t.co/2Tq3m4KJdN","sports"
"19","Heather Watson And Monica Puig Want To Spice Up Your Life Through Dance http://t.co/FbiX4ROsWq","sports"
"20","Rafael Nadal beats Vasek Pospisil to reach China Open quarterfinals http://t.co/ks06lNg4IA","sports"
"21","Rafa Nadal is taking on Vasek Pospisil for a spot in the Beijing quarterfinals. Watch live now on @ESPN3: http://t.co/EysAQAg4rv","sports"
"22","Johanna Konta backed to reach world's top 20 by Anne Keothavong http://t.co/uLRd6EfQOU","sports"
"23","Serena Williams stands to lose up to $3 million from WTA withdrawal http://t.co/HC0iBYBSeA","sports"
"24","Novak Djokovic improves to 25-0 at China Open with first-round win http://t.co/FBmolvIHyS","sports"
"25","Venus Williams vs Ana Ivanovic now in Beijing. Watch live on @ESPN3: http://t.co/12Le1PMwK1","sports"
"26","Stan Wawrinka beats Radek Stepanek in straight sets at Japan Open http://t.co/HiMSpNQKwZ","sports"
"27","Stan Wawrinka beats Radek Stepanek in straight sets at Japan Open http://t.co/jXiXgpDMG3","sports"
"28","New WTA Boss Steve Simon On Serena, Fallen Stars And His Vision For The Game http://t.co/7EFEGb5elh","sports"
"29","Aljaz Bedene loses to Lukas Rosol in first round of China Open http://t.co/vb6Uy4mWuh","sports"
"30","Maria Sharapova Wants You To Know She Attended Stella McCartney's Show http://t.co/Qj1ktVlMwd","sports"
"31","Steve Simon to take over as WTA's new CEO, replacing Stacey Allaster http://t.co/jTRJJE0Zbe","sports"
"32","Tennis - Venus Williams, David Ferrer gaining traction http://t.co/dUV1Z3TfmH","sports"
"33","Kei Nishikori rallies to foil Barna Coric in Japan Open http://t.co/PqsiOixdUo","sports"
"34","Tennis - WTA's Roadmap might need overhaul once again http://t.co/LfkqtpdURx","sports"
"35","Eugenie Bouchard exits match at China Open with dizziness http://t.co/HciD6eHKyp","sports"
"36","In first match since US Open, Bouchard retires in second set due to dizziness vs. Petkovic in Beijing. (Via @WTA) https://t.co/FYLPKKqRt7","sports"
"37","Tomas Berdych wins first ATP title of season at Shenzhen Open http://t.co/OG6rxXlWCp","sports"
"38","Tomas Berdych, Guillermo Garcia-Lopez reach Shenzhen Open final http://t.co/eEgICzUy8F","sports"
"39","Flavia Pennetta struggles in 1st match since US Open victory http://t.co/ZxrQYhX55h","sports"
"40","David Ferrer wins Malaysian Open final in straight sets http://t.co/cIPPUsMlpw","sports"
"41","Ana Ivanovic beats Casey Dellacqua to reach 2nd round at China Open http://t.co/rUAGK6qiKn","sports"
"42","Rain washes out Shenzhen Open semifinals http://t.co/rVRKyju6rc","sports"
"43","Feliciano Lopez beats Nick Kyrgios in Malaysian Open semifinals http://t.co/bBjTL2GWZ8","sports"
"44","Newcomer Nao Hibino beats Donna Vekic to win Tashkent Open http://t.co/dwOKWfHKsi","sports"
"45","Venus Williams wins Wuhan Open after Garbine Muguruza retires in 2nd set http://t.co/gjGxgQyY3P","sports"
"46","'Wimbledon, 'Match Point' among our can't-miss tennis movies http://t.co/8yTXWSEp7P","sports"
"47","Testy Roberta Vinci Serves Up Hilarious One-Liner To Pokey Venus Williams http://t.co/XNpFnGhFD2","sports"
"48","Novak Djokovic, Rafael Nadal mix tennis, politics on Thailand trip http://t.co/reXkZ7uKKC","sports"
"49","Nick Kyrgios wins tiebreakers to reach Malaysian Open quarterfinals http://t.co/JC3i7pVuP2","sports"
"50","Venus Williams beats Roberta Vinci to reach final of Wuhan Open http://t.co/jvU4iBstYa","sports"
"51","Happy Birthday Darren!  https://t.co/d0czBnFPjU","sports"
"52","Venus Williams downed Roberta Vinci 5-7 6-2 7-6(4) to reach the final in Wuhan. http://t.co/guUxdONryo","sports"
"53","Donna Vekic beats Evgenia Rodina, will play Nao Hibino in Tashkent Open final http://t.co/Zw3HV2zvVt","sports"
"54","Will Serena Williams' Heart Heal After Excruciating US Open Loss? https://t.co/ZUslvvDmSe","sports"
"55","Tennis - For now, expect Serena to respond with aplomb https://t.co/jUYDF0Aied","sports"
"56","Shriver &amp; Gilbert: What does the future of Serena look like? https://t.co/7VgsjOXv8U","sports"
"57","Numbers Capture Emotions Of Serena Williams' 2015 Season http://t.co/iVmnxibF9G","sports"
"58","Tennis - Serena's absence could endanger legacy http://t.co/LuBX0JbSWi","sports"
"59","Serena Williams' 9 Key Moments From 2015 http://t.co/VzrWbDGNnY","sports"
"60","Serena Williams' Latest Opponent? Amy Schumer And Her Tennis #TBT Post http://t.co/ywA8PQWzSl","sports"
"61","Venus Williams, Roberta Vinci reach Wuhan Open semifinals http://t.co/kDObDnobnc","sports"
"62","Bojana Jovanovski upsets top-seeded Annika Beck at Tashkent Open http://t.co/oMxrxpK3Ny","sports"
"63","Vasek Pospisil beats Marcos Baghdatis, reaches Malaysian Open quarterfinals http://t.co/aaPVZsEdln","sports"
"64","Her Season May Be Over, But Serena Still Wins #TBT With Venus http://t.co/UP8nDXxOBe","sports"
"65","Johanna Konta's run ended by Venus Williams at Wuhan Open http://t.co/Yc8LkRulvZ","sports"
"66","Venus outlasts Konta in three sets to reach the Wuhan semifinals. Next on @ESPN3, Kerber vs Vandeweghe. Watch: http://t.co/e8rgF5iX2r","sports"
"67","Venus Williams and Jo Konta into a third set in the Wuhan quarterfinals. Watch live on @ESPN3: http://t.co/e8rgF5iX2r","sports"
"68","Serena will not play again in 2015. ""It's no secret I've played injured most of the year."" http://t.co/abwXXdLjas http://t.co/BnPlLQVjqt","sports"
"69","Roberta Vinci beats Karolina Pliskova to reach Wuhan Open semifinals http://t.co/MUUEKWhLf5","sports"
"70","Sabine Lisicki to sit out rest of season with knee injury http://t.co/og3RkXFjjY","sports"
"71","Jo-Wilfried Tsonga defeats countryman Gilles Simon for record 3rd Open de Moselle title http://t.co/Il2rn6DcVp","sports"
"72","Raonic holds off Sousa for St. Petersburg title http://t.co/PVofhhOVzW","sports"
"73","Britain's Johanna Konta wins in the second round of the Wuhan Open against Andrea Petkovic http://t.co/iPiTwiy3Ww","sports"
"74","Irina-Camelia Begu defeats Aliaksandra Sasnovich to clinch Korea Open title http://t.co/17VbFR9EzP","sports"
"75","Mirjana Lucic-Baroni ousts Samantha Stosur in 1st round at Wuhan Open http://t.co/k4252qBwlg","sports"
"76","Agnieszka Radwanska defeats Belinda Bencic for Pan-Pacific Open title http://t.co/kLrpZpGdmi","sports"
"77","Former champions Gilles Simon and Jo-Wilfried Tsonga in Open de Moselle final http://t.co/bMzruMSQwj","sports"
"78","Milos Raonic to play Joao Sousa in St. Petersburg Open final http://t.co/CnnzMlkc33","sports"
"79","Jelena Jankovic wins Guangzhou International title over Denisa Allertova http://t.co/d02rxm3xJW","sports"
"80","Aliaksandra Sasnovich continues Korean Open run with semifinal win over Anna Karolina Schmiedlova http://t.co/ztMu6jit4k","sports"
"81","Belinda Bencic upsets Caroline Wozniacki to reach Pan-Pacific Open final http://t.co/fbEoiaHCCE","sports"
"82","David Haggerty elected to head world tennis body http://t.co/NHsIHas2ye","sports"
"83","Think Maria Sharapova Is Excited To Return To The Tennis Court? http://t.co/M38NV4IdHu","sports"
"84","Tennis - Where does Serena Williams go from here? http://t.co/3RBZv5xzu0","sports"
"85","Davis Cup moves to fifth-set tiebreaker in 2016 http://t.co/5RoReDuaWC","sports"
"86","Dominika Cibulkova upsets Ana Ivanovic to reach semifinals at Toray Pan-Pacific Open http://t.co/e81RFFraIl","sports"
"87","Top-seeded Stan Wawrinka withdraws from Open de Moselle with ankle injury http://t.co/aS6lwzye99","sports"
"88","Jelena Jankovic advances to Guangzhou International final http://t.co/pktsOQVjPA","sports"
"89","Caroline Wozniacki sets up semifinal vs. Belinda Bencic at Toray Pan-Pacific Open http://t.co/73Fb6jcJ2d","sports"
"90","Qualifier Aliaksandra  Sasnovich upsets Sloane Stephens in Korea Open http://t.co/3XJ5en7IIv","sports"
"91","Ever Wondered How Tennis Star Ana Ivanovic Pulls Off Her Perfect Ponytail? http://t.co/YQU8yLiTBK","sports"
"92","Milos Raonic blasts past Evgeny Donskoy at St. Petersburg Open http://t.co/ErEd4pcMIn","sports"
"93","Martin Klizan advances to quarterfinals at Open de Moselle http://t.co/Ipfbxk3n4Q","sports"
"94","By The Numbers: Stacey Allaster's Success At The WTA http://t.co/GnRgD0JXhI","sports"
"95","Dominika Cibulkova beats Carla Suarez Navarro to reach quarters at Pan-Pacific Open http://t.co/8YbjfxSNHY","sports"
"96","Davis Cup: 2015 finalists Britain, Belgium get home draws in 2016 http://t.co/etf2IYVmUQ","sports"
"97","How Stacey Allaster Brought Unprecedented Growth To Women's Tennis http://t.co/jkgU4xH1Ni","sports"
"98","Dominic Thiem reaches quarterfinals at St. Petersburg Open http://t.co/K8QYBVpgW7","sports"
"99","Gilles Muller ousts Fernando Verdasco, reaches Open de Moselle quarterfinals http://t.co/LNSwdq8KRR","sports"
"100","Caroline Wozniacki beats Ana Konjuh to reach Pan Pacific Open quarterfinals http://t.co/iiNe2Uku34","sports"
"101","Anna Schmiedlova outlasts Christina McHale to reach Korea Open quarters http://t.co/7SuCXIvWqB","sports"
"102","Davis Cup final - Britain vs. Belgium will be on Ghent clay leaving Andy Murray with questions http://t.co/zq7AKHco32","sports"
"103","Tommy Robredo beats Mikhail Youzhny at St. Petersburg Open http://t.co/B2qNk7LXFp","sports"
"104","Tennis - The Andy Murray problem http://t.co/kiZ91qGnmV","sports"
"105","Martin Klizan advances to second round at Open de Moselle http://t.co/sG3GpECa3X","sports"
"106","James Blake to join Billie Jean King, Elton John in Vegas http://t.co/WeLCgu9nXw","sports"
"107","Roger Federer fan reportedly wakes from 11-year coma to watch idol reach US Open final http://t.co/xXcN9t18Bs","sports"
"108","Simona Halep advances at Guangzhou Open; Andrea Petkovic ousted in 2nd round http://t.co/ie18XxhnKJ","sports"
"109","Stacey Allaster announces resignation as WTA CEO http://t.co/vqBZfY5Kb0","sports"
"110","Simona Halep advances at Guangzhou Open; Andrea Petkovic ousted in 2nd round http://t.co/4MnjanLGyx","sports"
"111","ATP expects Murray at World Tour Finals before Davis Cup http://t.co/Sh8uZ15mm4","sports"
"112","Caroline Wozniacki Went For A Jog In Tokyo And Ended Up At Statue Of Liberty http://t.co/QfbjvFX8z0","sports"
"113","Korea Open -- Aliaksandra Sasnovich upsets sixth-seeded Alexandra Dulgheru http://t.co/qlYBfbIObm","sports"
"114","Tokyo Pan Pacific Open -- Angelique Kerber reaches 2nd round http://t.co/xMEEivisOp","sports"
"115","Roger Federer fan wakes from 11-year coma to watch idol reach U.S. Open final http://t.co/yiWgF65Lhk","sports"
"116","Andy Murray warned not to miss ATP World Tour Finals despite Davis Cup demands http://t.co/ZB7OOVZT3z","sports"
"117","Gilles Muller reaches 2nd round at Open de Moselle http://t.co/BEKZYdkeR9","sports"
"118","Eugenie Bouchard Makes Return To Social Media After Suffering Concussion http://t.co/Z2jRiOCR0U","sports"
"119","Andreas Haider-Maurer into 2nd round at St. Petersburg Open http://t.co/j3elcJuZ33","sports"
"120","Bodo: Andy Murray, Glasgow and a World Cup atmosphere http://t.co/XQcrvEhUqk","sports"
"121","Yannick Noah appointed as new Davis Cup captain for France http://t.co/AYa0AEnpDE","sports"
"122","Agnieszka Radwanska advances to 2nd round of Pan Pacific Open http://t.co/1oV9nZLPvd","sports"
"123","Anna Schmiedlova, Alison Van Uytvanck rally for 1st round victories at Korea Open http://t.co/mz3xBKk39X","sports"
"124","Andy Murray might skip ATP World Tour Finals for sake of Great Britain's Davis Cup chances in Belgium http://t.co/Ys09wpYR1J","sports"
"125","US Open - Roger Federer failed to capitalize on key points http://t.co/7XwPh6rKMU","sports"
"126","US Open - How the Twitterverse reacted to men's final between Novak Djokovic and Roger Federer http://t.co/6TxbBLXnMy","sports"
"127","2015 US Open -- Novak Djokovic tops Roger Federer, wins title http://t.co/A7VUj4vrnf","sports"
"128","The World No.1 takes home three of the four Major crowns in 2015. #USOpen #ESPNTennis http://t.co/cdPraxKYpA","sports"
"129","Your 2015 #USOpen Men's Champion, @DjokerNole! #ESPNTennis http://t.co/oZIytxf98W","sports"
"130","""It's always tough against one another. I think we walk away knowing more about our games and more about ourselves."" http://t.co/Quc8zlW8k9","sports"
"131","CHAMPION
@DjokerNole claims his 2nd #USOpen title, 10th Major crown. Defeats Federer 64 57 64 64. #ESPNTennis http://t.co/RaBfLEffVT","sports"
"132","Federer holds for 4-5. Djokovic to try and serve for the match for a 2nd time. #USOpen #ESPNTennis http://t.co/Giwj7Efv3r","sports"
"133","He's still in it! Five-time champ Federer breaks to stay in this 4th set 3-5. #USOpen #ESPNTennis","sports"
"134","Federer gets broken for a 6th time this match to fall behind 2-5 in the 4th set. #USOpen #ESPNTennis http://t.co/BWD274DsnO","sports"
"135","U.S. Open Men's final has first female chair umpire http://t.co/3NE4ZgFoGy","sports"
"136","Chair Umpire Eva Asderaki-Moore en fuego í ½í´¥ #USOpen #ESPNTennis","sports"
"137","These guys are feeling the love in NYC. Djokovic and Federer have both won 30 games at love thus far this tourney. #USOpen #ESPNTennis","sports"
"138","Federer has had 12 career comebacks from 2 sets to 1 down. 9 of them from 2 sets to 0 down, but he has never done it in a Major final.","sports"
"139","World No.1 opens up the 4th set with a break. He leads Federer 6-4 5-7 6-4 1-0. #USOpen #ESPNTennis http://t.co/GWITEH7Nka","sports"
"140","Ajde Nole!
Djokovic serves out the 3rd 6-4. He's within a set of his 10th Major title. #USOpen #ESPNTennis http://t.co/vYcVXWpWsL","sports"
"141","Djokovic gesturing to his box that he's mentally here to stay. World No.1 breaks for 5-4. He'll serve for the 3rd set. #USOpen #ESPNTennis","sports"
