"","user","type"
"1","@anushka0110 @diganthmanchale @karanvgrover22 #WeddingPullav #Cid","movies"
"2","Don't miss how the cast of #WeddingPullav helped the CID team solve a crucial case! Tune into CID tomorrow at 10 pm! http://t.co/rDFDHOLgAM","movies"
"3",".@anushka0110 @diganthmanchale  &amp; @karanvgrover22 visit #Indore #WeddingPullav  
Movie releases on 16th October! :) http://t.co/AjHMKQpADH","movies"
"4","Bollywood's two amazing actors @shahidkapoor  and @aliaa08  launched their film Shaandaar's latest song! 

http://t.co/TVyXrXCnNE","movies"
"5","Let's see if you can guess the actor in this image :D 

#GuessWho 
#hint 
http://t.co/ybYBIZ3nTI http://t.co/822DYxUfU0","movies"
"6","Best time to revisit some of the most popular songs of all time diva! #Rekha  :) 
Playlist:
http://t.co/7Ho7p1aE6A http://t.co/SpKjlYvuki","movies"
"7","@anushka0110 
@diganthmanchale 
#WeddingPullav 
#TheWeekThatWasn't 
Also tomorrow at 10.30 am and 8pm, only on CNN - IBN :)","movies"
"8","Today at 10pm! 
Cast of #WeddingPullav on #TheWeekThatWasn't , with the incredible #cyrus &amp; #Kunal :)
@anushka0110 http://t.co/nHtNwpIZIa","movies"
"9","Parents and Moral Police Be Like :D 

#vine 
https://t.co/imOC1TqHme","movies"
"10","Let's celebrate #Rekha's birthday with a special playlist of her iconic songs! :) 

http://t.co/7Ho7p1aE6A http://t.co/D3iOiGhaFu","movies"
"11","#Bollywood's legendary and evergreen actress #Rekha turns 61 today! We wish her a very #HappyBirthday :) http://t.co/V2Cz7KtnWe","movies"
"12","Watch #ChakravartinAshokaSamrat a serial based on the life of India's greatest king - Ashoka! Only on @ErosNow 
 
http://t.co/t1KJbRBQBZ","movies"
"13","British Child actor #AbigailEames to play @ajaydevgn's daughter in #Shivaay http://t.co/WZZ9Xbrlvx","movies"
"14","Eros International acquires Punjabi film #MukhtiarChadha! 
Worldwide release on 27th November 2015
@diljitdosanjh http://t.co/JpE2E5A3y8","movies"
"15","We know you hate ads! But what if the seller and the product are a match made in heaven?

http://t.co/t6ce6rZl8W http://t.co/YFNC67xV51","movies"
"16","Watch latest episodes of the show #TaarakMehtaKaOoltahChashmah on the go, exclusively on @ErosNow
Episode:
http://t.co/lP6LLBY3cS","movies"
"17",".@SrBachchan  marked his 1st engagement as Maharashtra's tiger ambassador at Sanjay Gandhi National Park in Mumbai! 
http://t.co/URKq4d8DkF","movies"
"18","Let's see if you can spot the 5 differences in this image! :) 

Enjoy #OmShantiOm movie - http://t.co/zvNmxVpRvk http://t.co/DLB1qm3Zn1","movies"
"19","Enjoy 11 Most In-Your-Face product placements that happened in #Bollywood

Eros Now Blog: 
http://t.co/P7mScCtnz3 http://t.co/JWXQjKADeG","movies"
"20","Exclusive: First dialogue promo from the movie: #WeddingPullav 

http://t.co/YIwpT0erBW

@anushka0110 @karanvgrover22 
@diganthmanchale","movies"
"21","Exclusive: New song ""Rutt Pyaar Di""  from the upcoming movie #QissaPanjab is here: 

http://t.co/zxZJNWtBi5 http://t.co/Yx4l8GaNhW","movies"
"22","Consider SRK and Salman Khan my co-actors, not stars, says @Nawazuddin_S  :) 
Know the full story here: 
http://t.co/QwsculyMVN","movies"
"23","Bollywood's reactions to #tinder profiles :D 

Eros Now Blog: 
http://t.co/t43htOTzUt http://t.co/UcDINhiJaC","movies"
"24","Here's how you can cheer up your mood! 
#ComedyNightsWithKapil http://t.co/07ccVGXaps
Note: Only available in India http://t.co/8vhcNqKDEU","movies"
"25","6th Jagran Film Festival felicitates Lifetime Achievement award to #ShashiKapoor! :) 

Watch the video here: 
http://t.co/qJyxviUuCj","movies"
"26","Can you guess the two actors whose facial features have been combined in this image? :D 

#GuessWho http://t.co/Qz0OwVvTkC","movies"
"27",".@BeingSalmanKhan and @sonamakapoor launched the trailer of their film Prem Ratan Dhan Payo at an event in Mumbai! 

http://t.co/cTiWvAAvwp","movies"
"28","TODAY IS LAST CHANCE WATCH #BajrangiBhaijaan on the big screen at Cineworld Feltham &amp; Cineworld Ilford! @cineworld 
 http://t.co/VFOKD0icwf","movies"
"29","EXCLUSIVE: Enjoy 2nd official trailer of the upcoming Malayalam Film #Pathemari! 

http://t.co/HKLlBfgErp
@mammukka http://t.co/aJ3xNeCizL","movies"
"30","@radhika_apte @vikirajani #Phobia","movies"
"31","Exciting news is here! 
Eros International &amp; NextGen Films to co-produce psychological thriller ""PHOBIA"" http://t.co/A6mQ5r20dK","movies"
"32","Best wishes to @VinodKhanna on his 69th birthday! :) 
#HappyBirthday 
Enjoy his best films: 
http://t.co/fAWwdST4HQ http://t.co/sUqWGaf9d1","movies"
"33","Let's see how many can spot the difference in this image! :) 
 #3yearsofEnglishVinglish http://t.co/sW3lDDYn4U","movies"
"34","EXCLUSIVE: Enjoy the new melodious song ""Dil Kafiraa"" from the upcoming film #Shareek
#MahiGill
http://t.co/eoL9J5kIkl
@jimmysheirgill","movies"
"35","#SinghIsBling overseas collection for 3 days, first weekend is US$ 2.5mn (Rs 16.5 Crores)","movies"
"36","Five humorous takes on our favourite film that’ll make you go ROTFL!
#EnglishVinglish
http://t.co/kI3ITPOytO http://t.co/zObym8P9TW","movies"
"37","Book your tickets now http://t.co/VFOKD0zNUP @cineworld 
#BajrangiBhaijaan","movies"
"38","Cineworld Feltham and Cineworld Ilford offering last chance to see #BajrangiBhaijaan on Tuesday 6th October! 
@cineworld","movies"
"39","@anushka0110 @diganthmanchale @karanvgrover22 #WeddingPullav 
#Druncles #EXCLUSIVE","movies"
"40",".@satishkaushik2 introduces us to 4 types of dances that are performed by “Druncles” at the weddings! :D
#EXCLUSIVE
http://t.co/pTOp6QkRvH","movies"
"41","EXCLUSIVE: Watch the video song ""Jinde Meriye"" sung by #NooranSisters from the upcoming movie #QuissaPanjab! 

http://t.co/iczivS4LP5","movies"
"42","Watch the full film on Eros Now: http://t.co/AFinwJp7Dv","movies"
"43","3 years ago, on this very day @SrideviBKapoor  made a smashing comeback in #EnglishVinglish  :) http://t.co/Qt0ZDLMyqZ","movies"
"44","@anushka0110 @karanvgrover22 @diganthmanchale 
#TaarakMehtaKaOoltahChashmah  #SabTV","movies"
"45","Just 30 mins to go for the cast of Wedding Pullav to appear on #TaarakMehtaKaOoltahChashmah on #SabTV http://t.co/aVhCqY7cdR","movies"
"46","@karanvgrover22 @diganthmanchale 
#WeddingPullav #ComedyClasses","movies"
"47","The #WeddingPullav cast on the sets of #ComedyClasses 
A laughter filled episode! :D 
@anushka0110 
@apshaha http://t.co/wCDj92Nunj","movies"
"48","We love our spices in our food and in our films :) 
Eros Now blog:
http://t.co/yWR7xxVWRQ http://t.co/ZjgBIaTtD5","movies"
"49","Gear Up! Wedding Pullav team visits  tomorrow to #Chandigarh ! :) 

@anushka0110 
@diganthmanchale 
@karanvgrover22 http://t.co/Hxz8M93gdk","movies"
"50","When the food love is pure! :P 

Click here to watch #Housefull2: http://t.co/rAkIckBKiN http://t.co/fPEd0cmDAQ","movies"
"51","We wish @sakpataudi  a very happy birthday! :)

Let's celebrate with her best movies here: http://t.co/A0KzeDUf3E http://t.co/4uMmZVX7wi","movies"
"52","#SinghIsBling  Overseas movie collection  - Gross first day (Thu+Fri) US$ 1mn (Rs 6.5Crs)","movies"
"53","Exclusive: Here's the new dialogue promo from the movie #QissaPanjab 

http://t.co/Y3UeD0KBoB","movies"
"54","Let's see if you guess the character in this image! 

#GuessWho 

Click here for hints:  http://t.co/31RgiTVgLP http://t.co/tPN1CtThE6","movies"
"55","#WeddingPullav team had lot of fun meeting CID team :)
@dayanandcid @anushka0110 @karanvgrover22 @diganthmanchale http://t.co/Ii8cqF8oaU","movies"
"56","Meet #AliaBhatt's biggest-est fan! :D

Eros Now Blog: 
http://t.co/yCTkrPboFG http://t.co/IjO15tviXX","movies"
"57","Congratulations  :) @BajpayeeManoj @RajkummarRao @mehtahansal 
 #JioMAMI #OpeningFilm #Aligarh","movies"
"58","Eros International’s &amp; @mehtahansal film #Aligarh, has been selected as the opening film at #JioMAMI @Mumbaifilmfest http://t.co/tbYna6qgbq","movies"
"59","Our playlist of the best club hits is something you can surely enjoy during the weekend! :) 

http://t.co/eXj1sb0b1W http://t.co/qhNwZL3A3F","movies"
"60",".@FarOutAkhtar  is all set to host a reality show. 
Check out what made him say ""I CAN DO IT!"" ;) 

#ErosNowEBuzz

http://t.co/BjUfSGjdoj","movies"
