"","user","type"
"1","Advance polls are open! Read up on the issues important to young women in our leaders Q&amp;A &gt;&gt;&gt; http://t.co/IryTWNT7k8 http://t.co/fY20DyhuJa","fashion"
"2",".@MindyKaling slayed in a b&amp;w shift at her LA book signing. See all our #bestdressed here &gt;&gt;&gt; http://t.co/itMpd57aBK http://t.co/wNjLEGlyAb","fashion"
"3",".@panmovie's @AmandaSeyfried on her new @Givenchy fragrance &amp; embracing life experiences &gt;&gt;&gt; http://t.co/0a4I12YiQK http://t.co/u5oLyOUAK5","fashion"
"4",".@brionycwsmith chats up @Middleditch: “I’m definitely not a virgin, sweetheart”  http://t.co/bK85OxHkDb #FinalGirls http://t.co/s71vnMwj1W","fashion"
"5","Hear about the @Balmain x @HM collection straight from @ORousteing himself &gt;&gt;&gt; http://t.co/PazPbaxNyz http://t.co/mLVqdxCMMb","fashion"
"6","Localist @carajourdan highlights the best of @VanFashionWeek like @ElizaFaulkner2 &gt;&gt;&gt; http://t.co/MQYhU8vokg http://t.co/CecGbZD8NZ","fashion"
"7","Attention fine-haired friends! We tested &amp; reviewed ALL the new volumizers on the market &gt;&gt;&gt; http://t.co/zw5piOyPWy http://t.co/b70bm8ZKMA","fashion"
"8","Don't let SS16's bomber jacket trend give you FOMO! Here's 15 you can buy now @kitandace &gt;&gt;&gt; http://t.co/84vC7Kp2zU http://t.co/EpjZ1jPgbJ","fashion"
"9",".@FLAREfashion vs @Sportsnet Showdown Pt. 2, in which editors go head to head, quiz style! http://t.co/LQmMfDf8Zj http://t.co/Z7Kj0OJ8AS","fashion"
"10","How do editors celebrate the end of #fashionmonth? Find out in @cp_williamson's PFW diary &gt;&gt;&gt; http://t.co/g0OrWm6IXP http://t.co/oRou8o0gVN","fashion"
"11","HBD @bellahadid! Here are 7 things you never knew about Gigi's lil' sis &gt;&gt;&gt;  http://t.co/a5fiO2xUCK http://t.co/IWuOwLQolq","fashion"
"12","Congrats to November cover star @SelenaGomez on her amazing new album #REVIVAL! Get it now &gt;&gt; http://t.co/PEd4ofjv5q http://t.co/cwuVZYkOQq","fashion"
"13","Facebook squashes the Dislike button but we  stand by the 10 things we’d dislike if we could!  http://t.co/dmZvEUOAJ0 http://t.co/zN4T9t8NNl","fashion"
"14","LIVE on #Periscope: Live with @kirstinestewart talking career &amp; leadership #OurTurn https://t.co/8IvCzWnT1f","fashion"
"15","Don't forget! We're chatting work &amp; leadership LIVE with @KirstineStewart 7:30pmET tonight on @periscopetv #OurTurn http://t.co/EFLPZZ9Vld","fashion"
"16","The look for Spring '16 at @whbm is #boss. Our market editor @trucnguyen's pick? This slouchy white trench coat. http://t.co/wvO1qPPEOP","fashion"
"17","We can't decide what we love more: @MirandaKerr's killer jacket or boots #bestdressed &gt;&gt;&gt;  http://t.co/x8w8GMr6iu http://t.co/DixfIIEGht","fashion"
"18","Stay on top of the hottest happenings in #the6 with Localist @GracieCarroll's weekly picks &gt;&gt;&gt;http://t.co/WDOvbP16BZ http://t.co/JhZSg6h8nh","fashion"
"19","S2 now on @shomicanada! @CWiZombie star @imrosemciver on zombie challenges &amp; fun on set &gt;&gt;&gt; http://t.co/X7olWbcZ8w http://t.co/QxaodGHSSV","fashion"
"20","6 things to know about #breastcancer in yours 20s from @MountSinaiNYC's Dr. Elisa Port &gt;&gt;&gt; http://t.co/6PDd0FmvKx http://t.co/AjagM6fB4D","fashion"
"21","We got the lowdown from @ORousteing himself on the soon-to-launch @Balmain x @Hm collabo &gt;&gt;&gt; http://t.co/9AAh6bGpNW http://t.co/1R7xPYna1O","fashion"
"22","How to wear a bold pencil skirt all week: On Thursday, dress it down with a cardi &amp; flats &gt;&gt;&gt; http://t.co/yKOBBMy7mE http://t.co/1A22AL6BKr","fashion"
"23","@Maggie_Lasalle Thx for the tweet. We spotted &amp; regret the error. It'll be corrected online &amp; we'll publish a correction in the next issue.","fashion"
"24","Bomber jackets were allll over the Spring '16 runways, but here are 15 you can buy now &gt;&gt;&gt;  http://t.co/GbCizj3TOv http://t.co/Mf2MWCBPyq","fashion"
"25","Canadian picks to pair with your @BlueJays jersey! Hat, @peacecollectiv3 &gt;&gt;&gt; http://t.co/iytnmuQosY #ComeTogether http://t.co/UoPgFFNoum","fashion"
"26","Undecided on #elxn42? We asked party leaders to weigh in on issues that matter to women &gt;&gt;&gt; http://t.co/P20xuOF9Aj http://t.co/a0FdUNZRPM","fashion"
"27","#CareyMulligan is back in the spotlight and slaying it in @Chanel #bestdressed &gt;&gt;&gt; http://t.co/c3EaFItLBw http://t.co/YO6nWdxQ6E","fashion"
"28","Tweet your questions for Twitter veep @KirstineStewart before our live @periscopetv chat tomorrow at 7:30! http://t.co/DPu8b9R1up","fashion"
"29","Wang is out, Gvasalia is in. @nancywon asks: Is @Balenciaga playing the field? &gt;&gt;&gt; http://t.co/4Uz7CIrJJm http://t.co/gEL8Oyn3RK","fashion"
"30",".@pmharper @JustinTrudeau @ThomasMulcair @ElizabethMay on issues women care about &gt;&gt;&gt; http://t.co/jTs9tl5frx #elxn42 http://t.co/raJD6mFFlw","fashion"
"31","More than 200 pics of Paris street style to inspire every one of your fall #outfitgoals &gt;&gt;&gt; http://t.co/cC4IiYjlzA http://t.co/cuNCo4AAbR","fashion"
"32","How do you stay chic &amp; warm in #Calgary? Our Localist-at-Large @ania_boniecka knows!  &gt;&gt;&gt;  http://t.co/6CwNvFwpU5 http://t.co/huOe79YDEj","fashion"
"33","What to pair with that super cute but tricky-to-wear bright pencil skirt you just bought &gt;&gt;&gt; http://t.co/bN9DOsgZ20 http://t.co/wXObxGXhCh","fashion"
"34","What IS an angel investor and how do you become one? @katherinehague has answers &gt;&gt;&gt; http://t.co/4sZDkkpZ2s http://t.co/4CLlhWseBt","fashion"
"35","Navy, burgundy &amp; russet! 15 ways to add fall's pretty palette to your wardrobe &gt;&gt;&gt;  http://t.co/D8WYeM1wKK http://t.co/s3rwkcCWcw","fashion"
"36","#Montreal! Need somewhere to eat in the Plateau? Localist @dentellefleurs has just the spot: http://t.co/nGCPZUThnk http://t.co/9s6bz3Paqy","fashion"
"37","Tweet us your questions for Kirstine! We're hosting a LIVE @periscopetv chat tomorrow @ 7:30! #AskKirstine #OurTurn https://t.co/dXVkWMYVsL","fashion"
