"","user","type"
"1","Pressure mounts on Dhoni to step aside http://t.co/G1RByJAbVi #cricket","sports"
"2","WICKET: All over in Blacktown. Starc clean bowls Tye and WA is all out for 189. NSW win by 75 #MatadorCup http://t.co/ZXyQppqmMu","sports"
"3","WICKET: Abbott gets his second, bowling Joel Paris for 16. WA 9-188 #MatadorCup http://t.co/ZXyQppqmMu","sports"
"4","WICKET: Sean Abbott strikes. Agar goes big but picks out Nathan Lyon in the deep. WA 8-172","sports"
"5","Big Bash League: Fixtures http://t.co/W3gbhvCS8z #cricket","sports"
"6","WICKET: Sandhu gets another, trapping Ashton Turner in front of the stumps for 14. WA 7-134  #MatadorCup http://t.co/ZXyQppqmMu","sports"
"7","WICKET: Sandhu gets two in an over, taking the big wicket of Michael Klinger. WA 6-112 #MatadorCup http://t.co/ZXyQppqmMu","sports"
"8","WICKET: A slower bouncer from Sandhu catches the toe end of Whiteman's bat and the ball balloons to short mid-wicket http://t.co/ZXyQppqmMu","sports"
"9","FIFTY up for Michael Klinger. Western Australia on 4-109 and still in the game #MatadorCup http://t.co/ZXyQppqmMu","sports"
"10","50 up for the Western Australia Warriors http://t.co/ZXyQppqmMu","sports"
"11","WICKET: Starc again. Knocks over  Adam Voges who plays the ball onto his stumps. WA 4-18 #MatadorCup http://t.co/ZXyQppqmMu","sports"
"12","WICKET: Bowled him! Starc makes a mess of M Marsh's stumps on his first ball. WA 3-12 #MatadorCup","sports"
"13","WICKET: Starc gets his man. Draws an edge from Bancroft that is caught at first slip by Watson. WA 1-12 http://t.co/ZXyQppqmMu","sports"
"14","Cricket Australia XI makes history http://t.co/97P739EOCh #cricket","sports"
"15","WICKET: Sandhu strikes for the Blues, drawing and edge from S Marsh that is swallowed by Nevill #MatadorCup http://t.co/ZXyQppqmMu","sports"
"16","Bancroft sees out the over. First time this #MatadorCup that Mitchell Starc has not taken a wicket in the first over http://t.co/ZXyQppqmMu","sports"
"17","Play back under way in Blacktwon, with Mitchell Starc taking the new ball http://t.co/ZXyQppqmMu","sports"
"18","Cricket Ausrtalia XI has made history, winning for the first time ever against @crickettas http://t.co/4PEd0i0BNM http://t.co/KXnPT0L2FP","sports"
"19","CRICKET AUSTRALIA XI WINS! Massive result. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"20","SIX NEEDED OFF THE LAST BALL for Tasmania vs the CA XI. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"21","Meanwhile, the CA XI is on the verge of a famous victory! Tasmania 9-222, needing 20 off 9 balls. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"22","HUNDRED! Ed Cowan reaches triple figures for NSW against WA! NSW 3-222 after 45 overs. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"23","Meanwhile the game between CA XI and Tasmania is going down to the wire! Tigers need 30 off 19 balls! http://t.co/JXYJUMoRpv #MatadorCup","sports"
"24","200 up for @CricketNSWBlues! Ed Cowan on 88 now. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"25","WICKET! The Finisher is gone! Faulkner lbw for 17. The CA XI right on top now! Tassie need 63 off 51. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"26","WICKET! Watson beaten all ends up by Agar, and is out stumped for 13. NSW now 3-168. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"27","WICKET! Jake Doran is out! Bowled for 13, and Tasmania now 5-164. They need 78 runs off 75 balls. http://t.co/JXYJUMoRpv #MatadorCup","sports"
"28","WICKET! Steve Smith is out for a duck! Tries a dab and edges behind. Marsh the bowler again! NSW 2-133. http://t.co/JXYJUMoRpv #MatadorCup","sports"
