"","user","type"
"1","Dreams of a universal cart have haunted those in the fashion aggregation space for the last half-decade: http://t.co/qmimuXDk9H","fashion"
"2","""It's like Barbie — Today this look is Executive Cookie and this is Party Cookie."" @EmpireFOX http://t.co/VFc9GHxEyI","fashion"
"3","On @TheGoodWife_CBS this season, Alicia Florrick's wardrobe will include ""a dash of Dior."" http://t.co/rIIFr8rbwE","fashion"
"4","How do brands stand out in such a competitive environment? Find out at #FashionistaCON in NYC on Oct. 23. http://t.co/0eX4At9oF3","fashion"
"5","Following costume designers on social media is a fantastic way to fuel your obsession over your favorite TV shows: http://t.co/7rg1wg4hkv","fashion"
"6","Once upon a time, Condé Nast International was a publisher, but it’s no longer the full story. http://t.co/XAPjnHhHKM","fashion"
"7","An ever-so-slight mock turtleneck automatically makes any garment 800 percent cozier: http://t.co/AqNhCYa9zX","fashion"
"8","Our handy guide to the next generation of fashion stars: http://t.co/8jY1gCSPPm","fashion"
"9","Watch this space: here are the up-and-coming runway models you need to know about. http://t.co/zZc2xcojgt","fashion"
"10","Everybody has a favorite lipstick. Here are our top picks: http://t.co/1o9ZiC1oqt","fashion"
"11","Sales, sales, sales: http://t.co/f4NylBeoUA","fashion"
"12","Lily-Rose Depp's choker-like neck scarf at Chanel was Important: http://t.co/frawUt7Wc7","fashion"
"13","Here's more information than you need about at-home bikini waxing: http://t.co/qjqgUlywky","fashion"
"14","Famouses band together against French clothing line @elevenparis http://t.co/M3tCtK1rw2","fashion"
"15","If you missed the leaked @Balmain for @hm collection images, that's too damn bad because they're gone now: http://t.co/OpS3kTaKUs","fashion"
"16","True Life: I'm scared of @LexiBoling: http://t.co/8294holXFf","fashion"
"17","Valentino might be nearing an IPO: http://t.co/ukELNwBJbj","fashion"
"18","Let's give a warm round of applause to Rooney Mara, back on the red carpet and back in our hearts: http://t.co/oP7nSD3no5","fashion"
"19","Online sales are super duper fun. Try it now! http://t.co/f4NylBeoUA","fashion"
"20","Chief People Officer is a cool title that has now been filled at @Burberry: http://t.co/ukELNwBJbj","fashion"
"21","������ CATE BLANCHETT PRESS TOUR ALERT ������ http://t.co/oP7nSD3no5","fashion"
"22","These models that made a name for themselves for the first time on the runways this month: http://t.co/zZc2xcojgt","fashion"
"23","Flush with fresh cash, @GlamSquad might be coming to a city near you very soon: http://t.co/EIBErgqFXG","fashion"
"24","Choosing the top 15 looks from the Paris runways was a tough job, but somebody's got to do it: http://t.co/ETt6xqBYiA","fashion"
"25","Vogue Netherlands realized @GiGiHadid has a lot of Instagram followers and put her on the cover: http://t.co/ukELNwBJbj","fashion"
"26","Paris offered up some of the freshest ideas and best craftsmanship we'd seen all season: http://t.co/ETt6xqBYiA","fashion"
"27","Shoes? Shoes. http://t.co/qkjB9V2eev","fashion"
"28","Catch up on all 33 of the chicest front row moments from Paris Fashion Week: http://t.co/frawUt7Wc7","fashion"
"29",".@Balmain for @hm images leaked on Instagram Thursday, and today the account has been disabled: http://t.co/OpS3kTsmj2","fashion"
"30","Steve Madden has been hit with yet another intellectual property lawsuit: http://t.co/iL4ixpJb0L","fashion"
"31",".@StellaMcCartney is taking legal action against @SteveMadden:  http://t.co/iL4ixprA9d","fashion"
"32","Analyzing all 57 extravagant, over-the-top wedding ceremonies profiled by @voguemagazine since September 2010: http://t.co/wuV1GGBQsR","fashion"
"33","Editor's pick! @alyssavingan's sports bra for going the distance and still looking cute: http://t.co/60WzOAykYq","fashion"
"34",".@IAmSteveHarvey looked fly at fashion week and he knows it: http://t.co/9isPB0mbNe","fashion"
"35","We don't know who this girl is, but she made our list of the season's best street style: http://t.co/hKlqFCmpCg http://t.co/AmgkRUXP3T","fashion"
"36","Our latest installment of ""Adventures in Copyright."" http://t.co/6ZjiJIx1lr","fashion"
"37","@Zendaya, @ireneisgood and @ElaineWelteroth made our list of the best street style looks from all of fashion month: http://t.co/hKlqFCmpCg","fashion"
"38","Finally, the beauty product your pubic hair has been waiting for: http://t.co/tF9MGzwvoW","fashion"
"39","There are a ton of indie beauty labels out there that are not popular by conventional standards — but famous online: http://t.co/H19ESSVnev","fashion"
"40","How do brands stand out in such a competitive environment? Find out at #FashionistaCON in NYC on Oct. 23. http://t.co/0eX4At9oF3","fashion"
"41","What's the deal with all these Victoria's Secret Angels modeling for Juicy? We investigate: http://t.co/H19ESSVnev","fashion"
"42","This season, best friends (and hand-holding?) were Fashion Month's most popular accessories: http://t.co/jVu2GWk7eW","fashion"
"43","So it turns out those leaked @hm @Balmain collaboration images are legit: http://t.co/OpS3kTaKUs","fashion"
"44","Please welcome to the stage...the breakout models of spring 2016! http://t.co/zZc2xcojgt","fashion"
"45","A guide to all the up-and-coming models who have been kicking ass left and right all fashion month: http://t.co/zZc2xc6IoV","fashion"
"46","We've already covered what each city specialized in this month, and now it's time to take a look at the big picture: http://t.co/CzPm4UAPCZ","fashion"
"47","There was a lot more to the season than looking to the past — read on for a full rundown of the spring's top trends: http://t.co/CzPm4UjeLr","fashion"
"48",".@UniqloUSA has come to Boston! Here's a guide to our favorite Japanese spots in the city #whereUNIQLO #uniqloboston http://t.co/HDG3TOMKFk","fashion"
"49",".@GlamSquad has its eyes on Dallas, Washington D.C. and Chicago thanks to fresh venture capital funding: http://t.co/EIBErgqFXG","fashion"
"50","Thanks to $15 million in fresh funds, @GlamSquad might be coming to a city near you: http://t.co/EIBErg9568","fashion"
"51","A cheat sheet to what the fashion pack's boldest women will be wearing on their feet in six months: http://t.co/qkjB9V2eev","fashion"
"52","The best sporty sneakers, flat sandals and statement boots from the spring runways: http://t.co/qkjB9V2eev","fashion"
"53","ICYMI: Cara Delevingne shoved a paparazzo (while clad in @CHANEL) yesterday. Here's the video: http://t.co/35bhwAa4NV","fashion"
"54","Welcome to @CHANEL Airlines, where you *always* travel in style: http://t.co/yejNFFQPc8","fashion"
"55","Why some of music's biggest stars are joining forces to sue French fashion brand Eleven Paris: http://t.co/M3tCtK1rw2","fashion"
"56","Why is @IAmSteveHarvey at Paris Fashion Week? http://t.co/9isPB0mbNe","fashion"
"57","What's it like to be married to a mega-popular beauty vlogger? We asked @DesiPerkins's husband, Steven, to find out: http://t.co/RK1w7B9MXL","fashion"
"58","We can't wait to catch a whiff of @Moschino's squeaky clean, Windex-themed (but not scented!) fragrance: http://t.co/KeXq4KtouG","fashion"
"59","Four under-the-radar beauty brands that beauty vloggers like @DesiPerkins and @Chrisspymakeup love: http://t.co/odwQWl7bhk","fashion"
"60","Say it ain't so! Have we seen the last of @rihanna's now-infamous naked dresses? Potentially: http://t.co/At629CuXJm","fashion"
"61","PHOTOS: @MaisonValentino crafted a beautiful tribute to tribal Africa on its spring 2016 runway this week: http://t.co/zxZdK0hK5o","fashion"
"62","Meet ""It"" model Lexi Boling, fashion's newly-appointed Bad Girl of choice: http://t.co/8294holXFf","fashion"
"63","How the @InStyle fashion director — Melissa Rubini (i.e., @InStyleMelissa) — shops: http://t.co/yVf8ruvGrL","fashion"
"64","Best friends were Paris Fashion Week's most popular street style accessory — but... why? http://t.co/jVu2GWk7eW http://t.co/hvlTMviaO2","fashion"
"65","Watch out, @Etsy — @amazon just debuted a whole new marketplace exclusively dedicated to handmade items: http://t.co/esLGq90Rn0","fashion"
"66","Catch up on all 33 of the chicest front row moments from Paris Fashion Week: http://t.co/frawUt7Wc7","fashion"
"67","Get an early look at the #HMBALMAINATION collection via this random Instagrammer: http://t.co/EawyD3GzXq","fashion"
