"","user","type"
"1","Mediterranean Eggplant and Barley Salad: Recipe from Gourmet  http://t.co/4fnqZSyK1E #Food","food"
"2","Pasta With 15-Minute Burst Cherry Tomato Sauce: Recipe from Epicurious  http://t.co/bIiIx4S4kA #Food","food"
"3","Dry-Rubbed Flank Steak With Grilled Corn Salsa: Recipe from Bon Appétit  http://t.co/3cS3dn3csT #Food","food"
"4","Cocoa Brownies With Browned Butter and Walnuts: Recipe from Bon Appétit  http://t.co/zZah9I3Nrk #Food","food"
"5","BBQ Chicken French Bread Pizzas With Smoked Mozzarella: Recipe from Epicurious  http://t.co/aWUkNgdjsD #Food","food"
"6","Pasta With 15-Minute Meat Sauce: Recipe from Epicurious  http://t.co/YlYC4LXzLs #Food","food"
"7","Savory Onion Tart: Recipe from Epicurious  http://t.co/hINe1dE4Y3 #Food","food"
"8","Shrimp and Corn Fritters: Recipe from Epicurious  http://t.co/HDEfxkQZ7U #Food","food"
"9","Sheet-Pan Spaghetti Squash Puttanesca: Recipe from Epicurious  http://t.co/IwJAKri43R #Food","food"
"10","Dark-Chocolate Mousse: Recipe from Bon Appétit  http://t.co/WVOm3Q0twc #Food","food"
"11","Turkish Coffee-Rubbed Brisket: Recipe from Epicurious  http://t.co/gJoxVT8g8j #Food","food"
"12","Golden Sunset Bloody Mary: Recipe from Epicurious  http://t.co/6pDkfbeTUt #Food","food"
"13","Sheet-Pan Chicken Saltimbocca With Roasted Potatoes and Kale: Recipe from Epicurious  http://t.co/5pBUOOW2kW #Food","food"
"14","Sesame-Peanut Bars: Recipe from Bon Appétit  http://t.co/mitTB3oIzB #Food","food"
"15","Green Goddess Cobb Salad: Recipe from Bon Appétit  http://t.co/LRLWlEZaVj #Food","food"
"16","Crispy Salmon Fillets With Hazelnut Relish: Recipe from Bon Appétit  http://t.co/fG2f2nJs7C #Food","food"
"17","Our Favorite Lasagna: Recipe from Epicurious  http://t.co/cslzQgdb5M #Food","food"
"18","Zucchini, Bacon, and Gruyère Quiche: Recipe from Gourmet  http://t.co/KkmMbvnvxY #Food","food"
"19","Chicken-Fried Steak: Recipe from Bon Appétit  http://t.co/Mv6Z0DCrwk #Food","food"
"20","Shrimp Fried Rice: Recipe from Bon Appétit  http://t.co/7thJTkkDMU #Food","food"
"21","Farmers' Market Quinoa Salad: Recipe from Bon Appétit  http://t.co/93nkfRDm8s #Food","food"
