"","user","type"
"1","If you're planning to dine out with your kids this weekend, heed our advice: http://t.co/i3SNIN78rO. http://t.co/pDI9Z7epi7","food"
"2","This is a no-brainer. So is tuning in to #Halloween #BakingChampionship Monday at 9|8c: http://t.co/lX8goyVbLJ. http://t.co/ac5smg8PvP","food"
"3","Recipe of the Day: Pumpkin Spice Buns http://t.co/u0E8g8gAom. http://t.co/1d8kUVEDFf","food"
"4","It's squash season baby! Join #TheKitchen as they delve into the flavors of fall at 11a|10c: http://t.co/PjyOsAg1oV. http://t.co/dUu5ogq8R5","food"
"5","Kiwi Lime Pie is what's for dessert on a new @ThePioneerWoman at 10a|9c! Get her recipes: http://t.co/P9cZFvUIJd. http://t.co/lPfz6fiOar","food"
"6","Sweet deal. Catch back-to-back episodes of #Unwrapped with @alfonso_ribeiro starting tonight at 8|7c.","food"
"7","Which football team do you root for on game day? No matter what, you'll win with this: http://t.co/ZWKQ6iXUQm. http://t.co/BfRPEHCY2J","food"
"8","Enter the world of competitive barbecue with @FitChefEddie on the premiere of #BBQBlitz, coming up at 10:30|9:30c! http://t.co/WSWtMKUM09","food"
"9","No knife and fork is required to eat the food on tonight's #DDD , like these beautiful Corn Pups. Tune in at 10|9c! http://t.co/jFg86f3C1p","food"
"10","Arm yourself on game day with #TheKitchen's best dips, like @ChefMarcela's Artichoke Dip: http://t.co/6fEC0SdURt. http://t.co/gE594hcEkt","food"
"11","BBQ or Buffalo sauce? #FoodNetworkStar winner and @NFL alum @fitchefeddie weighs in. Watch #BBQBlitz at 10:30|9:30c.
https://t.co/R00t5zmiwZ","food"
"12","Did someone say #NationalPizzaMonth? Start with @BFlay's fan-favorite recipe: http://t.co/xLitE6ziml. http://t.co/zvIu0Qm9d8","food"
"13","It's almost time for kickoff! Watch #FoodNetworkStar winner @fitchefeddie on #BBQBlitz tonight at 10:30|9:30c.
https://t.co/sRBfMqzgWO","food"
"14","Recipe of the Day: @RachaelRay's Greek Meatballs http://t.co/HnbYcZl3eV. http://t.co/VOC0gEO38s","food"
"15",".@guyfieri abandons his fork and knife for our most hands-on #DDD yet. Tune in tonight at 10|9c.","food"
