"","user","type"
"1","25.6% of Honda Odyssey owners hold onto their cars for at least 10 years: http://t.co/Y9c7KyHyRG http://t.co/Lw5Blv8SZJ","business"
"2","With some thriftiness, smart planning &amp; time, having a million in retirement accounts is more than possible: http://t.co/TLqUfySQda","business"
"3","""Focus first on WHY you're doing what you're doing...you'll build the company differently."" http://t.co/qcsVNApJCu","business"
"4","How our personal finance reporter spends her money: http://t.co/vaU6OicThE","business"
"5","There are more problems with iOS 9: http://t.co/0mCZetnbfb http://t.co/VJEedKYLCq","business"
"6","PHOTOS: 6 ways to reinvigorate your career this fall: http://t.co/Yvv0M6sQQs","business"
"7","Here are 10 offices we bet you wish you were headed to on Monday: http://t.co/Y3onpHXPDz http://t.co/wNJtWeWdjk","business"
"8","A 20-year-old entering the workforce has a 1 in 4 chance of becoming disabled before retirement: http://t.co/C8dUPolgL7","business"
"9","Use the fourth quarter to position yourself on the starting blocks: http://t.co/9RtHmF3EgM","business"
"10","Quote of the Day:
""Hope is a waking dream."" - Aristotle
http://t.co/PfZIGP3rVt","business"
"11","People seldom believe that they’d ever become so sick or injured that they couldn’t earn a living: http://t.co/IsHWN2c34g","business"
"12","Resolutions aren’t just for New Year’s Eve: http://t.co/UvE4pOwDgs","business"
"13","26.5% of Toyota Highlander owners hold onto their cars for at least 10 years: http://t.co/DVEFV3JmXu http://t.co/8DBaDGrNhI","business"
"14","US dollar strength is expected to produce a $93.5 billion drag on US corporate profits this year: http://t.co/7EGBuAOPvP","business"
"15","“You must never lose control of your meeting:” http://t.co/GUw4PXTtJc","business"
"16","""Celebrate your diversity and individuality – be yourself."" http://t.co/iSj7fdio7h","business"
"17","""If you don’t keep learning and get better, you drown:"" http://t.co/UHBuGjs9xK http://t.co/ZxYtxfwmml","business"
"18","60% of women say they are concerned about having enough savings to last throughout retirement: http://t.co/l9Ciq6r9BS","business"
"19","More than 90% of men and women feel that taking the family leave they are entitled to will harm their careers: http://t.co/31Phh51Pky","business"
"20","”If I could build a product that would make a difference in people’s lives, what would that product be?” http://t.co/okahxAAeGt","business"
"21","""I’m not going to remember the Instagram photo I saw yesterday, but I will remember the person I met on Tinder:"" http://t.co/ndP2dSWyA2","business"
"22","What’s one piece of career advice that you would give to millennial women? http://t.co/1mcgJTeXcX","business"
"23","""I write about my own experience and if someone connects with it, great.” http://t.co/T0Y5tItzIW http://t.co/bWKkDaN8eb","business"
"24","“I started thinking about the company and my whole future.” http://t.co/nxL7kgN01b http://t.co/DDYfErqwJR","business"
"25","""My new 6S Plus just randomly turns off and the home button is very hot to touch."" http://t.co/SXLdV5fyOk http://t.co/nGFIVk0LS6","business"
"26","Searching for a new home? Why you should Google your potential new address: http://t.co/Z62IDfmPtU","business"
"27","""Take a look at who you are as a professional and be honest with yourself."" http://t.co/DMcIRANnLk","business"
"28","Dressbarn seemed to lag behind the competition…until now: http://t.co/Oo5mxOyVZT http://t.co/sPsSmd3Emj","business"
"29","How to run a meeting: http://t.co/UN5rlZ5R1A","business"
"30","If you’re visiting Oslo on a budget, definitely think twice before you take a cab: http://t.co/F3njICkvE4 http://t.co/QRNnA5gac2","business"
"31","The Apple Music experience has not been improved in any substantial way: http://t.co/XAmBufMwLW http://t.co/L2GcszAeDz","business"
"32","Research shows that women continue to suffer from a surprising lack of confidence when it comes to managing money: http://t.co/5iusMUE6vS","business"
"33","Players in the NFL have the shortest careers &amp; lag behind other major leagues in terms of average salary: http://t.co/SkPsuwKloz","business"
"34","28.2% of Toyota RAV4 owners hold onto their cars for at least 10 years: http://t.co/cBreZx7UxU http://t.co/rT1jLQeQ4U","business"
"35","Why does Qualcomm thinks it has a chance where others have failed? http://t.co/CcjlAJ5Sft","business"
"36","How do you make ends meet when starting up? Ask all your funding questions with #SmallBizHowTo, and @amyfeldman might answer on our site.","business"
"37","""Most days I eat like an adult, an abundantly healthy and frugal one even. Friday was not one of those days."" http://t.co/I0akfcztC0","business"
"38","What is causing the Touch ID fingerprint sensors to overheat? http://t.co/pvbddImUhb http://t.co/jPeSYfI7ma","business"
"39","“We think that self sells — as do brands that embrace authenticity.” http://t.co/FGmPxYK8Ct http://t.co/kquDbXtdL7","business"
"40","See how a financial planner spends his money: http://t.co/wSUK24iXLi","business"
"41","The average NFL team is now worth $1.97 billion: http://t.co/FDVyu1xN3I","business"
"42","""The beauty of the internet is there’s a niche market for everything:"" http://t.co/s1lrvkxNsM","business"
"43","Start changing your policies now as a way of ensuring that you are attracting the best millennials to work for you: http://t.co/FrxVTnCiz5","business"
"44","The average consumer should save some $700 this year thanks to lower gas prices: http://t.co/aHnUqPpoHk","business"
"45","""If I could build a product that would make a difference in people’s lives, what would that product be?"" http://t.co/0gZMxgPI9B","business"
"46","For individuals and businesses, it can be a nightmare attempting to keep hackers out of inboxes: http://t.co/crAXv8TUxv","business"
"47","Black licorice has a polarizing reputation: http://t.co/PjjCPCaMcX http://t.co/eOQgH7iWGC","business"
"48","“You’ll get knocked down over and over and over again, and you get back up:” http://t.co/lZIeGP27DD","business"
"49","The number one reason millennials leave their organizations is lack of career growth opportunities: http://t.co/123Ripe640","business"
"50","“What drives consumer spending are expectations of future gas prices, not prices today:” http://t.co/opa8CBi67k http://t.co/4gq7l2lh55","business"
"51","“We want to be the company that treats you better than anybody else. We care about you.” http://t.co/0QieomnWh7 http://t.co/e82Z3qgUnp","business"
"52","To be clear, this book is not a feminist manifesto: http://t.co/Wmj3KcigNC http://t.co/x8tDBC08Fn","business"
"53","What do you want to know about getting funding for your business? Ask with #SmallBizHowTo, and @amyfeldman might answer on our site.","business"
"54","White women still earn only 77 cents to each man’s dollar; black, Hispanic and Native American women earn far less: http://t.co/OUnwbGN0wL","business"
"55","Know that your employees are looking for jobs elsewhere if you’re not helping them grow: http://t.co/LWgxtRE3d9","business"
"56","Netflix and the fracking of the university http://t.co/FZSpcjJOIW","business"
