"","user","type"
"1","#ClamanOnCall: @LizClaman on the markets, oil prices, Lumber Liquidators and next week’s corporate earnings. http://t.co/5bA00Y1cSs","business"
"2","WATCH: @cvpayne explains why he hasn't endorsed any candidates, adding ""we can't make a mistake this time around.""
https://t.co/oMOhxYo0oc","business"
"3",".@mchooyah to @cvpayne: We haven't seen genocide like in Syria since the Nazis. http://t.co/G6SWlfwJHR","business"
"4",".@mchooyah: We need to start being realistic in the Middle East. http://t.co/y56IoUhiOw","business"
"5",".@mchooyah to @cvpayne: Arming the Kurds could help the U.S. win the fight against ISIS. http://t.co/fpE2AwHCZs","business"
"6",".@mchooyah: Training Syrians to fight against ISIS is a waste of time. http://t.co/APTt4Gk0I6","business"
"7","Tune in NOW! Rob O'Neill is live with @cvpayne. @mchooyah http://t.co/xaoy23RWgX","business"
"8","Catch up on the major players in Apple’s history before seeing “Steve Jobs” http://t.co/Gd5jE6APUB http://t.co/xxX71SUxQ8","business"
"9","What?! http://t.co/cIcegmBbBt","business"
"10","Here's why all our kids are tech addicts http://t.co/aUr0U78czC http://t.co/mO7QnQg2gx","business"
"11",".@DarrellIssa: ""I did everything except carry his gym bag"" to try to get @RepPaulRyan to run for speaker
https://t.co/ltFNx7lcRn","business"
"12","Do you agree with @RealBenCarson? http://t.co/dUjUvsEoOu","business"
"13","WATCH: ""I'm Hispanic and I vote for Mr. Trump!"" screams @realdonaldtrump super fan.
https://t.co/H7Uso1w5Xg","business"
"14",".@JohnStossel: ""You're not supposed to say America is a melting pot because that insults other cultures."" @TrishIntel http://t.co/VxCthpRtpc","business"
"15",".@cvpayne reacts to a four year old dying in China because his hand was caught in an escalator. http://t.co/8m4LYdaI33","business"
"16","""Not sure that @realDonaldTrump is a Republican. You look at his history, he's always been a Democrat.""-@boonepickens http://t.co/ob9lxv8aI2","business"
"17",".@boonepickens: @RealBenCarson is an honest man and he says what he believes. @TrishIntel http://t.co/KA7SHgVe2X","business"
"18","Breaking News: Texas Southern University on lockdown, 2 people shot, 1 fatally, shooter may still be at large. http://t.co/vIOF1NSBJI","business"
"19",".@TrishIntel: ""One of [@HillaryClinton's] political techniques is class warfare. She wants to demonize Wall Street."" http://t.co/5TDPp6lZin","business"
"20",".@Kasparov63: ""Putin's policy, his geopolitical target, is to destroy stability, to destroy the world order."" #Cavuto http://t.co/ywPv6YscKL","business"
"21",".@cvpayne: ""The 'tolerant left' is so intolerant when... people they think they've got a hold on break that chain."" http://t.co/IAiMBvHPvw","business"
"22","""[Leftists] get very infuriated when black people have an opinion that wasn't ascribed to them by the left.""-@cvpayne http://t.co/S67dEaNUpJ","business"
"23",".@ChadPergram: Ex-Im Bank to get vote October 26. http://t.co/rgSvOELuWt","business"
"24",".@JonHuntsman: ""You can't get anything done in this country that is durable without working with the other side."" http://t.co/gw0CksmM9l","business"
"25",".@JoeLieberman: ""People are not willing to compromise for the good of the country."" @TeamCavuto http://t.co/9iER7CFpuS","business"
"26",".@Brady_FBN: ""There was a T-shirt going around calling [@GOPLeader] 'McBoehner."" @TeamCavuto http://t.co/FyUxAsvh7J","business"
"27",".@GovGaryJohnson on @realDonaldTrump: ""I take exception with what he's saying in regard to immigration."" @TeamCavuto http://t.co/tlASnroPB1","business"
"28",".@GovGaryJohnson:  ""I really don't think Democrats can balance the checkbook."" @TeamCavuto http://t.co/CA2alOQGYn","business"
