"","user","type"
"1","With low rates and reduced returns, #pensions are under pressure. $GS explains: http://t.co/9mnyhSbPuN","business"
"2","$GS COO &amp; Pres Gary Cohn @IIF talking #macroeconomics, global growth &amp; market #liquidity http://t.co/Pgdr1KqtkJ","business"
"3","WATCH: $GS on the state of #pension plans in a low interest rate, low-yield economy http://t.co/mNuOet2eeZ","business"
"4","""Flat is the new up"" $GS' David Kostin reflects on the market outlook amid #china's slowdown, low #oil prices &amp; more http://t.co/aKR6GU2PN9","business"
"5","ICYMI: $GS' Colin Coleman discusses economic growth in #SouthAfrica on @HuffPostLive http://t.co/Xm5YfmzWrF","business"
"6","Doubling middle class=spending spike in #China. $GS' Joshua Lu on the #Chinese Consumer's growing influence http://t.co/x2Pjcfd7fX","business"
"7","What is the pension prognosis? $GS on the factors leading to diminishing returns http://t.co/9mnyhSbPuN","business"
"8","#TBT: Still on the cutting edge—a look at the $GS data center, 40 years ago. http://t.co/70Wp4B7cIz","business"
"9","Only 11% of #China's population is middle class. How rising wages will expand this number: http://t.co/oh2it1SdGC http://t.co/IwnGazG22F","business"
"10","RT @nytimesbusiness For Goldman, Success in Social Impact Bond That Aids Schoolchildren http://t.co/OGuEF4v372","business"
"11","Behind the scenes at #TalksAtGS with @RossKemp in support of @HelpforHeroes. This calls for a #selfie stick. http://t.co/T4m59K2Ra0","business"
"12","GS Peter Oppenheimer on a ""third wave"" of the financial crisis &amp; why a new global recession is unlikely @BloombergTV http://t.co/ns0CQEPxd7","business"
"13","Great to host over 500 clients today at the $GS EMEA Leveraged Finance Conference http://t.co/UvLx88kmDj","business"
"14","RT @wsjCMO: Goldman Earnings Moving to Twitter  http://t.co/79wp5zrbdq","business"
"15","#China posts record box office during Golden Week. Learn about Chinese consumers' potential http://t.co/A5MaBxWKqu http://t.co/1fXERfEMyx","business"
"16","Former HK #Returnship participants on restarting after a career break. Apply to the program: http://t.co/mqrcRunO7n http://t.co/r5fGLegEPL","business"
"17","WATCH: Senior $GS leaders in #Japan discuss how strong  local expertise and a wide global network leads to success:  http://t.co/3Aq0kVa8oi","business"
"18","WATCH: $GS' Joshua Lu on how the purchasing power of #China's middle class is reshaping consumption growth http://t.co/x2Pjcfd7fX","business"
"19","Data shows $GS &amp; #Utah partners @uwsl @billcrim @GovHerbert @MayorBenMcAdams help improve kids' #education @sltrib http://t.co/Bi3AtAVqIQ","business"
"20","$GS' Chief European Economist Huw Pill joins @JohnFraher on 'Future of Europe' @BloombergTV http://t.co/CyG54btKKJ http://t.co/2V0vTMVJ9t","business"
"21","NEW REPORT: First social impact bond for early childhood #education shows success in #Utah http://t.co/YzK0iw8oyV cc @uwsl #impinv","business"
"22","ICYMI on #GSAM Connect Blog: Why does $GS' Tim O'Neill compare #investing to the history of particle physics? http://t.co/iLf4JTkMib","business"
"23","""I have a tremendous passion for helping the talented students at Rutgers find jobs"" $GS' Harvey Schwartz http://t.co/UnUi5BtYvn","business"
"24","WATCH: $GS' Jeff Currie discusses the future of #crudeoil on @CNBC today:  http://t.co/3Rme3VVnPC","business"
"25","Check out #GSAM's Osman Ali on #BigData in Fidelity's latest ""In the Money"" quarterly http://t.co/Z7EIvS8uRB","business"
"26","WATCH: $GS' David Kostin, chief U.S. equity strategist, discusses #SP500 forecast on @CNBC's @SquawkStreet: http://t.co/G27PpQB6bx","business"
"27","#China's new consumer class is larger than that of the #US &amp; Europe combined. Learn more: http://t.co/fiHcua0ZTA http://t.co/s0M6B9pphr","business"
"28","Great discussion on what #Britain wants from the #EU with @forbritain, @BNE_Group and @CER_London at #CPC15 http://t.co/JAQkG6DfB3","business"
"29","See how we're promoting #BreastCancerAwareness in #China: http://t.co/PykpGT2Sbc cc @womenofchina @HarvardChanSPH http://t.co/GQrtbwzN90","business"
"30",".@ToryBurchFdn founder @toryburch on empowering women entrepreneurs: http://t.co/ktXuSI4K83 #TalksAtGS http://t.co/I5yAalAFLH","business"
"31","PODCAST: Separating signals from noise – perspectives on investing from $GS' Tim O'Neill http://t.co/lDZetYwPRM","business"
"32","GS London proud to host Archbishop of Canterbury @JustinWelby for an insightful #TalksAtGS on ethics &amp; culture in biz http://t.co/DaM1fGU1th","business"
"33","Reunification, reform, regrowth: $GS reflects on 25 years since #German unity http://t.co/6RY4A9RtsZ","business"
"34","WATCH: 25 years after reunification, #Germany is  the economic heart of Europe. $GS on what it took to get here http://t.co/6RY4A9RtsZ","business"
"35","Global #capex is set to decline next year for the first time since 2009, $GS Research finds http://t.co/1EYLPU5Lzv","business"
"36","From two #Germanys to a united economic powerhouse: $GS reflects on 25 years since #reunification http://t.co/6RY4A9RtsZ","business"
"37","$GS' Benny Adler discusses #Tech IPOs at our Private Enterprise Tech Companies Forum http://t.co/BHoZTN9cP3","business"
"38","WATCH: $GS' Jan Hatzius on @CNBC to discuss September #jobs report w/ @carlquintanilla and @SaraEisen: http://t.co/GEkgcq4SF0","business"
"39","VIDEO: Rising incomes are creating a new class of #Chinese consumer. $GS' Joshua Lu explains the global impact http://t.co/x2Pjcfd7fX","business"
"40","VIDEO: Saturday marks 25 yrs since #GermanReunification. How has #Germany's #economy evolved? $GS economists explain http://t.co/Mk6j899z4r","business"
"41","“The area of leisure will likely see the biggest growth” $GS’ Joshua Lu on #China’s spending http://t.co/GfHWz1U7wX
https://t.co/yJvaHFLtWM","business"
"42","Entrepreneur #tech strategist &amp; @lesbiantech founder @lepitts discusses her career &amp; diversity in #tech #LWTSUMMIT https://t.co/uyHvN90YJU","business"
"43","GSAM has acquired Imprint Capital. A big welcome to the Imprint team. Look forward to building out our #ESG platform together","business"
"44","PODCAST: Why does $GS' Tim O'Neill compare #investing to the history of particle physics? https://t.co/lDZetYwPRM https://t.co/QqezUpjLhR","business"
"45","Not every day we break to watch @TheEllenShow, but https://t.co/3HD54LDdaV is worth watching. Thank you for telling Brian's story.","business"
"46","$GS' Francesco Garzarelli on implications of #Fed policy &amp; measuring the health of corporate America @BloombergRadio http://t.co/OwKujdscAu","business"
"47","Happy #PodcastDay!  With 1 million downloads &amp; counting, $GS podcasts offer analysis on everything from #oil to #tech http://t.co/ph6uqNuezy","business"
"48","#China’s consumers can be divided into 4 tiers. Learn their impact on global spending: http://t.co/gtXqZWsraO
https://t.co/VJh6IrKdwb","business"
"49","$GS' George Lee hosts 'Open Mic Night' at $GS Venture Capital CIO Symposium #VC #Tech http://t.co/KtcLcJKzDe","business"
"50","""It is critical to take 10% to 20% of your time at work to network"" - $GS' Alison on the value of #networking http://t.co/VDvpHGSUAG cc @wsj","business"
"51","$GS' Marty Chavez spoke at #CodeEnterprise w/ @KaraSwisher last night. Here are some of the @WSJ takeaways: http://t.co/WJavA33woi","business"
"52","ICYMI The stock market stops working when there are too many passengers http://t.co/vvEu9FppfI Listen to our podcast http://t.co/YJKso1NJsb","business"
"53","黄金周将至，中国消费者的潜力及市场有多大？高盛分析了中国消费者的崛起与其对全球经济的影响：http://t.co/A5MaBxWKqu  #China http://t.co/baSSKng67G","business"
"54","$GS' Marty Chavez talks #GSEngineering &amp; diversity with @karaswisher #CodeEnterprise cc @recode http://t.co/LEKqo52m24","business"
"55","Tonight $GS' Marty Chavez joins @karaswisher @recode's #CodeEnterprise to discuss #GSEngineering. Learn more: http://t.co/zR5ib402O2","business"
"56","PODCAST: $GS' Tim O'Neill on why a market needs both active and passive #investors  http://t.co/lDZetYwPRM","business"
"57","With #ImpInv, we're helping finance early childhood #education in Salt Lake City: http://t.co/YGBpcSM2EE #ESG #SLC http://t.co/jPnIP453wi","business"
"58","WATCH: #China's growing middle class is reshaping consumer spending. $GS' Joshua Lu explains http://t.co/x2Pjcfd7fX","business"
"59","How much can we save by switching to #renewable energy? Read $GS partner @ClimateGroup study via @EconomicTimes 
http://t.co/T6P4zRbzWV","business"
"60","$GS' Anthony Cammarata speaks about sourcing 100% renewable energy at #RE100 @ClimateGroup signature event #CWNYC http://t.co/wgYv3Nmztt","business"
"61","#GSGives is proud to support @RoomtoRead &amp; their commitment to #education globally  cc @johnwoodRTR #CGI2015 http://t.co/Ig6b0IfptR","business"
"62","Watch @CardinalDolan discuss the evolution of the #Catholic Church with $GS' Lloyd Blankfein https://t.co/M9drSB4KA9 #TalksAtGS","business"
"63","PODCAST: $GS on the ""negative feedback loop"" driving down global commodity prices http://t.co/4xHwMCyHHy","business"
"64","WATCH: $GS on the two sides of #China's geopolitical strategy http://t.co/TK3hwOaUrf","business"
"65","$GS' Kyung-Ah Park speaks @UN Sustainable Energy for All conference on sustainable development goals #SE4All #SDG7 http://t.co/eB5N8ejkrT","business"
"66","Can perceptions of #China skew its economic trajectory? $GS explains why everyone's watching President Xi's visit http://t.co/TK3hwOaUrf","business"
"67","RT @_WMMedia_ Congratulations to @GoldmanSachs for making Working Mother's 100 Best Companies List! http://t.co/UY5LnbOoEJ  #WM100Best","business"
"68","From local farms &amp; restaurants to in-house fruits &amp; veggies $GS offers employees #healthy &amp; sustainable food choices http://t.co/gBrh3ciWAD","business"
"69","The view from 200 West Street: Pope Francis (@Pontifex) arrives @Sept11Memorial. #PopeinUS #PopeinNYC http://t.co/a8bqMtd16a","business"
"70",".@LoopFund's first investments unlock $24.8M for #recycling, to reduce 1M tons of #GHG in 10 yrs. #CWNYC http://t.co/ULFHxQBb35","business"
"71","#Millennials drive increase in ad blocking. $GS sees online advertising being 'fundamentally restructured' http://t.co/VWYNzkAxNi","business"
"72","高盛集团副董事长史华兹为 @ChinaDailyUSA 分析中美投资协定对两国及全球经济的重要性、中国经济的结构调整 http://t.co/Pe6xSlYhK1","business"
"73","高盛全球投资研究部预计中国债券市场规模10年内将达21.6万亿美元，带来逾1万亿美元资金流入 http://t.co/7tD6mHY9Zj #China","business"
"74","$GS' Jeff Currie on how shale has forced #OPEC to increase supply and driven down #oil prices http://t.co/4xHwMCyHHy","business"
"75","ICYMI Can #China restructure its economy to ensure long-term prosperity? $GS explores: http://t.co/etMFJdryU2","business"
"76","Worth a read MT @WSJMoneyBeat Well wishes for Lloyd Blankfein from a cancer survivor &amp; Olympic hopeful http://t.co/jbFHCthIpN","business"
"77","Will #China's opportunities for engagement outweigh potential conflicts? $GS explains what's at stake http://t.co/TK3hwOaUrf","business"
"78","#TBT: In 1882, son-in-law Samuel Sachs joined Marcus Goldman at his banking firm, creating a historic partnership. http://t.co/Daoaa9KoOh","business"
"79","Congrats to $GS' Stephanie Cohen on being named to @FortuneMagazine's ""40 under 40"" http://t.co/b3H2zwwsAH","business"
"80","RT @FortuneMagazine Goldman Sachs President: Bring on the disruption http://t.co/YbeBOEjdFl","business"
"81","$GS' Fred Towfigh is one of @BoardAgender's #SG50ChampionsofChange to promote gender-balanced business in #Singapore http://t.co/j2ETwj80lm","business"
"82","ICYMI: Can #China go from world's largest carbon emitter to #ClimateChange leader? $GS explores: http://t.co/z6AcU244ec","business"
"83","$GS is proud to be in good company on the #RE100 http://t.co/3eyUcPmVVH cc @Independent","business"
"84","$GS research expects #China #bond #market to triple in a decade, sees $1 trn opportunity for investors http://t.co/2tfvU4yV2h via @CNBC","business"
"85","1M downloads &amp; counting: $GS podcasts offer insight on everything from #oil to #Bitcoin &amp; #AI http://t.co/lOtxUwer5B Thanks for listening!","business"
"86","With 350 bikes at 35 stations $GS helps increase access to new transportation in #JerseyCity https://t.co/eAj2wNf0b8 http://t.co/8c7XxHf4ON","business"
"87","WATCH: #GSAM's Larry Restieri discusses the rise of liquid alternatives funds with @BettyWLiu on @BloombergTV http://t.co/aAr4Gp5dQf","business"
"88","WATCH: $GS' Kyung Ah-Park explains #China's role in confronting the challenge of #ClimateChange: http://t.co/z6AcU244ec","business"
"89","PODCAST: $GS' Jeff Currie on why #oil prices could be ""lower for even longer"" http://t.co/4xHwMCyHHy http://t.co/wb4DCq7Snp","business"
"90","Can #China restructure its economy to ensure long-term prosperity? $GS explores: http://t.co/etMFJdryU2","business"
"91","$GS' #HongKong office is a sea of pink today to support #LGBT #PinkFriday #PinkDotHK http://t.co/LoFM3WQhLr","business"
"92","高盛集团副董事长史华兹、高盛私人财富管理中国副主席哈继铭分析中国经济面临的挑战及结构调整的重要性 http://t.co/etMFJdryU2 #China http://t.co/uv2QH5H8EB","business"
"93","The #Fed leaves rates unchanged – 6 takeaways for investors from #GSAM http://t.co/kPxVVvmcaD","business"
"94","ICYMI: $GS was included in Dow Jones #Sustainability Index this year http://t.co/xVhE1ZLrea via @GreenBiz #DJSI","business"
"95","Thinking about cutting the cord? $GS explains why the future of #TV begins online: http://t.co/Gqf0Wex8cW","business"
"96","#GSAM explains how #liquidalternatives fared during August's volatile markets http://t.co/Fx7C7IaGZc","business"
