"","user","type"
"1","Europe Can Find Better Ways to Get Refugees into Workforces http://t.co/G0xu1UXygL http://t.co/y5m9MwRI4g","business"
"2","Habits are hard to change. Here's how to do it: http://t.co/eHh0TxVq7F","business"
"3","Telemedicine Is Vital to Reforming Health Care Delivery http://t.co/QwuOK06Fjw http://t.co/QwGS8KaoQP","business"
"4","Do you know if you're paid at market rate? Our chart of the week: http://t.co/m8BZ4BpZiw http://t.co/cFhHIJTF5x","business"
"5","What You Miss When You Take Notes on Your Laptop http://t.co/Zr6Wv0YOBt http://t.co/KHxHl3byJW","business"
"6","Bed Bath &amp; Beyond’s Persistent Coupons Would Work Better with More Hurdles http://t.co/azNoB49qsd","business"
"7","How the Carl Icahns of the World Benefit Firms but Not Workers http://t.co/eCoJC8akp4","business"
"8","Our new ranking, coming October 12. http://t.co/RWfwCu7Cwq","business"
"9","ICYMI: Our classic article of the week was Becoming the Boss http://t.co/QY4ZaSpi91 http://t.co/MYKSwSPhQa","business"
"10","The Science of Sounding Smart http://t.co/36SI0WWdgv http://t.co/YwNhK7ZdUM","business"
"11","Are you more persuasive in writing or speech? Here's what the research says http://t.co/PUpz9MS6Vr http://t.co/4RJPmARr0o","business"
"12","How an Accounting Firm Convinced Its Employees They Could Change the World http://t.co/o0wq1iklFU","business"
"13","You Don’t Have to Go to a Conference to Enjoy It http://t.co/4JoN6tJMyO","business"
"14","What makes Tesla's branding work http://t.co/kvF8BQlteE","business"
"15","An alternative to performance reviews: http://t.co/FnRUd0G0rx http://t.co/EvNxmnGQuM","business"
"16","A simple interactive tool to help you reach your goals http://t.co/w8WtETSomG http://t.co/ZXvKO7lei2","business"
"17","This interactive tool will help you reach your goals http://t.co/kt7DEW1yf5 http://t.co/01jFR3T4Tl","business"
"18","New approaches to conference networking http://t.co/sXaBY0irGk","business"
"19","Most people don't really know if they're being paid fairly: http://t.co/v5XKNi1uTa http://t.co/IUek9h65xi","business"
"20","The health care industry needs to focus on relationships with patients http://t.co/F33uElmvqo","business"
"21","Short-termism really is a problem, says @RogerLMartin. ""I see it with my own eyes."" http://t.co/pJN8XflTIk","business"
"22","How Introverts Can Make the Most of Conferences http://t.co/dyA3rB5ph2","business"
"23","Do activist investors add any value? http://t.co/Sj8rAs46y7","business"
"24","One of the trickiest generational issues at work: when your boss is younger than you are http://t.co/XxRGPSSrPW","business"
"25","""It doesn’t take long to change a habit."" http://t.co/tR0yQGmOuU","business"
"26","The trick to reaching your goals? Break them down, and be specific http://t.co/rvk8IloE5R http://t.co/eP0bH8Q0d3","business"
"27","Do you know if you're paid at market rate? Our chart of the week: http://t.co/AC1nS21mNv http://t.co/dnouDpq6jA","business"
"28","Stay tuned... http://t.co/6cyhd8casI","business"
"29","Yes, Short-Termism Really Is a Problem http://t.co/WuMpWdmYTo","business"
"30","Strong Patient-Provider Relationships Drive Healthier Outcomes http://t.co/dMDjIdfseJ","business"
"31","How the Carl Icahns of the World Benefit Firms but Not Workers http://t.co/TxCQoaxQfv","business"
"32","""The most clearly written book I've read in years..."" - @Draytontweets http://t.co/2yNsdrLhfQ #getbeyondbetter http://t.co/RmbCEBa1kS","business"
"33","When Your Boss Is Younger than You http://t.co/BzWIr9f6xh","business"
"34","How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo’s CEO http://t.co/cJ3ce6YQ5Y http://t.co/eaCmXslyfZ","business"
"35","How Introverts Can Make the Most of Conferences http://t.co/xOn3jj3Nf8","business"
"36","A conference is rethinking the best ways to network http://t.co/3GtALfnryz","business"
"37","Turning Value-Based Health Care into a Real Business Model http://t.co/1H7N73Apy8","business"
"38","What Customers Want from the Collaborative Economy http://t.co/Ljsy9NnJ4T","business"
"39","How to fix bad habits http://t.co/F0QsSFWyck","business"
"40","Why Tesla's branding works http://t.co/a1PSsmMyfu","business"
"41","This interactive tool will help you reach your goals http://t.co/876HtUzWTq http://t.co/mts1XCXgH7","business"
"42","The email newsletter is back http://t.co/wHI2xlZ2nM","business"
"43","What do consumers really want from the sharing economy? http://t.co/wmBYJUEpOZ","business"
"44","Health care's business model problem http://t.co/pX41C34NA3","business"
"45","""It doesn’t take long to change a habit."" Here's how to do it http://t.co/CUkCQg2cNS","business"
"46","An alternative to performance reviews: http://t.co/xmUZCA6bH5 http://t.co/ODPLEi0ksP","business"
"47","Maybe the most creative approach to networking we've heard of... ""strangers were taking Ferris wheel rides together"" http://t.co/aBEE4z3DhT","business"
"48","How brilliant people do their work http://t.co/rR3NJV3HhB http://t.co/N3TAXopG1R","business"
"49","Why Tesla's branding works http://t.co/s85KWE0KXt http://t.co/VmIayebujZ","business"
"50","The Five Approaches to Business Strategy http://t.co/niNKwWs2qu @MartinKReeves #StrategyNeedsStrategy","business"
"51","Are you more persuasive in writing or speech? Here's what the research says http://t.co/sHF2jRgcrm http://t.co/WUVZBGH5dR","business"
"52","The case for taking notes by hand http://t.co/aTBMfDCC9s http://t.co/nrqDwzTclj","business"
"53","This year's Drucker Forum will feature @LdeRothschild &amp; @adiman. More #GPDF15 details here: http://t.co/Mr251FJtco","business"
"54","The real leadership lessons of Steve Jobs: Walter Isaacson's definitive article  http://t.co/DgNOWBHZvX","business"
"55","The Triumphant Return of the Email Newsletter http://t.co/4iQWWeBFym","business"
"56","A simple interactive tool to help you reach your goals http://t.co/jIzM7Lsfy5 http://t.co/TRPm21niny","business"
"57","Turning Value-Based Health Care into a Real Business Model http://t.co/iOqx5XU7fK","business"
"58","What Customers Want from the Collaborative Economy http://t.co/9RpbG6Fuwd","business"
"59","The Conference That’s Trying to Reinvent How We Network http://t.co/L2IPSfzRnp","business"
"60","""...an enlightening yet deeply practical book."" - @Yunus_Centre http://t.co/xJJBuYKB9H #getbeyondbetter http://t.co/xPZARdgP0x","business"
"61","Quash Your Bad Habits by Knowing What Triggers Them http://t.co/oIA1K9nq0H","business"
"62","The Daily Routines of Geniuses http://t.co/YFlEI2qAwu http://t.co/2yP64wE1wX","business"
"63","Create a winning strategy for online businesses. Join us 10/13 at 12pmET for a free #HBRwebinar with @Bigcommerce. http://t.co/9d7NA0trJa","business"
"64","How Tesla, Under Armour, and Sonos Do Branding http://t.co/YFdTm0VouU","business"
"65","Telemedicine Is Vital to Reforming Health Care Delivery http://t.co/DKqPaH512w http://t.co/NRfJYd1lAD","business"
"66","4 Types of Activist Investors and How to Spot Them http://t.co/ZeK1su3pDg http://t.co/dgjrfXMqC4","business"
"67","4 Types of Activist Investors and How to Spot Them http://t.co/8Y1dQ6Qsuf http://t.co/pG5yF5Myk0","business"
"68","3 Ways Managers Start Off On the Wrong Foot http://t.co/zLBHyRUUkb","business"
"69","Hate performance reviews? @DeloitteUS may have found a better way: http://t.co/kK4QiuWYfv http://t.co/g0nGsarOda","business"
"70","What You Miss When You Take Notes on Your Laptop http://t.co/2aoN3W0NDR http://t.co/SZwyV4v7DU","business"
"71","The Science of Sounding Smart http://t.co/5xauIIMEZx http://t.co/xJWx3gc6ry","business"
"72","Interactive Tool: Use If-Then Planning to Reach Your Goals in 4 Steps http://t.co/l5x1eAnRdw http://t.co/A8ulvoJusp","business"
"73","Telemedicine Is Vital to Reforming Health Care Delivery http://t.co/9ngEsTbavk http://t.co/jxZoLFjhfk","business"
"74","It’s OK If Going to a Conference Doesn’t Feel Like Real Work http://t.co/Tz6eEvLHJ9 http://t.co/5AgAjdGzPX","business"
"75","Leading social change with business thinking http://t.co/hMQFf01Gol @SallyOsberg @BNN #getbeyondbetter","business"
"76","“…what equitable societies could look like—and what we can all do to make that new normal a reality.” @MelindaGates http://t.co/Cg6EfoTFbT","business"
"77","3 Ways Managers Start Off On the Wrong Foot http://t.co/h4k9dNWpIW http://t.co/JU4i0ERW2t","business"
"78","Hate performance reviews? @DeloitteUS may have found a better way: http://t.co/wf1uY6J3RI http://t.co/Juekn84u9K","business"
"79","Why The Muppets may hold the key to the great ad blocking debate http://t.co/JmHDlIIseU via @HuffPostMedia @machtHBR","business"
"80","What You Miss When You Take Notes on Your Laptop http://t.co/JsSAhIsYA3 http://t.co/qywE3Kk1ZX","business"
"81",".@SallyOsberg: Social Entrepreneurship Is The Business Model Of The Future  http://t.co/qlEi2GHKxK @HuffPostLive #GetBeyondBetter","business"
"82","People who use if-then statements are 300% more likely to reach their goals http://t.co/ye2pztb6zt http://t.co/ew3RfxjfBb","business"
"83","The Science of Sounding Smart http://t.co/vZLvW70hWD","business"
"84","4 Types of Activist Investors and How to Spot Them http://t.co/ExQsC7p1Lt","business"
"85","Telemedicine Is Vital to Reforming Health Care Delivery http://t.co/3XvvISyRxW","business"
"86",".@RogerLMartin talks about the books that shaped his approach to his career http://t.co/b36Cd1EBUV @stratandbiz","business"
"87","Learn from the Pentagon. Improve your network security. Join us today at 12pmET for a free #HBRwebinar. Register: http://t.co/1kJptqFuu5","business"
"88","It’s OK If Going to a Conference Doesn’t Feel Like Real Work http://t.co/uopflu5Rj9","business"
"89","“…what equitable societies could look like—and what we can all do to make that new normal a reality.” @MelindaGates http://t.co/qRT6BrA1GW","business"
"90","What You Miss When You Take Notes on Your Laptop http://t.co/yN2DHdFFqa http://t.co/wKC2DHWAw4","business"
"91","A Tool to Help You Reach Your Goals in 4 Steps http://t.co/sbugYnrFmh","business"
"92","3 Ways Managers Start Off On the Wrong Foot http://t.co/xgnScO5wPG","business"
"93","#GetBeyondBetter coauthor @SallyOsberg will be on @HuffPostLive today at 4pm ET. http://t.co/U8G3g0lIwG","business"
"94","Hate performance reviews? @DeloitteUS may have found a better way: http://t.co/8BUoV67omN http://t.co/lRVbohwo2r","business"
"95","Don't miss @SallyOsberg on @HuffPostLive today at 4pm ET. http://t.co/JXzR5r2ALO #GetBeyondBetter","business"
"96","New Fall 2015 Readings For Better Creative Leadership via @Forbes http://t.co/UXOTPAOpKb","business"
"97",".@RogerLMartin and @SallyOsberg on how and why meaningful change happens in the world. http://t.co/N5IrZH82N2 http://t.co/DZ6dn9Ehxz","business"
"98","How an Accounting Firm Convinced Its Employees They Could Change the World http://t.co/CjbJVqlJDx","business"
"99","How design thinking, once used primarily in product design, is infusing corporate culture: http://t.co/54RKAsRBj1 http://t.co/0FCvQ0oCKB","business"
"100","A New Way to Define Value in Drug Pricing http://t.co/5uTSBInTCR","business"
"101","Managing a global team is hard. This guide can help: http://t.co/IUiUFsTlHG http://t.co/62OZjCScFV","business"
"102","How smart, connected products will transform your organization: http://t.co/IL4TGzEusi @MichaelEPorter @ptcjim http://t.co/hkM3bI50sr","business"
"103","“Essential reading for anyone who still doubts the power of the social entrepreneur."" -@PaulPolman, CEO @Unilever http://t.co/nSL8Ku16ht","business"
"104","You Don’t Have to Go to a Conference to Enjoy It http://t.co/9h8RK6IujC","business"
"105","Bed Bath &amp; Beyond’s Persistent Coupons Would Work Better with More Hurdles http://t.co/aFRnHIQK01","business"
"106","What Do You Do Well That Others Don’t? http://t.co/SkA0UyXHE1","business"
"107","Of course @Disney should use surge pricing at its theme parks http://t.co/yFEUep9txq @cultureofprofit http://t.co/uIVy6UpTSn","business"
"108","Europe Can Find Better Ways to Get Refugees into Workforces http://t.co/NGG549KUqP http://t.co/RP9Q8JF8yK","business"
"109","Better Healing from Better Hospital Design http://t.co/1qfIZnxFR4 http://t.co/ipdazCHrRD","business"
"110","3 Strategic Questions the Media Industry’s Future Depends On http://t.co/oagAbFr2vS","business"
"111","When Someone Gloms On to You at a Conference http://t.co/rMXeFQJMoV http://t.co/DOcEAaZyWh","business"
"112","The Research Is Clear: Long Hours Backfire for People and for Companies http://t.co/LiQ8FSh7IR http://t.co/LVZAS71wi6","business"
"113","Managers can help create more winners than losers in the digital era http://t.co/xw00hzeTEt http://t.co/43NTx2qqI9","business"
"114","New Fall 2015 Readings For Better Creative Leadership via @Forbes http://t.co/BHEbKUiLsu","business"
"115","How to Manage Exceptionally Creative People http://t.co/3HX2hZntde @FastCompany","business"
"116","We’re excited to be part of #HUBWeek. Join us Thurs. for a talk with Sony's Michael Lynton http://t.co/Vqk8PhP6uD http://t.co/2XPHG5l7lh","business"
"117","“... a must-read on how social entrepreneurs are changing the way we make the future.'"" - @Kathy_Calvin http://t.co/NmHgIMbff6","business"
"118","We Need Both Networks and Communities http://t.co/TrgXS0Kp8F","business"
"119","Europe Can Find Better Ways to Get Refugees into Workforces http://t.co/3QHmpd2Sgt","business"
"120","3 Strategic Questions the Media Industry’s Future Depends On http://t.co/BpE61inIiZ","business"
"121","Of course @Disney should use surge pricing at its theme parks http://t.co/xBzUj8N9RE @cultureofprofit","business"
"122","MT @SallyOsberg The visioning process is key for social entrepreneurs to bring about change. #getbeyondbetter http://t.co/Oo3XRuiLQC","business"
"123","Better Healing from Better Hospital Design http://t.co/nhAkZGpnt9","business"
"124","How does your company use analytics to ensure HR compliance?  Take the poll below and download a free HBR article - http://t.co/DlvrDuoQ82","business"
"125","Design as a comprehensive way to think about human behavior http://t.co/3B9skpjKGR @jkolko @IITDesign Oct 7","business"
"126","When Someone Gloms On to You at a Conference http://t.co/gDDduMBAk6","business"
"127","The Research Is Clear: Long Hours Backfire for People and for Companies http://t.co/2mB3RTQLt6 http://t.co/wVDE9VdPUr","business"
"128","The classic ""Becoming the Boss"" is our archive article of the week. http://t.co/QayLdDBLow http://t.co/o2YJndlA7W","business"
"129","Why You Can't Base Business Partnerships on Personal Chemistry http://t.co/tInM3k1tWO http://t.co/qym22mJOkg","business"
"130","Most People Have No Idea Whether They’re Paid Fairly http://t.co/pjiHAEAByt","business"
"131","6 Ways to Tell Stories with Data Throughout the Customer Lifecycle http://t.co/ci7nPKmk7V http://t.co/y3nFILGC7K","business"
"132","New Managers: You Should Embrace Your Rookie Status http://t.co/oCfc9aZrx4 http://t.co/98qC4rf0hv","business"
"133","The Harvard Contest That’s Trying to Improve Health Care Delivery http://t.co/02etfEHrCG http://t.co/roRESEF4gy","business"
"134","How Managers Can See the Future More Clearly http://t.co/yh8TFpsDNf http://t.co/JtK4I2g7MA","business"
"135","Letting Good People Go When It’s Time http://t.co/pyv94yV5pm http://t.co/TcDngBh3OI","business"
"136","Why the Best Managers Are Boring Managers http://t.co/0w9KC4SpIh http://t.co/8SkvrICN17","business"
"137","How Leaders Can Embed Sustainability Thinking into Their Company Cultures http://t.co/kZXbmeBV5N http://t.co/u5opby2LT4","business"
"138","What to Do When You Don’t Trust Your Team http://t.co/lKjeWFGuWa http://t.co/ejjvPMRyPY","business"
"139","How new managers can get better at embracing what they don't know http://t.co/AYjn50AHDP http://t.co/mKZjQur52U","business"
"140","Shouldn't Technology Be About More than Efficiency? http://t.co/FSzemuBR4m http://t.co/Ud2w6PPALJ","business"
"141","This Is How You Pitch a Brilliant Idea: http://t.co/RtCOBq4IuD http://t.co/fLUY1HIFb5","business"
"142","What to do (and not do) when competitors try to poach your employees: http://t.co/f0qGA5jE3Y http://t.co/K0qFRKK8lw","business"
"143","We’re thinking about paying for value all wrong http://t.co/tXv0KlnMT3 http://t.co/l5vxBv8shL","business"
"144","The common triggers of distrust and what you can do to work through these issues on your team http://t.co/2apqvAtAHl http://t.co/WHy5MWhlgQ","business"
"145","Data Shows Who’s Benefiting from MOOCs, and Why http://t.co/d0mR0FcdkB http://t.co/sBkjPlXAK0","business"
"146","What Generous People's Brains Do Differently http://t.co/n7dDJrokVs http://t.co/5r8htYjye6","business"
"147","Companies should start incorporating sustainability into everyday work http://t.co/uaQPn3FloW http://t.co/52EOYLRK9r","business"
"148","Tips for supporting and motivating ambitious employees: http://t.co/NC6bA72P5O http://t.co/HjbxT3dEKf","business"
"149","Tips for supporting and motivating ambitious employees: http://t.co/dhz9anH5iU http://t.co/4oLGFx7L7M","business"
"150","What You Should Do When Your Personal Growth Stalls http://t.co/HFRpBAvDto http://t.co/Ou1l6MOzKc","business"
"151","Sometimes the best managers aren't the people who initially stand out http://t.co/OKETGrJlfr http://t.co/j7jH9pVxjw","business"
"152","Carly Fiorina’s legacy as CEO of Hewlett Packard http://t.co/4hiv6zRETZ http://t.co/idJTttG1wu","business"
"153","What HBR subscribers are reading: Outsmart Your Own Biases http://t.co/MpdnxXDVj0 http://t.co/TWxoiep3Yo","business"
"154","The benefits of a laid-back, low-stress approach to leadership http://t.co/idYhFoYZ0u http://t.co/edm10kiG6A","business"
"155","How Apple’s New iPhone Pricing Plan Is Driving Growth http://t.co/U7uLZdxtpM http://t.co/FA3A8R6W2i","business"
"156","Learn to collaborate better with your creative colleagues http://t.co/mNqYFtmQFV","business"
