"","user","type"
"1","Jerry Parr, Secret Service agent who once helped in saving Reagan's life, passes away http://t.co/Z6wfLTLewN http://t.co/9wjBkE5QOK","politics"
"2","On the blog: What it's like having your mosque targeted http://t.co/wYPrBt2eSo http://t.co/ewv6BMMwsT","politics"
"3","Join us on Tuesday as we break down the first Democratic primary debate http://t.co/0e8wLO8yp0 http://t.co/7LqRzoEOkQ","politics"
"4","Here's how police could end up making body cameras mostly useless http://t.co/qDoHHFcmhI http://t.co/dbnA6NC3WC","politics"
"5","Doctors Without Borders meets bombing without consequences http://t.co/UcUCS9ZH3a http://t.co/Poq4hvYYWf","politics"
"6","Top 10 ""SNL"" political sketches of all time http://t.co/onTUg0QURx http://t.co/Gyum5Vangn","politics"
"7","If the GOP speaker mess gets much worse, Republicans may turn to Democrats for help http://t.co/mvU6KOoBTt http://t.co/oRoQcxLDIG","politics"
"8","Hillary Clinton is getting two key chances to quiet her skeptics http://t.co/hN97lTQXKv http://t.co/qcVNqzLMdv","politics"
"9","28 lawmakers call for a woman to finally lead the United Nations http://t.co/5bY54cbEqX http://t.co/pg3zIAzHm7","politics"
"10","New U.S.-Russia military talks seen on Syria air safety http://t.co/hkwMTnfWR4 http://t.co/i1Nmpci4I5","politics"
"11","The small Brooklyn publisher that brought the CIA torture report to the world http://t.co/YCTM5ptecu http://t.co/v1FBNlFfH1","politics"
"12","FAIL: A reporter asked the wrong congresswoman about her alleged Kevin McCarthy affair http://t.co/Rx5Jb50PrK http://t.co/3mEjOElZmN","politics"
"13","Bernie Sanders has one pro-Wall Street vote http://t.co/5qhrG2v7XG http://t.co/Li1I56oWgz","politics"
"14","Study finds blacks lost money after buying a home, even in boom times http://t.co/cEoO5dNwwX http://t.co/mDzOrrqI99","politics"
"15","Court places hold on clean water rule nationwide http://t.co/EF6ZrSFypJ http://t.co/0ZvWZp0Iq9","politics"
"16","Obamacare website beefs up privacy controls after complaints http://t.co/V7BsQ5wHPQ","politics"
"17","Key progressive group to be absorbed by Wellstone Action http://t.co/1vJzNW4GIQ","politics"
"18","The Pentagon program for Syrian rebels failed. That doesn't mean everyone is an extremist. http://t.co/Fmvl8k689f","politics"
"19","Bernie Sanders' new digital whiz comes from a phone company empowering progressive activists http://t.co/lzpTWXZnC8","politics"
"20","How heroin is hitting the foster care system http://t.co/bna9hII107","politics"
"21","What if Congress treated gun violence like it treated the Benghazi attack? http://t.co/V22w3qa1Of","politics"
"22","Gallup bows out of primary polling. http://t.co/BYowvnGVDy","politics"
"23","Specter of climate change haunts this year's pumpkin crop http://t.co/mWj0UlaP8z http://t.co/NHyAZ7e4zL","politics"
"24","A legal loophole may have cost this woman her life http://t.co/Xhe2v6eBJZ","politics"
"25","You can now listen to Justice Scalia call Obamacare ""SCOTUScare"" over and over http://t.co/KP3gK7Aelg http://t.co/SzcySjSLz0","politics"
"26","Here's why Elizabeth Warren would make the perfect running mate for Bernie Sanders http://t.co/sbMgdOF90o","politics"
"27","Planned Parenthood probes find no wrongdoing, but the damage has still been done http://t.co/GhlyrOiBjJ http://t.co/stkwG6PaAh","politics"
"28",".@UNEP says sustainable development requires altering the world’s financial system http://t.co/WeytpfFXIf","politics"
"29","U.S. pulls plug on Syria rebel training effort; will focus on weapons supply http://t.co/8EFzmA5rQW http://t.co/8KZKqYaqqV","politics"
"30","Arkansas judge halts executions as inmates challenge law http://t.co/XXQMC7dE8F http://t.co/anXFrgK50l","politics"
"31","The Republican leadership crisis may have just saved the Export-Import Bank http://t.co/wkTP0hLUex http://t.co/SGyMluhdOu","politics"
"32","The small Brooklyn publisher that brought the CIA torture report to the world http://t.co/Pl7jcELuTH http://t.co/gKYR3CdFJg","politics"
"33","Some places are celebrating a different holiday on Columbus Day http://t.co/PjX6EExFsS http://t.co/dFFEM8nh7C","politics"
"34","GOP senator blames media for mass shootings http://t.co/JiW6D7xnYM http://t.co/qHkxqNMkOG","politics"
"35","Republican activists are turning toward outsider candidates. http://t.co/3VFkcd41En http://t.co/qIPEz8xzRj","politics"
"36","Obama visits Oregon one week after mass shooting http://t.co/Pd2XVS80wl http://t.co/J5CsIZZDxJ","politics"
"37","FAIL: A reporter asked the wrong congresswoman about her alleged Kevin McCarthy affair http://t.co/lqnnLXExHy http://t.co/eNjncyCB6D","politics"
"38","Here's what happened at Hillary Clinton's meeting with Black Lives Matter http://t.co/JdySKwE1S9 http://t.co/EDTI5WaS0e","politics"
"39","Bernie Sanders has one pro-Wall Street vote http://t.co/LlXdZdjVLv http://t.co/SCZHoB3cdS","politics"
"40","Study finds blacks lost money after buying a home, even in boom times http://t.co/mJRklpdw6r http://t.co/DsDxMo8haF","politics"
"41","Court places hold on clean water rule nationwide http://t.co/UIQfqljvsJ http://t.co/qIv76IZA8t","politics"
"42","Chris Christie just doesn't about the speaker of the House drama, man http://t.co/tARyIRIma6 http://t.co/fUHf7wtrh6","politics"
"43","Bristol Palin freaks out about girls getting free birth control http://t.co/LHddOoS1wu http://t.co/Kokb7clxoH","politics"
