"","user","type"
"1","I felt either @ShamitaShetty or #MohitMalik would win #JhalakReloaded: @faisalkofficial  http://t.co/QDL2pJHREi http://t.co/1juzDnYvJ0","movies"
"2","#JhalakReloaded: @faisalkofficial becomes the youngest contestant to win the title
http://t.co/mefvRZR0tZ","movies"
"3","And the young gun prevails. Congratulations to Faisal for winning the #JhalakFinale","movies"
"4","The #JhalakFinale  reminds us why @shahidkapoor is one of Bollywood's finest dancers. His moves seem so effortless.","movies"
"5","All the acts are top notch. They justify the hype surrounding the #JhalakFinale","movies"
"6","The final showdown is upon us. The message is clear 'do or die' #JhalakFinale","movies"
"7","The 'Jhoota Dilaasa' gig was incredibly hilarious and witty #JhalakFinale","movies"
"8","Mohit Malik  has been eliminated from the #JhalakFinale","movies"
"9","Someone is going to be eliminated pretty soon. #JhalakFinale","movies"
"10","Kudos to Faisal for delivering a highly pulsating performance. #JhalakFinale","movies"
"11","The crackling chemistry between @shahidkapoor  and @aliaa08  has added new life  to the #JhalakFinale","movies"
"12","The 'Ishq Hoon' number does not do justice to Shamita Shetty's  energetic dance moves. #JhalakFinale","movies"
"13","Here's what's happening at #JhalakFinale. Don't miss

http://t.co/yARrdemAco #JhalakReloaded","movies"
"14","Who is your favourite finalist? Moreover, who do you think will win the #JhalakFinale ?","movies"
"15","The #JhalakFinale  kicks off in just a few seconds. Stay tuned to enjoy the drama as it unfolds.","movies"
"16","Can't watch #JhalakFinale tonight? Follow our tweets to know what's happening on the show. #JhalakReloaded","movies"
"17",".@suyyashrai, @princenarula88 : Final list of #BiggBossDoubleTrouble contestants 
http://t.co/6DhQ41Ywv8 http://t.co/xhe78420OP","movies"
"18","Happy Birthday #Rekha: A repository of her love life, controversies and achievements
http://t.co/8HQ00nOJwF http://t.co/qN0nYSkuLI","movies"
"19","Planning to watch #TheWalk this weekend? Read @RajeevMasand's review first: http://t.co/b6CTK2pM6s http://t.co/3wn8Pq2hgm","movies"
"20","Read @RajeevMasand's review of #Jazbaa http://t.co/l2LuJ0oMIL http://t.co/iu7PzNoBc1","movies"
"21","#Rudhramadevi review: Slow narrative overshadows #AnushkaShetty's sincere performance
http://t.co/4Wmthy25Tk http://t.co/UvrUm8JW5r","movies"
"22",".@diljitdosanjh starrer #MukhtiarChadha to release on November 27
http://t.co/WTRg6qGtbH http://t.co/sQduAlp8RE","movies"
"23","Veteran music director Ravindra Jain passes away
http://t.co/E2lCYfMrZA http://t.co/MFzXXEt3mC","movies"
"24","I would have loved to be a part of #Papanasam: #AnupamaKumar http://t.co/g7owpKf8QZ http://t.co/Lzxsj5MNxy","movies"
"25","#Pan tweet review is over, stay tuned for more movie updates.","movies"
"26","Watch #Pan just like you read a fan-fiction and you'll have unforgettable ride. For those good old summer breaks and magic filled dreams.","movies"
"27","#Pan : Full of magic, mystery and belief, it touches upon the real characters from the original story just a little bit. It's a new telling.","movies"
"28","#Pan : ""We would always be friends hook?"" ""Always"" ""What could possibly go wrong?"". Well...","movies"
"29","#Pan : Inspite of slow storyline #LeviMiller wins your heart!","movies"
"30","#Pan : Peter meets #Tinkerbell! This is so beautiful!","movies"
"31","#Pan : Now we know why Peter couldn't read properly! Only the fairy language speaks to him. Magical, just like old times.","movies"
"32","#Pan : @Caradelevingne as mermaid! Scenes couldn't get anymore mystical!","movies"
"33","#Pan : More than an adventure it's a story of self discovery.","movies"
"34","#Pan : First half is gripping and leaves you awe struck. It's like living your long wished childhood fantasy!","movies"
"35","#Pan : More than the story it's the Neverland that gets your attention!  So dense, colourful and magical.","movies"
"36","#Pan : A boy who can fly, we found here and how!","movies"
"37",".@RealHughJackman returns on the big screen after a long time. Catch the live tweet review of #Pan here first.
http://t.co/2CmC2wgx5r","movies"
"38","#Pan : @RealHughJackman looks unrecognizable as Captain Blackbeard! Never seen before indeed!","movies"
"39","#Pan : It's a magical world! Amazing CGI! It's like diving into your favourite fairy tale!","movies"
"40","#Pan : And the adventure begins!","movies"
"41","#Pan : 'Peter you are extraordinary.' Oh yes! This kid is special.","movies"
"42","#Pan : #LeviMiller as Peter looks adorable. Some mystery going on in the orphanage.","movies"
"43","Directed by #Joewright  #Pan is a prequel of much loved #PeterPan story tracing the origins of young Pan and Captain Hook.","movies"
"44","Last one. 'Mohabbat hai isi liye jane diya. Zidd hoti toh bahon mein hoti' Thanks for being with us throughout the tweet review of #Jazbaa","movies"
"45","But the dialogues! Oh dear the hilarious over the top dialogues make you lose your concentration from the plot. #Jazbaa","movies"
"46","#Jazbaa does deliver a strong message about how our legal system time and again fails to deliver justice on time.","movies"
"47","Aishwarya Rai grunts and screeches on some scenes but manages to deliver a convincing performance. #Jazbaa","movies"
"48","Melodramatic to the core, #Jazbaa scores only because of the performances.","movies"
"49","So many scenes look like they have been edited with Instagram filters. #Jazbaa","movies"
"50","One more. 'Aajkal shareef sirf woh hota hai jiske mobile mein password nahi hota'. #Jazbaa","movies"
"51","How can a suspended cop issue orders of a raid to his juniors? #OnlyInMovies #Jazbaa","movies"
"52","Some poignant scenes do question society's attitude towards rape victims. #Jazbaa","movies"
"53","Since when did rehabs start looking like mental asylum? #Jazbaa","movies"
"54","High on drama, lot of unnecessary shots of cars screeching, really over the top dialogues. First half of #Jazbaa is just like its trailer.","movies"
"55","'Neend mashooka ki tarah hota hai. Waqt na do toh rooth ke chali jaati hai' seriously who talks like that!? #Jazbaa","movies"
"56","Sanjay Gupta has managed to get a solid supporting cast for #Jazbaa","movies"
"57","Catch the live tweet review of #AishwaryaRai and @irrfan_k starrer #Jazbaa here http://t.co/4dyt6nbWTC","movies"
"58","'Main khud langar ke line mein khada hoon. Tere liye daawat kaha se lau rokde' #Jazbaa starts in typical Sanjay Gupta style.","movies"
"59","#Jazbaa has been directed by @_SanjayGupta and also features @irrfan_k, @AzmiShabana in key roles.","movies"
"60","Will #AishwaryaRaiBachchan be able to create magic on the big screen once again. We will find out! #Jazbaa","movies"
"61","Aishwarya Rai is back on the big screen! And we are super excited to watch #Jazbaa first day first show. Stay tuned for the tweet review","movies"
"62","#AnkitGera, #RoopalTyagi, #AmanVerma: Meet the contestants who'll be seen in #BiggBoss9 http://t.co/g56LBUFovV http://t.co/JKW7V2eYuj","movies"
"63","Is #AayushSharma taking fitness cues from #SalmanKhan?
http://t.co/QcCKYl0CCM http://t.co/KTr6nPV0gS","movies"
"64","The 17th #JioMAMI @Mumbaifilmfest has got bigger and better and you should not miss it
http://t.co/5e8i5ZjXRU","movies"
"65","Watch: Trailer of #KamalHaasan's #Thoongaavanam is intense http://t.co/24LPUxJmGe http://t.co/JBsNuDad4q","movies"
"66","This photo of #Dilwale co-stars @iamsrk and @KajolAtUN captures the essence of true love http://t.co/V09m111anJ http://t.co/VDPdtmRdZM","movies"
"67","#BajrangiBhaijaan gets standing ovation in Busan International Film Festival
http://t.co/HfMMkGLl1m","movies"
"68","Photos: #SalmanKhan visits father Salim at Mumbai hospital http://t.co/Kjr7L4LgVc http://t.co/9x4WlJVCp2","movies"
"69","#AIFWSS16: Here’s what to expect from day 1
http://t.co/Al3vVONJGN http://t.co/ZjtonyCr4F","movies"
"70","The trailer of @konkonas, @TillotamaShome starrer 'Nayantara's Necklace' looks promising
http://t.co/pC0sZG524g","movies"
"71","Watch: Salman Khan does #PremLeela in new song from #PremRatanDhanPayo
http://t.co/uKqcrS6A3o http://t.co/5v1SK6p99N","movies"
"72",".@mehtahansal’s #Aligarh to open  #JioMAMI Mumbai film festival http://t.co/KVCNuVYua2 http://t.co/xn0b6cGAe8","movies"
"73","Doesn't #SonamKapoor share striking resemblance to #BipashaBasu in these photos? http://t.co/UUpMXrpJhF http://t.co/4uZGwlCQZ9","movies"
