"","user","type"
"1","IEEE Collabratec is an online community where technology professionals can network, collaborate, &amp; create–Learn more http://t.co/lkso4VRkv5","technology"
"2","Can the evolving defense mechanism (EDM) help prevent future #cyberattacks on the network?
http://t.co/ShubcOeJxu","technology"
"3","A Korean research team makes autonomous cars safer with distributed architecture #IEEE #autoengineering http://t.co/AF9CiRnKSA","technology"
"4","Is Li-Fi getting ready to compete with #WiFi? http://t.co/6TwBeTMuXh","technology"
"5","Happy IEEE Day! How are you getting involved? #IEEEDay2015 http://t.co/EefxYtYz1b","technology"
"6","Distributed architecture and AUTOSAR: a breakthrough for #autonomouscars? http://t.co/i8wxkNe7Ro","technology"
"7","#Electromagnetic waves has proven to be a quick and accurate replacement for measuring vast, complex spaces http://t.co/xGtKiKJoDY","technology"
"8","A new #D2D discovery protocol helps devices connect directly to others nearby http://t.co/GqHIbkS8YU","technology"
"9","This complimentary #eLearning course provides an overview of the basic concepts and elements of #smartgrid. http://t.co/qlcypcAcM7","technology"
"10","The top search term in IEEE Xplore is “Control”. Check out the other top 24 searched terms now http://t.co/rpsW53eD8j","technology"
"11","A refresh of legacy data algorithms could lead to more efficient #D2D app discovery http://t.co/GqHIbkAxAk","technology"
"12","Researchers explore the role of #bigdata analytics in IoT to monitor, control, optimize, &amp; create autonomous behavior http://t.co/TKrK8O2NuJ","technology"
"13","The 2015 Cyber-Physical Systems, Networks, and Applications conference proceedings are now available in IEEE Xplore http://t.co/PiTpJTsIt8","technology"
"14","Could the key to reducing cloud data breaches lie in anonymous attribute-based #encryption? http://t.co/IF3GO3jyH5","technology"
"15","Research investigating how to gain more bandwidth uncovered a valuable hardware security tool http://t.co/n6bdCAMSKT","technology"
"16","IEEE Xplore has over 70 #eBooks that cover #cloudcomputing from @mitpress, @Wiley_IEEEPress, &amp; @MorganClaypool http://t.co/u2GzYp98pW","technology"
"17","With 7.5 #zettabytes of data projected to be generated in 2015, SMC practitioners should be embracing #bigdata http://t.co/UOqW7EQ7Ei","technology"
"18","Researchers develop a simple empirical model to better regulate #solar #energy http://t.co/LUiUe2DqVy","technology"
"19","A portable ultrasonic indoor #3d positioning system can accurately track an object's location in complex environments http://t.co/5Jzb1DXNez","technology"
"20","A new concept of using an autonomous surface vehicle (ASV) can help keep underwater divers safe #openaccess http://t.co/Y2LefFU21v","technology"
"21","As #solar panels become more popular, research in Southeast Asia helps them literally enter the main stream http://t.co/DboclpHAEM","technology"
"22","Distributed architecture and AUTOSAR: a breakthrough for #autonomouscars? http://t.co/XIWECtaBTY","technology"
"23","Research investigating how to gain more bandwidth uncovered a valuable hardware security tool http://t.co/Uaa8Be6vRR","technology"
"24","Could domain wall memory lead us to the next chapter of hardware network security? #IEEE http://t.co/Uaa8Be6vRR","technology"
"25","Has technology advanced enough to economically store energy in residential batteries? http://t.co/GeVN1fcNlR","technology"
"26","Researchers say multicoil links could bring us closer to wireless charging http://t.co/WKhqY9aYcP","technology"
"27","Cutting-edge material science makes modern jet engines tougher and more fuel efficient http://t.co/A0oxKnZYKz","technology"
"28","A new program can help identify counterfeit paintings with more than 70% accuracy http://t.co/y2ruVhqnvG via @IEEEInstitute","technology"
"29","Check out some of the latest #photonic research breakthroughs in #random #lasers http://t.co/IOp7KkuXRe","technology"
"30","@EnsignR IEEE Xplore supports RIS and many other exporting formats. Here's the list of export options &amp; instructions: http://t.co/49TL60ODVU","technology"
"31","Researchers say these multicoil links could hold the key to wireless charging #IEEE http://t.co/GxkjxaVlF0","technology"
"32","The new IEEE Xplore Innovation Spotlight provides an inside look into the latest technical advancements &amp; challenges http://t.co/H92uGRhJRy","technology"
"33","Looking beyond encryption, research from IEEE explores physical buffer-aided relays for securing LTE wireless http://t.co/xHT0m6NjeQ","technology"
"34","What are #hackathons for? http://t.co/hes2SQaZNS","technology"
"35","The number one searched term in IEEE Xplore is “Network”. Check out the top 25 searched terms now http://t.co/iVzjuqBqIP","technology"
"36","Even #encryption can't guarantee secure #LTE wireless. This team turns to physical buffer-aided relays #IEEE http://t.co/7xMPULGSi3","technology"
"37","The 2015 IEEE conference on Software Engineering Education and Training is now available in IEEE Xplore http://t.co/kCx8LLrHV3","technology"
"38","Could mixed integer linear programming protect the electric #grid from cyber attacks? #IEEE http://t.co/GgO850r3HX","technology"
"39","Research from the IET aims to reduce the total standby power of a personal computer http://t.co/1mxyzeNxYy","technology"
"40","Researchers present a method to recognize planar structures in a single image to estimate their #3D orientation http://t.co/QUXzcpFT1E","technology"
"41","PMU sensors could undermine the national #grid. Researchers program a counter-measure #IEEE http://t.co/VskES5qNvw","technology"
"42","The latest issue of the IEEE industry applications magazine is now available in IEEE Xplore http://t.co/ClFpComxGM http://t.co/DlPVJEydUk","technology"
"43","The software engineer of tomorrow will need better education and more experience vs. the software engineer of today http://t.co/KD33Q20xqF","technology"
"44","Research from #IEEE may have found a way to design longer-lasting #batteries http://t.co/79X6mh3uFX","technology"
"45","A study found that 86% of #Android #apps were legitimate applications repackaged with #malicious payloads http://t.co/hYqRS5qwsU","technology"
"46","It is achievable @CNNMoney @VerizonNews. Researchers have successfully transmitted data at 10 GB/s via blue LEDs http://t.co/eH8y7v1Cma","technology"
"47","Tired of device drain? These researchers use quantum physics in TCAD to design longer-lasting #batteries #IEEE http://t.co/qiXcSOggyx","technology"
"48","The proceedings from the 2015 IEEE International Symposium on Circuits and Systems are now available in IEEE Xplore http://t.co/7K0Duw1tsw","technology"
"49","Researchers are testing dynamic programming in large-scale data centers to reduce network communication delays http://t.co/5wLHgnB09W #IoT","technology"
"50","This @IEEEPress #eBook details the 10 essential skills every electrical #engineer should know http://t.co/NYZmc8J0f1","technology"
"51","Scientists detail the multimodal brain #tumor image segmentation benchmark and results http://t.co/l8eGA9NJfc","technology"
"52","How do you prevent multi-terminal HVDC transmissions from receiving an overage of DC volts? http://t.co/yT371cjuCF","technology"
"53","The European Space Agency has tested the use of liquid crystals in space-simulated conditions http://t.co/B5BK69uEEp","technology"
"54","What can ice cubes, fish, and opera singers tell us about the future? http://t.co/sxPNSxcD5b","technology"
"55","#3D printing can dramatically reduce the total design cycle time for an electronic device. http://t.co/OblJ1h1uR6","technology"
"56","Try this complimentary #eLearning course, suited for professionals looking for in depth knowledge on 4G #LTE http://t.co/IqOZDQdKMq","technology"
"57","The top downloaded article on IEEE Xplore analyzes data mining with #bigdata. Read the abstract: http://t.co/uhmd5f9xg4","technology"
"58","Looking for in depth knowledge on 4G #LTE? Try this complimentary IEEE Xplore eLearning course: http://t.co/KlAMPRcnVN","technology"
"59","A recent study found that 6 out of 10 mobile #VoIP applications on #Andriod devices are not #encrypted http://t.co/MsmbgUu0dC","technology"
"60","A cellphone charger that runs on candlepower http://t.co/Mhi3toNSoq","technology"
"61","US Air Force Lab reiterates the negative impact space weather has on spacecraft communication &amp; positioning systems http://t.co/w0v5mv63rC","technology"
"62","This mobile app #survey details some interesting differences in user behavior and reveals new software challenges http://t.co/5x1CfmsbAV","technology"
"63","What will the next 100 years of privacy and cybersecurity look like? http://t.co/c7o46fr4Mp","technology"
"64","New research identifies trends, opportunities, and issues on the #microgrid 
http://t.co/pJwG5YlssZ http://t.co/9MIuqbohGz","technology"
"65","It is possible to read and write #DNA using #nanopore technology http://t.co/CAbKGD5AmU","technology"
