"","user","type"
"1","Memorable movie poster #50: #CatchMeIfYouCan http://t.co/arnreMEA8r #IMDb25 http://t.co/fHrBCK5l9n","movies"
"2","10 scene-stealing action figures your kids can relate to, look up to, and be inspired by: http://t.co/GICAwgpQYo http://t.co/Vp22S2t4oK","movies"
"3","#Expendables4 secures China pre-sale http://t.co/IVbUPVLFi5 #MovieNews http://t.co/BOj7sFM5tm","movies"
"4","Here's one of our top #FBF quotes from #AliceEve #IMDb25 http://t.co/rl4RJkLWVF","movies"
"5","FIRST LOOK! Here's the latest poster for Pride and Prejudice and Zombie: http://t.co/Rv0R2YfLuP http://t.co/IF4eCUWS6z","movies"
"6","Join us for a live Instagram Q&amp;A today at 4:30pm PT/7:30pm ET w/ @SpotlightMovie director, #TomMcCarthy! #IMDbAskTom http://t.co/RPn20QQlRy","movies"
"7","Steven Spielberg, James Frey murder mystery #AmericanGothic gets series order from @CBS http://t.co/YZr3Y1WTNu","movies"
"8",".@EllenPage is here to answer your questions about @freeheldmovie! 
Post your questions here: http://t.co/u5FNWCBYKN http://t.co/KJOzQNFfKy","movies"
"9","Check out the new #Trailer for #Shelter: http://t.co/7pAb98HWeX http://t.co/QCXV8VpDfi","movies"
"10","#BrieLarson eyed for lead in Lionsgate’s #GlassCastle http://t.co/Ep1ylSctMy","movies"
"11","TGIF! RT #IMDb99Homes to win a poster signed by #MichaelShannon, #AndrewGarfield #LauraDern! http://t.co/GqSVsaz6vW http://t.co/bmACdfmin6","movies"
"12","Forecast: WB's #Pan faces stiff competition and low expectations http://t.co/MrQDrplVxl http://t.co/0kSKdm59bb","movies"
"13","#BigStoneGapMovie is officially out in theaters! Check out the trailer here: http://t.co/2Jj225W6Qo http://t.co/rFv7E2M9iK","movies"
"14","You don't just watch it, you live it! See #TheWalkMovie in IMAX – now playing everywhere: http://t.co/R8vY6EaTJP
https://t.co/ihlm8sQmhe","movies"
"15","Memorable movie poster #50: #DearWhitePeople http://t.co/C0mUMV3nNc #IMDb25 http://t.co/EvP7jyj92m","movies"
"16","Memorable movie poster #18: #Bulworth http://t.co/naTX7O2bzX #IMDb25 http://t.co/IQVV3pDOUB","movies"
"17","#HarryPotter spinoff 'Fantastic Beasts' casts Ron Perlman http://t.co/U4C6IfI6vh","movies"
"18","#TBT Will Ferrell and Adam McKay Toast and Roast IMDb: http://t.co/hAwe9RRLuy #IMDb25 http://t.co/DyQs1OsMhy","movies"
"19","""Movies can do anything..."" #ChristopherNolan shares his first movie experience with @IMDb! #IMDbAsks
https://t.co/V9lCONQ3tA","movies"
"20","#Trivia time! Want to know the answer? Find out here: http://t.co/OsJmLKc9Y9 http://t.co/hrfI8IMptQ","movies"
"21","#Disney announces release dates for ‘Incredibles 2,’ ‘Cars 3’: http://t.co/NQt2zkv2Bq http://t.co/IwRdZyayTE","movies"
"22","#Marvel sets 'Ant-Man' sequel for 2018 http://t.co/CVY2gPPPmU http://t.co/mKlgE0yubg","movies"
"23","Check out the #exclusive poster for @lovethecoopers: http://t.co/HqaYnxE98j #LoveTheCoopers http://t.co/WBhD53LqBv","movies"
"24","Here are the top 25 life lessons we've learned from the past 25 years of film: http://t.co/3FD6bs4slX #IMDb25 http://t.co/VwuyWsuUtY","movies"
"25","Steve McQueen’s #Papillon gets remake http://t.co/OnAa1mELvs http://t.co/t2YkSExxlW","movies"
"26",".@MartianMovie actress #NaomiScott cast as 'Kimberly, The Pink Ranger' in @PowerRangers http://t.co/AKtOeKDvtj http://t.co/kvT2gfCiWr","movies"
"27","#TheLeague’s Katie Aselton to star in Ed Helms, Owen Wilson Comedy #Bastards: http://t.co/XfsOLpXDEQ","movies"
"28","#BadBoys 3 may happen a lot sooner than you think: http://t.co/ZYekHlbtWG #MovieNews http://t.co/zjDIzmTwyK","movies"
"29","Memorable movie poster #3: #TheSilenceoftheLambs http://t.co/vZK82YM4bf #IMDb25 http://t.co/8PvWg7B4wS","movies"
"30","#Disney's next princess — Moana — finds her voice and her official look: http://t.co/MoSsztjJt9","movies"
"31","Now trending! Check out the most popular trailer now playing on #IMDb: http://t.co/iXaDRr0tGT","movies"
"32","#Trivia time! Give up? Answer: http://t.co/yhU4FxC5a4 http://t.co/8paEYkhCQ5","movies"
"33","#ElizabethBanks talks about the first ""R"" rated movie she saw in theaters. #IMDbAsks
https://t.co/6wcWx7skiR","movies"
"34","International trailer released for #Trumbo starring #BryanCranston: Watch now→ http://t.co/VuA0ePa7Bz http://t.co/edkw5T33iW","movies"
"35","#TRIVIA: Who said it? Answer → http://t.co/WiMlp61QuR http://t.co/5rNNgjRntk","movies"
"36","Share yours using → #IMDbConfessions http://t.co/OOjlbc1yRu","movies"
"37","Memorable movie poster #45: #Skyfall http://t.co/ClLqxl148S #IMDb25 http://t.co/bqP5BmxlDt","movies"
"38","#JackHuston, #JenniferAniston join war pic ‘The Yellow Birds’ http://t.co/FhrPkO98yx http://t.co/Q0J51Yyf8J","movies"
"39","#MeetTheParents opened in theaters 15 years ago today! Check out the top trivia here: http://t.co/Z3GRFsgr9v http://t.co/wTM9yBJPA9","movies"
"40","The final trailer for #TheHungerGames has arrived—Watch now: http://t.co/gxPNtH4fhi http://t.co/n494gSDgyS","movies"
"41","#TwinPeaks revival adds Peter Sarsgaard in recurring role: http://t.co/geHQHPCySt http://t.co/HHEtZ03gMY","movies"
"42","#ChantalAkerman, acclaimed Belgian filmmaker, has died: http://t.co/Mo569Q0WsR #RIP http://t.co/FmHIyy8GUg","movies"
"43","FIRST LOOK! Check out the brand new trailer for @TheGoodDinosaur! #GoodDino
https://t.co/g7kWbJQOwC","movies"
"44","Most iconic movie quotes from the last 25 years: http://t.co/UarGMKoLVR #IMDb25 http://t.co/dQ2wDvwx5r","movies"
"45","""I've never recovered from that..."" Keira Knightley shares the first film that terrified her! #IMDbAsks
https://t.co/ujgXfq0QOf","movies"
"46","George Miller promises two more #MadMax films are still on the way http://t.co/cDAUfeR1Vy http://t.co/96SjvFoL4e","movies"
"47","Watch the 'Steve McQueen: The Man &amp; Le Mans' trailer: http://t.co/0PGjLiH80M #IndieFocus http://t.co/5opp0l7yrD","movies"
