"","user","type"
"1","We’re giving away a limited number of viewers for @DrewBarrymore's #InStyleVirtual cover shoot video! Get yours now: http://t.co/bjd7J1qjPC","fashion"
"2","We Tried It: ""Baking"" the makeup technique that's blowing up on YouTube: http://t.co/zFf4xm4LOx http://t.co/FwVR9U59dT","fashion"
"3","12 engagement rings for the non-conventional bride: http://t.co/G07ZtCa6Ts http://t.co/GkTuetAQF2","fashion"
"4","How one bottle of apple cider vinegar will totally transform your skin &amp; hair: http://t.co/ZHDA6N3of2 http://t.co/sdpqnc8PCb","fashion"
"5","Ellen DeGeneres reveals hilarious photos of @PortiadeRossi's bad hair days: http://t.co/vuTjc9Dmth http://t.co/MJJ9BMlwgf","fashion"
"6","#InStyleBestDressed is here! See who topped our list of Hollywood's 50 best dressed women: http://t.co/Cgl2gaGseW http://t.co/Ddr0OluKR7","fashion"
"7",".@ArianaGrande unveils her naturally wavy hair—see the gorgeous curls: http://t.co/TCYMjwDMxW http://t.co/XNf8TsL7PO","fashion"
"8","The $0 trick to walk in heels without pain: http://t.co/bCSwTp6cTO http://t.co/GMUxEYMQUj","fashion"
"9","Can you pull off short hair? This simple trick will tell you: http://t.co/w7EPPG2dmS http://t.co/1yLwkCSB0M","fashion"
"10",".@CarrieUnderwood reveals the incredibly easy recipe for her favorite healthy breakfast: http://t.co/Tx78oZusQe http://t.co/qfjmiC62Xj","fashion"
"11","These two drugstore products keep model @GiGiHadid's skin flawless: http://t.co/0FuYQlAsaq http://t.co/oP8SeZ1lGO","fashion"
"12","The 9 types of shoes every working woman should own: http://t.co/aTvdGqJt6H http://t.co/KeFhyx478v","fashion"
"13","Here's how to properly remove a blackhead: http://t.co/NpoNYQxIWl http://t.co/B6pfvtIKOv","fashion"
"14","When should you start wearing tights? InStyle editors weight in: http://t.co/Y2swMAbqxb http://t.co/AuAJ2Q2viX","fashion"
"15","Watch Matt Damon and his #Martian co-stars explain how they're helping fight a global @water epidemic: http://t.co/OZJ8WnrIP4","fashion"
"16",".@selenagomez looks better than ever in a black one-piece swimsuit: http://t.co/lTMZco5nyL http://t.co/FYT8rdh3mq","fashion"
"17","ICYMI: Tom Cruise &amp; Nicole Kidman's daughter, Isabella Cruise, marries in secret wedding: http://t.co/hDdckWG1XM http://t.co/C0toMYqQ4H","fashion"
"18","Watch Claire Danes react to crazed #Homeland fan Stephen Colbert on @colbertlateshow:  http://t.co/vmZqPoZeCR http://t.co/MaBMRhWJi7","fashion"
"19",".@SelenaGomez confirms lupus diagnosis, discusses undergoing chemotherapy: http://t.co/uIKanWbgeY http://t.co/0KqQKCZwN9","fashion"
"20",".@JustinBieber reveals the sexy cover art for his new album #Purpose: http://t.co/5LHlDaXL75 http://t.co/j9MpmTSNTn","fashion"
"21","Rifle Paper Co. partners with @paperlesspost to create a gorgeous stationery collection: http://t.co/vEGhKu5g1X http://t.co/zVcEsjlFP9","fashion"
"22","ICYMI: @KimKardashian shares a photo from her and Kanye West's first date: http://t.co/luCuhcI1z8","fashion"
"23","ICYMI: @SelenaGomez confirms lupus diagnosis, discusses undergoing chemotherapy: http://t.co/mWm1Qvq1cf http://t.co/I0ezGIbPsc","fashion"
"24","How to air-dry your hair (and have it look awesome!): http://t.co/g7Hbe5GhVB http://t.co/QMEJpNmS2s","fashion"
"25",".@GigiHadid explains why @KendallJenner and @TaylorSwift13 are her closest celeb BFFs: http://t.co/ncc25Un6tc http://t.co/xkkc8Oao92","fashion"
"26","Amy Poehler interviews Fun Home's 12-year-old Sydney Lucas and it's too adorable: http://t.co/DT09pniGMh http://t.co/LlaHdOF0yW","fashion"
"27","Why you should binge watch @Amazon's show #RedOaks this weekend: http://t.co/d6sGprxKQz","fashion"
"28","Watch Keanu Reeves have the least-exciting car chase ever on @Jimmykimmellive: http://t.co/twaRTamuX9 http://t.co/hKrp8GWFUD","fashion"
"29","Watch Robin Williams voice Aladdin's Genie in never-before-seen outtakes: http://t.co/BjO5Mw0BUc http://t.co/jMptEd3v9d","fashion"
"30","The 3 things your hair needs in the shower: http://t.co/NOKtBA07BS http://t.co/ct9mb6rs9s","fashion"
"31","How to get fuller lashes in 4 easy steps: http://t.co/6W4BkSih5K http://t.co/Bf1s54pLBs","fashion"
"32","All the hair and makeup products you need to amp up your Halloween costume: http://t.co/HZYuxNGZbf http://t.co/7MFww6K5Bv","fashion"
"33","A running list of the beauty products celebrities endorse on Instagram: http://t.co/3UIRf3cKfu http://t.co/epv1H1j9Jd","fashion"
"34",".@YolandaHFoster reveals children @BellaHadid and @AnwarHadid have fought Lyme Disease: http://t.co/cC5iqWp2mb http://t.co/PoWB1DjYHu","fashion"
