"","user","type"
"1","Donuts! http://t.co/b3Gy5ndfG4","food"
"2","5 Layer Caramel Chocolate Cake. http://t.co/5chnr2wi14","food"
"3","Curros &amp; Chocolate Dip. http://t.co/H7L08mz7Fq","food"
"4","Banana Crepes. http://t.co/VYoPYKeXYU","food"
"5","Nutella Stuffed Sea Salt Cookies. http://t.co/cSsZrpe7Ex","food"
"6","Icream Brownie Sundae Bowls. http://t.co/bG5wfbVCRD","food"
"7","Strawberry Shortcake Bars http://t.co/QT2kDngjW7","food"
"8","Jalapeno Cheese Fries. http://t.co/YtDJbLwxon","food"
"9","S'Mores Waffle. http://t.co/a2K5DfRXCF","food"
"10","Chocolate Brownies. http://t.co/JmwG0deQFC","food"
"11","Bacon Topped Cheese Fries. http://t.co/oAslYUBuur","food"
"12","Parmesan Chicken Bites. http://t.co/5pMqa0btju","food"
"13","LMFAOO http://t.co/limmkLi268","food"
"14","Honey BBQ Chicken Wings &amp; Fries. http://t.co/YAmmnQIQJh","food"
"15","Icecream! http://t.co/yqSK3ELzCB","food"
"16","Cajun Waffle Fries. http://t.co/442f5zSsgr","food"
"17","Ferrero Rocher Cake. http://t.co/opWUNIqG0x","food"
"18","Fries http://t.co/AzyTUOXj9V","food"
"19","White Cheddar Mac &amp; Cheese. http://t.co/rfJGcr6c99","food"
"20","Mozzarella Cheese Sticks. http://t.co/q89zh6fuo5","food"
"21","Cheesy Classic Lasagne. http://t.co/tZQj6rP7sn","food"
"22","Berry Topped Waffles. http://t.co/lDuN2vlsVf","food"
"23","Mac &amp; Cheese Grilled Toasty. http://t.co/cf17UDv3zk","food"
"24","Vanilla Frosted Funfetti Doughnuts. http://t.co/vMORNXAUCR","food"
"25","Red Velvet Macaroons. http://t.co/9sJLrsHsXl","food"
"26","Toasted Marshmallow Mousse. http://t.co/nDxzaTG8gs","food"
"27","Bacon Doughnuts. http://t.co/JsYsMBDOFX","food"
"28","What Happens To Your Body One Hour After A Big Mac http://t.co/PEW2mTRppq","food"
"29","Oreo Cake! http://t.co/BmDWjF9px1","food"
"30","Burger! http://t.co/txlURDbSqP","food"
"31","French Toast Sticks. http://t.co/THqILoNLu0","food"
"32","S'Mores Oreo Brownie. http://t.co/rRcigLlJoZ","food"
"33","Cheese Bacon &amp; Egg Burger. http://t.co/nJ5Jxm0fj5","food"
"34","Pad Thai Noodles #NationalNoodleDay http://t.co/GRp89Vbdse","food"
"35","BBQ Chicken Wings. http://t.co/WIqPsnU1Ns","food"
"36","Tater Tots http://t.co/64yUG1zhrJ","food"
"37","Japanese Udon Noodles Ì†ºÌ∑ØÌ†ºÌ∑µÌ†ºÌΩ≤ #NationalNoodleDay http://t.co/5FFNsWFY7j","food"
"38","S'Mores Icecream. http://t.co/TBATR7zUw7","food"
"39","Strawberry Chocolate Bars. http://t.co/SpHuY41aKF","food"
"40","Oreo Cheesecake! http://t.co/ukKHPgiG35","food"
"41","Caramel Icecream http://t.co/fD8XsOy8mu","food"
"42","Mozzarella Stuffed Meatballs http://t.co/co7BYuBhwl","food"
"43","Rainbow Macaroons http://t.co/HsiJWdYAZC","food"
"44","Bacon Cheeseburger! http://t.co/559hLbGK7M","food"
"45","Oreo Mousse Cups http://t.co/CPiaSC7L0i","food"
"46","http://t.co/sOPb5Uh9jD","food"
"47","http://t.co/f27ACz1Owv","food"
"48","http://t.co/YCOnug2Gk6","food"
"49","Sweet &amp; Spicy Chicken Wings http://t.co/KNKsXDGW99","food"
"50","Burger &amp; Fries! http://t.co/9dhpE9DVYj","food"
"51","Donuts http://t.co/e4QP1SYF80","food"
"52","Cupcakes http://t.co/vx8p5K8usj","food"
"53","Buffalo Chicken Grilled Cheddar Sandwich. http://t.co/fs5X2ZWECW","food"
"54","Mozzarella Sticks http://t.co/bV0BEVytDZ","food"
"55","Country dinner. http://t.co/zUJctKRnjp","food"
"56","Oreo Cheesecake Bites. http://t.co/wBMagDZ24Q","food"
"57","Chocolate Dipped Strawberries! http://t.co/KUpKBcQJLm","food"
"58","Here's What McDonald's Menus Look Like Around The World http://t.co/ywHjPqupgd","food"
"59","Cinnamon Iced Pretzel http://t.co/tuKdhN4DJY","food"
"60","Loaded chocolate Cookies http://t.co/USf2w5QTRD","food"
"61","Churros &amp; Chocolate Dip http://t.co/v2FQ90vKCx","food"
"62","Cheese Pizza http://t.co/WvBdlr41Qg","food"
"63","Waffle Fries http://t.co/37GdtV3BYy","food"
"64","In N Out Burgers http://t.co/CRKTM83K7D","food"
"65","Cookie Dough Cake http://t.co/73QEF6O4Cz","food"
"66","Chicken &amp; Gravy Biscuit http://t.co/ksszEuYPLj","food"
"67","BBQ Chicken Strips W/ Garlic Dip http://t.co/3d1ylvFg81","food"
"68","Red velvet Cake http://t.co/bbHLoun7VV","food"
"69","Cinnamon Roll Waffles http://t.co/82TLH6nuWL","food"
"70","Sugared Doughnuts http://t.co/fdvD8yLmrN","food"
"71","Red Velvet Icecream http://t.co/hZfeYH9LAA","food"
"72","Chocolate &amp; Cookie Dough Blizzard. http://t.co/gvOZZJybnK","food"
"73","Cheesy Chips http://t.co/PavF8AruDc","food"
"74","BBQ Chicken http://t.co/hhi0CyuUvy","food"
"75","Strawberry Stuffed Doughnuts http://t.co/Br1MYkJhJy","food"
"76","Gelato Waffle Cone! http://t.co/Ie3oWtGXpF","food"
"77","Oreo Cheesecake Bars http://t.co/GAdgnjgcKE","food"
"78","Chocolate Mouse Brownies! http://t.co/YJzChPYdj9","food"
"79","Cookie Dough Frosted Cupcakes! http://t.co/Oo0jEkjhy9","food"
"80","Bacon Wrapped Jalapeno Chicken Bites. http://t.co/WYEwObT5aL","food"
"81","Ferrero Rocher Cheesecake. http://t.co/sWEVVsUuIH","food"
"82","French Toast! http://t.co/a8zWRoYheN","food"
"83","Kit Kat Cake! http://t.co/LAWqpx8EK7","food"
"84","Baked Mac &amp; Cheese. http://t.co/e7W3pBCn0k","food"
"85","These Waffles... https://t.co/nI9gmPnWqJ","food"
"86","Grilled Pizza Chicken Sandwich. http://t.co/2gHWq84rMf","food"
"87","Fruity Pepple Popsicles. http://t.co/RSdFbeHroR","food"
"88","Waffle Topped W/ Mini Oreos &amp; Icecream. http://t.co/jSjthJGhyH","food"
"89","Homemade Icecream Sandwiches. http://t.co/Jp2KgwLWfw","food"
"90","Loaded Icecream French Toast. http://t.co/SA1D29rwn2","food"
"91","Philly Cheese Steak. http://t.co/7bnINVcm6v","food"
"92","Red Velvet Cheesecake Icecream. http://t.co/XvfFUcgKqJ","food"
"93","Fat Glazed Doughnuts! http://t.co/51hE8rx4yE","food"
"94","Fries http://t.co/rHwbfbgmCs","food"
"95","Cheddar Bacon Waffle Fries. http://t.co/YyTDBnR2EK","food"
"96","Kinder Bueno Icecream. http://t.co/GD6y7pl72a","food"
"97","Cheesy Waffle Fries! http://t.co/NLAyjtjZQ2","food"
"98","Oreo Pizza http://t.co/bDeLRPoW1i","food"
"99","#BurgerLove http://t.co/5xfO0Lqgd7","food"
"100","Oreo Milkshake! http://t.co/th3J2ycPKZ","food"
"101","#NationalCoffeeDay http://t.co/Mndi4hK7TK","food"
"102","Cheeseburgers! http://t.co/FJufgrYUkt","food"
"103","Baked Alfredo Mac &amp; Cheese. http://t.co/3vKLsLpxYS","food"
"104","M&amp;M Cake Doughnuts http://t.co/y7RLesLRKk","food"
"105","The Ultimate Bacon Cheeseburger. http://t.co/ke4F501iIx","food"
"106","Chocolate Stuffed Cookie W/ Mint Sauce! http://t.co/uawO40fBda","food"
"107","Cheesy Wedges! http://t.co/qqeZbQtFMO","food"
"108","Follow me on snapchat - itsfoodporn (story is about to be lit) Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥• http://t.co/6uZ9r0U9KR","food"
"109","Chocolate Cake! http://t.co/wdFlNXZQnS","food"
"110","Pepperoni Pizza &amp; Cheese Bread. http://t.co/5UfMb9lBka","food"
"111","Red Velvet Funnel Cake. http://t.co/5q8yT9BUWs","food"
"112","Five Guys! http://t.co/R9ccvfX2fF","food"
"113","Apple Pie W/ Icecream. http://t.co/e3SvMHC4xI","food"
"114","Fudge Brownie &amp; Cookie Dough Cake. http://t.co/sar8baEi2a","food"
"115","The #SuperBloodMoon emoji looks like a pepperoni","food"
"116","Sushi! http://t.co/qzI0hnDvMF","food"
"117","Cream puffs W/ Chocolate Sauce. http://t.co/XVf4M4HUwe","food"
"118","Apple Pie W/ Icecream. http://t.co/ORnBopzPDf","food"
"119","Helping The Homeless:

http://t.co/WMDkygoRwd http://t.co/BqTrlir0pZ","food"
"120","Chocolate Raspberry Cake. http://t.co/cdG3JKNT22","food"
"121","Layered Chocolate Cake! http://t.co/VOXNqNtP6A","food"
"122","Red Velvet Pancakes! http://t.co/k4QRTjUNGC","food"
"123","Chicken Wings W/ Cajun Fries. http://t.co/qXMBKIujzd","food"
"124","Cheesecakes! http://t.co/8mBBacvfP5","food"
"125","Chocolate Pancakes! #NationalPancakeDay http://t.co/S2p60WLXqZ","food"
"126","Oreo Cheesecake. http://t.co/rFNz2csi3o","food"
"127","Nutella Pancake Cake. #NationalPancakeDay http://t.co/K9wqtDCzFP","food"
"128","Frozen Yogurt! http://t.co/a83P7NeEUi","food"
"129","Chocolate Chip Pancakes  #NationalPancakeDay http://t.co/x5yQ5MJmAS","food"
"130","Mini Cheesecake Bites! http://t.co/HhYyKCALlP","food"
"131","Strawberry &amp; Oreo Cheesecake Pie. http://t.co/OEn6LzRLXY","food"
"132","Strawberry Chocolate Skewers http://t.co/sekRi7dbc4","food"
"133","Grilled Prawns. http://t.co/hBV7WjZ9W8","food"
"134","This is the greatest idea ever, every girls needs one of these in their lifeÌ†ΩÌ≤óÌ†ΩÌ∏ç @ThePMSPackage http://t.co/4uft5rKalW","food"
"135","Cinnamon Roll Pancakes. http://t.co/4asVMijmt1","food"
"136","Bacon? http://t.co/P7Esdp05Xy","food"
"137","#NationalLobsterDay http://t.co/umnW9PabvR","food"
"138","Mini baked chocolate doughnuts. http://t.co/7Gg4smVIop","food"
"139","Nutella &amp; Icecream Waffle! http://t.co/HcibVVthDA","food"
"140","The Ultimate BLT! http://t.co/be9onEDnQS","food"
"141","Deep Fried Icecream W/ Chocolate. http://t.co/IQPO2fymqi","food"
"142","Mozzarella Stuffed Cheese Rolls. http://t.co/Yea8G4Txqo","food"
"143","Mac &amp; Cheese Grilled Toastie. http://t.co/UhqjfFemUK","food"
"144","Giant Mountain Of Garlic Fries. http://t.co/cJlDbGwu6s","food"
"145","Cheesy Fries! http://t.co/ELvTgwDffz","food"
"146","Snickers Cupcake. http://t.co/LCCTL3gJ3Q","food"
"147","Steak &amp; Potato http://t.co/QWdIE13S2M","food"
"148","THE GAME HAS OFFICIALLY BEEN CHANGED http://t.co/QCHhIJPD4D","food"
"149","Lasagna! http://t.co/zRu1WGaxMf","food"
"150","Hazelnut &amp; Chocolate Cake. http://t.co/fEz7FqDQA0","food"
"151","In n Out! http://t.co/JsQeNN9tmf","food"
"152","Burger http://t.co/WCLf1oXHrS","food"
"153","Yum http://t.co/OQ6lpDPRKj","food"
"154","Hot Fudge Ice Cream Brownie. http://t.co/SFSmV3SQQp","food"
"155","Strawberry Jam Doughnuts. http://t.co/XUM5D6Yq7F","food"
"156","Mozzarella Sticks. http://t.co/ZTxMWeV5Ns","food"
"157","S'Mores Cupcakes! http://t.co/RQsTQNdXhE","food"
"158","Oreo Brownies http://t.co/pY0qbKt4rA","food"
"159","Nutella Doughnut Holes. http://t.co/JaJ6HHmYk7","food"
"160","Gelato Waffle Cone. http://t.co/dZzSne7EtZ","food"
"161","Chicken Wings! http://t.co/4OVBy1pklV","food"
"162","Milk Chocolate Nutella Torte. http://t.co/lsA1W5mo8R","food"
"163","S'Mores Doughnuts. http://t.co/Ghj2e1lFO0","food"
"164","S'Mores Icecream Sandwich. http://t.co/NZcetr76V2","food"
"165","Icecream Cookie Sandwich. http://t.co/36MgWwPMnO","food"
"166","Nutella Crepes! http://t.co/ir4grrk8BE","food"
"167","Dark Chocolate Brownie http://t.co/fyUy6RWhtf","food"
"168","FREE MOVIES https://t.co/IlGZZtUIlP","food"
"169","Cake Pops http://t.co/b8DjnDn0bx","food"
"170","Fried Pizza! http://t.co/kNV8Qk0tCI","food"
"171","Cookie Milk Cup. http://t.co/5v04bUcnUL","food"
"172","FREE GAS ‚õΩÔ∏èÌ†ΩÌ∫ô

http://t.co/KIqhMhKDJV http://t.co/CXv5hs0Qgs","food"
"173","Cream Puffs W/ Chocolate Sauce! http://t.co/qzw3pgjgGE","food"
"174","Follow us on snapchat "" itsfoodporn "" for more Ì†ºÌΩâÌ†ºÌΩúÌ†ºÌΩùÌ†ºÌΩïÌ†ºÌΩåÌ†ºÌΩüÌ†ºÌΩá http://t.co/oMRsOIc8xa","food"
"175","Bacon &amp; Cheese Fries. http://t.co/lYNbvKwW9l","food"
"176","Deep Fried Waffles Topped W/ Strawberries. http://t.co/HLdCcxVYJl","food"
"177","Sweet Chilli Fried Prawns http://t.co/i1zrYvrQhM","food"
"178","Cake Batter Pancakes. http://t.co/Rt3eZDTPDy","food"
"179","Giant Chocolate Chip Icecream Sandwich. http://t.co/nyHcpcJAD7","food"
"180","who needs money when you have nuggets http://t.co/fKorKJeXXU","food"
"181","The Ultimate Oreo Cheesecake. http://t.co/8Y6TZoQeno","food"
"182","Oreo Popsicles. http://t.co/8yUbIhBye8","food"
"183","Chocolate &amp; Strawberry Crepes. http://t.co/SuErbU250d","food"
"184","Icecream Sundae Brownie Bowl. http://t.co/iKceZ53XIj","food"
"185","Oreo Icecream Popsicles. http://t.co/lNappS7wcx","food"
"186","French Fry Pizza! http://t.co/cFXMNvA0ir","food"
"187","Oreo Ice Cream http://t.co/W0GWuAaWoC","food"
"188","Nutella Covered Chocolate Chip Doughnuts. http://t.co/eVYC22Cxhv","food"
"189","Bacon Burger &amp; Cheese Fries http://t.co/nNRNnuK4Eg","food"
"190","Popcorn chicken! http://t.co/u04nJ1hfOP","food"
"191","Waffle Icecream Sandwich. http://t.co/wNG2SZLVv0","food"
"192","#NationalCheeseburgerDay http://t.co/P2kk1X2wuG","food"
"193","#NationalCheeseburgerDay http://t.co/nVJiEhBHPp","food"
"194","#NationalCheeseburgerDay
http://t.co/hITkfV9oAt","food"
"195","Bacon Wrapped Potato Bites. http://t.co/K8HWQJ9BpN","food"
"196","""what makes you happy?"" http://t.co/7tw33JuTRV","food"
"197","Steak &amp; Fries. http://t.co/ttrPpVqWMs","food"
"198","Cookie-dough Icecream Bars. http://t.co/Z7u5aqN0jS","food"
"199","Burger Pizza. http://t.co/sGs4SnFTGQ","food"
"200","Cinnamon French Toast! http://t.co/0B20l9eVos","food"
"201","Oreo Brownies! http://t.co/FPkshHCHO0","food"
"202","Pizza Nachos http://t.co/b5bbZotHBp","food"
"203","Nutella Waffle! http://t.co/bXV8MxUqAE","food"
"204","Garlic Parmesan Pretzel Knots. http://t.co/X30diVjFjW","food"
"205","Chocolate Cake! http://t.co/Ifd3YeZn4s","food"
"206","Canoli http://t.co/uj2JHLPxW9","food"
"207","Chocolate &amp; Peanut Butter Sundae http://t.co/y2o65YaWrz","food"
"208","Deep Fried Oreos. http://t.co/ixk2oMfXrr","food"
"209","Chocolate Wasted Mini Cupcakes. http://t.co/TmZCsdTIAR","food"
"210","Buttermilk Pancake Mountain. http://t.co/e3AOdxK7vk","food"
"211","Frozen Yogurt Covered Strawberries. http://t.co/liGLXiAxoB","food"
"212","Creamy Mac and Cheese. http://t.co/kTWPqufQzy","food"
"213","Strawberry Nutella Icecream Cups. http://t.co/vNIzbOwHgd","food"
"214","Chocolate Banana Pancakes. http://t.co/pF5gBilRHV","food"
"215","Krispy Kremes. http://t.co/XNi1gG4lST","food"
"216","Brownie S'More. http://t.co/gNfl7LVZPA","food"
"217","Sour Candy. http://t.co/YRNGdmWz2l","food"
"218","Mac &amp; Cheese Burger. http://t.co/OxB6w2ONUe","food"
