"","user","type"
"1","@want_DON_three @sambha_ Ha ha ha ha","movies"
"2","@sambha_ Thank you.","movies"
"3","Sanjay Gupta messes up #Jazbaa despite basing it on a foreign film. Gets it wrong. Read my review at https://t.co/s0VR0pcvAn","movies"
"4","Hi,

Here's the link to the trailer of Guddu Ki Gun: http://t.co/Ex6ZA08z4C","movies"
"5","http://t.co/nW3VFZwIV8 Teri Ek Hassi a single by Palash Muchhal starring Nandish Sandhu and Rashami Desai","movies"
"6","Link to the Motion Poster of Guddu Ki Gun:

Link: http://t.co/lJJv1Eqdxu","movies"
"7","#CalendarGirls is old wine in new bottle. This Calendar won't last respectably for even a week. Read my review at https://t.co/saZrQFTNuO","movies"
"8","@salilamrute It is effective. Sorry for missing it out but the credit list from the producers made no mention of your name.","movies"
"9","#KisKiskoPyaarKaroon is a fun film,marking AbbasMustan's comeback &amp; KapilSharma's successful debut.Read my review at https://t.co/ihUnQ9ZmJX","movies"
"10","Watch ""Aaj Raat Ka Scene - Jazbaa | Badshah &amp; Shraddha Pandit | Diksha Kaushal"" on YouTube - https://t.co/JzwTSG4ZpT","movies"
"11","Myth that people don't spend money on film of a TV star (who can be watched free on TV) proved wrong. KisKiskoPyaarKaroon takes good start","movies"
"12","Eros ties up with JhoomJhoom Prods. and SohamRockstar Entertainment for Radhika Rao &amp; Vinay Sapru's SanamTeriKasam, releasing on 8thJan.'16.","movies"
"13","Watch 2nd trailer of fantasy adventure film #Puli (Tiger) releasing in Tamil, Telugu &amp; Hindi on #1stOctober https://t.co/1r4LBSYUze","movies"
"14","Poster of Imtiaz Ali's TAMASHA http://t.co/I8B6lmP4RJ","movies"
"15","Wow! http://t.co/AcybATHtHa","movies"
"16","Just interviewed @Gurmeetramrahim in studio. To be aired tomorrow 8.30 pm on @ETCBollywood","movies"
"17","Sridevi in poster of adventure - fantasy film PULI. http://t.co/BWlyddABcc","movies"
"18","Adventure - fantasy film PULI starring Vijay, Sridevi, Sudeep &amp; Shruti Hassan releasing in Hindi pan-India on Oct 1 http://t.co/vsAOhXo0UO","movies"
"19","Trailer of friend MayankTripathi's short film Billu'sFlight,selected for QueenCity Intl. &amp; DC SouthAsian film fetes. https://t.co/hFFAiXkXHt","movies"
"20","Here's the new song from Jazbaa - https://t.co/tLIUYWFO11","movies"
"21","MeeruthiyaGangsters has few plus points but the routine subject will kill its chances completely. Read my review at https://t.co/PrQurtgxph","movies"
"22","#KattiBatti disappoints big time. It stands no chance to score at the ticket windows. Why? Read my review at https://t.co/N29Tcvxkdb","movies"
"23","Producer Ratan Jain clarifies that script of KisKiskoPyaarKaroon original, not plagiarised.Anukalp Goswami had regd. script with FWA,he adds","movies"
"24","Suit in Madras HC against Abbas-Mustan's KisKiskoPyaarKaroon release. It is allegedly based on Kannada film Nimbe Huli. Hearing on Sept. 22.","movies"
"25","Check out the poster of 'Saadey CM Saab', releasing on October 30. http://t.co/XS6Brf1Aha","movies"
"26","@cinemanabhishek Ha ha ha ha. So, u shd drop in soon. Dahi batata puri khayenge!","movies"
"27","Went to Firki, a new restaurant at Raghuvanshi Mills, Parel, Bombay. Just loved the food. Tasty and such a home-like feel to it.","movies"
"28","Crowds waited for 4 hours to welcome Deepika-Ranveer. Pune just loves them. Actually, who doesn't? Everyone does.","movies"
"29","Ganpati Bappa,there's gonna be an earthquake here at the launch of Gajanana song in Pune at Balewadi grounds! People screaming and shouting","movies"
"30","In Pune,at #BajiraoMastani event.Crowd going berserk and cheering Deepika-Ranveer as if they'd die of excitment if alowed to even touch them","movies"
"31","Teaser poster of 'Saadey CM Saab', starring Punjabi singer-actor Harbhajan Mann: http://t.co/OylOtVnsXw","movies"
"32","#Hero is short on energy, excitement and entertainment. It will not appeal to the audience. Why? Read my review at https://t.co/1yV9MbCDuy","movies"
"33","The craziness has begun! Shaandaar's 1st track, #Gulaabo is here --&gt; https://t.co/z2asPuFD4N","movies"
"34","Welcome Back Overseas 3 days USD 3.2 million -- that's Rs 21.5 crore!!","movies"
"35","Welcome Back opens to thunderous response in Overseas. Opening day collections (Thu+Fri) USD 1.2mn","movies"
"36","#WelcomeBack is a very enjoyable entertainer. But it may not prove profitable coz of several reasons. Read why at https://t.co/gRv7llZhIv","movies"
"37","#WelcomeBack takes truly good start. Brand Welcome is huge.But sadly, shows cancelled at several cinemas as content wasn't uploaded on time","movies"
"38","https://t.co/yh6sC4be5z   This is link to Singh And Kaur song from #SinghIsBliing","movies"
"39","GujjuBhai - trailer               http://t.co/zr5ViOZArU. Screenplay and Directed by the debutante Ishaan Randeria","movies"
"40","First track from Abbas-Mustan's Kis Kisko Pyaar Karoon - 'DJ bajega toh Pappu nachega'.
http://t.co/Q1opM9Ry7i","movies"
"41","H E R E  I T  IS:

J A Z B A A  Theatrical Trailer.

http://t.co/bwrMIhr0T9

#JazbaaTrailer","movies"
"42","Here it is: The intriguing and interesting Jazbaa trailer: 
http://t.co/LV9a0EpBmf 
#JazbaaTrailer","movies"
"43","Here it is: The intriguing and interesting Jazbaa trailer: http://t.co/LV9a0EpBmf #JazbaaTrailer","movies"
"44","Hero passed with UA certificate ...the running time of the film is 2 hours 9 minutes.","movies"
"45","#JazbaaTrailer release tomorrow. Aishwarya Rai and Irrfan Khan.... what an unusual team. Will be fun to watch.","movies"
"46","Presenting the exciting trailer of the first-of-its-kind graphic web series in Bollywood, #BlazingBajirao! 
http://t.co/xjHpiPMw4A
@ErosNow","movies"
"47","Here is the link to the Talvar trailer http://t.co/t5uoDy0BE4","movies"
"48","All is not well for #AllIsWell. A poor show with scant entertainment. Read my review at https://t.co/ZdKijuEAlX","movies"
"49","Link to the song from Hero: http://t.co/y2w59717KU","movies"
"50","http://t.co/kqg61dA8VI 
Sau Aasoon from Nikhil Advani's Katti Batti","movies"
"51","@ZeeMusicCompany bags the music rights of @excelmovies' forthcoming films #RockOn2, #MrChaalu, #KalJisneDekha, #Raees.","movies"
