"","user","type"
"1","@DaveBethke Mr. Trump (a.k.a. The Great Pumpkin) is welcome to survey the Trumpkin Patch at any time. Helicopter can land on The @UVA Lawn.","politics"
"2","The @UVA Lawn's TRUMPkin Patch is getting YUUGGGE. Now 5. More Monday.","politics"
"3","HUGE. It's a miracle...grow. Fourth Trumpkin arrives in the Trumpkin Patch on the @UVA Lawn. http://t.co/pwjBaqAFr8","politics"
"4","Third Trumpkin joins the student-carved Trumpkin Patch on the @UVA Lawn. http://t.co/G5S8pCjOjw","politics"
"5","@JennaNBC29 @UVA @NBC29 That's great. Students deserve 100% credit; what a creative bunch! Thanks.","politics"
"6","@HurricaneGray @TheTab Sure.","politics"
"7","The second Trumpkin joins the student-carved Trumpkin Patch on the @UVA Lawn. http://t.co/eAh9irrc7c","politics"
"8","@UVASOFTBALL Whatever you want! Wahoowa.","politics"
"9","@hitdadish @UVA The Trumpkin Patch can always use reinforcements. Your son's fraternity is welcome to contribute.","politics"
"10","@HenryGraff Each one will get a tweet; every Trumpkin, like every dog, will have its day (well, tweet).","politics"
"11","@terrysulli @UVA You're on! We'll serve pumpkin pie--but not made out of our Trumpkins.","politics"
"12","@ThisInHaste @UVA Already, this is getting out of hand. :)","politics"
"13","Halloween-minded @UVA students create “Trumpkin Patch” at my home Pav IV, East Lawn. First Trumpkin here. More 2 come http://t.co/hMtYGipaHH","politics"
"14","So Paul Ryan may take the Speakership after all. If so, simultaneous congrats and condolences will be in order.","politics"
"15","RT @kkondik: More chaos along the lines of what happened today is necessary but not sufficient to flip the House: http://t.co/m3IrJ73SOR","politics"
"16","RT @kkondik: The electoral state of play in the House in the midst of today's drama: http://t.co/m3IrJ73SOR","politics"
"17","Could House Republicans organize a ONE-car funeral? But they're good at three-ring circuses.","politics"
"18","RT @kkondik: To put House in play R chaos will have to be persistent &amp; widely-covered. So many more days like today: http://t.co/m3IrJ7ltGp","politics"
"19","Paul Ryan insists he will not run for Speaker. Most logical choice takes his name off the list.","politics"
"20","Many R House members calling for Paul Ryan to agree to be Speaker. Will he continue saying no?","politics"
"21","Change GOP ""caucus"" to ""chaos"". #Speaker","politics"
"22","Kevin McCarthy DROPS OUT of Speaker's race. Wow.","politics"
"23","RT @kkondik: Crystal Ball House rating changes - generally but not exclusively favorable to Dems this time http://t.co/nDKIr885zE","politics"
"24","RT @kkondik: Rs are heavy favorites to retain the House, but there's a 3-step way they could open the door to the Ds http://t.co/m3IrJ7ltGp","politics"
"25","@jbouie HRC had far more latitude than most SOSs. Anyway, you're @UVA alum, so I forgive you for being wrong. :)","politics"
"26","@jbouie Hillary pushed TPP 45 times as Secy of State(2009-2013). Not about the '90s.","politics"
"27","@jbouie Because it's so breathtaking! A complete reversal of 25 yrs of backing free trade. Why? Purely political, no principle involved.","politics"
"28","@jbouie I didn't say HRC's was the ONLY big flip-flop. Yes, some Rs have done same on immigration. And the panderama parade continues.","politics"
"29","@JohnCassidy No studies of which I'm aware. But depends on the flip-flop. How skillfully is it done? What is vote gain/loss equation?","politics"
"30","When the history of '16 POTUS is written, Clinton's flip-flop pander on TPP should loom large. So transparent it's cringe-worthy.","politics"
"31","Will Rogers once said, ""I'm a member of no organized political party. I'm a Democrat."" The adage better fits fractious Republicans today.","politics"
"32","This week's House rating changes, via @kkondik http://t.co/m3IrJ73SOR http://t.co/bduxGap5hL","politics"
"33","Crystal Ball: As Rs begin process of picking a new speaker, @kkondik ponders the strength of their majority - http://t.co/m3IrJ73SOR","politics"
"34","RT @kkondik: Crystal Ball House ratings changes this week http://t.co/Aj8XRyx3D0","politics"
"35","RT @kkondik: Crystal Ball: Could the GOP kick away its House majority? - http://t.co/m3IrJ73SOR","politics"
"36","Useless information dept: Tomorrow marks exactly 1 year + 1 month until the election (Nov. 8, 2016). Note late date--longer campaign!","politics"
"37","@POLITICO_Steve @politico Gallup needs to come back in the water. Comparative data stretches to 1930s.","politics"
"38","@jvonneumann Thanks. Older @UVA alums will be interested. Most major colleges were a part of the war effort in WWII. Lawn pics are excellent","politics"
"39","What percentage of politicians could be called ""power-hungry"" and ""self-promoting""? If your number is under 50, you must not know many. :)","politics"
"40","@cacameronGOP That's right--but it will be fascinating to compare the 3-way popular split with seats won by first-past-the-post.","politics"
"41","Canadian election tight. 3 weeks to go. Conservatives(32%), Liberals(30%), New Democrats(27%).http://t.co/yXQRdS9LGA","politics"
"42","@mel_huang @UVA Maybe @staypuft took fall break too. Or maybe he's sick of politics.","politics"
"43","Fall break for @UVA students. Too quiet here. Missing the pitter-patter of big feet. :)","politics"
"44","Here's one election where you can (and should) vote more than once!  Help UVA '07 grad win! https://t.co/Ab8r7DeyME","politics"
"45","Voting matters! UVA '07 student needs your vote to win free Super Bowl ad. Put #UVA entrepreneurship on the map. http://t.co/CIixEaw3lV","politics"
"46","#KYGov Leans R→Tossup https://t.co/LWqYvbxl2i
#LAGov Safe R→Likely R https://t.co/19Iu8PdiX0
#AZSen Likely R→Leans R https://t.co/B5mp7o5XPA","politics"
"47","@NathanWurtzel Sure, no problem. Where do I send my excess rain water? That's a donation, too.","politics"
"48","@AndrewNBC12 Sounds like you're trying to ""Make America Great Again"".","politics"
"49","@DBGraddy No, the budget woes of East Coast states.","politics"
"50","I'm in a great mood today. All emailing for campaign money has stopped. For now.","politics"
"51","Too bad the East Coast can't sell its excess rain water to California. Would solve all state budget problems.","politics"
"52","Want fresh political analysis in your inbox every Thursday morning? Subscribe to the FREE Crystal Ball newsletter. http://t.co/ymKRZTVf6o","politics"
"53","Follow my Crystal Ball colleagues @kkondik &amp; @geoffreyvs for political insight. Maybe some #Joaquin tweets too depending on this weekend...","politics"
"54","McCain's situation reminiscent of Goldwater's last election: won by only 1 pt in super R 1980 cycle, retired after http://t.co/B5mp7o5XPA","politics"
"55","Salmon declined to challenge McCain in #AZSen R field; Schweikert still considering -- would pose credible threat. http://t.co/B5mp7o5XPA","politics"
"56","Conservatives loath McCain, but no serious threat yet in R field to challenge him in #AZSen primary. http://t.co/B5mp7o5XPA","politics"
"57","Crystal Ball: @geoffreyvs on #AZSen and the Barry Goldwater comparison that John McCain doesn't want. http://t.co/B5mp7o5XPA","politics"
"58","Despite Vitter's mediocre numbers &amp; our rating change, R hold remains the most likely outcome in #LAGov http://t.co/19Iu8PdiX0","politics"
"59","Vitter has huge resource edge over all opponents: more than 2x as much COH &amp; his Super PAC has ton of $ too. #LAGov http://t.co/19Iu8PdiX0","politics"
"60","Vitter's has trailed Edwards in two recent polls of #LAGov runoff. But Edwards also hasn't faced any attacks yet. http://t.co/19Iu8PdiX0","politics"
"61","#LAGov jungle primary most likely = Vitter-Edwards general election runoff. But all-R playoff possible, too. http://t.co/19Iu8PdiX0","politics"
"62","Crystal Ball: @kkondik &amp; @geoffreyvs on #LAGov: Vitter's weakened position gives Ds pinch of hope (Safe R→Likely R). http://t.co/19Iu8PdiX0","politics"
"63","Bevin might be saved by the fact that KY is so red and anti-Obama. But he seems to be trying hard to blow #KYGov. http://t.co/LWqYvbxl2i","politics"
"64","Not that Conway is a sterling candidate: Poor campaigner &amp; recent debate performance drew negative reviews. #kygov http://t.co/LWqYvbxl2i","politics"
"65","RGA told Bevin to get with the program by dropping out of ad war. Bevin made $1.1 mil buy -- enough to win over RGA? http://t.co/LWqYvbxl2i","politics"
"66","#KYGov race is confounding. KY=very anti-Obama so an R SHOULD be natural fav. But Bevin is an R w/ myriad problems. http://t.co/LWqYvbxl2i","politics"
"67","Crystal Ball: @kkondik &amp; I look at how Bevin has squandered natural R edge in #KYGov. Goes from Leans R→Toss-up. http://t.co/LWqYvbxl2i","politics"
"68","RT @kkondik: Crystal Ball Ratings Change: The Goldwater comparison that John McCain doesn't want - http://t.co/B5mp7onyH8","politics"
"69","RT @kkondik: Crystal Ball Ratings Change: A glimmer of hope for Democrats in LA-GOV - http://t.co/19Iu8PdiX0","politics"
"70","RT @kkondik: Crystal Ball Ratings Change: Bevin squanders his generic edge in KY-GOV race - http://t.co/LWqYvbxl2i","politics"
"71","@RD_Mullin @CNN Sure, they'd be foolish to exclude Biden if he signals he wants in, even the day before. Think of the ratings!","politics"
"72","@politicalwire. It's only 770 days until the VA GOV election. Just in the nick of time, we have party nominees, Gillespie(R) vs. Northam (D)","politics"
"73","@fsholars OK it's yours. But I hear it's very briny.","politics"
"74","@BryanJacoutot I'm trying to think big and they're so relatively small.","politics"
"75","Ultimate vote-winning tax plan: Abolish taxes. Declare govt bankruptcy, wiping out debt. For revenue, invade/plunder other nations/planets.","politics"
"76","I've never come across a big tax plan from any pol that added up in the real world. Reality doesn't sell well on the campaign trail.","politics"
"77","If Biden runs, maybe his ideal time to spring the announcement is just prior to the Oct. 13 CNN debate. Dramatic open, gets center stage.","politics"
"78","@ericmmcd  Wistful. What might have been. But he's making millions now. Green comfort.","politics"
"79","Boehner: ""I will certainly miss my colleagues."" He left out these key words: ""some of"".","politics"
"80","Without endorsing, Boehner endorses Kevin McCarthy for Speaker.","politics"
"81","The Capitol Hill Golden Rule: ""Do unto others before they do unto you.""","politics"
"82","The resignation of Speaker Boehner: Whether you're for him or against him, who can blame him?","politics"
"83","No member of Congress embarrassed us by saying or doing something stupid during @Pontifex's address. What were the odds of that?","politics"
"84","Today's Crystal Ball: New presidential rankings -- Trump, Carson &amp; Fiorina now lead as ""longshot frontrunners."" http://t.co/2jl02b4URu","politics"
"85","Good to hear Pope Francis quote Lincoln. Pope Pius IX more or less recognized the Confederacy during the Civil War. Another wrong righted!","politics"
"86","Although Graham had solid/fun undercard debate, hard to see him even doing well in home state of SC. http://t.co/2jl02b4URu","politics"
"87","""Long Distance Runners"" Bush, Rubio, Kasich &amp; Cruz: 1 is more likely to win nomination than Trump, Carson, Fiorina. http://t.co/2jl02b4URu","politics"
"88","Differentiating herself from Carson &amp; Trump, Fiorina has actually garnered endorsements from 2 members of... http://t.co/6S2uchjgJy","politics"
"89","Differentiating herself from Carson &amp; Trump, Fiorina has actually garnered endorsements from 2 members of Congress. http://t.co/2jl02b4URu","politics"
"90","Trump+Carson+Fiorina=1st tier of R pres. But they're ""Longshot Frontrunners""; lead for now but low odds in long run. http://t.co/2jl02b4URu","politics"
"91","Even Trump's many enemies must admit he’s become a better candidate. But R estab will be determined to stop him. http://t.co/2jl02b4URu","politics"
"92","Today's Crystal Ball: Trump takes over top spot in R pres rankings, but we remain skeptical of nomination chances. http://t.co/2jl02b4URu","politics"
"93","Pope Francis' gift to the political community: A respite from coverage of a seemingly endless campaign.","politics"
"94","@staypuft There's a streak of cruelty in you. It balances your tasty goodness.","politics"
"95","@Kurtpimentel It's an 8-way tie.","politics"
"96","Scott, we hardly knew ye. Walker was an announced candidate for President for precisely 10 weeks.","politics"
"97","Crystal Ball: @kkondik on how Scott Walker could have been both outsider and insider but became neither http://t.co/nEveczxtbR","politics"
"98","Special Crystal Ball from @kkondik: The Fall of Scott Walker -- how he fell so far. http://t.co/nEveczxtbR","politics"
"99","There are so many to choose from--those who have little or no chance.  https://t.co/AwhaLM8ypt","politics"
"100","The other candidates are hoping to get their share of the dozens of voters still backing Walker after last week's debate.","politics"
"101","Give Scott Walker some credit. He realized it was over and simply got out. Maybe an example to another half-dozen still running.","politics"
"102","New CNN Poll: Both Fiorina and Rubio have finally gotten their breakthroughs. Can they capitalize on the moment and sustain it?","politics"
"103","New CNN Poll: Significant gains for Fiorina (now 2nd to Trump), Rubio now leading Bush in battle of Floridians. Disaster for Walker.","politics"
"104","New CNN Poll: Trump 24; Fiorina 15; Carson 14; Rubio 11; Bush 9; Cruz 6; Huck 6; Paul 4; Christie 3; Kasich 2...Walker=Less than 1%.","politics"
"105","@Slow_News_Day Jefferson knew 6 languages, Adams about as many. TR &amp; FDR (French), Carter &amp; Dubya (Spanish). List not comprehensive.","politics"
"106","@davidbylerRCP Useful chart, and this matters. Of course, persistent candidates got more time. You can't be a shrinking violet on stage.","politics"
"107",".@kkondik on our new House ratings:
#MI01 Leans R→Toss-up
#MN02 Safe R→Toss-up
#NJ05 Safe R→Likely R
http://t.co/eyISGFPbZr","politics"
"108","Today's Crystal Ball: @kkondik on our new ratings. Gov change:

#NDGov Leans R→Likely R

http://t.co/eyISGFPbZr","politics"
"109","Today's Crystal Ball: @kkondik on our new ratings. Senate changes:
#AKSen Likely R→Safe R
#KYSen Safe R→Likely R
http://t.co/eyISGFPbZr","politics"
"110","Obama's steady-Eddie approval may be product of polarization, also lack of big econ boom/decline or unpopular war. http://t.co/qLRrQsJUiz","politics"
"111",".@geoffreyvs on Obama's steady approval: 1/2 of Gallup's polls have found him btw 44%-50% http://t.co/qLRrQsJUiz http://t.co/2OWov5jrF4","politics"
"112","""No Drama Obama"" has smallest standard deviation in his approval of modern presidents. http://t.co/qLRrQsJUiz http://t.co/Qj7wuXTikT","politics"
"113","Today's Crystal Ball: @geoffreyvs finds Obama has the smallest variation in approval of any modern president. http://t.co/qLRrQsJUiz","politics"
"114","Carly Fiorina looked to be the winner at the #gopdebate, while Scott Walker did himself no favors. http://t.co/64qARKc1vx","politics"
"115","Today's Crystal Ball: @kkondik, @geoffreyvs &amp; I react to the #gopdebate. http://t.co/64qARKc1vx","politics"
"116","RT @kkondik: Spend your Constitution Day (and lunch) with James Madison &amp; the @Center4Politics @YLIYouthLeaders https://t.co/3cQPWptREL","politics"
"117","Crystal Ball: Ratings changes in Senate, House, and gubernatorial contests - http://t.co/eyISGFPbZr","politics"
"118","Crystal Ball: No Drama Obama, at least when it comes to his historically stable approval ratings - http://t.co/qLRrQsJUiz","politics"
"119","Crystal Ball: Fiorina up, Walker down, and other observations from the Reagan Rumble - http://t.co/64qARKc1vx","politics"
"120","RT @kkondik: Crystal Ball: Slight worries for Republicans in Kentucky's Senate race, plus other rating changes: http://t.co/eyISGFPbZr","politics"
"121","RT @kkondik: Crystal Ball: @geoffreyvs on Obama'sremarkably approval ratings - http://t.co/qLRrQsJUiz","politics"
"122","RT @kkondik: Crystal Ball: @LarrySabato @geoffreyvs and I break down the GOP debate - http://t.co/64qARKc1vx","politics"
"123","RT @kkondik: The Reagan Rumble - @LarrySabato @geoffreyvs &amp; I assess the GOP debate: http://t.co/64qARKc1vx","politics"
"124","In follow-up debate news: The Secret Service is relieved they'll never have to use at least 10 of 11 proposed code names.","politics"
"125","@jpl486 Sure, if they're resigned to losing the nomination!","politics"
"126","What about Queen Elizabeth II for the $20 bill? Penance for the American Revolution?","politics"
"127","Still marveling over the choice of Mrs.Thatcher and Mother Teresa for $20 bill. Um, plenty of American women eligible. 53% of electorate.","politics"
"128","Shocker of the night: Jeb! admits he smoked weed in college. Goodbye, Goody Two Shoes. But we need to know more. Jeb, did you inhale?","politics"
"129","I've spent many an evening watching debates--but never 5 consecutive hours. But like ice cream, there can never be enough of a good thing.","politics"
"130","@ScottPaterno I'll pass, in the interests of sanity.","politics"
"131","Thoughts on the debate coming tomorrow morning on Politico and the Crystal Ball","politics"
"132","It will be surprising if Fiorina doesn't move up. She's had a strong debate so far.","politics"
"133","Kasich smartly plays the adult among squabbling candidates.","politics"
"134","Bush and Fiorina whiffed when given a chance to go after Trump. Walker and Paul lunged. Which approach is smarter? We'll see.","politics"
"135","This already is the Trump debate not the CNN debate.","politics"
"136","If you're not following my colleagues @kkondik &amp; @geoffreyvs, you're doing it wrong on #gopdebate night.","politics"
"137","Were you such a good citizen you watched the entire warm-up act? Reward yourself and do as Lindsey told you: Start drinking! 3 hrs to go","politics"
"138","I beg CNN to continue the debate promo ad for at least a month, slowly reducing its frequency, until the addicted can survive withdrawal.","politics"
"139","Next up: The most important event in our history. Probably the most important until our sun becomes a red giant and destroys the Earth.","politics"
"140","It was good to see these four candidates one last time. #CNNDebate","politics"
"141","@jimkibler @FrankLuntz Maybe they think Bloomberg will enter in the fall as an Independent? I really don't know.","politics"
"142","So far my students are most impressed by Sen. Graham's more drinking pledge.","politics"
"143","I'm glad I don't have to fact check this debate. All hail to those who do.","politics"
"144","The Donald Trump debate continues.","politics"
"145","1st question of this marathon to Jindal, and the Trump bashing begins.","politics"
"146","Debaters: here's how JFK spent Sept '60 debate day: Studying his &amp; Nixon's positions on flash cards, tanning on hotel roof, &amp; taking a nap!","politics"
"147","@vplus Oh God, no. I take it back!!","politics"
"148","@PresNixonUSA Mr. President, I think you just don't like being reminded of debates, after 1960...","politics"
"149","@RalstonReports Just because there's no Nevada candidate! Oh wait, Rubio lived there.","politics"
"150","@ABWashBureau Watch any random five minutes. You'll find out.","politics"
"151","CNN should tell people more often when its debate is being broadcast. 40 times an hour (plus clock) is not nearly enough.","politics"
"152","In a big surprise PM Tony Abbott has been ousted by his own party. Australia has its 29th PM, Malcolm Turnbull. #libspill","politics"
"153","@WestWingReport He died at 2:15 am. Papers of the day headlined his final words: ""Goodbye all. Goodbye. It is God's way. His will be done.""","politics"
"154","That wonderful term ""spill"" is back, as PM Tony Abbott is challenged within his Liberal Party by Malcolm Turnbull. #libspill.","politics"
"155","@glenngarvin All three have lovely faces. :)","politics"
"156","This campaign feels like the 3-hour tour that turned into years marooned on Gilligan's Island. Starring Donald Trump as Thurston Howell.","politics"
"157","@armandodkos It's a tweet, not a thesis. 140 letters.","politics"
"158","If Biden jumps in, he may well rocket to the top, given unending bad news for Clinton. But most Sanders' voters seem unlikely to defect.","politics"
"159","So far the two family dynasties aren't doing well. So far Hillary and Jeb! have bombed. Can either or both be the comeback kid? Still early.","politics"
"160","Congrats to Notre Dame but @UVA made them sweat. Great game, Hoos.","politics"
