"","user","type"
"1","""We constructed a palace in the night—a palace of matches."" Giacometti, born today in 1901. http://t.co/Jsqc87y5tP http://t.co/efyKgjpZOI","arts"
"2","10/19: Stephen Winter discusses his reinterpretation of Shirley Clarke’s ""Portrait of Jason."" http://t.co/CbnxV58yrg http://t.co/EWxBkLbuWW","arts"
"3","Hey, families! Learn about artistic process through play in the new #MoMAArtLab. http://t.co/kIIPMz2yHV http://t.co/aCAhPkC2lb","arts"
"4","@laptopmnky Have you tried clearing your cache? Is your browser updated? If you're still having problems you can email feedback@moma.org.","arts"
"5","""Picasso retrospective rules Instagram"" (@wmag). Tag with #HowDoYouSee &amp; pics may appear on http://t.co/Dc3Nty2qod! http://t.co/0rYwIq4M6J","arts"
"6","@laptopmnky Sorry to hear you're having problems! I've shared your feedback with the MoMA Store team.","arts"
"7","@laptopmnky Hi there. Try this link: https://t.co/1SJybxVoEd","arts"
"8","@stevedrawings Free Fridays are very popular, as you can imagine. Lines can be long but move fairly quickly. Arrive early if you can.","arts"
"9","@nycstylecannoli Purchasing online in advance is always a good option, but you can also do so via your smartphone in the lobby same-day.","arts"
"10","Learn about artist @mcginnessworks's printmaking process: http://t.co/43CfVvRzar http://t.co/tgTIW0DoPi","arts"
"11","Get creative in a new sculpture class inspired by ""Picasso Sculpture."" No experience req'd! http://t.co/VUUvtvFdUg http://t.co/NTEyVnPzyi","arts"
"12","Robert Zemeckis's wildly funny satire ""Death Becomes Her"" screens Thurs &amp; Sat at @MoMAFilm. http://t.co/iDWVn0voMS http://t.co/CtKRb4d3AQ","arts"
"13","How are designers inspired by the natural world? Find out in a new interactive class. http://t.co/qrxdw46zDY http://t.co/lpF2OxbK86","arts"
"14","@janetkrupin Cheers! http://t.co/BJs9Q007Uv","arts"
"15","@janetkrupin Happy birthday!","arts"
"16","Follow @MoMA_Live now for remarks from this morning's press preview for #WalidRaad, which opens October 12. http://t.co/0nPsFXSQap","arts"
"17","Share your ""Picasso Sculpture"" pics using #HowDoYouSee. They may wind up on http://t.co/Dc3Nty2qod!  https://t.co/ZEPZc3X0TZ","arts"
"18","An intimate look at album cover designer Storm Thorgerson screens thru Thurs. at @MoMAFilm. http://t.co/zKv7uabxXk http://t.co/mVps87NMNw","arts"
"19","We mourn the loss of pioneering filmmaker Chantal Akerman. Learn more about her work: http://t.co/UvBUf0a1Mz","arts"
"20","@_preston_f Glad you enjoyed your visit! Any particular pieces stand out?","arts"
"21","Artist Meret Oppenheim, creator of this memorable Surrealist object, was born today in 1913. http://t.co/7FC928HxJO http://t.co/RInYcZbtcw","arts"
"22","@abby_kokitus We're excited to have you! Be sure to see ""Picasso Sculpture"" and visit ""The Starry Night"" on the 5th Fl.","arts"
"23","This week: go behind classic album covers, #GreaterNewYork opens at @MoMAPS1, &amp; more. http://t.co/ftnWHohZuO http://t.co/tpTpQ9X7sQ","arts"
"24","@caw_ Yes, it is!","arts"
"25","Now at @MoMAFilm, see the story of one of the best-known album cover designers. http://t.co/ctTMlN3ssI http://t.co/Gp7DHrPXqe","arts"
"26","Final day to see ""Art on Camera: Photographs by Shunk-Kender, 1960–1971."" http://t.co/Tj6ztR4vKj http://t.co/VzmTegNOgJ","arts"
"27","Final day to see ""From Bauhaus to Buenos Aires: Grete Stern and Horacio Coppola."" http://t.co/ehOjcT0jnc http://t.co/vpj0IajI9V","arts"
"28","@JessyCarrillo Sorry to hear about your umbrellas. We've shared your feedback with our visitor services team.","arts"
