"","user","type"
"1","Jacob deGrom and Daniel Murphy had some fun during their post game presser after Game 1 http://t.co/PMWFgxYg8w http://t.co/sYqA8tzCY9","sports"
"2","Once again No. 1 #OhioSt is a resident in upset city as they're tied with #Maryland in the 3rd http://t.co/9nasGZsOgW http://t.co/NwyMPzsHs3","sports"
"3","Upset brewing?

#Texas leads unbeaten No. 10 #Oklahoma 14-3 at halftime. http://t.co/2RzsSdfnIL http://t.co/BS2fBn7Nlf","sports"
"4",".@Rangers 3B Adrian Beltre is not sure if he'll be able to play in Game 3 of the #ALDS. http://t.co/Yb9Ot3evJI http://t.co/jkUmD84olw","sports"
"5","The relationship between @NDFootball and @NavyFB is one that is built on respect http://t.co/qysE5c3VaM http://t.co/fnsSubABVE","sports"
"6","Kevin Love says he's ""not completely sure"" if he'll suit up on opening night http://t.co/LcBYsAVAf5 http://t.co/ac4O5nzV9J","sports"
"7","Don Mattingly defends his decision to pull Clayton Kershaw from Game 1 of the #NLDS http://t.co/YBwlhM6bhu http://t.co/495w0GYADu","sports"
"8",".@CampusInsiders explains how Leonard Fournette quickly became the Heisman favorite http://t.co/nT0Nzhva6S http://t.co/h2VTLDcfdw","sports"
"9","It's another one-two start for Mercedes thanks to Nico Rosberg and Lewis Hamilton #RussianGP http://t.co/1QFFQHtyEK http://t.co/PvutViCInU","sports"
"10","Sepp Blatter and Michel Platini have both officially appealed their 90-day bans http://t.co/2wI8F7fMhy http://t.co/ajOEtpJgJf","sports"
"11","Carlos Sainz Jr. was okay after enduring a scary crash during the final #RussianGP practice http://t.co/KN3PNMdNzi http://t.co/KAe1KaoePl","sports"
"12","Jay Haas explains why we're not going to see Jordan Spieth vs. Jason Day at the #PresidentsCup http://t.co/ytq6ZdD9TN http://t.co/SxtLZIhVXC","sports"
"13","When the @Cubs needed him most, playoff-tested Jon Lester failed to deliver. http://t.co/4FcmRB7wl6 http://t.co/D7lsxK816U","sports"
"14","The U.S. rallied to split Day 3 foursomes, maintain slim Presidents Cup lead. http://t.co/7IGrWklsnj http://t.co/RCRCDh0MvM","sports"
"15","The 7 Line goes to Hollywood! DeGrom outduels Kershaw as @Mets top @Dodgers for 1-0 NLDS lead. http://t.co/HCf9WRlY1A http://t.co/znGZvdodSz","sports"
"16",".@OBJ_3 is a ""one-year wonder"" according to @NYJets cornerback @Cro31. http://t.co/6lmC4CEDZy http://t.co/fBG6cBez0y","sports"
"17",".@Mets' LF Michael Cuddyer hasn't had the best Game 1 so far. http://t.co/X8rUzE8hpQ http://t.co/EXhsosmCTd","sports"
"18",".@AustinDillon3 was on fire tonight!

Dillon shakes off pre-race fireworks, wins at Charlotte. http://t.co/kJ3K030R2n http://t.co/tzBgHMfqEI","sports"
"19","WATCH: @KUAthletics fan hits half-court shot, get $10,000 check from Bill Self on the spot. http://t.co/siWjsknrIo http://t.co/8Vfw7kSnFS","sports"
"20","Think @Warriors were lucky champs?

""I've actually got my ring fitted for my middle finger."" http://t.co/hjKnmFJhWf http://t.co/FXy2F0Jl2Z","sports"
"21","Unrivaled!

John Lackey, bullpen combine to shut out @Cubs, lift @Cardinals to Game 1 win. http://t.co/Eh064KmNOk","sports"
"22","WATCH: A rogue firework nearly ended @AustinDillon3's night before the race even started. http://t.co/qcioTzbwq9 http://t.co/RYyD46aPFa","sports"
"23","It's a beautiful night for a race!

WATCH LIVE: The #XFINITYSeries race at @CLTMotorSpdwy! http://t.co/ab0Ghsj7jQ http://t.co/Op85WxOITM","sports"
"24",".@Royals and @Astros are even! Ben Zobrist's RBI in 7th lifts KC in Game 2, knots ALDS at 1-1. http://t.co/KNLIp3AS5Q http://t.co/9vbsGn0Ftd","sports"
"25","From WWII to 2015, @NDFootball and @NavyFB are more than rivals. They're partners in history. http://t.co/pSyZ49s1Rn http://t.co/O4qkmqtqrE","sports"
"26",".@BlueJays' Brett Cecil suffered ""pretty significant tear"" in his calf in Game 2 loss. http://t.co/DPZ0IMP3Ju http://t.co/W5R6ke1UYb","sports"
"27",".@Rangers beat @BlueJays, 6-4, in a wild 14-inning playoff thriller. #ALDS http://t.co/g2NbYb6oOA","sports"
"28","#SMU announces it will not appeal NCAA Tournament ban or Larry Brown's nine-game suspension. http://t.co/QDq8nsZJIm http://t.co/F0LWDaDFd4","sports"
"29",".@Seahawks have ruled RB Marshawn Lynch OUT for Sunday's game against @Bengals. http://t.co/TpV0J0Vpmz http://t.co/6bV9QnKaeE","sports"
"30","The @Eagles are struggling on both sides of the ball. How do you fix Philly this season? http://t.co/UwvBR4AYLW http://t.co/4pB50U1HTM","sports"
"31","RG3's statue at Baylor was apparently vandalized by TCU fans and Bears fans struck back. http://t.co/Vz2kB5DVyq http://t.co/yQHPln76BR","sports"
"32",".@buffalobills RB LeSean McCoy says he has a ""Grade 2"" hamstring pull and will miss 3-4 weeks. http://t.co/kqBgWLhePM http://t.co/TbXJDkZBRa","sports"
"33","According to a report, the Chip Kelly to USC speculation has already begun http://t.co/ZAUyKroKeY http://t.co/4bc3VLdnWL","sports"
"34","Report: @Mariners planning to fire manager Lloyd McClendon, who was 163-161 over two seasons. http://t.co/Q85y6ngoFb http://t.co/AQZ1FmahSv","sports"
"35","#Hawks forward Thabo Sefalosha was found not guilty on all three of his charges http://t.co/jo3ateWx0W http://t.co/1cGRab04hs","sports"
"36","Is this the beginning of the end for Steve Sarkisian at USC? http://t.co/7AdmFoIzcn http://t.co/xTxFbGAJqd","sports"
"37","WATCH LIVE: Kevin Love (@kevinlove) joins The Dan Patrick Show http://t.co/ypHaBGdvuQ http://t.co/ADcNrEQ8Tt","sports"
"38","Liverpool's Jurgen Klopp made quite the impression during his first press conference http://t.co/VpQD6W0xzG http://t.co/Jn9fZ6pOu8","sports"
"39","WATCH: The Dan Patrick Show with Dallas Keuchel (@kidkeuchy), Kevin Love (@kevinlove) and Rich Eisen (@richeisen) http://t.co/xRck8Smylv","sports"
"40","#Cowboys head coach Jason Garrett had a chat with Greg Hardy about Hardy's dumb comments http://t.co/mcUk6bgkl3 http://t.co/wZrPJRrqXK","sports"
"41","WATCH: After @Flyers vs. @TBLighting 3-on-3 OT, fans may never want to see a shootout again. http://t.co/DsZhBYdPQN http://t.co/uNQNpiLY1X","sports"
"42","The @mnwild erase 4-1 deficit thanks to Zack Parise's hat trick to defeat the @Avalanche, 5-4. http://t.co/CBEze1kPRl http://t.co/uUjnJRFgXK","sports"
"43","The Astros ride momentum, home runs in #ALDS Game 1 victory against the @Royals http://t.co/xjVbU2OKE4 http://t.co/MoQwLV6BMs","sports"
"44","The @Colts defeat @HoustonTexans, 27-20, for second straight win without Andrew Luck. http://t.co/DdmmF1cNOI http://t.co/a8rDVFZkZM","sports"
"45","Robert Griffin III's statue at his alma mater, Baylor, discovered vandalized with spray paint. http://t.co/TAFEUgMtLJ http://t.co/I1seZmaN7n","sports"
"46","WATCH: No. 2 pick @Jack_Eichel11 scores first career #NHL goal in first @BuffaloSabres game. http://t.co/cmu0WZElPe http://t.co/Ja9EdwuMZV","sports"
"47","RESULTS: @MattKenseth, @KyleBusch sweep front row for @NASCAR Sprint Cup race @CLTMotorSpdwy http://t.co/QU7BV7NHB8 http://t.co/2jlSVDL9rR","sports"
"48","Report: @Rangers 3B Adrian Beltre diagnosed with back strain after MRI http://t.co/YpuVryPHa1 http://t.co/pkKY9b3cmT","sports"
"49","WATCH LIVE: Opening week in @NHL rolls on @NBCSN and @LiveExtra with @mnwild vs. @Avalanche http://t.co/kX1xb1ryRJ http://t.co/6HzY7BuGyH","sports"
"50","Broadcasting legend Vin Scully to miss @Dodgers postseason after undergoing medical procedure http://t.co/i9KfU61qZt http://t.co/ZYrIs5I61B","sports"
"51","After injuries hit both sides, @Rangers get best of @BlueJays in 5-3 win in Game 1 of #ALDS http://t.co/UdhduTw4BZ http://t.co/dJx4CXBHm7","sports"
"52",".@Rangers 3B Adrian Beltre is out of Game 1 of the ALDS with a suspected back injury. http://t.co/SMdsSskjBE http://t.co/u9qeWsXphY","sports"
"53","Matt Barnes says he went to his ex-wife's house because his son was distressed. http://t.co/BWhrbH0b51 http://t.co/xd0fxXmhnm","sports"
"54","Firing DC Kevin Coyle is just the start. 

Read @CoreyGriffinNBC on how to fix the #Dolphins. http://t.co/NkEMVkTfpG http://t.co/lH2twDSneL","sports"
"55","The @MiamiDolphins will reportedly fire defensive coordinator Kevin Coyle. http://t.co/AKOTROx1MJ http://t.co/jgil8JI4f9","sports"
"56","After years of hype, the NHL debut of @Oilers phenom @Cmcdavid97 is finally here. http://t.co/qLC6votOKk http://t.co/0A0fADgWWK","sports"
"57","The @Patriots reportedly signed RB Dion Lewis to a two-year extension. http://t.co/UMeAemBoAj http://t.co/fbINlrBqsr","sports"
"58","Will @Colts coach Chuck Pagano be the next one fired? http://t.co/sBWanSlKbF http://t.co/i0EqWlwXLx","sports"
"59","Rejoice, @LFC supporters!

Multiple reports say Jurgen Klopp agreed to manage at Anfield. http://t.co/krSPHMdlcV http://t.co/PAIrCempqq","sports"
"60","Messi will stand trial in Spain over tax evasion charges, faces 22 months in jail. http://t.co/KifSh3LKkt http://t.co/GJ7K2MgA2K","sports"
"61","Matt Hasselbeck reportedly will start Thursday after being hospitalized Monday. http://t.co/11UFe7i7Cr http://t.co/Wrpto00k2m","sports"
"62","ALDS Preview: Do the @Rangers have a chance? Will the @Astros upend the top-seeded @Royals? http://t.co/wcjlbdAOKJ http://t.co/nY7uBQPTUM","sports"
"63","ICYMI: Dustin Brown's open-ice hit on Logan Couture in Wednesday night's opener. http://t.co/bpTtMBOnJA http://t.co/zh9tiiZ3GD","sports"
"64","Andrew Luck will reportedly test his arm, but Matt Hasselbeck might start Thursday night. http://t.co/fKGqYjKoUd http://t.co/WHM7JdFvYa","sports"
"65","Bryant assistant Chris Burns comes out, is 1st openly gay Division I men's basketball coach. http://t.co/laGx5TYsa9 http://t.co/jLpdo6qy8u","sports"
"66","Rex Ryan has the @BuffaloBills doing push-ups in practice after penalties. http://t.co/zN7Dn88ad7 http://t.co/3rVi71hJNY","sports"
"67","FIFA announced bans for Sepp Blatter, Michel Platini, Jerome Valcke and Chung Mong-joon. http://t.co/HFmGrSnQEK http://t.co/LWQ2HR8lGP","sports"
"68","The @Cubs did it. Chicago is back in the NLDS.

Next up: The @Cardinals. http://t.co/LCwhS1DpH7 http://t.co/zUEnwHdSnS","sports"
"69",".@SanJoseSharks get offensive in season opener, defeat rival @LAKings, 5-1, in Los Angeles http://t.co/eo0BRu98NM http://t.co/c916tdLZpU","sports"
"70","Jake Arrieta wanted it loud, and that's exactly what he got as he keeps dominating for @Cubs. http://t.co/57hrjYrEsm http://t.co/2NNniZU5Xz","sports"
"71","What a save by Martin Jones! @SanJoseSharks lead @LAKings 4-1 after two periods. #NHLonNBC http://t.co/8pxXYhLaoy","sports"
"72","After a 98-win season, the @Pirates deserved better than to be eliminated in one-game playoff. http://t.co/BTEfklciJc http://t.co/kKMI6XttUB","sports"
"73","Mike Babcock loses Toronto coaching debut, as @MapleLeafs fall to @CanadiensMTL in home opener http://t.co/i0vZCvOgRk http://t.co/QdSAqoS9dy","sports"
"74","The @NYRangers win in Chicago as @NHLBlackhawks raise championship banner on opening night. http://t.co/QZnbRRsJkC http://t.co/SpiEhpMcOc","sports"
"75","READ MORE: @Cubs playing in #NLDS for first time since 2008 thanks to Jake Arrieta CG shutout http://t.co/Qs5cri8MaI http://t.co/GYt9QPSNIs","sports"
"76","Complete game shutout! Jake Arrieta carries @Cubs to #NLDS after eliminating the @Pirates http://t.co/ih5T8CcGTR http://t.co/gkBFLuMXJo","sports"
"77","History in @NHL: Mike Babcock uses first-ever coaches challenge on disallowed goal, succeeds. http://t.co/2HvQJ2PG11 http://t.co/qgX8lOzCbG","sports"
"78","Tic-tac-toe @NYRangers lead @NHLBlackhawks 3-1 after the first period #NHLonNBC http://t.co/LNPeHJRc9M","sports"
"79",". @NHLBlackhawks raise the 2015 Stanley Cup Championship banner to the rafters #NHLonNBC http://t.co/IzoncxZLiQ","sports"
"80","Is 3-on-3 OT better than a shootout? NHL fans take a vote. #NHLonNBC http://t.co/3Mje8oELNI","sports"
"81","Jonathan Toews sits down with @KathrynTappen to talk about winning the Stanley Cup on home ice #NHLonNBC http://t.co/zQdMyAUrVB","sports"
"82","WATCH LIVE: @NHL on @NBCSN returns - @NHLBlackhawks raise championship banner, host @NYRangers http://t.co/87L9a1vc6p http://t.co/S7HuvA92yf","sports"
"83","Is this finally *THE YEAR* for the @NYRangers? It better be. http://t.co/6QdzsOmgXp http://t.co/tU1yHoKzlX","sports"
"84",".@joeylogano says Talladega is a crapshoot that will get the best of title-favorite drivers. http://t.co/gi6D0Ja3gf http://t.co/UE7NVrTeip","sports"
