"","user","type"
"1","In movie-set baseball playoffs last night, Jacob deGrom was the star, @powellnyt explains. http://t.co/QLui922pux http://t.co/ICrshazm3e","sports"
"2","Heading into USA-Mexico match, Jurgen Klinsmann is staying the course despite doubters. http://t.co/aWKNtAJaJN http://t.co/JH4ufb8kCu","sports"
"3","This weekend college students will be drinking. And some will do so in football stadiums. http://t.co/ksDLMuDOJp http://t.co/CCQAObILT7","sports"
"4","Texas is up 14-3 at halftime over Oklahoma. Maybe Sooners can cure some of Longhorns' ills. http://t.co/bHy7FxkbXj http://t.co/0L4zvN0Wml","sports"
"5","It was more of the same last night for the Cardinals in their Game 1 win against the Cubs. http://t.co/LOUSRvGZ4O http://t.co/oUzLVodIEx","sports"
"6","Johnny Cueto wasn't great, but good enough for Royals to rally past Astros last night. http://t.co/DWjvOshgoi http://t.co/MIwPBUIRGy","sports"
"7","After yesterday's win, the Rangers head home one game from eliminating the Blue Jays. http://t.co/qnGZHYRtVu http://t.co/9EsZz3ApWm","sports"
"8","At Barclays Center last night, Islanders fans came. They didn’t see. They griped. http://t.co/zqPNmefOoY http://t.co/giB1aA4Sk6","sports"
"9","Don Mattingly was once again second-guessed by fans after last night's loss to the Mets. http://t.co/Gxno1roAif http://t.co/j5WUZvwM0e","sports"
"10","Got your drinks and snacks ready? Here are the best college football games to watch today. http://t.co/WTkFvQVEpa","sports"
"11","It's a college football Saturday, time for another Campus Corner. This time, look up. http://t.co/McCDHyCzn3 http://t.co/qwbLvyVzjp","sports"
"12","Today’s game vs. OU has emerged as an inflection point for Texas and Coach Charlie Strong. http://t.co/t16ux293Bx http://t.co/NqHyoeSoli","sports"
"13","In movie-set baseball playoffs Friday night, Jacob deGrom was the star, @powellnyt explains. http://t.co/XYOZM0HHdy http://t.co/JBGexaeT2G","sports"
"14","At Northwestern, defense has become seriously fun. http://t.co/UOnOxs6Qat http://t.co/QOxWKinLkl","sports"
"15","Everyone is chasing Kevin Harvick, master of must-win races. http://t.co/QqAdqldOuj http://t.co/YH8BgOsfrY","sports"
"16","Rugby World Cup history is on France's side. http://t.co/wUDJB00fNw http://t.co/xIl9YOwW7E","sports"
"17","Formula One’s cars are powered by a world of data. http://t.co/8A1GRmaC4U http://t.co/7vk53TIPiP","sports"
"18","Jacob deGrom tops Clayton Kershaw, giving the Mets an upper hand on the Dodgers, 3-1. http://t.co/Ri4szxA7Qa http://t.co/YFVpX9jCej","sports"
"19","In a duel of aces, the Mets get upper hand on the Dodgers, 3-1, in Game 1 of the N.L. division series. http://t.co/lNq5pmV4hj","sports"
"20","The Knicks are approaching Kristaps Porzingis’s journey through his first N.B.A. season with caution. http://t.co/pk0Cx0hxA1","sports"
"21","With the Islanders now in Barclays Center, a look back at hockey in Brooklyn. http://t.co/tmhxUFY4Bz http://t.co/vNrD0zov9T","sports"
"22","The Cardinals’ pitchers shut out the Cubs in a 4-0 victory in Game 1 of the N.L. division series. http://t.co/WPBLZJk9GO","sports"
"23","Islanders fans came. They didn’t see. They griped. http://t.co/Lp1ejdvZqw http://t.co/50yUEK4WH1","sports"
"24","The Islanders’ Brooklyn debut disappoints with empty seats and a loss to the Blackhawks. http://t.co/sQxC0lW4VB http://t.co/CZIIFBeAaK","sports"
"25","Mattingly has never graced a World Series. Can the Dodgers bring him to 'the mountaintop'? http://t.co/LdNQEdpfKL http://t.co/KDj5t6ReQK","sports"
"26","With most Yankees returning next season, the team’s problems won't be going away. http://t.co/7Vdhd6eDoW http://t.co/ugkZ2H5qdK","sports"
"27","The Dodgers’ Clayton Kershaw and Zack Greinke form 1-2 punch not seen in decades. http://t.co/ac73JGgCsZ http://t.co/Q5ilmK0Cfy","sports"
"28","College football games to watch on Saturday, starting with Oklahoma vs. Texas at noon. http://t.co/COr8sujlcc","sports"
"29","Mets-Dodgers N.L. division series is about to start. Here's what you need to know. http://t.co/6t7lO2HFIS http://t.co/qS66mvhqfR","sports"
"30","If Mets’ Daniel Murphy is saying goodbye, he wants to make it memorable. http://t.co/p4FDcTZZfv http://t.co/N712OQ0TNh","sports"
"31","Jacob deGrom on his Tommy John scar: ""Mine’s not the best-looking one. It’s kind of thick."" http://t.co/KKqmjWMW2b http://t.co/8dbu0wfSoX","sports"
"32","Yasiel Puig, despite being “a little rusty,” makes the Dodgers' NL division series roster. http://t.co/2JM3Kid518 http://t.co/O6LQFDGrGo","sports"
"33","Mets-Dodgers Notes: Steven Matz could start Game 4 for the Mets; Dodgers broadcaster Vin Scully to miss the playoffs http://t.co/Dfqi9PCdLr","sports"
"34","Mattingly has never graced a World Series. Can the Dodgers bring him to 'the mountaintop'? http://t.co/T8nt0zsAtS http://t.co/Cfww6Rj99o","sports"
"35","Mets-Dodgers caps a full day of division series games tonight. Here's what you need to know. http://t.co/4FSrW2uLMA http://t.co/vekADitSPx","sports"
"36","The Royals beat the Astros, 5-4, evening the American League division series. http://t.co/WAfImj1T47 http://t.co/AlL8oTfPe0","sports"
"37","The Rangers head home one game from eliminating the Blue Jays in the A.L.D.S. http://t.co/4cspxOg0xg http://t.co/RIbqB10EPR","sports"
"38","Hey, Kristaps Porzingis: Welcome to the Knicks’ dysfunction. http://t.co/XzEp8leeJL http://t.co/NVMr9ggd0h","sports"
"39","Chicago and St. Louis in the postseason? It's 1885 and 1886 all over again. http://t.co/BtxubPk0QB http://t.co/ffewjW0Cda","sports"
"40","ICYMI: Every Tommy John scar tells a story. http://t.co/p6lKFa7RIW http://t.co/IVijzEUSsF","sports"
"41","With Bayer Leverkusen, Chicharito believes he has found the place be a top player in Europe. http://t.co/xT0iPlRExo http://t.co/N5NngFyBLX","sports"
"42","Ten key moments in the century-old rivalry between the Cubs and Cardinals. http://t.co/PLJWidWOI2 http://t.co/zd1tLFta5O","sports"
"43","If Mets’ Daniel Murphy is saying goodbye, he wants to make it memorable. http://t.co/scuyAxNPFR http://t.co/x9luMAwJ6s","sports"
"44","This weekend college students will be drinking. And some will do so in football stadiums. http://t.co/7ue0TT9sj1 http://t.co/NRD5RcGbM3","sports"
"45","Start planning your Sunday now. Here are the NFL Week 5 previews and picks. http://t.co/SJr8wCF6rh http://t.co/hl18n87Fcr","sports"
"46","Fox Sports 1 using Donald Trump to promote US-Mexico soccer match doesn't go over so well. http://t.co/z4nOSTaCJq","sports"
