"","user","type"
"1","STRONGSIDE: Odell Beckham Jr. has inspired entire generation of kids to stay inbounds http://t.co/BvA9mD63GZ http://t.co/ZwwnBK36Qd","sports"
"2","Mark McGwire Confident He Could Still Disgrace Game At High Level Today http://t.co/S6umWSezcr http://t.co/IbhH9MNtmB","sports"
"3","Small-Town High School Punter Spends Afternoon Kicking Footballs Through Tire","sports"
"4","WNBA MVP Devastated After Roommate Moves Out Without Any Warning http://t.co/0liPYAiPv9 http://t.co/OQMuiOO0y6","sports"
"5","Cocky Joe Buck Guarantees He Will Go To World Series","sports"
"6","Furious Rick Pitino Adamant Media Trying To Tarnish Name Of Great Escort Service http://t.co/1b96LiRPh2 http://t.co/Kq5SB6rz3Q","sports"
"7","University Of Oregon Debut Controversial Fly-Ridden Duck Flesh Uniforms http://t.co/Z5HxEaJrjw http://t.co/FJyzxfYApF","sports"
"8","Onion Sports presents its winners and losers from the fourth week of the 2015 NFL season: http://t.co/W9JfctprTn http://t.co/7HQilDI5ma","sports"
"9","Jerry West Reveals He's Also Inspiration For MLB Logo http://t.co/XiR3N5GpLd http://t.co/D2dmdkEOKF","sports"
"10","Doctor Performing Surgery On Cowboys Player Frustrated By Jerry Jones Hovering Over Him http://t.co/xBm5FhBtgT","sports"
"11","Roger Goodell Unveils Plans For NFL Game In Earth’s Core http://t.co/zWGgPccziU http://t.co/UQEzWkvwsk","sports"
"12","Report: Peyton Manning Lacks Strength To Complete Longer Commercial Takes http://t.co/O0Sz52XxzA http://t.co/5vHB2RSQMR","sports"
"13","""Why can’t they just stop fighting all the time?"" http://t.co/l2jpl2oXHr http://t.co/Ld5g9Bcgdf","sports"
"14","Recruit’s 3 A.M. Text From Jim Mora Just Reads ‘You Up?’","sports"
"15","Jonathan Papelbon Stays After Game To Take A Few Practice Swings At Teammates","sports"
"16","Onion Sports presents its winners and losers from the third week of the 2015 NFL season: http://t.co/3Au22cnWId http://t.co/zN1GJ31Zcn","sports"
"17","Cris Collinsworth Suddenly Realizes He's Been Talking About Size Of Player’s Hands For 2 Hours #SNF","sports"
"18","Last Of Al Davis’ Ashes Blasted Off In Stadium’s Touchdown Fireworks","sports"
"19","Fan Watching Game Alone Sadly Signals First Down","sports"
"20","GOP Candidates Fiercely Divided Over How Much Voltage Border Wall Should Be Electrified With http://t.co/FneJxxOOVQ http://t.co/CLDu0qQSEJ","sports"
"21","Cameraman Really Biting On Play Action","sports"
"22","Mike Florio Loses 3 Fingers After Accident While Working At ProFootballTalk Rumor Mill http://t.co/mYReV4YS8T http://t.co/o3ZLeG6Cup","sports"
"23","WEAKSIDE: Knees in better condition than his quarterback’s http://t.co/TkRy3zgxjX","sports"
"24","STRONGSIDE: Got to toy with Tim Tebow’s emotions for a few precious months http://t.co/Qrz6ZhWnyE http://t.co/KsDTrPADG1","sports"
"25","Billy Crystal Tearfully Admits He’s Never Seen, Been To A Yankees Game http://t.co/yHeb0LCMVM http://t.co/o6n0DjnpAK","sports"
"26","Christian Ponder Warming Up By Trash Can Fire","sports"
"27","Dolphins Coaches Trying To Fix Ndamukong Suh’s Quarterback-Throwing Mechanics http://t.co/IlYIprptva http://t.co/DA02jJZdTo","sports"
"28","Cowboys Confident They Have Enough Pieces Of Tony Romo To Win http://t.co/8OCfruTxVt","sports"
"29","NFL Week Two Winners And Losers http://t.co/t6bKD5Iuoc http://t.co/S5uZIjlYOF","sports"
"30","Vikings Not Going To Tinker With Way Adrian Peterson Fumbles Ball http://t.co/1TmkLHaUyh http://t.co/xHfV5a0Ju3","sports"
"31","New LSU Stadium Shuttle Transports Tigers Fans Back To Woods http://t.co/n9DASsWUjD http://t.co/7tMmNp4kaT","sports"
"32","STRONGSIDE: Throwing accuracy provides Titans opportunity to lead NFL in dropped passes http://t.co/ibpxGsdYLT http://t.co/MX4WGUB8bd","sports"
"33","Luke Kuechly Undergoes Quick Brain Arthroscopy To Clean Up Cerebral Cortex http://t.co/lypxCA8J2l http://t.co/KsBleE74JY","sports"
"34","Giants Move Tom Coughlin To Assisted-Coaching Facility http://t.co/AWtNH1Qvih http://t.co/L1df2czWxX","sports"
"35","Doctors Urge Dez Bryant To Refrain From Talking As Much As Possible While Foot Heals http://t.co/cd5e2QdbJ2","sports"
"36","NASCAR Driver Always Forgets Which Side Of Car Gas Tank On http://t.co/dF1mk2hp3X http://t.co/HxfSQpp80g","sports"
"37","NFL Week One Winners And Losers http://t.co/epRGG2dP2y http://t.co/E4Z9gQRDSX","sports"
"38","MRI Reveals Sam Bradford's ACL Knot Holding Strong http://t.co/y1oDTM95XB","sports"
"39","Packers Fan Slow To Get Up http://t.co/AdDWTVeD5B","sports"
"40","Players To Watch: Jameis Winston

Weakness: 7 days to kill during Week 6 bye http://t.co/dfRtkA9csd #NFLpreview http://t.co/LznOHTSYuG","sports"
"41","Players To Watch: J.J. Watt

Biggest Regret: Sacking own twin in womb http://t.co/dfRtkA9csd #NFLpreview http://t.co/8SUNqYLMaP","sports"
"42","San Francisco 49ers: Still trying to fill 6 open roster spots on defense http://t.co/dfRtkA9csd #NFLpreview http://t.co/vDBKDLwnbZ","sports"
"43","Cleveland Browns: Once again absolutely stacked with question marks http://t.co/dfRtkA9csd #NFLpreview http://t.co/kFSe0D3gt0","sports"
"44","Bucs Stadium Now Allowing Fans To Watch Games From Special Swamp Deck http://t.co/hsjM063lgG http://t.co/WrIObnRniK","sports"
"45","Roger Goodell Sadly Looks Down At Stadium From F16 Cockpit During Pregame Flyover","sports"
"46","Tom Brady Haunted By Destroyed Cell Phone Ringing Beneath Floorboards http://t.co/5o2LQVAhZ6","sports"
"47","2015 NFL Season Preview: Onion Sports breaks down everything you need to know http://t.co/aEEqXBV16X http://t.co/sx2WKxLvqe","sports"
"48","Panicking Tom Brady Unable To Stop Smirking Since Suspension Overturned http://t.co/4EdiPmqrw9 http://t.co/A0wgji6xjp","sports"
"49","Marcus Mariota Spends 3 Months In Pocket To Prepare For Quarterback Role http://t.co/kH5Qu7rU9m","sports"
"50","‘Fourth Quarter, Time Winding Down, Super Bowl,’ Report Nation’s 11-Year-Olds http://t.co/JAUjwnUxuP http://t.co/bbMy5aAgEN","sports"
"51","Tom Brady Haunted By Destroyed Cell Phone Ringing Beneath Floorboards http://t.co/Priyoe8Elb","sports"
"52","Brady Ruling Costs Jimmy Garoppolo 3-Year, $35 Million Contract With Browns Next Season","sports"
"53","Linda Cohn Finds Tim Kurkjian’s Design For Baseball Card Of Himself In Office Printer http://t.co/eSg6vfP1a3 http://t.co/PTmhgOa7EC","sports"
"54","Jayson Werth Catches Foul Ball Without Spilling Beer http://t.co/yQQDVZbBGf http://t.co/cxwRrEnuTE","sports"
"55","Sexual Assault Conviction To Factor Into College Football Preseason Rankings","sports"
"56","Roger Federer Stunned By Sheer Amount Of Trash On U.S. Open Courts http://t.co/FCKowB1JqE #usopen http://t.co/TDkit1zBW1","sports"
"57","STRONGSIDE: Only needs to win one more Grand Slam and marry Andre Agassi to match Steffi Graf http://t.co/HtuVMi94ru http://t.co/yW3xvCAZDq","sports"
"58","1,400 Dead After Mike Trout Fouls Line Drive Into Stands http://t.co/IAKXxmnIzZ","sports"
"59","Journeyman Fan Joins Sixth NFL Team In 5 Years http://t.co/F4HZYVIYWx http://t.co/3egWQADP9F","sports"
"60","Majority Of NFL Players Say They Wouldn’t Let Their Son Play Preseason Football http://t.co/DOOKKfZJLU http://t.co/rUs4J0oKHh","sports"
"61","Report: Over 8 Miles Of Ligaments Torn In NFL Each Year","sports"
"62","Bill Belichick Asks Recently Cut Player To Turn In His Bills, Jets, Dolphins Playbooks","sports"
"63","Chiefs Rookies Forced To Lug Andy Reid’s Snacks To And From Practice http://t.co/PDFQeR9coH http://t.co/XeInGQZNdJ","sports"
"64","STRONGSIDE: Excels at managing locker room filled with his ego http://t.co/iPQSow0TFs http://t.co/DYwcXKRXyn","sports"
"65","Entire Ruby Tuesday Waitstaff Just Trying To Ignore Table Holding Fantasy Football Draft http://t.co/JCAIPBN8Za http://t.co/Jprl4u215n","sports"
"66","Jason Witten Can’t Believe He Stuck Rooming With Jerry Jones During Training Camp Again http://t.co/tne7mjEXCf http://t.co/xfvqzZZrPn","sports"
"67","Chinese Basketball Team Receives Cargo Container Filled With Unwanted Greg Oden http://t.co/RxHNDMCKJC","sports"
"68","Redskins Maintain They Were Legally Granted Right To Name By 1807 Treaty Of Blackwater Creek http://t.co/qBztvm9UMW http://t.co/4fBUSEbxtO","sports"
"69","Rob Gronkowski Shows Off Super Bowl Cock Ring","sports"
"70","Phillies’ Eighth-Inning PSA Reminds Fans To Get To Bars Safely","sports"
"71","Oral Surgeon Gets In A Few Punches On Unconscious Geno Smith Before Repairing Jaw","sports"
"72","""The people of St. Louis must be prepared to erect the arena’s 14,000-ton steel structure.""  http://t.co/CzXLGHyJ3X http://t.co/oQkgYWmFDA","sports"
"73","Study: Human Reaction Time Now Best Measured By How Long It Takes To Pause ESPN Video Player http://t.co/wohGKuMdlI http://t.co/kgWn00Qe8b","sports"
"74","Robert Griffin III practices in red “no contact” full-body cast | More NFL training camp highlights: http://t.co/gQzeOlgeF7","sports"
"75","Highlights From NFL Training Camp | Onion Sports breaks down the biggest moments: http://t.co/7TUSHkwcAo http://t.co/UElIAQPVsY","sports"
"76","Hazed NFL Rookie Forced To Pay For Rest Of Team’s Child Support http://t.co/8d33XK2VI0","sports"
"77","Confusing Minor League Promotion Gives First Thousand Fans To Second Thousand Fans","sports"
"78","“I gotta say, Dylan is just like me.” – @MikeTrout, American League MVP http://t.co/vdurQslj8x http://t.co/p6YLpNPqBH","sports"
"79","Contemplative Aldon Smith Goes On Late Night Drunk Drive To Think About Future http://t.co/V72wA96HlB","sports"
"80","NFL To Prohibit Family Members From Delivering Speeches At Players’ Funerals http://t.co/k5CM0zGbeK http://t.co/gAVCHrUNq5","sports"
"81","Curt Schilling Spends ‘Sunday Night Baseball’ Delivering Real Estate Investment Pitch To John Kruk http://t.co/fnYHdBuQcL","sports"
"82","‘Hard Knocks’ Film Crew Finishes Filming B-Roll Of All Houston Landmarks In Two Hours","sports"
"83","WEAKSIDE: Has fewer than five minutes of fighting experience in UFC http://t.co/OwYvbvL4e8","sports"
"84","STRONGSIDE: Thankfully only draws comparisons to Mike Tyson as a fighter and not as a person http://t.co/LZwwSag6JR http://t.co/pjMWNopxsB","sports"
"85","Marlins Players Enthusiastically Gather Around Stadium Exit After Walk-Off Home Run http://t.co/YGaiKihJY9","sports"
"86","Patriots Tired Of Jimmy Garoppolo Beginning Every Huddle With ‘This Is My Team Now’ http://t.co/kCrHhYbKdE http://t.co/0U993X5UDX","sports"
"87","Cowboys Limit Tony Romo To Make Sure He Doesn't Take On Larger Leadership Role","sports"
"88","Fan Can’t Believe He Left 11 Seconds Into Ronda Rousey Fight http://t.co/mAEhHRGKlV http://t.co/k7ywOHMJyj","sports"
"89","Is Jurgen Klinsmann any good? http://t.co/KePLiwn73t http://t.co/ShjF7Cclpn","sports"
"90","Fan Bravely Ventures To Other Side Of Stadium In Search Of Better Food Options http://t.co/aeEkhedAOz http://t.co/JYRMWv4eLi","sports"
"91","Jim Harbaugh Spends Day Testing Every Single Seat View In Michigan Stadium http://t.co/uFZYKyJs8n http://t.co/AHCBKfMXl2","sports"
"92","Kris Bryant Autographs Chicago Man’s Breast","sports"
"93","Tom Brady Keeps Referring To Self As ‘Golden Boy’ While Denying Cheating Allegations http://t.co/QVVpokYyiK http://t.co/tOotGbGVeu","sports"
"94","‘Some Of This Is Probably Water,’ Man In Stadium Bathroom Hopes http://t.co/kniALaTH5a http://t.co/eN45esoJsS","sports"
"95","Tour De France Won By Rowdy, Tattooed Biker From Harley Davidson Team http://t.co/E3XFIUWtCW http://t.co/gV9eHbqbmG","sports"
"96","From The Archives: New Hulk Hogan Autobiography 300 Pages About The Psychology Of The Leg Drop http://t.co/GAHgIzUpK5 http://t.co/kKBaUd8N47","sports"
"97","Rebecca Davies, National Science Foundation researcher: http://t.co/sYUNNu2h97 http://t.co/S8FAHspA8K","sports"
"98","Scientists Warn Planet Cannot Support Growing Gronkowski Population http://t.co/y8CoGd0Vxi http://t.co/VoGGkHn3Vr","sports"
"99","Bicyclists Begin Formalwear Stage Of Tour De France http://t.co/KQmfi4efYj","sports"
"100","Dempsey has propelled the U.S. closer to a sixth Gold Cup title. Is he any good? http://t.co/tvhzrWbIpT #USAvsJAM http://t.co/98beomOtce","sports"
"101","According to reports, Bill Simmons then explored increasingly divergent quantum branches http://t.co/2vb1VTYH1F http://t.co/ju6nW4nfcs","sports"
"102","Desperate Buccaneers Ring Of Honor Committee Member Suggests Joey Galloway Again","sports"
"103","Jon Lester Adamant No Team Has Truly Earned Run Off Him Since 2009","sports"
"104","FIFA Retires Sepp Blatter's Routing Number http://t.co/VCXJdIea3w","sports"
"105","Man Glances Up At TV 7 Times During 3-Hour Viewing Of Padres Game","sports"
"106","ESPN K-Zone Centers Around AJ Pierzynski's Face","sports"
"107","Home Run Ball Travels 3,000 Miles To Birthplace At Rawlings Factory http://t.co/e8Byyrsl25 http://t.co/Q6kKA9uECq","sports"
"108","Onion Sports examines the biggest free agent signings so far http://t.co/GTcLSGddYH http://t.co/GU0WZv3DcE","sports"
"109","Every Comment On ‘Immaculate Reception’ YouTube Video Clearly From Franco Harris http://t.co/erbrM1WfUZ http://t.co/YnfCJRzrOb","sports"
"110","Determined Tour De France Biker Finishes Stage With Opponent Stuck In Spokes http://t.co/W75Av3FJJC","sports"
"111","Federal League Once Again Snubbed By MLB All-Star Game http://t.co/83q1dgjP1g #ASG http://t.co/bjiWp3Fe78","sports"
"112","Surgeon Claims Loss Of Finger Shouldn't Derail Jason Pierre-Paul's Professional Fireworks Career","sports"
"113","Cowboys Give Dez Bryant List Of Rules He Can Break http://t.co/hyz47hk4Yj http://t.co/ayu9zhLzZa","sports"
"114","55-Year-Old Guy Dominating YMCA Pickup Basketball Game http://t.co/z4bNOgjPnW","sports"
"115","Study: Majority Of Baseball Games Between Twins, A’s http://t.co/hrIYvYAMbr http://t.co/vSnrecQRoE","sports"
"116","Authorities Warn Away Fans At Dodger Stadium To Always Wear Team-Neutral Body Armor http://t.co/vHutsuSgWC http://t.co/Q74HibndfM","sports"
"117","Nation Disturbed By Photos Of Bud Selig In ESPN’s Body Issue http://t.co/MRkKoeNLI4 http://t.co/ZVUtuL6Wus","sports"
"118","No One Seems To Know Guy Leaning Against Batting Cages Giving Hitting Advice http://t.co/wHC9dJJY5K http://t.co/vs9AEi0tDP","sports"
"119","Stadium’s Pathetic Home Run Animation Doesn’t Even Show Ball Screaming While Leaving Earth http://t.co/0gHS8bwMSf http://t.co/WOplkyOUKI","sports"
"120","Frustrated David Ortiz Breaks Bat Boy Over Knee http://t.co/uTwhr6bBN8","sports"
"121","Frustrated David Ortiz Breaks Bat Boy Over Knee http://t.co/4zOrrBkzxy","sports"
"122","“Get it all cleaned up before our next road trip so we’re not coming back to a mess.” http://t.co/S6NZoT5ogV http://t.co/Q0dlHiZd0B","sports"
"123","Pete Rose, Tim Donaghy Among Class Of 2015 Inductees For Sports Betting Hall Of Fame http://t.co/kSHvypVfu5 http://t.co/TUZbeTrWo3","sports"
"124","Alex Morgan is arguably the most potent scoring threat in women’s soccer. Is she any good? http://t.co/nkSxMeRYfR http://t.co/T4BdvRwgaX","sports"
"125","Younger Vikings Players Picking Adrian Peterson’s Brain For Parenting Tips http://t.co/hAii2IYLMt http://t.co/oicX1jVNmi","sports"
"126","Bubba Watson Horrified To Learn Two-Thirds Of Earth Covered In Water Hazards http://t.co/PTlzZjSOJw http://t.co/LX2BJWYRCf","sports"
