"","user","type"
"1","Kollywood's pride, legendary actress Aachi Manorama is no more. Our deepest condolences to her family. RIP í ½í¸¢ http://t.co/bymT1QP7O2","movies"
"2","#Anushka is a boon to the film industry, #Rajamouli lauds #Rudhramadevi 

Read here http://t.co/Unuv37VL6n http://t.co/LsPfHIDxhP","movies"
"3","Official: @dhanushkraja - @Samanthaprabhu2 - @iamAmyJackson film has been titled #ThangaMagan.Here is the 1st look! http://t.co/OgBjpRY2mu","movies"
"4",".@iamAmyJackson happily upskills @dhanushkraja 

Read here http://t.co/RazfDaGeE8 #VIP2 http://t.co/exHqVaKEOP","movies"
"5","#Rudhramadevi - Snippet #2 |  #Anushka @ThenandalFilms @Anushka_ASF @alluarjun @RanaDaggubati @Gunasekhar1 http://t.co/yWJmsXt1AV","movies"
"6","#Nayanthara dubs for the first time in #NaanumRowdyDhaan 

Read here http://t.co/mPiLG3Wsmh @VigneshhShivan http://t.co/OtD1rYZFeB","movies"
"7","#Vishal rules out 'compromise' in Nadigar Sangam elections 

Read here http://t.co/jJnhBiRsDT http://t.co/QWtKniyfIi","movies"
"8","Watch #Anushka's exclusive chat on #Rudhramadevi at http://t.co/qdSdgI5T13

Releasing Oct 16th. @ThenandalFilms http://t.co/i8UVJhNqU2","movies"
"9",".@ash_r_dhanush announces short film competition for Children's Day 

Read here http://t.co/Si0K72Wdvl @aditi1231 http://t.co/Lwm0gBItTO","movies"
"10","#MNM Songs - A competent debut. A lively OST! 

Review at http://t.co/6MFLQXkSd3 @GitanjaliSelva @selvaraghavan http://t.co/aliZTLQ5LU","movies"
"11","#Rudhramadevi - Snippet #1 |  #Anushka @ThenandalFilms @Anushka_ASF @alluarjun @RanaDaggubati @Gunasekhar1 http://t.co/zndY98ylhH","movies"
"12","Dubbing underway for #Vedalam 

Read here http://t.co/LRmE8wjiHV #Thala #Ajith @shrutihaasan http://t.co/Tqm7GrzxIa","movies"
"13","First glimpses of #Vijay59 from October 17th 

Read here http://t.co/U5FkcKRL8Q #Vijay #GVPrakash @Atlee_dir http://t.co/m6uC81Pq5o","movies"
"14","Wishing one of the most celebrated directors in Indian Cinema, @ssrajamouli sir a very Happy Birthday. http://t.co/NyZ7v51snd","movies"
"15","Happy Birthday to our comedy king vaigai puyal @Actor_Vadivelu sir. Awaiting your next and wishing it to be a BB. http://t.co/9teRLMlIis","movies"
"16","#Rudramadevi (Tamil) - From October 16th! #5DaysToGo @alluarjun @ThenandalFilms http://t.co/ZqtAzmyDC0","movies"
"17","#MaalaiNerathuMayakkam - Reverberating music in stores! http://t.co/AkK09Yn6ug #MNM @GitanjaliSelva http://t.co/pfmDlqkcNC","movies"
"18","So how much RTs for this new massy poster of #VEDALAM. #Thala #Ajith http://t.co/JLlPSNInKS","movies"
"19","#PULI - Making Video https://t.co/Di4roj4os3 

#Vijay @ihansika @shrutihaasan @SrideviBKapoor @KicchaSudeep","movies"
"20","Our review on today's releases: 

#MasalaPadam - http://t.co/2rO0aSJRYr 

#Kathukutty - http://t.co/8L0J89RanB http://t.co/RQsT9AJGtA","movies"
