"","user","type"
"1","Looking for something to watch on Netflix this weekend? Here are 100 good choices: http://t.co/rVIorhXOET","music"
"2","TV Recap: DR. KEN (""The Seminar"")—maybe that pilot episode was a fluke... http://t.co/rHP6qMgcK9 http://t.co/fBQUeaUzk8","music"
"3","Check out the new Paste Studio in New York with @LyndieGreenwood from Fox's Sleepy Hollow. http://t.co/AfmA4Wlzxa http://t.co/HryTJdgvO8","music"
"4","Win a super-rare @Avengers #AgeofUltron print by Tyler Stout! Here's how: http://t.co/Qksafavu8J http://t.co/vy2cwurhSC","music"
"5","We talk to @PFTompkins about his Comedy Central special, podcasts and the Mr. Show reunion http://t.co/zeCG4TqyQx http://t.co/sHjwo1u3fz","music"
"6","5 Things the iPhone Still Does Better Than Android http://t.co/xEhdYCvN3U http://t.co/a79BwF1eR5","music"
"7","Comedy Bang! Bang!: “Uzo Aduba"" http://t.co/FZANlEhAdo http://t.co/1qYH71C4UV","music"
"8","Win tickets and a condo for the @HangoutFest Oyster Cook-Off &amp; Craft Beer Weekend! http://t.co/C53AKDDWN1 http://t.co/o3ldC8fFiy","music"
"9","#Oktoberfest isn't over. Here's 50 Oktoberfests in 50 states that actually occur in October: http://t.co/StMpsvG2jY http://t.co/236bdtlL6F","music"
"10","The new Amazon comedy Red Oaks is a loving homage to '80s teen comedies http://t.co/86L0BmkXdz http://t.co/jJAcaBrwtg","music"
"11","A spicy tequila cocktail better than a margarita. Guaranteed. http://t.co/bWMYS5TwVY http://t.co/BxvaS9MiY6","music"
"12","Indie pop-rockers @little_fevers video for ""Parties We've Missed"" is a perfect Friday jam http://t.co/RBM31iYmgC http://t.co/senEinEfZ2","music"
"13","Jackie Collins wrote a last letter to her fans before she passed away at age 77 —  http://t.co/7dPc2fp6JK http://t.co/QcRAr4VdAq","music"
"14","Silliness can't conceal what is warm, funny, &amp; empathetic. @spincut reviews Undertale: http://t.co/A5uWIXxwJS http://t.co/Uea2EeaF47","music"
"15","10 DIY Food Costumes for Halloween http://t.co/F3W8gpGjK4 http://t.co/idazWdBvmt","music"
"16","Fox Soccer Released Their Own Trump-ified USMNT Hype Video http://t.co/UTp8Z3oQdT http://t.co/bEuQ5VAuvk","music"
"17","The new ""Pride and Prejudice and Zombies"" trailer is everything we hoped it would be:  http://t.co/vEhXOG6s1B http://t.co/bY94ZF8sQG","music"
"18","TV Recap: THE BLACKLIST (“Marvin Gerard”)—the show might be heading in a bold, new direction http://t.co/D0kXW6NePY http://t.co/eBFaK9A52Z","music"
"19","Download Live Tracks From Your Favorite Concerts with Stereocast http://t.co/fblpnRee72 http://t.co/X2Stek3tXr","music"
"20","Album review: @unionmack on Wavves' V: http://t.co/HDDrUjITB8 http://t.co/EesG7z4God","music"
"21","Style Sales to Browse This Weekend (10/9-10/11/15) http://t.co/II6Rs2jUkf http://t.co/1gQ1iV1v7Z","music"
"22","See the first trailer for the Coen Bros. Hollywood comedy, @HailCaesarMovie http://t.co/WDufWUVxQW http://t.co/MmHIuuO8ni","music"
"23",".@Disney announces release date for ""The Incredibles 2,"" and you've got a while to wait: http://t.co/pvf273JWbE http://t.co/m0kEyhhLqe","music"
"24","Your Favorite #Netflix Shows Ruined with Subtle Title Tweaks http://t.co/PkLkIOcFv7 http://t.co/4uRWLMBXHV","music"
"25","Instructions for making a Slim Jim meat straw. You're welcome, world.  http://t.co/a5DG6NgmUW http://t.co/AvSwNEDvG0","music"
"26","Album review: @EricSwedlund on Last Good Tooth's And All Things On The Scales: http://t.co/gKMwwGxYVC http://t.co/xpjoEGk2B8","music"
"27","Use these 7 tools from #GearGeek to document your trips, via @PasteTravel: http://t.co/JaXVmRLnR1 http://t.co/VDsi09GHeY","music"
"28","The @FTLGame vinyl soundtrack is as gorgeous to look at as it is listen to:  http://t.co/dYagVmcMsE http://t.co/z6HIeXnCga","music"
