"","user","type"
"1","The Passion of Paul Ryan, a good man whose hand some are trying to force http://t.co/gSXJLFp9DM","politics"
"2","The tea leaves to read in tomorrow's @VP watch. http://t.co/9MuBLzPvqd","politics"
"3","And with that, @draftbiden first TV ad is relegated to web ad. https://t.co/CW0szL84Aw","politics"
"4","Umm... This isn't the endorsement @draftbiden was looking for. https://t.co/AZaqxwq1Dq","politics"
"5","Wifi would be good, but power is more important. We can use our MiFis as long as we can get some juice for them. https://t.co/lLQXd7Hbn4","politics"
"6","And it has the sports bar across the parking lot. https://t.co/3yXtoOe8Zb","politics"
"7","@jmsummers Supper Club!","politics"
"8","Remind me, friends: What's the easiest way to get to Janesville tonight? https://t.co/pzI11nNGWi","politics"
"9","Flashbacks to 2012! https://t.co/o55JQuTbpH","politics"
"10","In completely apolitical news, the new @Tony_deMare album of Sondheim works is quite imaginative if anyone needs to take deep breaths.","politics"
"11","The Biden as Cuomo 2.0 comparisons, via @lilyrothman http://t.co/WnBO2BFbZy","politics"
"12","Hear, hear! Colleague @jeffreykluger says know-nothing candidates might also be vote-nothings http://t.co/9gp4ERCgKW","politics"
"13","Ben Carson tells CNN re McCarthy ending bid for Speaker: ""I say kudos.""","politics"
"14","""Well, that wasn't helpful,"" McCarthy says when asked about his Benghazi comments.","politics"
"15","""I think I shocked some of you, huh?"" McCarthy says to reporters, acknowledging the bombshell he dropped today.","politics"
"16","In this week's issue of time, I talk to SNL's Kate McKinnon about the anatomy of a Hillary Clinton… https://t.co/SVvALSDzzc","politics"
"17","The @tcberenson short-list of Nobel contenders ahead of tomorrow's announcement: http://t.co/0LX5mH7lug","politics"
"18","This @kairyssdal interview of Carson has so, so many exchanges that are noteworthy, I'll just post the transcript: http://t.co/8zkZxCFFpC","politics"
"19","In which my reporting allows me to interview an SNL cast member and writers. I am living an Aaron Sorkin script. https://t.co/hpjN3TIilb","politics"
"20","Classic Donna Shalala statement on being released after her stroke: ""I'm out!"" The full release -&gt; http://t.co/axbIrooCXi","politics"
"21","Or that polls don't match hard work (yet)? https://t.co/2kKC3wxgfe","politics"
"22","A truly telling chart from the @DMRegister candidate tracker (http://t.co/npzmXGOnyr): http://t.co/tqTSQ5VlNj","politics"
"23","Obvi. https://t.co/5JwS73zSmt","politics"
"24","Organizing in the early-nominating states is still really, really important—and hard—work. Team Cruz, doing it. http://t.co/xZoNtBUW8m","politics"
"25","Something tells me that these professors won't be fielding a lot of calls to talk about the ""Democrat candidates."" http://t.co/jd6NBzBMf2","politics"
"26","I'm kind of feeling it for @PressSec this week. He really needs someone from @VP office up there to handle a lot of this #2016 grist.","politics"
"27","If ever we needed a reminder why metro papers matter, head over to The State (http://t.co/abrOvUOV0W) for their coverage of the floods.","politics"
"28","Lessig talks smack at O'Malley, Chafee and Webb during CNN interview. Umm...? http://t.co/Fkbhcstz5D","politics"
"29","You know it is Human Rights Campaign #NationalDinner when friends roll into bars in tuxes with plush ponies in the gift bag. Cc @WellsFargo","politics"
"30","The @vp makes the case for gay rights to HRC's #nationaldinner @ Walter E. Washington Convention Center https://t.co/tZjXGOE0BM","politics"
"31","Joe Biden Pushes New LGBT Protections, Calls 2016 GOP Candidates ‘Homophobes’ at HRC's #nationaldinner http://t.co/ZOIIrDmxlK","politics"
"32","Biden to HRC gala: ""Oh, there are homophobes still left. Most of the are running for President, I think.”","politics"
"33","Biden has one note on Iowa: Ellen Page won her debate with Ted Cruz at the Iowa State Fair.","politics"
"34","Hillary Clinton Pledges to Defend LGBT Rights.  http://t.co/JHsmXRNNPZ","politics"
"35","Given the fierce gay rights speech Clinton just gave at HRC, I'd say being Biden's speechwriter is the worst job in DC today.","politics"
"36","On urbandictionary, the definition of ""crushed it"" should link out to the speech Clinton just gave on gay rights to HRC.","politics"
"37","HRC at HRC. @ The Mayflower Hotel https://t.co/ZAwft5GD7G","politics"
"38","""Who buys newspapers? It is almost as bad as buying magazines."" Says the Starbucks clerk selling coffee to three newspapers and two mags.","politics"
"39","Need to catch up on the week's politics? Tune into @POTUSPressPool today at 5 p.m. to hear me dish with @juliemason over on @SXMPOTUS.","politics"
"40","With Duncan's departure from ED, that leaves Vilsack at AG as the last member of Obama's original Cabinet.","politics"
"41","Ummm... Is the President having a Bullworth moment?","politics"
"42","The President will speak about today's campus shooting at 6:20 p.m. from the White House. Every network freaks out. https://t.co/5OlnDOanBB","politics"
"43","With my awesome colleague Tessa, we try to explain Ben Carson's place in this race and this world. @… https://t.co/8gHqzXijrN","politics"
"44","Is it me, or are campaigns showing restraint in fundraising emails? I haven't yet been threatened with a punch to the face.","politics"
"45","There is something to be said for the virtues of tilling of early-state soil vs. national name-ID in polls https://t.co/uq3A5won6V","politics"
"46","What the @CurtOnMessage message said with a little more diplomacy --&gt; https://t.co/uq3A5won6V","politics"
"47","Jindal strategist @CurtOnMessage rallies early states against CNBC rules, which go on national--not IA/NH/SC--polls. http://t.co/07nv5n0QyT","politics"
"48","Wow. DHS IG report reveals some shenanigans targeted Jason Chaffetz over old Secret Service bid, via @acaldwellap  https://t.co/I4bvmrJgjS","politics"
"49","TIME columnist @kaj33 on 2016ers: immigrant, Jewish, Muslim and female children walk in danger bc of hate speech. http://t.co/JfQHr6PsNp","politics"
"50","Chart-Making 101 on Planned Parenthood services, via @binarybits: http://t.co/Qi2qpUgCAO","politics"
"51","There is a joke about ""a Lannister always pays his debts"" somewhere in here, I'm sure. https://t.co/1sU5pYlCCE","politics"
"52","It's as though this fortune cookie knows my relationship with colleagues. @ Time Magazine Washington… https://t.co/wzm6T648LN","politics"
"53","From Istanbul, the story of gay Syrian refugees heading to the US: “We could never be out of the closet in Syria."" http://t.co/Rf27VcTN2K","politics"
"54","Fabulous Trump profile by @MarkLeibovich: ""He campaigns in poetry in much the same way a wild hog sips chardonnay."" http://t.co/lPoYmb4G44","politics"
"55","Jindal campaign mgr @TimmyTeepell has the line of the day: “Donald Trump’s poker face is so good, it’s Blue Steel."" http://t.co/kc256k7UcL","politics"
"56","This gorgeous service dog took advantage of Dr. Carson's remarks to take a little rest. #latergram @… https://t.co/AgspaBx5ya","politics"
"57","Tonight's writing partner: Ryan Adams' cover of Taylor Swift's ""1989."" And it really is as fun as everyone said. http://t.co/nr72en03xI","politics"
"58","Dr. Ben Carson talks to supporters near Dulles. @ Park View High School Alumni | Sterling Park, VA https://t.co/3suCdb0pJI","politics"
"59","Packed house for a Sunday night rally w Dr. Ben Carson. (@ Park View High School in Sterling, VA) https://t.co/tc1jtZZPYV","politics"
"60","Friday afternoon rush hour renders otherwise intelligent people unable to drive in DC. #dc #gridlock","politics"
"61","Mr. Trump has a future as a media critic if this whole President thing doesn't work out.  https://t.co/nNHpefTtlN","politics"
"62","""We probably won't get crazy. Unless you guys want appetizers."" Weekend anthem: https://t.co/KRRATRokhv","politics"
"63","It can't be Shepherd One. That's the plane. Herder One? Tender One? What say you, @elizabethjdias?  https://t.co/4TiVQlNimf","politics"
"64","In a nod to the inclusive message that is at the core of this visit, the Pope asks non-believers on the Mall to send good wishes his way.","politics"
"65","Per @michaelscherer &amp; @elizabethjdias, The Pope had a challenge with the most wretched institution in US: Congress http://t.co/v27yCmOdAa","politics"
"66","Bush Team Laughs About Trump Smack: ""That Might Leave a Mark,"" once chuckles. #cnndebate http://t.co/nWSr5SFYzD","politics"
"67","Carly Fiorina has a good night, but it's unclear if it will be enough to change the race, w @ZekeJMiller http://t.co/9SSWigR47n #CNNDebate","politics"
"68","Former Senate Majority Leader Trent Lott had some sign trouble. #cnndebate #oops @ Ronald Reagan… https://t.co/eeza8VQca4","politics"
"69","Cool as a cucumber: Before the debate, Fiorina played solitaire on her smartphone while the also-rans debated. https://t.co/zZB6Ol5e4m","politics"
"70","Spin room mayhem. #cnndebate @ Ronald Reagan Presidential Library https://t.co/N3wTX1D8w6","politics"
"71","No one to this point, @ElyssaK, has a Secret Service detail on the GOP side. Clinton has one by virtue of being former FLOTUS.","politics"
"72","Things that I had forgotten: the anti-vaccination crowd is huge on Twitter. #headdesk","politics"
"73","Oh, the conservative outrage over the Churchill bust. ""At this point it’s almost become farce."" http://t.co/wS0JFRNyA3","politics"
"74","Trump is all about high-fives. He got one off from Carson and now Bush. I bet Trump's hand will be bruised from the one from Bush.","politics"
"75","Trump doubling down on the vaccinations -&gt; autism claim despite no medical evidence. ""He's an OK doctor,"" Carson deadpans.","politics"
"76","Carly Fiorina: Today's marijuana is not the same strains that Jeb Bush smoked 40 years ago.","politics"
"77","Bush outs himself after hints from Rand Paul: ""40 years ago, I smoked marijuana."" Says his mom will not be pleased with such a disclosure.","politics"
