"","user","type"
"1","British companies build jamming system to take down drones
 http://t.co/l0fqywKbKi http://t.co/JCGhcvk3hl","technology"
"2","Pluto’s sky is blue - but not like Earth’s http://t.co/0wJLaDmOer http://t.co/0cQc7Nsfgl","technology"
"3","See like a chameleon does with PolyEyes 2.0 http://t.co/ceSv6tDxiG http://t.co/uvGptsqEsH","technology"
"4","Enter the @PopSci 2016 Invention Awards! #PSInvent16 http://t.co/XGnSAbRL6O http://t.co/9hvDLFmTgN","technology"
"5","You can now ride a real life (virtual reality) hoverboard http://t.co/wtOo11n4O5 http://t.co/gII3LVEPLx","technology"
"6","What’s next for @vw? http://t.co/XEwJ2MuBpg http://t.co/zASUZERyp8","technology"
"7","Virtual brains, a cardboard Lexus and more in this edition of our Images of the Week #iotw http://t.co/ONWvGBBF1K http://t.co/DjNnlQtwTM","technology"
"8","WATCH: Astronauts make colored orbs of water on @Space_Station http://t.co/W5YclNUPaf http://t.co/M6WnL1X6kA","technology"
"9","@HuskerHort It definitely wasn’t just you. @iamxavier looked a lot like this... http://t.co/SddLxUPUMr","technology"
"10","We know dark matter exists - now we have to figure out what it is http://t.co/81soprZlRE http://t.co/2De5lxBJ77","technology"
"11","Why did Google Drive go down? http://t.co/G4nZEDaDTL http://t.co/Pxty19fAGe","technology"
"12","Google wants to bring wifi around the world but right now #GoogleDrive is down #GoogleDown http://t.co/X5KxvPYZKY http://t.co/zjzHxQHcvc","technology"
"13","We flew Icon’s A5, a personal airplane, around New York. Here’s what happened. http://t.co/8eM6CudCsG http://t.co/f7wqqS7pg5","technology"
"14","Washington D.C. is now powered by sewage (And no, it has nothing to do with politics) http://t.co/lm1YCKQyTa http://t.co/NeBbxURTv9","technology"
"15","Airbus wants to literally seat plane passengers on top of each other http://t.co/dbkZCrt5p8 http://t.co/nSv9MJEFVt","technology"
"16","What is the most surprising result your research has yielded thus far? @bethahealey #askconcordia","technology"
