"","user","type"
"1","Trillions of neutrinos are passing through you each second. Until recently, we didn’t know those particles have mass http://t.co/i5zq4iJ4ry","technology"
"2","Lucy’s kind “was as fully capable of walking and running as we are.” — anthropologist C. Owen Lovejoy http://t.co/nu95ZFYdLj","technology"
"3","Silicon transistors have been converted into the basic components of a quantum computer: http://t.co/351glp3QF3 http://t.co/5p6tMJOIVP","technology"
"4","#Gravity's century: #GeneralRelativity turns 100 this November! http://t.co/RKd7nJd2rj http://t.co/ISgc6idLoM","technology"
"5","4,500-year-old Ethiopian provides baseline for measuring mix of Eurasian DNA in modern Africans: http://t.co/fL6KOtKvlZ","technology"
"6","For the last 100 mill yrs, fish have steadily refined the art of tossing their jaws forward: http://t.co/XNJVMaHaH6 http://t.co/Eovy16d1km","technology"
"7","Ancient Martian lakes stuck around for 10,000 years or more, potentially long enough for life: http://t.co/hLFzm07oLz","technology"
"8","Med Nobel laureates borrowed from nature to cure malaria, roundworm infections: http://t.co/m5ir8EVwTy http://t.co/OpezcJqYRW","technology"
"9","Studies on how DNA heals itself earned 3 scientists this year's #NobelPrize in #chemistry: http://t.co/Fw2iGJ2ybv http://t.co/9FCgu4mpD3","technology"
"10","A 48-million-year-old fossil of an early horse and fetus is the oldest specimen of its kind: http://t.co/iHIFSRAqWC #FossilFriday","technology"
"11","No eyes, no problem for staghorn coral larvae following color reversals: http://t.co/kZ19tY7oQO http://t.co/LuRMu37Cas","technology"
"12","A new study links lower sun exposure and higher body mass to earlier onset of multiple sclerosis: http://t.co/wg7d6ZlHyL","technology"
"13","Ancient DNA unveils a big back-to-Africa migration 3,000 years ago: http://t.co/qaoCm3D71X http://t.co/wWZGnwqYhd","technology"
"14","Silicon is the foundation of modern computers. But can it work in #quantum computing? http://t.co/PJy1RuP5sG http://t.co/Y82ivNQznZ","technology"
"15","Coral reefs are experiencing their third global bleaching event in 17 years: http://t.co/CsK5YmdlpT http://t.co/xlTsNv9sGf","technology"
"16","#NobelPrize in physics goes to McDonald &amp; Kajita for showing neutrinos switch identities and have mass: http://t.co/XG2TBiXT9H","technology"
"17","Stretchy fish jaws have been getting longer for 100 mill yrs http://t.co/2yILm0wFUQ #FossilFriday Pic: D Bellwood http://t.co/pQ0RM3mTAe","technology"
"18","The Black Sea lost 36 percent of its oxygen from 1955 through 2013: http://t.co/Ox3DeCcA2w http://t.co/TPlKtMEDHy","technology"
"19","Chimps rotate their upper bodies about as much as people do while walking: http://t.co/oqKLJFfVAR http://t.co/uT652O9MUX","technology"
"20","Jumping conchs oxygenate their athletics surprisingly well in #climatechange conditions: http://t.co/twHugXg1iQ http://t.co/DUpfpYjY7N","technology"
"21","Oldest ever pregnant horselike fossil described. Beautifully preserved: http://t.co/6lRLhAG9ng #FossilFriday http://t.co/mRnU4ezHIZ","technology"
"22","The giraffe’s journey to long-necked wonder began more than 20 million years ago: http://t.co/564d7VlMbm http://t.co/27L3iWlMJj","technology"
"23","Molecular tests may be able to distinguish homosexual from heterosexual men: http://t.co/llex4cNV0F #ASHG15 http://t.co/HKmyaJGU6k","technology"
"24","Watch two larger Pacific striped octopuses mate in their trademark style: http://t.co/HlELUrX7QW #WorldOctopusDay","technology"
"25","Some of the earliest relatives of today’s octopuses had only two tentacles: http://t.co/i1a0PaowEK #WorldOctopusDay http://t.co/omU5oW5nCh","technology"
"26","The frigid waters of the Southern Ocean don’t slow Antarctic octopuses down: http://t.co/XnZuonATFk #WorldOctopusDay http://t.co/TCTJREpv69","technology"
"27","RT @Bruce_Bower: Cave find helps expose early Eurasian farmers' genetic legacy in Africa: http://t.co/wZdCKrZ0Yc","technology"
"28","How an octopus keeps itself out of a tangle: http://t.co/miMSBOsZ4L #WorldOctopusDay http://t.co/m4V0kneBVI","technology"
"29","RT @scicurious: This is really cool. A neurological condition, diagnosed across the centuries. Via handwriting. http://t.co/VYzYUpRgP2","technology"
"30","Chemical tags on DNA appear to differ between gay and straight men: http://t.co/me2T3SwhHc http://t.co/edbRaCuD3w","technology"
"31","Widespread #coral bleaching threatens world’s #reefs: http://t.co/ejPwSrrBzh http://t.co/FqsckWxpmX","technology"
"32","Octopus arms can shimmy in any direction: http://t.co/8WlwcjJFzS #WorldOctopusDay http://t.co/HL1JKx14ml","technology"
"33","Octopus skin can detect light and respond to it — no eyes or brain required: http://t.co/7yT6GjGt2N #WorldOctopusDay http://t.co/tlVWDW1jsJ","technology"
"34","Octopuses and mammals may come by their smarts in a similar way: http://t.co/N3RyMQCJfS #WorldOctopusDay http://t.co/L4n9pMg3su","technology"
"35","Ancient #Mars had long-lasting lakes of liquid water: http://t.co/eitIDKljo2 http://t.co/rF58Oey0eh","technology"
"36","Into Africa: Ancient skeleton sheds light on reverse migration http://t.co/HKZ9NBkH75 http://t.co/sIt1w0JBIS","technology"
"37","To catch a shrimp, the larger Pacific striped octopus taps its shoulder: http://t.co/vWIgyE6Pwm #WorldOctopusDay http://t.co/eC6BOPYtMg","technology"
"38","Fish have had telescoping jaws for 100 million years: http://t.co/sxbZotEy9F http://t.co/HmDzjr7ojZ","technology"
"39","The 20th century brought many surprising discoveries about the subatomic realm: http://t.co/pN32Ylni6j #neutrinos http://t.co/buNDM29ryZ","technology"
"40","48-million-year-old skeleton shows modern horse reproductive system developed earlier than thought: http://t.co/oIf60yYeiy","technology"
"41","Wormhole links between black holes could broker quantum-general relativity merger http://t.co/A6T32usZII http://t.co/IM5hUjHjrT","technology"
"42","MS tends to develop later in patients who spent more time in the sun as adolescents, &amp; who weren't overweight at 20: http://t.co/RlbyAlSAsy","technology"
"43","How did the giraffe get its long neck? http://t.co/WML8v4Lqfb http://t.co/Bdfw0g6Nuj","technology"
"44","Chem Nobel honors researchers for work on how cells fix damaged genetic material: http://t.co/VuDoTvWMcn #NobelPrize http://t.co/9now4ZlclQ","technology"
"45","Serious question: What is quantum entanglement? http://t.co/mCe3IPZxWy","technology"
"46","Special Report: General relativity turns 100 http://t.co/20plbfiLo4 http://t.co/mE4Ujsx0t3","technology"
"47","RT @SarahZielinski: The giraffe's neck started lengthening long before there were giraffes. https://t.co/B76tIPi3Ks","technology"
"48","What made the Tremulous Hand of Worcester tremble? http://t.co/8YsNoI1FaY http://t.co/D92KCtLrgU","technology"
"49","Our October 17 issue is now online! http://t.co/STijAVMZnB #Einstein #Physics http://t.co/ieK4u2fjai","technology"
