"","user","type"
"1","Dave Gahan &amp; Soulsavers discuss their upcoming album Angels &amp; Ghosts: http://t.co/o0zQmdNsQT","music"
"2",".@ZHUmusik unveils his new cinematic visual for #Automatic featuring @AlunaGeorge. Watch the thrilling video here: http://t.co/zJPg0Yj6vP","music"
"3","@NoWyld's #AscensionEP is available everywhere today!
iTunes:http://t.co/tcmGvGyTg8
Spotify:http://t.co/d3T2GPKLX5 http://t.co/w6qIbJde7q","music"
"4","Cant get enough @EmpireFOX? Check out the #Empire playlist on @Spotify New music added weekly http://t.co/6FxfY7SESA http://t.co/9QwzGDuZ5N","music"
"5","@nowyld's #AscensionEP is available everywhere now! 
iTunes:http://t.co/tcmGvGyTg8
Spotify:http://t.co/d3T2GPKLX5 http://t.co/zVVmkEMUBz","music"
"6","Watch Stevie and Carman of @machineheart perform an acoustic version of “Circles” http://t.co/HiFxcEj2ui","music"
"7","Watch never-before-seen footage of @onedirection as they go On The Road Again during the 2015 Honda Civic Tour http://t.co/uVQQ7kxC3p","music"
"8","Here's the official @EmpireFOX #NoDoubtAboutIt music video feat @JussieSmollett &amp; @pitbull #Empire #EmpireMusic  http://t.co/R16PYEznrA","music"
"9","Check out @bootsonboots' premiere of his new music video for ""Bombs Away"" http://t.co/D7Ay2mTIZh","music"
"10","Listen to @Raury’s new song “Forbidden Knowledge” feat. @BIGKRIT from his debut album All We Need, available 10/16 http://t.co/4eXcdNncVR","music"
"11","Check out the premiere of @OfficialGrace​'s #DirtyHarry official video! http://t.co/lJnPUzoSVk","music"
"12",".@wildbellemusic recruits Chicago's best dance crews in their new video for “Giving Up On You” http://t.co/fjFyXs8Fjo","music"
"13",".@HarryConnickJR &amp; producer Eg White talk about the making of ""(I Like It When You)Smile"" for Harry’s upcoming album http://t.co/t2QWHzOARV","music"
"14","Have you heard @Tinashe’s new single #Player ft. @ChrisBrown? Check it out on @Spotify here: http://t.co/SHJReZHNun","music"
"15",".@DeJLoaf premieres her new video for “Back Up” featuring @BigSean, shot in their hometown of Detroit http://t.co/w67dSKBcKA","music"
"16",".@Bully shreds guitars and junked cars in their new ""Too Tough"" music video http://t.co/Zh6KOsKE7a","music"
"17","10 bands stepped up &amp; released their records on pink vinyl to support @GildasClubNYC as part of #TenBandsOneCause. http://t.co/yRMIenDpWN","music"
"18","Check out @elliphantmusic's music video for her new single ""Club Now Skunk"" featuring @bigfreedia  http://t.co/ph7SZPLHed","music"
"19",".@TamarBraxtonHer's new album #CallingAllLovers is now available on @AppleMusic! http://t.co/BLbo4X8ypD","music"
"20",".@HarryConnickJR premieres “Smile,” the second track from his upcoming album That Would Be Me. http://t.co/oNWSeGmwdl","music"
"21","Watch @WeAreMKTO perform #JustImagineIt from their #BadGirls EP in their last installment of #MKTOLiveSessions http://t.co/WMCvPQUumX","music"
"22",".@ZHUmusik x @SoGallant unveil “Testarossa Music” the third track from the GENESIS SERIES. Listen now! http://t.co/OrPnXQ1gwn","music"
"23","Check out @ThatGirl_V &amp; @Timbaland’s new video for #Smile now on @Vevo! https://t.co/ZZHHmivWLG","music"
"24",". @RachelPlatten premieres her official lyric video for #StandByYou http://t.co/FokNumTd8h","music"
"25",".@Hozier shows us what life was like on the road this past year in his new “Jackie &amp; Wilson” music video http://t.co/BcsyjYRz1l","music"
"26",".@BigGrams’ new album is now available! Get your copy on @AppleMusic here: http://t.co/taL26eB03n","music"
"27","Check out @BigGrams’ new game #SUPERGRAMS! http://t.co/NtVH2DjMai","music"
"28",".@LunchMoneyLewis takes us behind the scenes of his “Whip It!” video and talks the making of the single on @Vevo! http://t.co/xFhb80AU7i","music"
