"","user","type"
"1","Your love for #DonUDonU has made it reach 10 Million views!RT &amp; give @anirudhofficial a BIG shout out. http://t.co/xutGJYqCYt","music"
"2",".@immancomposer's #10Endrathukulla album is topping iTunesCharts!What's your favourite song? http://t.co/dbCKKjxKYR http://t.co/RU2KHzGPPL","music"
"3","Join us in wishing @ssrajamouli a very Happy birthday today! http://t.co/g5mYVVDzZD","music"
"4","#GaanaGaana is a fun number from #10EKTheFilm &amp; here's a glimpse of it!Watch the teaser now: https://t.co/iNNJXg8gVM http://t.co/DcosWGV0dg","music"
"5","Have you watched the making video of #Ilayathalapathy's #Puli? Watch it now: https://t.co/BlHT3xVBfH http://t.co/bB4cGTMc9s","music"
"6","Does @Charmmeofficial charm you in the song teaser of #GaanaGaaana from @vijaymilton's #10EKTheFilm? Tell us now: https://t.co/iNNJXg8gVM","music"
"7","The #GaanaGaana song teaser is here from #10EKTheFilm https://t.co/iNNJXg8gVM http://t.co/a5hPUJdbrG","music"
"8","RT if you've been waiting to check out the song teaser of #GaanaGaana from #10EKTheFilm in @immancomposer's music! https://t.co/iNNJXg8gVM","music"
"9","Here it is! Enjoy the fun teaser of #GaanaGaana from #10EKTheFilm in @shreyaghoshal &amp; #anandaravindakshan's voice! https://t.co/iNNJXg8gVM","music"
"10","Get ready to watch #GaanaGaana song teaser from #10Endrathukulla tomorrow morning at 10am! http://t.co/8UjlGc0DEO http://t.co/16QGWOCf5b","music"
"11","Exclusive! Check out the brand new poster of #Vedalam! RT and tell us what do you think about it! http://t.co/R8lRJWMSUk","music"
"12","Check out the making of #IlayathalapathyVijay @shrutihaasan @ihansika @SrideviBKapoor @KicchaSudeep starrer #Puli https://t.co/QCmy8n0A2W","music"
"13",".@PrithviOfficial @Indrajith_S &amp; #Jayasurya starrer  #AmarAkbarAnthony's songs are out now https://t.co/mRgfOChYys http://t.co/kgF6XBNbwF","music"
"14","Here it is! Listen to the songs of #AmarAkbarAnthony in Nadirshah's music here - https://t.co/mRgfOChYys http://t.co/w0GULRJGPh","music"
"15","Here’s the third poster of #Vedalam! RT &amp; tell us what do you think about it. http://t.co/fVUnkwllRW","music"
"16","The 2nd official poster of #Thala's #Vedalam. RT if you loved it! http://t.co/RQllmBWxDM","music"
"17","Here are the winners of the #10EKMusicContest. Congratulations! Please DM us your name, address and contact number http://t.co/tv9yRpPXW3","music"
"18","Over 2 million views for #Thala's #Vedelam teaser. RT if you are up for 3 million views now? https://t.co/r9E0CwLfaO http://t.co/bcC33kWe5d","music"
"19","#NizhalaNijama song from #VIPSM in @JoshuaSridhar's music is now available on iTunes - http://t.co/AJlvyyV86b http://t.co/9bqmwvufDu","music"
"20","Bikes,guns &amp; a lot of action #Thala style. RT if the #VedalamTeaser is too hot to handle! https://t.co/r9E0CwLfaO http://t.co/QBv6QIuMfV","music"
"21","Have you watch the song video of #NizhalaNijama from #VellaiyaIrukiravanPoiSollaMaatan starring #PraveenKumar? http://t.co/V362tJQOxz","music"
"22","Join us in wishing @DirectorALVijay a very Happy birthday today! http://t.co/sF0yluEfSW","music"
"23","RT if #Thala, @directorsiva &amp; @anirudhofficial's #Vedalam has taken the internet by storm. http://t.co/eE0PWtkWIi http://t.co/pRWG4rJIkM","music"
"24","Have you marked your calendars for the 21st of Oct?#ChiyaanVikram's #10EKTheFilm is coming! http://t.co/Ot8svvbDFd http://t.co/dZpoVnnNgq","music"
"25","Check out the song video of #NizhalaNijama from director #ALAbanindran's #VellaiyaIrukiravanPoiSollaMaatan http://t.co/V362tJQOxz","music"
"26","Here's #NizhalaNijama song video from #VellaiyaIrukiravanPoiSollaMaatan starring #PraveenKumar &amp; #Shalini http://t.co/V362tJQOxz DO RT","music"
"27","Exclusive! Watch #NizhalaNijama song video from #VellaiyaIrukiravanPoiSollaMaatan in @JoshuaSridhar's music  http://t.co/V362tJQOxz","music"
"28","#VedalamTeaser is the most popular video on YouTube India now. RT if you can't enough of it! https://t.co/r9E0CwLfaO http://t.co/uaafesWmpQ","music"
"29","Listen to #Aanaalum from #10Endrathukulla sung by #SathyaPrakash &amp; music by @immancomposer http://t.co/itWFU0XxfO http://t.co/TQgjcs47eG","music"
"30","Let the countdown begin! #Vikram's #10Endrathukulla releases on Oct 21!How excited are you? http://t.co/Ot8svvbDFd http://t.co/bdvisOOki0","music"
"31","One million views in less than 17 hours! Watch &amp; RT #Thala's #VedalamTeaser once again. https://t.co/r9E0CwLfaO http://t.co/2yRuDSyh1s","music"
"32","#Therikkavidalaama asks #Thala in the #VedalamTeaser. RT if you have been watching it on loop! https://t.co/r9E0CwLfaO","music"
"33","RT if #ThalaAjith &amp; @anirudhofficial are a crackling combo in #VedalamTeaser https://t.co/r9E0CwLfaO http://t.co/xf5luXYjJj","music"
"34",".@immancomposer gives us a super hit album #10EKAudio. What song it topping your playlist? http://t.co/dbCKKjga7j http://t.co/WjywePjorI","music"
"35","RT if the way #ThalaAjith says #KannamoochiReRe in the #VedalamTeaser is just too good! https://t.co/r9E0CwLfaO http://t.co/BdsjUpZCV3","music"
"36","Check out #Thala #Ajith's #VedalamTeaser also starring #LakshmiMenon in @sairamcreations' production . https://t.co/r9E0CwLfaO","music"
"37","#TheTheriTheme is going to run on your mind all night in the #VedalamTeaser! RT if @anirudhofficial does it again! 
https://t.co/r9E0CwLfaO","music"
"38","#Thala #Ajith is back with a never before avatar! Check out #VedalamTeaser directed by @directorsiva now: https://t.co/r9E0CwLfaO","music"
"39","The moment you've been waiting for is here! #Ajith's #VedalamTeaser is here &amp; it's time to go crazy! Watch it now: https://t.co/r9E0CwLfaO","music"
"40","In about 30 minutes you will experience #ThalaAjith like never before! Are you counting down with us for the #VedalamTeaserStormOntheWay","music"
"41","Just 60 min to the #VedalamTeaserStormOnTheWay. We can tell you it's going to be just pure awesome! Waiting for it? http://t.co/NHLocs9gYF","music"
"42","With less than 3 hours to go, RT if you are with us to watch #VedalamTeaserStormOntheWay with the #TheriTheme!","music"
"43","@Suriya_offl looks adorable with the kids in #Pasanga2 packed with fun for everyone!Audio &amp; trailer coming soon! http://t.co/KdBFSLpIpL","music"
"44","RT &amp; get ready for #Pasanga2 audio!  https://t.co/ikObIt5ROm","music"
"45","Thank you everyone for such a fabulous response to our #10EKMusicContest!
We'll announce the names of the winners tomorrow.","music"
"46","Q10: Complete the lyrics of #AanaalumIndhaMayakkam- Enakku Pudicha Adhu Maari ______ Use hashtag #10EKMusicContest &amp; tweet your answer","music"
"47","Last question for the #10EKMusicContest coming up! Come on everyone! RT &amp; spread the word http://t.co/czg1VKp6qf","music"
"48","Here's the 9th question! 
Q9: Tell us the name of the singers who have sung #GaanaGaana &amp; #VroomVroom #10EKMusicContest","music"
"49","Q8: Oorukku Chella Pulla _________. Complete the line &amp; name the song! This one seems like a hot favorite! #10EKMusicContest","music"
"50","Remember, the faster you tweet right answers, the more chances you have of winning! Question 8 coming up. #10EKMusicContest","music"
"51","Q7: Listen to the  #PathuEndrathukulla Female &amp; tell us the lyrics at 2.14 mins of the song https://t.co/0IM13tYGNY #10EKMusicContest","music"
"52","Q6: @madankarky is famous for his catchy lyrics. What are the two songs he’s written lyrics for in this album? #10EKMusicContest","music"
"53","Remember, the faster you tweet right answers, the more chances you have of winning! Question 6 coming up #10EKMusicContest","music"
"54","Q5: He's a famous music director,but his combination with Imman as a singer in #10EKAudio has become a huge hit.Who is he? #10EKMusicContest","music"
"55","Keep it coming guys! Don't forget to add #10EKMusicContest along with your answer. Time for the 5th Question.","music"
"56","Listen to #VroomVroom &amp; list out the 3 popular names Sooraj mentions in the song https://t.co/VR3JudyawA #10EKMusicContest","music"
"57","While you answer the questions one after the other, remember to use the hashtag #10EKMusicContest! Over to Question 4","music"
"58","This solo number is gaining popularity.Can you tell us the name of the reality singing show star who renders this love song from #10EKAudio?","music"
"59","We are celebrating the release of #10EKAudio with a contest! Are you ready for the 3rd question? http://t.co/LoVdH53okG","music"
"60","Q 2. Can you tell us the track that features in the #10EKTrailer that’s got everyone going crazy? #10EKMusicContest http://t.co/d818DntOv2","music"
"61","#1 Introduced by D.Imman,this female singer gives us a unique experience away from her usual genre in #10EkAudio. Can you guess who she is?","music"
"62","The contest starts in next 5 minutes! RT if you cannot wait for #10EKMusicContest http://t.co/m90g9iu4M3","music"
"63","Here are the details of the #10Endrathukulla contest. RT with #10EKMusicContest &amp; get ready! http://t.co/hXklT4jmAV","music"
"64","This will be a simple &amp; interesting contest for you to win #10Endrathukulla audio CDs at 6 pm. RT &amp; spread the word http://t.co/CcfNpJxodq","music"
"65","A shout out to all #Vikram @Samanthaprabhu2 @immancomposer fans. Ready for a fun contest? RT with #10EKMusicContest http://t.co/SO3HdG35fI","music"
"66","To all #10Endrathukulla fans out there! Get ready for a super fun contest at 6PM today. RT if you are excited! http://t.co/6bzTiUS2Mf","music"
"67","Today is the day! The teaser of #Vedalam will be out tonight at midnight. RT &amp; Get ready. #VedalamTeaserStromOntheWay http://t.co/xK79slR6qH","music"
"68","Have you set your favourite #10EKAudio song as your caller tune yet? http://t.co/zetRmtAT2j http://t.co/R092adAt7A","music"
"69","The #MusicofKo2 continues to top &amp; trend. RT &amp; tell us what makes this album a hit! http://t.co/ixs2q8GP6r http://t.co/ZeEK6CR3Ia","music"
"70","RT if the #AmarAkbarAnthony trio has caught your attention in this fun trailer! https://t.co/BN4znxhflj http://t.co/iRRaGQnz5Y","music"
"71","#10EKAudio takes us from racy action to love in seconds. Hear it now on @Saavn http://t.co/qFAFdbSRMf http://t.co/BdnZ5Hpg7l","music"
"72","Catch the #10EKTrailer &amp; get set for some more action with the #10EKAudioFromOct6. Are you ready to #VroomVroom? https://t.co/hatdAKs8DU","music"
"73","Listen to the #MusicofKo2 &amp; make your favourite track your caller tune now! http://t.co/Cl9Flu9hhZ http://t.co/H6OpwoHYAD","music"
"74","#MusicofKo2 is the most talked about album this weekend. Have you heard the amazing songs by @leon_james yet? http://t.co/zMH2lPlZSn","music"
"75","Set the beautiful #Kohila from @leon_james's #MusicofKo2 as your caller tune now! https://t.co/IFAqTGD9E5 http://t.co/vP7pfpnYud","music"
"76","Unique sitar and vocal rendition of #VaishnavaJanaTo tribute to #MahatmaGandhi @TajMahalTea house sessions http://t.co/SCaI1R7IER","music"
"77","Check out the #VroomVroom song teaser &amp; get ready for #10EKAudioFromOct6 by @immancomposer https://t.co/AsD6AYqD4Q http://t.co/0p3FdLE32t","music"
"78","You've loved #VroomVroom. Now its time for the album to blow your mind! #10EKAudioFromOct6 ready? http://t.co/dRQnu3EGoa","music"
"79","Inspiring tribute to #MahatmaGandhi - Ustad Sujaat Khan rendition of #VaishnavaJanaTo @TajMahalTea house sessions https://t.co/BixToDKCeM","music"
"80",".@leon_james's #Ko2 tops the charts on AppleMusic! RT &amp; tell us your favourite song
https://t.co/d08usnkJc1 http://t.co/iMvnA431o3","music"
"81","Check out the video of #MuthamKoduthaMaayakaari frm @gvprakash's #TIN in @thisisysr's voice! https://t.co/RmVPyuKr72 http://t.co/LlzEJDifC1","music"
"82","Inspiring tribute to #MahatmaGandhi Ustad Sujaat Khan rendition of #VaishnavaJanaTo @TajMahalTea house sessions https://t.co/BixToDKCeM","music"
"83","Listen to the #MusicofKo2 by @leon_james &amp; tell us the song that just won't leave your head! http://t.co/Cl9Flu9hhZ http://t.co/w1xjIGSCgk","music"
"84","#BigFMTop100KalakkalHits has every song that you'd love to listen all day long!Check it now: http://t.co/QtafTh01I1 http://t.co/glteu2tNWK","music"
"85",".@Samanthaprabhu2 looks super pretty in the #10EKTrailer. RT if you love her pairing up with #ChiyaanVikram https://t.co/hatdAKs8DU","music"
"86","Savor d #SpiritOfHumanity- #UstadShujaatKhan's #VaishanvaJanaTo rendition @TajMahalTea HouseSessions #MahatmaGandhi http://t.co/SCaI1R7IER","music"
"87","1 Million+ views for #Vikram's #10Endrathukkulla trailer. Have you watched it yet? http://t.co/Ot8svvbDFd http://t.co/RSpmfLHoC8","music"
"88","What happens by the time you count 10? Check out the #10EKTrailer &amp; find out!  https://t.co/hatdAKs8DU http://t.co/6dlVKxikT5","music"
"89","#UstadShujaatKhan’s unique rendition #VaishnavaJanaTo, Inspiring tribute 2 #MahatmaGandhi @TajMahalTea house sessions http://t.co/SCaI1R7IER","music"
"90","Rt if the songs of #Ko2 have captivated your soul! Which is your favourite song? http://t.co/uN1WtxTMtG http://t.co/a90SDhC4D3","music"
"91","RT if you caught a glimpse of the grogeous @Charmmeofficial in the #10EKTrailer. http://t.co/Ot8svvbDFd http://t.co/hnznxEFplB","music"
"92","The #MusicofKo2 &amp; a long weekend is all you need!RT if you love the @leon_james album! http://t.co/NvsAnygkLj http://t.co/xvl53YPlfV","music"
