"","user","type"
"1","""Who's more ELITE, Eli or Chad?"" http://t.co/f1lISTOaaz","sports"
"2","Welcome to the #SCtop10, Laquon Treadwell. http://t.co/N41Ll3ZmtE","sports"
"3","Watch out, ref! https://t.co/MdbUp3w148","sports"
"4","This is the third straight week Baylor has 400+ yards in the first half:
â€¢ Week 4: 444
â€¢ Week 5: 499
â€¢ Today: 425 http://t.co/LvygeESZkH","sports"
"5","Anything can happen in the Red River Rivalry.

Texas holds its largest halftime lead of the season, 14-3, over No. 10 Oklahoma.","sports"
"6","Baylor is leading Kansas, 52-7, in the first half.

Before today, the Jayhawks scored 50 points in their last 3 games... combined.","sports"
"7","410-pound LaQuan McGowan with the 18-yard TD! Baylor pouring it on Kansas, 52-7. http://t.co/BtVTktk2yL","sports"
"8","Daniel Murphy hit the ball so hard his name was imprinted on it. (via @Mets) http://t.co/dtiOTKJOba","sports"
"9","Last week, Texas lost, 50-7, to No. 4 TCU.

Today, Longhorns are up, 14-0, on No. 10 Oklahoma in the first quarter.","sports"
"10","Hey @TheRock, HIT THE QUAN, HIT THE QUAN! http://t.co/z2gEW7qga4","sports"
"11","J.T. Barrett's Rush TD was his first since last year's Michigan game when he suffered a season-ending injury. http://t.co/0yZQTFlpyT","sports"
"12","Maryland takes an early 7-0 lead vs Ohio State with D.J. Moore's 52-yard TD.

Third time in past 4 games Buckeye opponents have scored 1st.","sports"
"13","""They're hurting right now because they know they can be much better than they actually are."" - Charlie Strong. http://t.co/yfGt2aEdYi","sports"
"14","Meet the new head coach of the Penn State Nittany Lions: Keegan-Michael Key. http://t.co/ZdX1z07ghW","sports"
"15","Just like he drew it up. #SCtop10 http://t.co/hhnWExWriu","sports"
"16","Crazy Stat of Day: Jacob deGrom threw 75 fastballs in Mets' win last night. 

Only TWO were slower than 95 MPH (94.7 MPH and 94.9 MPH).","sports"
"17","One Kansas student is $10,000 richer thanks to Bill Self &amp; this half-court shot.

His reaction? Priceless. http://t.co/ZHCh7omvNi","sports"
"18","That's a wrap from Fargo. Thanks Chris Klieman, Marcus Williams, and Thundar. #SContheRoad http://t.co/CaYXJJsObC","sports"
"19","Game-winning shot in WNBA Finals? âœ…

Maya Moore's buzzer-beater lifts Lynx over Fever in Game 3. #PhotoOfTheNight http://t.co/ipUS4DSNPE","sports"
"20","Marty Smith. Corso the bison. Fargo. #SContheRoad http://t.co/xK7LWIZyGA","sports"
"21","Great start to the day in Fargo for #SContheRoad https://t.co/qt3E6F4Co0","sports"
"22","Getting set for #SContheRoad from Fargo. http://t.co/zPtvz5jKXz","sports"
"23","Clayton Kershaw has lost 5 consecutive postseason starts, following only Randy Johnson (7) &amp; David Price (6) for most in postseason history.","sports"
"24","Mets go on road and take Game 1 of NLDS over Dodgers, 3-1.

Jacob deGrom: 7 IP, 0 ER, 13 K. http://t.co/10ilZsFohQ","sports"
"25","Carl's Stone Cold Lock Of The Century...Of The Week: Mark Davis' haircut edition. http://t.co/Tl8hm73skk","sports"
