"","user","type"
"1","""Everything is clearer when you're in love."" #HappyBirthday, @johnlennon https://t.co/4SiNK8pPnV","music"
"2","Get your @PlayStation gaming fingers ready to rock with our exclusive #GuitarHeroLive playlist https://t.co/8gnRlkFC9l","music"
"3","The raw talent &amp; pop sensibility on @selenagomez's new album is must-hear‚ÄîStream #Revival
https://t.co/zWxOPRrtgt","music"
"4",".@BuzzFeedMusic 1 billion streams in just 10 weeks? ‚ò∫Ô∏è You like us‚ÄîYou REALLY like us! Ì†ΩÌ∏ç  https://t.co/xLUqmvZ78l","music"
"5","@henrikbmusic Thanks Henrik! We're here for you, for...http://t.co/RF8BsrDQFa","music"
"6","@ZanderSays Hi there! We‚Äôd like to share more info with you about an exciting opportunity. Follow and DM us if you‚Äôre interested. Thanks!","music"
"7","@rcadden Hey Ricky! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"8","@briandubz Hey Brian! We‚Äôd like to share more info with you about an exciting opportunity. Follow and DM us if you‚Äôre interested. Thanks!","music"
"9","@ajmarquez We‚Äôd like to share more info with you about an exciting opportunity. Follow and DM us if you‚Äôre interested. Thanks!","music"
"10","@znackattack Hey there! We‚Äôd like to share more info with you about an exciting opportunity. Follow and DM us if you‚Äôre interested. Thanks!","music"
"11","@aaronbest_ Hey Aaron‚Äì‚ÄìWe've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"12","@karahinrichs Hi there! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"13","@fs111 Hi there! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"14","@jamielawtherr Hi Jamie! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"15","@elecmonk Hi there! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"16","@Teish91 Hey there! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
"17","@marcospaulosd Hey Marcos! We've got an exciting opportunity for you! Follow and DM us if you‚Äôre interested. Thanks!","music"
