"","user","type"
"1","Mudhoney's Mark Arm models in Uniqlo ad http://t.co/10jrB56kog http://t.co/Wj1iwLgKIK","music"
"2","The Wrens release new song ""Three Types Of Reading Ambiguity"" on limited edition cassette http://t.co/R7NcMSnjvN http://t.co/Cpk1YXbhxn","music"
"3","No Doubt's breakthrough Tragic Kingdom came out 20 years ago today. A look back: http://t.co/2rE4jMvg5t http://t.co/4PH4pKr1mW","music"
"4","Watch Taylor Swift break down her Jack Antonoff &amp; Ryan Tedder collabs in new Grammy Pro talk http://t.co/wS0VzzChxO http://t.co/IeERDb2zL5","music"
"5","Watch PJ Harvey debut new music at The Hollow Of The Hand book launch http://t.co/ZGTHWkaJaV http://t.co/HeNw7D9gSb","music"
"6","Fred Durst is taking his talents to Crimea http://t.co/nwA4LQfBdp http://t.co/Tux1QLTGAb","music"
"7","Hear NYC post-rock duo Lushes toggle from tension to release on new album Service Industry http://t.co/QknCMnvC4z http://t.co/FYG62yMBhO","music"
"8","Shut Up, Dude: This Week’s Best And Worst Comments http://t.co/C3FtbF51Y0 http://t.co/KnyFKuGWqV","music"
"9","The best videos of the week, with @butlerwills, @runjewels, @MacMiller, more http://t.co/zEFb0DbxKJ","music"
"10","Watch Grimes' PSA about the upcoming Canadian election http://t.co/sL9B37tp00 http://t.co/WuPHx4K5xJ","music"
"11","Stream Gun Outfit's gorgeous, dusted-folk album Dream All Over http://t.co/u7wwoV59UH http://t.co/pbV0y7j7iZ","music"
"12","Deerhunter's Bradford Cox talks new album, Taylor Swift in endearingly awkward interview http://t.co/en9USGR3x1 http://t.co/CgpCFF1qhS","music"
"13","Watch Dave Grohl duet with a high school classmate who beat him in Battle of the Bands http://t.co/1naoMO5pnu http://t.co/mFx7ezypiA","music"
"14",".@youngchopbeatz says @kanyewest is exploiting young Chicago artists http://t.co/b8wqvDEOmi http://t.co/ckfswCDx6V","music"
"15","Here are the 5 best songs of the week http://t.co/ZAB7afNGR4 http://t.co/JKeH0Yh4Uo","music"
"16","Watch @ZHUmusik's mysterious video for his @alunageorge collaboration ""Automatic"" http://t.co/CkzY8ZskSi http://t.co/4AnnyUK3JV","music"
"17","Watch an aquatic video for Cheatahs' single ""Signs To Lorelei"" http://t.co/2z1MkCzk49 http://t.co/Lx2251nfNA","music"
"18","Watch @Saintseneca's badass, hallucinatory ""Bad Ideas"" video http://t.co/qtM52NeJdc http://t.co/l6eE2kxsVR","music"
"19","We look back on the legacy of @NoDoubt's breakthrough Tragic Kingdom on its 20th anniversary http://t.co/2rE4jMvg5t http://t.co/D75Eg5GtSE","music"
"20","Boston declares October 10 will be ""Patti Smith Day"" http://t.co/O9LnzAUv1G http://t.co/aRQqkL3z3s","music"
"21","Hear @1Future &amp; @ChrisBrown jump on a remix of @Miguel's ""Simple Things"" http://t.co/nR1T2gvGSr http://t.co/uUaVyTHIjw","music"
"22","Check out Annie's frantic new dance-pop track ""WorkX2"" http://t.co/7IAOGRNPrb http://t.co/oVhJxTPTom","music"
