"","user","type"
"1","VIP team's next film titled #ThangaMagan! It has gr8 title value!! Here's nice set of 1st look posters. http://t.co/oS3Bvip1d3","movies"
"2","@sivavaluvar Eveyone's fine here! Thanks &amp; take care!!","movies"
"3","#MasalaPadam - Decent debut by director Laxman Kumar with nice plot but execution falters as the screenplay not cohesive!","movies"
"4","#MasalaPadam - Shiva as ""Common man"" steals the show with his casual humour! Simhaa apt as 'Rowdy', Gaurav okay &amp; Lakshmy Devy good acting.","movies"
"5","#MasalaPadam - The film has its moments with an interesting premise too but couldn't come together as whole. Just okay! (6.5/10)","movies"
"6","@hbk_rmz So that #Puli can at-least have 1 more week without much opposition.","movies"
"7","Nayanthara's #Maya still going steady all over India. It's been declared Big hit everywhere! http://t.co/5qJG1kwHlz","movies"
"8","#10Endrathukulla 'Gaana' song teaser ft. @Charmmeofficial - https://t.co/YnXCrRbmqn Film releasing very big on Oct 21st!","movies"
"9","@latasrinivasan Happy b'day! Hv a gr8 year ahead!!","movies"
"10","Happy birthday to one of the best commercial directors in India @ssrajamouli! His #Baahubali (Telugu) re-released at Chennai Casino theatre.","movies"
"11","@Vickythala8 #VedalamTeam's very upbeat &amp; officially confirmed #Diwali2015 release.","movies"
"12","Ram Charan's #BruceLee (Tamil) Theatrical trailer - https://t.co/tp24bLi4bz #YA fame @arunvijayno1 plays the baddie again! @MusicThaman","movies"
"13","#Vedhalam team started promotions very late but bang on target with title, teaser &amp; posters! Tremendous hype in such a short span of time!!","movies"
"14","This latest #VedalamPoster is massy to the core... Goes well in line with the #Theri theme!! http://t.co/AAKOAHl4XS","movies"
"15","#VIP team: @dhanushkraja - director @VelrajR's next film title along with first look releasing tomorrow! http://t.co/JKvuKGyLhc","movies"
"16","#GVP50 - @Atlee_dir's film intro song lyrics releasing on Oct 17th. Good move to start the buzz 4 next #IlayathalapathyVijay's film ASAP!","movies"
"17","@AntonyLRuben One of the best teasers in recent times! U hv become promos expert. Keep it up!!","movies"
"18","#NaanumRowdyDhaan official teaser - https://t.co/NxMYUkHXLY Super fun! Gr8 cast... Looks like a sure shot winner!! @VigneshhShivan","movies"
"19","Here's rocking &amp; uber cool #Vedalam new posters ft. main cast #ThalaAjith, @shrutihaasan &amp; #LakshmiMenon! http://t.co/nFh3ld8UcS","movies"
"20","@ImRaj26 I'm updating box-office performance &amp; verdict regularly but not figures as it's not important unless compared with buying price.","movies"
"21","#VijaySethupathi &amp; Nayanthara starrer #NaanumRowdyDhaan teaser releasing in few minutes via @WunderbarFilms_ channel. http://t.co/yeRQfk7BeW","movies"
"22","#PazhayaVannarapettai official trailer - https://t.co/254NEdXe5d Looks good! Best wishes to @mohandreamer, @jubinmusic &amp; team!!","movies"
"23","#AuraaCinemas acquired All India theatrical rights of @Nanditasweta's #UppuKaruvadu! Audio &amp; Trailer on Oct 11th!! http://t.co/KQqKv7kptA","movies"
"24","@venkadeshwaranG #Puli almost washed out outside Tamil Nadu! This weekend's crucial for final verdict here.","movies"
"25","@ak_mani53 Yeah! Unlike straight ones, a dubbed film release in different weeks whenever they get some B &amp; C theatres in any area.","movies"
"26","@venkatka2003 It released in Telugu, Hindi &amp; Malayalam today but Tamil version only on Oct 16th.","movies"
"27","Also 3 Dubbed Tamil: Manthra2, Kangal Irandaal &amp; Kaaki Sattai Kanchana; 3 English films: #TheWalk, #Sicario &amp; #Pan opening at Chennai today.","movies"
"28","#Oct9 - 4 Straight Tamil films: Masala Padam, Kathukkutty, Sathuran &amp; Andhaadhi; #Jazbaa (Hindi) and #Pathemari (Malayalam) releasing today.","movies"
"29","#Vedalam teaser straight to No.1 position @YouTubeIndia! Phenomenal reach with 100K likes &amp; counting within a day!! https://t.co/i7RBAi4vke","movies"
