"","user","type"
"1","#VIP2 officially titled as #ThangaMagan Here is the 1st look poster!! http://t.co/2xGYVZT6WO","movies"
"2","#Vedalam Kerala Rights snapped by Shenoys Group for 1.6Cr (Excluding Prints &amp; Publicity) .","movies"
"3","France 10k+ entries films

Vijay - 6
Rajinikanth - 2
Suriya - 2
Vikram - 1

http://t.co/NcIUFvmw2E http://t.co/qyfES0S6yK","movies"
"4","#Puli France(9 days)

Total Entries:10,027
Total Collection:€125,531 [₹ 92.08 lacs]

6th film of vijay to cross 10k entries. All Time 11 now","movies"
"5","#10Endrathukulla in Japan by @celluloidjapan Releases Oct24th!! #Vikram http://t.co/fLRdltblkv","movies"
"6","#Puli UK Gross till Thu Oct 8th £168,528 [₹ 1.67 Cr] Need a strong 2nd weekend to breakeven. Continued at approx 15 locations.","movies"
"7","#Vedalam New Posters!! http://t.co/9WuLvcRIVj","movies"
"8","Exclusive: #Puli 2nd Week Overseas Theater Listings with Showtimes!!

http://t.co/0ot8aheeTf http://t.co/TrqDDuGuiJ","movies"
"9","#VedalamTeaser Crosses 2M views and 110K likes within 40 hrs!! 

http://t.co/ytRGmXJ4es","movies"
"10","#Puli 1st week (7 days) Tamil Nadu Collections

http://t.co/UEIw36MbQE

2nd Biggest Week1 behind #Imovie http://t.co/GwOV6CUuDc","movies"
"11","#Puli Australia continued at 9 locations 2nd Week. One area where the movie is performing well. http://t.co/MZRsXs1WRv","movies"
"12","Lawyers pressing for a 22-month jail sentence.

Messi to stand trial in Spain http://t.co/wSDuYRS8xg","movies"
"13","#VedalamTeaser 24 Hr Update

Likes-105K Record for Indian Cinema
Views - 1.34 Million

#VADALAMFastest1Llikes1MViews http://t.co/b1cPLKuGlP","movies"
"14","#Puli to continue at all screens in Canada and only around 20 screens in the US. #Week2","movies"
"15","#Puli UAE reduced to 14 screens with few showtimes for week 2. http://t.co/rNgEpbU5sg","movies"
"16","#Puli continued at almost all screens in Malaysia for Week2. Total screen count 86.","movies"
"17","#Puli updated showtimes for Mauritius...Continued at 2 locations #Week2 http://t.co/bsrc4454Uf","movies"
"18","#Puli 2nd Week Swiss Showtimes!! Continues at 4 locations!! http://t.co/ReC08MRUAx","movies"
"19","#Puli 1st week Australia Box-Office A$178,244 [₹ 83.53 lacs]

@actorvijay @SKTStudios","movies"
"20","#Puli France 

Day7 Entries : 163
Total Entries : 9,568
Total Collection : €120,661 [₹ 88.51 lacs]","movies"
"21","#ThalaAjith once again proves that he's the King of Social Media!!! #ThalaDiwali 

https://t.co/dmPwb7zSVO http://t.co/58DOwzBggQ","movies"
"22","#Vedalam Teaser reaches 76K likes &amp; crushes #Puli teaser's 3 months likes in just 8 hrs!! 

#VedalamTeaserBlast http://t.co/odTP0Z2r6e","movies"
"23","Universal Hero Kamal Haasan’s #Thoongavanam USA Release Details!! 

http://t.co/1Lkl2tNM7M http://t.co/mPBZbdZh92","movies"
"24","50K likes &amp; 400K views in 1 hr #VedalamTeaserBlast 

https://t.co/dmPwb7zSVO http://t.co/zpbIcgkZQG","movies"
"25","300K views &amp; 38K likes in 30 mins!!! #VedalamTeaserBlast http://t.co/wmFEmyZPYi","movies"
"26","On Track to break all existing YouTube records!!! #VedalamTeaserBlast","movies"
"27","Wow 30K likes&amp; 200K views in 20 mins.Shows the star power of #ThalaAjith #VedalamTeaserBlast
https://t.co/dmPwb7zSVO http://t.co/pKHrDXq17i","movies"
"28","Presenting you mesmerizing #VedalamTeaser with #TheriTheme 

https://t.co/dmPwb7zSVO

#VedalamTeaserBlast http://t.co/yDGZNboPMm","movies"
"29","1 more hr to go for #VedalamTeaser with #TheriTheme #VedalamTeaserStormOntheWay tag trends with more than 100K tweets!!","movies"
"30","#Vedalam Chengalpet , Coimbatore , North-South Arcots, TT &amp; TK areas sold for record price for an Ajith movie

#VedalamTeaserStromOntheWay","movies"
"31","@CinemaAddict_CA @im_sharanV #Lingaa 2.25Cr , #Papanasam 1cr ..Will update rem soon","movies"
"32","#Pasanga2  Audio launch on 17th October 9am at Sathyam @pandiraj3 @rajsekarpandian @Madan2791 @SonyMusicSouth @Suriya_offl","movies"
"33","@Masood_RulezB Pre-Release Biz is done in MYR ..not in USD or INR @AllYGirL85","movies"
"34","Salem Area Top 10 Shares All Time 

http://t.co/ROPvX8N0CB

Remaining Areas data soon !","movies"
"35","#Thoongaavanam New Trailer!! Diwali release!! 

https://t.co/c35ekfwil9","movies"
"36","#Puli France 

Day6 Entries : 231
Total Entries : 9405
Total Collection : €118,776

All-Time 14th Highest Entries!!","movies"
"37","#Vedhalam teaser might be released midnight!! Official confirmation awaited!!","movies"
"38","#Puli Malaysia opening weekend BO $698,500 [₹ 4.55 Cr] MYR 2,995,203 6th Biggest opener of All-Time!!!!

http://t.co/yGqzwVxyUU","movies"
"39","#Thoongaavanam Songs and Trailer from Today!! http://t.co/XlW1Bcvict","movies"
"40","Oct2-4th Weekend Overseas Box-Office Report 

#Puli 3rd Biggest Opening next to #I &amp; #YA

http://t.co/wBhYmtsPcs http://t.co/Pw18gvnJOk","movies"
"41","#Puli Box-Office Ranking 

AUS - #12
Malaysia - #2
UAE - #4
Norway - #14 
UK - #13
US - #29
CAN - #13

@SKTStudios @actorvijay @chimbu_deven","movies"
"42","#Puli 

TK 

Day5 Nett : 11lks
5 Days Nett : 1.91Cr

Salem

Day5 Nett : 17lks
5 Days Nett : 3.02Cr

Huge Drop yesterday !","movies"
"43","#Puli dropped further today . Yesterday did best in Matinees &amp; Evening shows. Coming weekend is crucial","movies"
"44","*Day5 (Monday)","movies"
"45","#Puli France 

Day4 Entries : 501
Total Entries : 9174
Total Collection : €115,521

Good Hold on Monday with house full show !","movies"
"46","#Vikram's #10Endrathukulla Audio from Today!!! http://t.co/fNwPdXxYwt","movies"
"47","#Brucelee releases Oct 15th at 350+ locations in overseas. 220 locations in North America!! Grand Release by @greatindiafilms","movies"
"48","#Puli Norway opening weekend BO $23,925 [₹ 15.58 lacs] 2nd biggest opening of 2015 next to #I","movies"
"49","Worldwide Collections on Wed/Thursday as we get Malaysia update .","movies"
"50","#Puli 1st weekend (4 days) Total India Collections

http://t.co/z3sBPr8Q1x

2nd Biggest Opener this year http://t.co/WojubA8W1p","movies"
"51","@Minnale101 @BoxOfficeSquare early estimates guys...actual on Wed morning!!","movies"
"52","Malaysia #Puli opening weekend gross early estimates $550K. Disastrous opening considering the wide release.","movies"
"53","Top Opening Weekend Australia 2015

#I - A$ 247,751
#Puli - A$ 166,748
#YA - A$ 153,680
#OKK - A$ 140,208
#UV - A$104,405
#Masss - A$103,949","movies"
"54","Bcz of KDM issue #Puli lost almost $250K in the US $160K in premier refunds and $90K in free passes handed out!!","movies"
"55","Top Opening Weekend USA 2015

#I $697K
#YennaiArindhaal $480K
#UV $469K
#OKKanmani $467K
#Masss $230K
#Puli $174K","movies"
"56","#Puli USA Box-Office Update

Wed - $11K  
Thu - $43K
Fri - $48k 
Sat - $48k 
Sun - $24K

Total: $174K [₹ 1.14 Cr] 

#Disaster","movies"
"57","#Puli UK

Thurs-Sun : £143,425

Average Opening &amp; 2nd Biggest this year Behind #Imovie","movies"
"58","#Puli 1st weekend (4 days) TN collections

http://t.co/7FYP6WVcHG

2nd Biggest 4 days collection of 2015 Behind #I http://t.co/YO84FXHXVi","movies"
"59","#Puli : Poor occupancy for today noon shows across the state. Evening shows crucial to make a decent number at EOD .","movies"
"60","2015 France Top5 Entries

#I : 15,479
#Masss : 9,121
#Puli : 8,673 (4 days)
#YennaiArindhal : 7,100
#Maari : 6,594","movies"
"61","#Puli France 

Day4 Entries : 4039
Total Entries : 8673
Total Collection : €109,273

Biggest Day wise &amp; 4 days collection of 2015 .","movies"
"62","#Puli USA Box-Office Update

Wed - $11K  9 locations
Thu - $43K 62 
Fri - $48k 90
Sat - $48k 76

Total: $150K

No rise on Saturday. #Poor","movies"
"63","#Puli continues to drop in Kerala. 3 days gross 3.2Cr &amp; around 30 screens are also removed .","movies"
"64","#Puli is on a roll today . Mor shows are better than yesterday &amp; Matinees are Huge. Family Crowd !","movies"
"65","#Puli France 

Day3 Entries : 2049
Total Entries : 4684
Total Collection : €64,308

Biggest Day 1, Day2 &amp; Day3 Collection of 2015","movies"
"66","#Puli Coimbatore Area

Day1 Gross - 1.8Cr
Day2 Gross - 1.4Cr

2 Days Gross - 3.2Cr

Strong Day2 !","movies"
"67","#Puli TK Area

Day1 Nett - 0.7Cr
Day2 Nett - 0.45Cr
Day3 Nett - 0.36Cr

3 Days Nett - 1.51Cr

Good !","movies"
"68","#ThalaAjith's #Vedalam Teaser Release on Oct 8th 12AM . Diwali Release .","movies"
