"","user","type"
"1","Impossible Foods’ flagship product is a plant-based cheeseburger http://t.co/DzBOcz5DNs","technology"
"2","Is China coming around on cybersecurity? http://t.co/CeKSFeoOxX http://t.co/cU3Qn7uvVE","technology"
"3","The White House Backs Down On Phone Encryption http://t.co/xatE94kQIS by @Cat_Zakrzewski","technology"
"4","Gillmor Gang: Batting Practice http://t.co/ZVBRhabKci by @stevegillmor","technology"
"5","Kibo iOS App Lets You Hide Messages In Your Messages http://t.co/sjQHxI7mW6 by @riptari","technology"
"6","Code Tenderloin connects tech companies with the community http://t.co/KHphYaqxJZ","technology"
"7","Uber still tops the Unicorn Leaderboard with a post money valuation of $51B http://t.co/sCds4IUel1","technology"
"8","Four Reasons Why Sports Startups Are Scoring Big http://t.co/jPONtLyL4k by @smita622","technology"
"9","Zuckerberg confirms Facebook is working on augmented reality http://t.co/7zm180pXbW","technology"
"10","The next 10 years of automation and what it might mean for the job market http://t.co/2yUXZvt8zN http://t.co/IlD5uzEbw0","technology"
"11","Series A 101 http://t.co/H81xL1icxt by @BNarasin","technology"
"12","Airpaper will cancel your Comcast service for you http://t.co/MpeulKUOQV http://t.co/HDScC5mvrS","technology"
"13","What car dealers think about Elon Musk http://t.co/xDsey5YUbU http://t.co/9s9AT6mN0p","technology"
"14","7 ways Google thinks about hiring, management, and culture http://t.co/blPWe1yoUR","technology"
"15","Open Bionics creates Disney-inspired bionic hands for amputee kds http://t.co/otclrsM6Xi http://t.co/bKxtgX8Nsi","technology"
"16","Sell SaaS, they said … it will be easy, they said http://t.co/61XcRBAEv4","technology"
"17","IPFS would help the Internet grow into the system we’ve always aspired it to be http://t.co/izE9l9VWqu","technology"
"18","Everything you need to know from Microsoft’s massive hardware event http://t.co/3FJJLUMatt http://t.co/UfFtMnOqXp","technology"
"19","SF nerds can now impress dates with UberSELECT http://t.co/XxcncNHxzi http://t.co/1rn74b5IkG","technology"
"20","OneGo promises to give subscribers unlimited flights for a monthly fee http://t.co/2QvcFyij0Z","technology"
"21","LogMeIn Buys Password Manager LastPass | Crunch Report http://t.co/wZ2rv7xTfj","technology"
"22","Dell has filed confidentially for an IPO for its SecureWorks cybersecurity unit http://t.co/bu7T4rPbj8","technology"
"23","More funding won’t magically fix your startup http://t.co/luY0peWf7y http://t.co/L71gBclJ2M","technology"
"24","This week on the TC Gadgets Podcast: Google and Microsoft and we’re back!!! http://t.co/iINVq8JhpE","technology"
"25","T-Shirts And Tech: Solving The Sartorial Equation http://t.co/mBXtih3WxW by @zfiscr","technology"
"26","The new Amazon Fire TV could be the ultimate cord-cutting tool http://t.co/nxU7YYtRqb http://t.co/bSBl9BpVbn","technology"
"27","NEA backs on-demand beauty business Glamsquad in $15M Series B http://t.co/mu0rDSHn7P","technology"
"28","Siliconvicts Are The Tech Slogan T-Shirts You've Always Talked About Making http://t.co/MIjWbFwjx2 by @nitishpkulkarni","technology"
"29","Wonderloop is a startup allowing people to showcase themselves through short 10-15 second video profiles http://t.co/WPn7d8uc5F","technology"
"30","The genius of Twitter Moments is that an entire team within the company agreed on a path and stuck to it http://t.co/3Q73qdZTua","technology"
"31","Relay FM launches iOS app to discover new podcast shows http://t.co/L0KLVSuTIp","technology"
"32","13 TechCrunch stories you don’t want to miss http://t.co/SmKZzH49qR http://t.co/cDTuDFSjdb","technology"
"33","LogMeIn buys password manager LastPass, Dell files IPO for its cybersecurity unit, and more on #CrunchReport
https://t.co/A1YJ6UAaE8","technology"
"34","iOS podcast app Overcast adds streaming, drops price to free http://t.co/gvtwaBj9Pb","technology"
"35","CrunchWeek: Jack Has A Moment, Microsoft Goes Big, And Pandora's Selling Tickets http://t.co/e0cSvLFImG","technology"
