"","user","type"
"1","Despite their differences, Margaret Thatcher and Ronald Reagan had a unique relationship http://t.co/z8EyNverxh http://t.co/QOe54Tyib0","business"
"2","Cars sit unused for 90% of their lives – consumers should consider car-sharing apps instead http://t.co/nGoLJkjRmh http://t.co/GVq9QmpLJz","business"
"3","The secret to the Portuguese government's success? Shoes http://t.co/HNG6W5qlmg http://t.co/aIUoAMb45J","business"
"4","Can Apple make gadgets? Yes. Should Apple create cars? No http://t.co/TMkw4gxFTh #econarchive http://t.co/RibTmG6SCY","business"
"5","Why is there a big loophole in the system for taxing multinational companies? http://t.co/jlmzNqzMxX http://t.co/kAbNmmoYYN","business"
"6","Three-day weekends and diverse board rooms are common in Norway, but the easy times are over http://t.co/QYX41EuoWB http://t.co/VCfo0dW7YK","business"
"7","Lean in? Women can't until the traditional male world of work is overhauled http://t.co/7nkMJFrRt0 http://t.co/8YmNVw8Nhj","business"
"8","Smallpox was a candidate for eradication because it can't survive outside people—same for HIV http://t.co/Gq9c4zw4SI http://t.co/9zVC5pE0Oo","business"
"9","Business this week: Our three minute round-up of the week's business news http://t.co/JvfBKs5j2D http://t.co/RgyKxmgecR","business"
"10","Mr Sisi has brought stability to Egypt. Is the price a loss of democracy? http://t.co/uAlQocMj0W http://t.co/Sz2bvNbJPm","business"
"11","Mr Sisi promised something new in Egypt but is repeating an old story http://t.co/NzfSOKc0t9 http://t.co/W7ZGnTmN5f","business"
"12","The ruler of Belarus is the only winner of the mess in Ukraine. This is why http://t.co/Q47XjKIU09 http://t.co/ucUWHWn4xe","business"
"13","Lord Healey, a giant of the Labour Party, died on October 3rd, aged 98 http://t.co/UQcFZN0DIU http://t.co/JoDW7dm82s","business"
"14","The 2015 #NobelPrize for Peace goes to Tunisia. Our country of the year in 2014 http://t.co/WG8gdZujbk http://t.co/oXN1jVACGZ","business"
"15","Indians across the world will have a university catered to them almost everywhere http://t.co/8RoleLNS2G http://t.co/Le2Xp3NQDu","business"
"16","China's inglorious record of picking leaders for Hong Kong: resigned, arrested, detested http://t.co/GEXKVjeQVi http://t.co/gS9IFdSNCA","business"
"17","Mr Cameron looked happy when he delivered his speech. But he has problems inside his party http://t.co/YoOWw8Fp5O http://t.co/Qx7Yuy7W4I","business"
"18","What went wrong in Latin America? The short answer is China's slowdown http://t.co/YpfQhhlGvD http://t.co/ObG25zvZmb","business"
