"","user","type"
"1","Cheers to the weekend Ì†ºÌΩª drawing http://t.co/5gvWFzXF0b","arts"
"2","Retweet = Scary! http://t.co/MoINIv7k9a","arts"
"3","Ì†ΩÌ∏ç http://t.co/1wNHkrZH9l","arts"
"4","Amazing! http://t.co/oymGPmV0f3","arts"
"5","Ì†ΩÌ∏≤Ì†ΩÌ∏≤ http://t.co/6eou54qJyP","arts"
"6","Wow http://t.co/SuqlMpmDf3","arts"
"7","Awesome Sketch http://t.co/Lmb9WdZrV4","arts"
"8","http://t.co/2M99OCC92R","arts"
"9","Nelson Mandela http://t.co/w5RTz7zbCs","arts"
"10","Hero ‚ù§Ô∏è http://t.co/qxR2OYmyto","arts"
"11","Ì†ΩÌ∏ç http://t.co/g3CYIjHzjo","arts"
"12","Realistic Street Art Ì†ΩÌ∏Æ http://t.co/Ix2aOj24kY","arts"
"13","Leaf Drawing Art http://t.co/OP5C1dJEcY","arts"
"14","http://t.co/zz5CFKCtQb","arts"
"15","WOW http://t.co/sCbLlFsynE","arts"
"16","Pencil Art http://t.co/VOaAKQsfvV","arts"
"17","Beautiful Eyeball Drawing Ì†ΩÌ±Ä‚úèÔ∏è http://t.co/w8km9JiRgl","arts"
"18","When Street Art Meet Nature! http://t.co/lEV4lhMRrY","arts"
"19","Still Remember 9/11 http://t.co/vvqiAmPRMw","arts"
"20","Awesome Ì†ΩÌ∏ç http://t.co/yy1JZuFbvw","arts"
"21","http://t.co/qB2sVJ2NYB","arts"
"22","Amazing http://t.co/g3BEecEPv5","arts"
"23","Amazing Oon Drawing http://t.co/KxaIsDvw5g","arts"
"24","WOW! http://t.co/oaGUOzyWNs","arts"
"25","Colorful Deer http://t.co/VUIrdmCEJ2","arts"
"26","Great photo of GammaGallery's Street Art at NorthWestWalls in Belgium http://t.co/whKiL4x8lx","arts"
"27","Coffee Art http://t.co/Qa0y2Vomj3","arts"
"28","Drawing Salt Art By Rob Ferell http://t.co/cmuC7AjYab","arts"
"29","Amazing String Arts http://t.co/BniHWuewi6","arts"
"30","WOW http://t.co/1eJ8G1apr3","arts"
"31","WOW Ì†ΩÌ≤ç http://t.co/sJbUIZ2ENe","arts"
"32","Amazing Ì†ΩÌ≤ï http://t.co/Szm0OCHPtR","arts"
"33","Amazing Pain Art http://t.co/E6SwZqYSCk","arts"
"34","This Eye Ì†ΩÌ∏ç http://t.co/ax1WbQXdhP","arts"
