"","user","type"
"1","Happy Birthday! Ì†ºÌæÇ https://t.co/Z6zBQdG1Sd","movies"
"2","See #AskElijah Live Twitter Q&amp;A in full with @elijahwood to celebrate UK release of #cootiesDVD https://t.co/k1DuX8KifM","movies"
"3","Ì†ΩÌ±èÌ†ºÌæàÌ†ΩÌπå
Congrats!  https://t.co/CsvBgZ1j3O","movies"
"4","Thank you @tomhanks &amp; Steven Spielberg for visiting us at @TwitterNYC! ICYMI, here's the Q&amp;A: https://t.co/rqdUTswySD http://t.co/5EdBWb9yFK","movies"
"5",".@eilermc #AskBridgeOfSpies http://t.co/C66UgL7hOn","movies"
"6",".@MASASTUPENDOUS #AskBridgeOfSpies http://t.co/VOcwlK5fuZ","movies"
"7","#Zuul2016  https://t.co/hPDB9rmQWf","movies"
"8","Welcome to Twitter!  https://t.co/UOaKLuKUho","movies"
"9","Tune in on @periscopeco for a Q&amp;A now with Johnny Depp and the @hollywoodvamps https://t.co/r4SiXEXKcL","movies"
"10","Tune in tomorrow to chat with Johnny Depp, @JoePerry, @RealAliceCooper, @DuffMcKagan &amp; @mattsorum! #AskHV https://t.co/3BY5kehH5D","movies"
"11","What was your favorite summer blockbuster @JurassicPark or @Avengers?","movies"
