"","user","type"
"1","Getting smashed for spring, à la Loewe and Maison Margiela: http://t.co/I98DBMrQAQ","fashion"
"2","Is a pop music career on the horizon for Natasha Poly?: http://t.co/adZowz5QTm","fashion"
"3","'80s favorite Sybilla returns to Paris Fashion Week: http://t.co/arAmXGz76l","fashion"
"4","The fashion flock got sexy at Peter Dundas's intimate dinner: http://t.co/UHGNvdM3yM","fashion"
"5","Why Hugh Hefner is one writer's style icon: http://t.co/tgkqhMUMqK","fashion"
"6","There's no one way to sum up what happened at the Paris Fashion Week collections: http://t.co/U25cJI9Mo4","fashion"
"7","In search of a fall bag? Try the mason style: http://t.co/UoX9ObzejX","fashion"
"8","The appeal of model Mathilde Brandi for designers like Isabel Marant and Céline: http://t.co/nUiIj2iD7K","fashion"
"9","This is the ultimate view of Paris Fashion Week: http://t.co/6iWtnwEIsA","fashion"
"10","How to apply glitter like a pro: http://t.co/elc7SiiOd9","fashion"
"11","Miu Miu's ""romanticism of youth"" included plenty of ballerina tulle: http://t.co/XixaxiqRlJ","fashion"
"12","Miu Miu's Spring 2016 will have you reaching for the ballet slippers: http://t.co/D3vq2AGVcI","fashion"
"13","Instagram is changing the fashion industry: http://t.co/aPpobe8khs","fashion"
"14","From Stella McCartney to Proenza Schouler, Herieth Paul is having her best season yet: http://t.co/5p2SlfJM9C","fashion"
"15","8 style lessons we learned from Hanne Gaby, cool-girl catwalker: http://t.co/CMk9mHN37F","fashion"
"16","Eva Chen and Kristen Joy Watts host an Instagrammable breakfast for the 2014 CFDA/Vogue Fashion Fund finalists: http://t.co/MDarjw3WJr","fashion"
"17","How to get Sonia Rykiel's smoky eyes and brushed waves: http://t.co/K6fAMj7bX3","fashion"
"18","This is the surprising accessory we're revisiting for spring: http://t.co/vYwAUGgMJm","fashion"
"19","Get an insider view of Paris Fashion Week: http://t.co/iAebD7Btca","fashion"
"20","The top 10 Spring 2016 shows in Paris: http://t.co/nAc7hV3edX","fashion"
"21","Phoebe Philo's Spring 2016 collection for Céline was a ticket to ride: http://t.co/qHs3PPMyy5","fashion"
"22","Paris was more than a moveable feast: It was an Instagrammable one: http://t.co/UJt0cWGFxj","fashion"
"23","Could breaking up be your best bet for Spring 2016?: http://t.co/GtgqEAxNqc","fashion"
"24","How many different uses can Pat McGrath find for gold makeup? Let us count the ways: http://t.co/PMi6uZkKqs","fashion"
"25","6 times Pat McGrath reimagined gold makeup: http://t.co/fL2lNgNsnZ","fashion"
"26","The hair accessory phenomenon taking over the Spring 2016 runways: http://t.co/yiA9FzuMfc","fashion"
"27","How to get the glitter eye look seen at Giambattista Valli Spring 2016: http://t.co/LUmQu67eiE","fashion"
"28","Paris Fashion Week taught us that there's more than one way to stand out from the crowd: http://t.co/wOno9lexRH","fashion"
"29","7 beauty lessons we learned from Paris Fashion Week: http://t.co/KjYPPwrdsv","fashion"
"30","We've been coveting these accessories since they hit the runway: http://t.co/5kY2IP1RW6","fashion"
"31","All the best accessories from Paris Fashion Week: http://t.co/0BbStlN9pi","fashion"
"32","Paris Fashion Week offered no shortage of beauty statements: http://t.co/mvr12nfJU0","fashion"
"33","Parisians have a knack for knowing what we'll be wanting next Spring: http://t.co/cCOXtJYs4K","fashion"
"34","You might already have Spring's hottest trend stashed under your kitchen sink: http://t.co/SSHvZvqpA9","fashion"
"35","Zendaya's Paris Fashion Week debut was all about the numbers: http://t.co/xYJlUnMasj","fashion"
"36","Bubblegum pink is having a resurgence: http://t.co/epgNFOHe27","fashion"
"37","Nicolas Ghesquiere unleashes his inner nerd: http://t.co/gZSsKbAJ6j","fashion"
"38","Everything you need to know about day 9 of Paris Fashion Week: http://t.co/ZlE6j6xVzD","fashion"
"39","Where does '80s music meet symbolist painting? The Miu Miu soundtrack: http://t.co/WLbWXEXaPE","fashion"
"40","Sometimes, we save the best for last: http://t.co/JZHua0ciBx","fashion"
"41","Hanne Gaby is always nailing model-off-duty style: http://t.co/ncAxMeMune","fashion"
"42","This new accessories line is part Baywatch, part St. Tropez: http://t.co/Xqq2iOvQSU","fashion"
"43","""Clothes must be worn with love, emotion, and pride."": http://t.co/bKjNLsT2A4","fashion"
"44","100 bridal looks from the spring 2016 runways: http://t.co/xOJyrn9uQu","fashion"
"45","Meet Liv Tyler’s Beauty BFF: http://t.co/hpnQVWqCq2","fashion"
"46","Bella Hadid brings back '80s glamour: http://t.co/3HMIN4W0HB","fashion"
"47","How @gucci is ruling the street style circuit: http://t.co/T19TpMRoAE","fashion"
"48","Is glitter about to become fall's most wearable makeup statement? http://t.co/p27rOzeju9","fashion"
