"","user","type"
"1","Angelina Jolie Pitt’s childhood home is up for sale for $2 million http://t.co/dMxvOxUqul http://t.co/HvBNUAbBLw","business"
"2","VIDEO: Watch video from the blast outside the Ankara train station. http://t.co/drWzPftyTD","business"
"3","What are the implications of America's disengagement from the Middle East? @yarotrof weighs the costs and benefits http://t.co/VkvEpu8zEG","business"
"4","Study finds antioxidants doubled spread of skin cancer in mice http://t.co/4Ca8YdZfGp","business"
"5","Breaking: Death toll from blasts in Turkish capital raised to 86  http://t.co/f8xnEeUzVH","business"
"6","Sponsorship deals with obscure firms cause headaches for European soccer clubs http://t.co/VWpqngjksz","business"
"7","Delta to give strong start to airlines’ earnings season http://t.co/YRm94xUYJG","business"
"8","North Korea and China play up ties at military parade http://t.co/jbvIujXLZN http://t.co/YiWGAN1yw9","business"
"9","Stabbing attack leaves two Israelis wounded; police shoot dead assailant http://t.co/ZhPJBqNYWm","business"
"10","In bank earnings this week, clues on housing market’s health http://t.co/BO2eqlELd1","business"
"11","Russian missile strikes in Syria trigger European alert to airlines http://t.co/LJTEhx1pzE","business"
"12","The Volkswagen emission scandal in numbers. Video: http://t.co/Rh3LxusZGm","business"
"13","Turkish capital Ankara hit by explosions, killing at least 30 http://t.co/eXXCHLc6jk","business"
"14","Refugee crisis intensifies political backlash against Merkel http://t.co/LSasnnylAA","business"
"15","Inside a hostage crisis, Obama's Syria options, the GOP split and more. Today's front page: http://t.co/UBxCqD6uMN","business"
"16","Breaking: Twin blasts in Turkish capital kill at least 30, injure scores http://t.co/5xQPDPcm8q","business"
"17","In Afghan city of Kunduz, local discontent eased Taliban’s advance    http://t.co/LdOILHZbHC http://t.co/SCvY3u5pue","business"
"18","AB InBev CEO Brito runs afoul of U.K. takeover rules http://t.co/IiTt2Cwzwx","business"
"19","Mets announce themselves to the world with Game 1 win over Dodgers http://t.co/Pwt7i7fPCe","business"
"20","Obama’s options narrow in Syria http://t.co/Wkjkzsiv39","business"
"21","A journey to Le Corbusier’s famed Ronchamp Chapel in France http://t.co/fHxgsE37pY http://t.co/vNSIAkUeoz","business"
"22","Take an early look at the front page of The Wall Street Journal's weekend edition.
http://t.co/meHfXwmjsI http://t.co/HQVO2akJ67","business"
"23","“You’re going to have to shoot me.” Bus driver shielded students, refused gunman’s demand. http://t.co/Zalfyvwozw http://t.co/JI58sLrVoz","business"
"24","How @chancetherapper built his fame through grass-roots marketing http://t.co/UB49mRB4jC http://t.co/HnIjJaE0x0","business"
