"","user","type"
"1","Want to make money off those TD’s? Start with #DailyFantasy and win cash. http://t.co/k6CxquVaPa http://t.co/euPu1ZF7K6","sports"
"2","Looking at #DFS value plays for Friday's NHL schedule --&gt; http://t.co/21m9yFBFrf","sports"
"3","#DailyFantasy is now available on Android, bringing more opportunities to win big. Play now: http://t.co/k6CxquVaPa http://t.co/tqaU85ZxFL","sports"
"4","Love it. Let's hear your #CallMeCrazy Predictions for Week 5.  https://t.co/2Tv5SXRTHH","sports"
"5","Week 5 Funny Money: Head for Ronnie Hillman in #DFS --&gt; http://t.co/A7c3w1ct7v","sports"
"6","That's a wrap for this week's chat. Thanks to all who submitted questions and sorry to those @daltondeldon wasn’t able to get to. #AskFFL","sports"
"7","Always go QB when you can. Give me McCown. He's been surprisingly competent and Balt secondary struggling. #AskFFL https://t.co/w6CiQJR6kh","sports"
"8","He's been so frustrating, but I say yes, despite SD's struggles to run block. Gordon most 20+ yard carries in NFL. https://t.co/RrnUGPSCiz","sports"
"9","No. I'm not high on Stewart at all but K. Williams looks out this week and Julio is a top-5 overall asset. #AskFFL https://t.co/zqD6HhX17H","sports"
"10","I'm a big Lewis fan, but he's the odd man out here. Try to make a trade taking advantage of such RB depth. https://t.co/QYi9vkh2j1","sports"
"11","Feel free to drop Victor Cruz in all formats. #AskFFL https://t.co/H0PACMSM3r","sports"
"12","Go with Taylor. Still tough to trust Vick right now, and San Diego has been tough on QBs. #AskFFL https://t.co/m84bEIQoKH","sports"
"13","Good question. I'd go with Duke Johnson. He should be plenty busy Sunday as a receiver out of the backfield. #AskFFL https://t.co/GOx2hpESwH","sports"
"14","I like Maclin, but have to go Sanders here. #AskFFL https://t.co/p4R1HSYEWi","sports"
"15","All have their fleas, but give me Winston here. #AskFFL https://t.co/PurvWp4tZr","sports"
"16","I'd go with Randle. Niners secondary really struggling. https://t.co/dwpoN2dtMl","sports"
"17","I'd do it. Not too concerned about having players from same team, especially when they are on Green Bay. #AskFFL https://t.co/rbMZwZbLh1","sports"
"18","Yes, that's why he's especially hard to trust this week. #AskFFL https://t.co/vWPX5CB5Ie","sports"
"19","I like your ruthless style. I'd grab Bradford.  https://t.co/WBh4LHmDRw","sports"
"20","He's an interesting sleeper for sure for those in deep leagues dealing with injuries/byes. https://t.co/UkpvcoWTWA","sports"
"21","Whoever gets you a better return in a deal. #AskFFL https://t.co/TJGTVkqley","sports"
"22","Daniels for this week. Raiders allowing by far most fantasy points to opposing tight ends.  https://t.co/OmAPMgDuOJ","sports"
"23","@hogfanatic1992 Would go Chris Johnson.","sports"
"24","Kendall Wright and Todd Gurley. Treat Gurley as a top-10 fantasy RB (at minimum) over the rest of the season. https://t.co/f4aqkLuqeT","sports"
"25","@Vansavage_chris @CliffDressler That's a good point. A lot of it has been receiving yards by RBs, something Morris doesn't do.","sports"
"26","Mariota. He's a borderline QB1 moving forward.  https://t.co/y2SY1Tg2cN","sports"
"27","I'd certainly trust him more than Stewart that's for sure. Sneaky good matchup for Morris so long it's not a blowout https://t.co/nRfmOf8CwQ","sports"
"28","That's a bold statement. https://t.co/qbE3Jrl6pG","sports"
"29","I'm going to say this week. https://t.co/yuMWYqA1Qt","sports"
"30","Pick up Kelce and start him every week.  https://t.co/ufHdGn26OT","sports"
"31","Give me Cutler. KC has actually allowed most fantasy points to opposing QBs this season. #AskFFL https://t.co/BKR6jyLANd","sports"
"32","Forte, with PPR being the difference. #AskFFL https://t.co/cinDvmuhAL","sports"
"33","Texans D for sure. At home on a short week against a sick Hasselbeck. Yes please. #AskFFL https://t.co/p9o2sGfHlx","sports"
"34","All strong options, but I can't see sitting Fitzgerald at this point. #AskFFL https://t.co/oN0uvyALak","sports"
"35","Have to love Daniels' matchup against Oak, who's been the worst against TEs. But I'm still going Kelce over him. https://t.co/ndzZwm0HDd","sports"
"36","Like both of them this week but give me the Giants D. #AskFFL https://t.co/sL428pMgWn","sports"
"37","Definitely do that deal. Foster could easily be a top-5 RB over the rest of the season. Rivers/Dalton a wash #AskFFL https://t.co/oDblBWx3FV","sports"
"38","Keep Calvin Johnson. His schedule has been brutal and it eases up soon. Still been a target monster.  https://t.co/AcKd3XgkuE","sports"
"39","It's possible but the far safer bet is that Denver remains a committee for the foreseeable future. #AskFFL https://t.co/doOMaAErdB","sports"
"40","I still like Moncrief as a WR2 this week but I'd go with James Jones over him.  https://t.co/D0yHvBe8Dp","sports"
"41","Not totally crazy, but I'd stick with Green.  https://t.co/lesKW7k0lU","sports"
"42","I would've said Gurley even if Luck were playing.  https://t.co/lvJT6jJCUd","sports"
"43","I prefer the Thomas side. Who knows with Lynch's injury and Murray has more upside than Cooks at this point. #AskFFL https://t.co/bYOWfxro3M","sports"
"44","Even in a tough matchup, have to go Cooper over the rest of that group...Then it gets real close. I'll say Hankerson https://t.co/2BhwnpJIlp","sports"
"45","Fleener. At least he's not coming off an injury. #AskFFL https://t.co/WM1IIrMyd3","sports"
"46","That's a fair trade with RB being so thin, but PPR sways it for me, so I'd do it. Calvin should be much better. https://t.co/0xEnpo6fCj","sports"
"47","I'm still going with Moncrief in this case. Would need a better alternative to switch, even with no Luck. https://t.co/XfCZT03JMK","sports"
"48","I'd definitely be stashing C. Michael. https://t.co/UT1Yv1ntbd","sports"
"49","I'd go with Matt Jones. Falcons allowing most fantasy points to opposing RBs this season. https://t.co/ZxrqUA7Jvd","sports"
"50","Make a trade! I have all three as top-7 running back options this week. https://t.co/HYsFbv5HyT","sports"
"51","Go with the Bradford/Matthews combo. Love their matchup this week. Saints allowing 9.8 YPA w 7:0 TD:INT ratio. https://t.co/s917KjijHO","sports"
"52","Terrible matchup and 49ers have been brutal, but I'm still going Hyde over a D. Carrier type alternative. #AskFFL https://t.co/M21cSTtHYI","sports"
"53","I'm still rolling with Hilton over those other options, but obviously Luck's absence is a concern. https://t.co/kGL6aqqCr7","sports"
"54","Indy should theoretically rely more on Gore with Luck out but I'm going with D. Lewis. Patriots should score a lot. https://t.co/3huPzQfRPn","sports"
"55","It's @daltondeldon here to take your Week 5 questions over the next hour. Fire away using #AskFFL","sports"
"56","Chat alert: @daltondeldon will be dishing out #fantasyfootball advice at 4 p.m. ET. Submit your questions to #AskFFL","sports"
"57","Watch: Examining Danny Woodhead's #fantasyfootball value going forward --&gt; http://t.co/vzibUlQCYw","sports"
"58","Watch: Should #fantasyfootball owners try to unload Calvin Johnson? --&gt; http://t.co/a4avhzvtxe","sports"
"59","Yahoo #fantasyfootball re-draft: See where players land now vs. start of season --&gt; http://t.co/1I8Ih4gxj1","sports"
"60","When everyone at work is talking about your sweet #DailyFantasy skills. http://t.co/k6CxquVaPa http://t.co/kN2cjOTtot","sports"
"61","Thursday's #YFreakShow: @YahooNoise &amp; @1befun talk QB alternatives with Andrew Luck missing another start --&gt; http://t.co/IiIGIRVpGV","sports"
"62","What is the fantasy value of Emmanuel Sanders with the drop off of Peyton Manning? --&gt; http://t.co/8UUADL6y0a","sports"
"63","Finding #DFS value plays for Thursday's seven-game NHL slate --&gt; http://t.co/a7tor1wDpB","sports"
"64","Top 50 assets in #fantasyfootball: @1befun says Devonta Freeman has forced his way into the top 25 --&gt; http://t.co/tXWVJDH6KT","sports"
"65","Thursday #fantasyfootball flier: Texans receiver Keith Mumphery, (very) deep league special --&gt; http://t.co/3uzMS0yrd4","sports"
"66","Report: Andrew Luck will not start for the Colts on Thursday night --&gt; http://t.co/zdOWzWtWgc","sports"
"67","Watch: @LizLoza_FF explains why Melvin Gordon can still be an option for #fantasy owners after a slow start --&gt; http://t.co/lTfKlt2UFa","sports"
"68","@FBALL_Andrea It's crazy how many podcast tapings disappear into the ether. Glad you didn't lose yours.","sports"
"69","Hockey season starts tonight! Sign up for Fantasy Hockey now: http://t.co/CQOfSNzy86 http://t.co/GYL9NnueCZ","sports"
"70","Experts like Odell Beckham Jr. in Week 5 Daily Fantasy Football lineups --&gt; http://t.co/uezXxttJdT","sports"
"71","@5280code @kelly_hirano This is being fixed.","sports"
"72","@GingerTache There was a bug giving players incorrect position eligibility (ex Kessel at C). We updated that this am.","sports"
"73","@marinemom34 @ESPNFantasy @YahooSportsNHL We should have this fixed soon.","sports"
"74","@5280code @keepingkarlsson We are aware and are working on it now. Apologies for the mishap.","sports"
"75","@Ryanocerous99 This should be updated soon. We are working with our injury provider to get this fixed ASAP.","sports"
"76","Wednesday's #YFreakShow examines Devonta Freeman's value, disliking Joseph Randle vs NE &amp; the Week 5 Daily slate -&gt; http://t.co/STGCCwyqlU","sports"
"77","Think you have that perfect roster? #FantasyFootball #DailyFantasy http://t.co/k6CxquVaPa http://t.co/m5k1IooCvF","sports"
"78","Before setting your Week 5 lineup, get some expert advice. @scott_pianowski will be taking your questions at 3 ET -&gt; http://t.co/nasPZlprjd","sports"
"79","It's not too late to play #fantasyhockey with the season opening Wednesday. Sign up for a league now --&gt; http://t.co/FN5WLDLiZv{CACHEBUSTER}","sports"
"80","With Opening Night of the NHL season here, we offer some #DFS advice to start off on the right note --&gt; http://t.co/cxHvHnG1ZX","sports"
"81","LIVE on #Periscope https://t.co/hGedH62mlm","sports"
"82","LIVE on #Periscope https://t.co/PwgGOQAX0r","sports"
"83","Ertz owners cursing the fantasy gods. #WASvsPHI","sports"
"84","Josh Scobee should not be your intern!  https://t.co/nhi7x7THnx","sports"
"85","Philly jinxed at kicker. Codey Parker ineffective. Now Caleb Sturgis missed a FG and now an extra point. #WASvsPHI","sports"
"86","Last reminder - go check your baseball lineups. Most of NFL is at halftime. MLB starts at 3 pm ET.","sports"
"87","Great questions as always. If we missed your question and it's on a later game, see our ranks. Good luck! http://t.co/Q00QpU1IWY","sports"
"88","@MFJP56 I know Rivers has issues around him, but I cannot trust Brees on spec.","sports"
"89","@bjehrl I'd gamble on Matt Jones.","sports"
"90","@sreed102980 I'd wait for Abs.","sports"
