"","user","type"
"1",".@BBC poetry season continues tonight with Ted Hughes: Stronger Than Death, 9pm @BBCTwo ","arts"
"2","How a songwriter bootcamp helped #rihanna fight back by @jmseabrook from #newyorker       ","arts"
"3","In case you missed it: Brilliant 1975 30' film i/v with #johnlennon by @WhisperingBob   ","arts"
"4","""Light comes round once and travels on"". Rachel McCrum @kickingparis performs @BBC #poetry ","arts"
"5","Charming: See #auden &amp; #steviesmith sing in Edinburgh pub, 1965. @BBC #containsstronglanguage ","arts"
"6","You want #Goya, #Auerbach, #aiweiwei, Frost, #Munch, #VanGogh latest shows? All here &amp; more: ","arts"
"7","Six #booker shortlistees interviewed on film. ","arts"
"8","He speaks! #frankauerbach @Tate @StephenSmithBBC has the scoop               ","arts"
"9","Why can't you hear Joy Division on the radio? 4'25"", 1979. #musicformisfits #factoryrecords   ","arts"
"10","Building the Hacienda in Manchester: 9 min film, 1982. #musicformisfits #factoryrecords ","arts"
"11","Phew! 2,731 pages later and the #ManBooker2015 shortlist is read. Meet the authors on #Artsnight @BBCTwo 11pm ","arts"
"12","Ben Okri won the @manbookerprize in 1991 - hear how his life changed &amp; his advice for 2015's winner #Artsnight 11pm ","arts"
"13","Will 2015 be the 1st year an American wins @ManBookerPrize? Meet the authors on Ben Okri's #Artsnight @BBCTwo later ","arts"
"14",".@StephenSmithBBC has rare interview w/ Frank Auerbach on @BBCNewsnight tonight - read more: ","arts"
"15","On the day that @johnlennon would have been 75 here's a rare interview with him from '75 #HappyBirthdayJohnLennon ","arts"
"16","Word up: #johncooperclark performs Beasley St &amp; Blvd plus @MurrayLYoung, @sleafordmods &amp; more ","arts"
"17","One more treat from us for #NationalPoetryDay - the wonderful @GeorgeThePoet at @edbookfest earlier this year: ","arts"
"18","John Hoyland's Power Stations is a hit at @hirst_officialâ€™s @NPSGallery - revisit our piece on the art rebel here: ","arts"
"19","Congratulations to the Foyle Young Poets of the Year. You can read the top 15 poems at @GuardianBooks ","arts"
"20","What was this Pictish ""advertising hoarding"" selling? Watch #storyofscottishart to find out: ","arts"
"21","#FromTheVaults for #NationalPoetryDay - WH Auden and Stevie Smith in the pub in 1965: ","arts"
"22","Watch the wonderful @KickingParis read her new poem, Light, for #NationalPoetryDay @BBCScotland ","arts"
"23","Welcome to @KickingParis, the new @BBCScotland Poet in Residence! We caught up for a chat #NationalPoetryDay ","arts"
"24","Hear #stephenhawking, #samanthamorton &amp; #seanbean read 'like a poet' #nationalpoetryday ","arts"
"25","National Poetry Day: All @BBC season from @GeorgeThePoet to @KickingParis &amp; more here: ","arts"
"26","Alive to the revolutionary - #scottishart pioneers #storyofscottishart by @lachlangoudie ","arts"
"27","How songwriter bootcamp helped #rihanna fight back w/ @LA_Reid Crazy story by @jmseabrook #R8 ","arts"
"28","The incredible songwriting bootcamp behind @rihanna's Rated R revealed in extract from @jmseabrook's ace new book: ","arts"
"29","We're celebrating #NationalPoetryDay tomorrow with a major new season. Here's a taste of Contains Strong Language","arts"
"30","#GoyaPortaits at @NationalGallery sheds new light on an extraordinary painter. Our verdict: ","arts"
"31","Calling all Scots! @LachlanGoudie begins The Story of Scottish Art tonight BBC Two Scotland @BBCScotland #scottishart ","arts"
"32","Let the debate begin! #scottishart has a new story. Watch it tonight and read more from @LachlanGoudie here: ","arts"
"33","The moment Jonathan Buckley won the #BBCNSSA 2015 for Briar Road, live on @BBCRadio4 and @BBCArts","arts"
"34","The Frost report... we preview the Terry Frost exhibition @newlynexchange @Tate_StIves ","arts"
"35","@BBCRadio4 @Booktrust *first ever* that is. That's what happens when we tweet with excitement.","arts"
"36","Winner of #BBCNSSA 2015 is Jonathan Buckley for Briar Road. Hear his story on @BBCRadio4 ","arts"
"37","Runner-up for #BBCNSSA 2015 is @mark_haddon ","arts"
"38","Congratulations to Brennig Davies, who wins the ever BBC Young Writers' Award @BBCRadio4 @Booktrust #BBCNSSA ","arts"
"39","Live with William Boyd and @Beathhigh on @BBCFrontRow for #BBCNSSA. Winner revealed soon... ","arts"
"40","Buckley, Haddon, Leviston, Mantel, Page. One will win #BBCNSSA live on @BBCRadio4 at 19:15 ","arts"
"41","Backstage with our #BBCNSSA judges @alittl @Tash_Aw @DiSpeirs @Beathhigh Live at 7:15pm ","arts"
"42","Brand new #scottishart series @BBCScotland @lachlangoudie on how Scots dazzled with colour ","arts"
"43","Radio Theatre is all set for #BBCNSSA 2015. Winning author revealed at 7.15pm ","arts"
