"","user","type"
"1",".@BBC poetry season continues tonight with Ted Hughes: Stronger Than Death, 9pm @BBCTwo http://t.co/wNiZJULBpZ http://t.co/7gwYfa2Cz9","arts"
"2","How a songwriter bootcamp helped #rihanna fight back by @jmseabrook from #newyorker       http://t.co/3DpdIV6DVn http://t.co/FU7z4WtrQ5","arts"
"3","In case you missed it: Brilliant 1975 30' film i/v with #johnlennon by @WhisperingBob   http://t.co/ruC3cqjcP9 http://t.co/SDjStyDTsQ","arts"
"4","""Light comes round once and travels on"". Rachel McCrum @kickingparis performs @BBC #poetry http://t.co/JOfjF8iZ2U http://t.co/RHuSDl5Jmw","arts"
"5","Charming: See #auden &amp; #steviesmith sing in Edinburgh pub, 1965. @BBC #containsstronglanguage http://t.co/A6h5UZwXm7 http://t.co/UJWoglGGiA","arts"
"6","You want #Goya, #Auerbach, #aiweiwei, Frost, #Munch, #VanGogh latest shows? All here &amp; more: http://t.co/AgnseSvwKK http://t.co/JzR2vLNqoQ","arts"
"7","Six #booker shortlistees interviewed on film. http://t.co/FuYdKLlh2b http://t.co/bKj5z4U3Ef","arts"
"8","He speaks! #frankauerbach @Tate @StephenSmithBBC has the scoop               http://t.co/h4p5bcU6Dt http://t.co/dKUqyeHFbJ","arts"
"9","Why can't you hear Joy Division on the radio? 4'25"", 1979. #musicformisfits #factoryrecords   http://t.co/yEYJ0YGCE9 http://t.co/XnzhSHEP6I","arts"
"10","Building the Hacienda in Manchester: 9 min film, 1982. #musicformisfits #factoryrecords http://t.co/okUfOmufRB http://t.co/MnUxraw3hy","arts"
"11","Phew! 2,731 pages later and the #ManBooker2015 shortlist is read. Meet the authors on #Artsnight @BBCTwo 11pm http://t.co/jVzZn1ABoO","arts"
"12","Ben Okri won the @manbookerprize in 1991 - hear how his life changed &amp; his advice for 2015's winner #Artsnight 11pm http://t.co/Ca2Fc3n5HA","arts"
"13","Will 2015 be the 1st year an American wins @ManBookerPrize? Meet the authors on Ben Okri's #Artsnight @BBCTwo later http://t.co/gie2BS4MbL","arts"
"14",".@StephenSmithBBC has rare interview w/ Frank Auerbach on @BBCNewsnight tonight - read more: http://t.co/2q3vzr3rbe http://t.co/TSc1NTlPlY","arts"
"15","On the day that @johnlennon would have been 75 here's a rare interview with him from '75 #HappyBirthdayJohnLennon 
http://t.co/m5JfONB1l9","arts"
"16","Word up: #johncooperclark performs Beasley St &amp; Blvd plus @MurrayLYoung, @sleafordmods &amp; more http://t.co/sK5bDEMIPc http://t.co/YAjk501845","arts"
"17","One more treat from us for #NationalPoetryDay - the wonderful @GeorgeThePoet at @edbookfest earlier this year: http://t.co/LYG4VKZ2HA","arts"
"18","John Hoyland's Power Stations is a hit at @hirst_official’s @NPSGallery - revisit our piece on the art rebel here: http://t.co/XS5uipk2W7","arts"
"19","Congratulations to the Foyle Young Poets of the Year. You can read the top 15 poems at @GuardianBooks https://t.co/QTKPF3qyQn","arts"
"20","What was this Pictish ""advertising hoarding"" selling? Watch #storyofscottishart to find out: http://t.co/IvMxoXM0CJ http://t.co/vhHr3GgAxc","arts"
"21","#FromTheVaults for #NationalPoetryDay - WH Auden and Stevie Smith in the pub in 1965: http://t.co/Ttph2Cgkyc","arts"
"22","Watch the wonderful @KickingParis read her new poem, Light, for #NationalPoetryDay @BBCScotland http://t.co/gwRCHwHjAw","arts"
"23","Welcome to @KickingParis, the new @BBCScotland Poet in Residence! We caught up for a chat #NationalPoetryDay http://t.co/e0zKR3Xc3f","arts"
"24","Hear #stephenhawking, #samanthamorton &amp; #seanbean read 'like a poet' #nationalpoetryday http://t.co/HXlOdjSSAo http://t.co/H57FiCHfTw","arts"
"25","National Poetry Day: All @BBC season from @GeorgeThePoet to @KickingParis &amp; more here: http://t.co/OHEJXjAEos http://t.co/tK3SFs8AG8","arts"
"26","Alive to the revolutionary - #scottishart pioneers #storyofscottishart by @lachlangoudie http://t.co/2ST4ss5OaR http://t.co/dERCm8ROwC","arts"
"27","How songwriter bootcamp helped #rihanna fight back w/ @LA_Reid Crazy story by @jmseabrook #R8 http://t.co/3DpdIV6DVn http://t.co/Kwwrr56YLX","arts"
"28","The incredible songwriting bootcamp behind @rihanna's Rated R revealed in extract from @jmseabrook's ace new book: http://t.co/pqbMjmMVuQ","arts"
"29","We're celebrating #NationalPoetryDay tomorrow with a major new season. Here's a taste of Contains Strong Language
https://t.co/W3P6VPRgqq","arts"
"30","#GoyaPortaits at @NationalGallery sheds new light on an extraordinary painter. Our verdict: http://t.co/PbFPXcM4A9 http://t.co/T4Lbdu4c8Z","arts"
"31","Calling all Scots! @LachlanGoudie begins The Story of Scottish Art tonight BBC Two Scotland @BBCScotland #scottishart http://t.co/psv1J03hUc","arts"
"32","Let the debate begin! #scottishart has a new story. Watch it tonight and read more from @LachlanGoudie here: http://t.co/ESii1OpC6H","arts"
"33","The moment Jonathan Buckley won the #BBCNSSA 2015 for Briar Road, live on @BBCRadio4 and @BBCArts
https://t.co/5rtXqyxnrR","arts"
