"","user","type"
"1","Intense bouts of #boxing continue on 7HD! Which boxer are you rooting for? #AIBAWorlds2015 http://t.co/C8ZK7iu6cY","sports"
"2","Platini joins Blatter in appealing #FIFA suspension. http://t.co/2stA2gZ9GK http://t.co/SZlXGglzMu","sports"
"3","#MCFC will be without @aguerosergiokun for a month. http://t.co/yMz5gbLb2z #BPL http://t.co/NKiBLQOsSV","sports"
"4","The men's heavyweights battle it out for a place in the semi-final. Don't miss it! #AIBAWorlds2015 http://t.co/DIFeNBKlwo","sports"
"5",".@nico_rosberg sets the pace &amp; he secures his 3rd pole position of the season. #beINF1 #RussianGP http://t.co/ZVJjZgQbCd","sports"
"6","LIVE on 7HD - Day 5 of the #AIBAWorlds2015 #boxing championship brings more crunching confrontations! http://t.co/8PtwV1J2AR","sports"
"7","11HD - The @LuisSuarez9 collection. He has some talent in his locker, your favorite Suarez goal? #Football http://t.co/VZWtvSWdPz","sports"
"8","#SAFC appoint Allardyce as new manager. Read more: http://t.co/G6xCZjrRDp #BPL http://t.co/zUB8RMvJeW","sports"
"9","Catch all the thrilling drama of the #motogp_jp live &amp; exclusive this Sunday! Are you excited? http://t.co/WrIiO02GtY","sports"
"10","The #AIBAWorlds2015 returns with more incredible bouts! Get beIN now to watch the action! http://t.co/VC9FJoSXzR http://t.co/XRsTbrDOS3","sports"
"11","Another committed fight in progress at the #AIBAWorlds2015! Which fighter impressed the most today for you? #boxing http://t.co/Mb2Ii0vTJU","sports"
"12","Now it's France v China in a super heavyweight clash! Watch live on 7HD to see who will go through! #AIBAWorlds2015 http://t.co/K0OSjk2gDW","sports"
"13","A very cagey start to the first round in this #AIBAWorlds2015 bout! Did you agree with the judges? #boxing http://t.co/9CQPXRAtTS","sports"
"14","Blatter appeals suspension! What next for #FIFA? http://t.co/LT2gorvyW4 http://t.co/iluIRfM49r","sports"
"15","It is all about #KloppLFC tonight! Here is a quote when he was at the @BVB helm from the new #LFC manager! #BPL http://t.co/XELhIb9qkx","sports"
"16","He has worked wonders in his career as a manager. Now he faces his biggest challenge yet... #BPL #LFC #KloppLFC http://t.co/qaiUhPL5WE","sports"
"17","Video: Intensity of 'special' @LFC perfect for me - Klopp. http://t.co/XpjRXpBe0s #BPL #LFC #KloppLFC http://t.co/Jovl5roJyf","sports"
"18","Baghirov threw in some huge hits overwhelming the Mexican! #Qatar's Nuraydin is up next on 7HD. #AIBAWorlds2015 http://t.co/39c3oDfTJl","sports"
"19","The 4th day of the #AIBAWorlds2015 Championship has just started on 7HD. It's going to be another action-packed day. http://t.co/6neS6CGjsL","sports"
"20","Video: Klopp named new #LFC boss. Find out more: http://t.co/c92L51w7Xw #BPL http://t.co/ovCdqmT8nZ","sports"
"21","VIDEO EXCLUSIVE: Former World Champion #MannyPacquiao wants @FloydMayweather rematch! http://t.co/R4bZJ6sCbN #boxing http://t.co/E3tX7JXH8t","sports"
"22","A mouth watering-clash awaits! What more do you want? Get beIN now &amp; watch. http://t.co/VC9FJoSXzR #WC2018 http://t.co/rFfU4Bzgvi","sports"
"23","VIDEO EXCLUSIVE: #AFC manager Wenger discusses #MUFC win, @FCBayern &amp; Rodgers sacking! http://t.co/OzOw74Ki9Q #BPL http://t.co/NOzD0xWHq3","sports"
"24","Team Egypt are victorious in the latest middleweight #boxing bout! #AIBAWorlds2015 http://t.co/8hDqgOKg4i","sports"
"25","It's a win for Team Philippines! #Pacquiao applauds the victory. #AIBAWorlds2015 http://t.co/Sw2dM2nXkX","sports"
"26","Are you watching the #AIBAWorlds2015? #Pacquiao is! His fellow countryman will be hoping to impress. http://t.co/zsqbGGBB8S","sports"
"27","NEWS: Latest updates on #Fifa, #Pacquiao visiting the #AIBAWorlds2015 in Doha and Klopp for #LFC. Live on 11HD now! http://t.co/7DV7n6u8W9","sports"
"28","FIFA watchdog suspends Blatter, Platini for 90 days. http://t.co/6L2PwfcfQ5 #FIFA http://t.co/rh3SFSUeht","sports"
"29","Ancelotti: ""I will return next season"". Would you like him to manage your team? #football http://t.co/EVDonqdaeF","sports"
"30","#Springboks @BryanHabana has equaled the try record set by @JONAHTALILOMU. Who's your best winger? #RWC2015 http://t.co/wkAT5l9PGY","sports"
"31","FIFA president @SeppBlatter facing suspension, claims advisor. http://t.co/NUUFrpsmgq #FIFA http://t.co/A9IziX2soh","sports"
"32","Should be a great fight whichever opponent he chooses! #Pacquiao https://t.co/zFD9XzZ018","sports"
"33","The boxing bouts continue in Doha today. Who will you be watching out for and why? #AIBAWorlds2015 http://t.co/rOb68oZ73P","sports"
"34","Who'll make it one step closer to the World Cup? Get beIN &amp; find out! http://t.co/VC9FJpayYr #WC2018 #AC2019 http://t.co/8sxmtLkh2K","sports"
"35","Will @LewisHamilton dominate again? Watch the 1st practice session live &amp; exclusive this Friday from Russia. #beINF1 http://t.co/MefXavDtA0","sports"
"36","The fights are still continuing on 7HD! Which boxer has caught your eye today? #AIBAWorlds2015 http://t.co/GzbNK0uzZS","sports"
"37","Hzam Nabah has his chance to shine! Can the Qatari boxer give the home team a lift? #AIBAWorlds2015 http://t.co/qyftP7uthE","sports"
"38","The Welterweight preliminaries continue on 7HD. Another GBR v AUS battle is about to start. #AIBAWorlds2015 http://t.co/p2jKLuEhve","sports"
