"","user","type"
"1","Watch @ddlovato kick some ass with Michelle Rodriguez in her new ""Confident"" video http://t.co/UUpfZIBaQv","music"
"2","Selena Gomez on Taylor Swift: The way she cares about women is so adamant” #SelenaOnBillboard http://t.co/4092WiwCui","music"
"3","Influential modern jazz producer &amp; GRP Records co-founder Larry Rosen has died at age 75: http://t.co/AbEQdpdN1W http://t.co/YL0IgGzQV6","music"
"4","Watch Ellen Degeneres scare Selena Gomez with a Taylor Swift impersonator http://t.co/6D8gkKFSoT","music"
"5",".@KevinHart4real encouraged @AmySchumer, prior to her hosting tonight's #SNL, with a ""hostile text"" on Saturday a.m. http://t.co/wVJtrqnqzL","music"
"6",".@CarrieUnderwood's newest track ""Heartbeat"" surges to No. 2 on Billboard's Trending 140 chart on Friday http://t.co/kFd7PnkuKE","music"
"7","Here's why Taylor Swift won't earn big royalties from Ryan Adams' #1989 homage: http://t.co/N8bA9SLdYi","music"
"8","Rap vet Scarface (@BrotherMob) was honored by many of his hip-hop peers at a taping of the @BET #HipHopAwards http://t.co/E1FFvdeZ39","music"
"9","Shia LaBeouf is in hot water yet again. The actor was recently arrested in Texas: http://t.co/edOAMHFJ5H","music"
"10","Watch Raven-Symone say she wouldn't hire a person with a ""ghetto"" name on #TheView http://t.co/j4P8OfC9UW","music"
"11","Rapper AZ (@quietAZmoney) dishes on plans to release the sequel to his debut album, “Doe or Die” http://t.co/BchnquCon7","music"
"12","ICYMI: Britney Spears is back in the studio working on her next album! http://t.co/OFpRGv7N1D","music"
"13","Selena Gomez on “Good for You”: ""Yes, it’s sexual and captivating, but that’s what makes a woman"" http://t.co/OWcGKT06Us","music"
"14","Get ready for @SnoopDogg, @jermainedupri and more to star in a new BET reality series http://t.co/KH4569w07q","music"
"15",".@FooFighters’ Dave Grohl is becoming the weird rock equivalent to Taylor Swift -- and here's why: http://t.co/y61yCtm1Yu","music"
"16","Is @MileyCyrus' ""Hands of Love"" another ""Wrecking Ball""? Plus more of the week's best &amp; worst singles http://t.co/0PiLoqXgNS","music"
"17","YouTube star @TrevorMoran comes out in new video: ""I was in a glass closet"" http://t.co/Eu7ZqnVH09","music"
"18","Maybe Bieber's dad is a little TOO proud... http://t.co/fXkMLvd9wR","music"
"19","The Weeknd and Amy Schumer should be a thing http://t.co/pE5qcKwsoW","music"
"20","Today in 2009: ""I Gotta Feeling"" by @BEP ended its 14-week reign at No. 1 http://t.co/7ODO0gyVQI http://t.co/Q523yGWBDy","music"
"21",".@TaylorSwift13 discusses her inspiration behind hit single ""Blank Space"" http://t.co/TCIas7qhB1","music"
"22","Favorite this tweet if you're excited for Justin Bieber's album #Purpose! http://t.co/k2ZYcBlioM","music"
"23","One Direction member Louis Tomlinson is going to be a dad soon http://t.co/tS7tPClkED","music"
"24","Should K-Pop be mixed with EDM more often? http://t.co/8c1fcgYT9Z","music"
"25","Avicii takes a risk on ""For a Better Day"" and it pays off http://t.co/By4zSX0JUV","music"
"26","Bruno Mars is now dabbling in TV http://t.co/MWXaZOE3eI","music"
"27","Maybe Bieber's dad is a little TOO proud... http://t.co/hlKk5S7POV","music"
"28",".@FredDurst wants to make films for the ""great future"" of Russia &amp; annexed Crimea http://t.co/aOtEBDzEb7","music"
"29","This will be one of the most-watched documentaries of the year http://t.co/XabU7AcX5e","music"
"30","T.G. Sheppard enlists Willie Nelson, Jerry Lee Lewis &amp; more for ""Legendary Friends &amp; Country Duets"" http://t.co/yu74YMpW9o","music"
"31","Exclusive song premiere: The @BrianSetzer59 Orchestra gets into the holiday spirit with ""Rockabilly Rudolph"" http://t.co/2yjwpdi4Wh","music"
"32","""Lean On"" by @MajorLazer, @DJSnake and MØ (@momomoyouth) stays strong at No. 1 on the Hot Dance/Electronic chart! http://t.co/FcqfoLhB0R","music"
"33",".@NeueHouse Hollywood reimagines landmark building where Johnny Cash &amp; the Beach Boys recorded http://t.co/9by044yF5L","music"
"34",".@leighannenash talks pop past &amp; country future: ""Unless the two genres mix, there's not going to be country"" http://t.co/BsAAbFxwrM","music"
"35","Madonna's #RebelHeart tour: $20 million earned and counting… http://t.co/jKb2hhxAIt","music"
"36",".@GerardoOrtizNet on ""Como Un Sueno"" concert film: ""There's never been a better time to raise our voices"" http://t.co/5smzIPQxkr","music"
"37","Watch the original #Aladdin cast reunite for ""A Whole New World"" performance: http://t.co/XKcEXZns70","music"
"38",".@EllieGoulding's new song ""On My Mind"" is addicting http://t.co/wZl2g2qAL3","music"
"39","Exclusive video: Watch @KelseaBallerini perform ""Dibs"" &amp; ""Love Me Like You Mean It"" in the Billboard studio http://t.co/naKd075orL","music"
"40","#Hamilton makes history, plus 12 more things to know about the Billboard charts this week: http://t.co/UWjiPrM60y","music"
"41","Paul Thomas Anderson and Jonny Greenwood documentary premieres at New York Film Fest http://t.co/ApVvkDgxGD","music"
"42",".@RealLindaPerry talks #Freeheld movie song &amp; why @MileyCyrus is her ""favorite person out there right now"" http://t.co/rzOsR5Wftj","music"
"43","YouTube star @TrevorMoran comes out in new video: ""I was in a glass closet"" http://t.co/kNC99Xzk9F","music"
"44","Ryan Adams' #1989 getting physical release later this year http://t.co/2TWCVwsDFC","music"
"45","Enya is coming back in a BIG way http://t.co/bZDwGSyYC8","music"
"46","Toby Keith shows off new tricks (and Jimmy Buffett) on ""35 mph Town"" (album review) http://t.co/vt9eORkFAO","music"
"47","Congrats to @ItsTonyBennett for scoring his 45th hit album with his new Bill Charlap project! http://t.co/uPf08b7hMj http://t.co/Cx3JwdH6xN","music"
