"","user","type"
"1","Need new boots guys? We've got you covered for every occasion https://t.co/vV6O63s3Aw http://t.co/UNcmmBscqV","business"
"2","Amazon wants to know how its white-collar workers are feeling every day http://t.co/F6hieZgVmZ http://t.co/TbMtOkPkOe","business"
"3","A taste of New York's most exclusive food tour http://t.co/ouxrR9uRzw http://t.co/TpS578RB5J","business"
"4","A history of French employment protests, after mob tore clothes off Air France executives http://t.co/Ev2eg4wDsy http://t.co/oK2cymaf20","business"
"5","It’s versatile and classic. How to pick the perfect jean jacket http://t.co/HL1xUDTA9D http://t.co/RAkmdPYzNf","business"
"6","If beer merger happens, SABMiller should prepare for a CEO who doesn't like to have fun http://t.co/luhE2smuEf http://t.co/zvKYKitNhL","business"
"7","How to make perfect fried chicken (or where to buy it in New York) http://t.co/HQWTjx99ba http://t.co/VKGg8PEx7V","business"
"8","Are young Americans giving up on getting rich? http://t.co/aujxn34Zc6 http://t.co/SQGCRiekrc","business"
"9","Following Russia's intervention in Syria, Obama is changing his strategy http://t.co/AuYPw5LMBB http://t.co/YJ3rcunP9S","business"
"10","Switzerland beats Singapore and the U.S. to top ""competitiveness"" chart http://t.co/3Wukgq0I6v http://t.co/UWxj8qVhTF","business"
"11","Just when you thought rent was too damn high, childcare costs are now too damn higher http://t.co/vxE8q5dewd http://t.co/BPvCIZWBrT","business"
"12","Venezuela will see its economy shrink more than any other country in the world this year http://t.co/VRQvyT0EMo http://t.co/7dekpkosR8","business"
"13","10 of Paris Fashion Week's most surreal photos http://t.co/fydvyqOjEn #PFW http://t.co/ap8qQuJJ7L","business"
"14","From bonuses to the Cheesecake Factory, the juiciest nuggets from Gross's suit against Pimco http://t.co/bmbCakFN3N http://t.co/QhM95EERN8","business"
"15","How 2 Brooklyn boys saw a new kind of lending, and made a fortune https://t.co/txdSRtX6Uy http://t.co/mPZUMVb97V","business"
"16","Your guide to Janet Yellen, who tops @markets Most Influential list http://t.co/8EfBkLV69S #bmarkets2015 http://t.co/72rbbEmjuF","business"
"17","The new Excalibur Spider Pocket Time Instrument is flat-out insane http://t.co/Kh1S1sd2Al http://t.co/KtpxZ8YE5Z","business"
"18","Fall is prime adventure time in Utah! Your travel guide http://t.co/jMmeex7ULK http://t.co/YZYHu84hLG","business"
"19","4 ways the oil price crash is hurting the global economy http://t.co/oZuI2y67sy http://t.co/vKdDDA58dM","business"
"20","Yes, those political ads are following you. These companies track voters across all devices http://t.co/nq4xPcE7n7 http://t.co/OcXMRRJp0x","business"
"21","Democratic candidates are jockeying over who can be the toughest sheriff on Wall Street http://t.co/6QGsRpUDiI http://t.co/tbtL2Ylfn0","business"
"22","Sorry, Lenny - Volkswagen pulls plug on lavish parties after emissions scandal http://t.co/QUnxcIdu0e http://t.co/mcDxEoPTcp","business"
"23","Find out who's made the @markets Most Influential list http://t.co/AwUMqsp36D #bmarkets2015 http://t.co/YwfAhBSj9x","business"
"24","People in Britain are saving less of their income - it's at a 50-year low http://t.co/uaOl8ZQLoU http://t.co/TenwQ2SzJH","business"
"25","Top London chef plans to move eastwards to ""booming"" financial district http://t.co/3gvioWUmtk http://t.co/Z74EWbZXn9","business"
"26","How to make $2.5 trillion in 5 days... and other lessons from this week http://t.co/FuvXO6i9MG http://t.co/zNY0b3zVZv","business"
