"","user","type"
"1","If you can't get behind crispy pork and pineapple, we're not sure we can be friends http://t.co/8MNky9Xz3V http://t.co/S1bkTpnUi0","food"
"2","Like milk and cookies (and mint!) in pudding form http://t.co/E0BVaavBR4 http://t.co/cK2Pc0Qaoo","food"
"3","Basically your favorite big quilt in the form of dinner http://t.co/AVpW5MuhMj http://t.co/6U4Ixtless","food"
"4","Brb, going to the couch, getting up never http://t.co/Ls8jBuDAPr http://t.co/iQ9JEgeqMZ","food"
"5","Never change http://t.co/Et0cQeLHfy http://t.co/o7dIngYvKY","food"
"6","Your hangover has met its match http://t.co/0KaIkOHQSd http://t.co/ROBMsfg5aM","food"
"7","Turns out the tahini *is* greener on the other side http://t.co/vfwy4BAKdu http://t.co/xuIDI5H2j5","food"
"8","Fluffy, creamy, melty, and everything we want right now http://t.co/S0HZxcDyQs http://t.co/qbCOLkamun","food"
"9","This waffle is pile super-high and we are not mad about it http://t.co/fp5SdDN6tI http://t.co/IkHgidoFOy","food"
"10","This toast is our jam. Er, uh, our honey. http://t.co/gqGO6e4vmT http://t.co/7NuA6MaDZW","food"
"11","Don't get out of bed for anything less than a sour cream biscuit with sausage gravy http://t.co/1jCO2CbvqR http://t.co/dxNNpSIHr0","food"
"12","Olives on pizza: Yes or yes? http://t.co/BWU1nRob9G http://t.co/pkc51G3oEH","food"
"13","These scallops are as easy as they are fancy http://t.co/0q36U3le5S http://t.co/8MfSRhsXY4","food"
"14","Good things happen to those who combine caramel and root beer http://t.co/pnbIXOnFsw http://t.co/jDsS5DUaNH","food"
"15","Don't call it a comeback—kebabs never stopped being awesome http://t.co/Ac7fkGG657 http://t.co/PysK54KxsW","food"
"16","This toffee pudding is *not* made for sharing http://t.co/BNPXJ83HO9 http://t.co/LECAEefOxF","food"
"17","You're making falafel this weekend, and we are coming for dinner http://t.co/LXjMwNAUcN http://t.co/nrZxoS3JGl","food"
"18","You know it's Friday when... http://t.co/ehWvEZppWg http://t.co/rHZCRHOXj7","food"
"19","We've been waiting for a plateful of this all week http://t.co/ClBZ465L2T http://t.co/UeIMNT5ilP","food"
"20","Four words: Roasted. Garlic. Goat cheese. http://t.co/IuiUh3Gd0M http://t.co/soIS1CV9ri","food"
