"","user","type"
"1","Hillary Clinton tries to walk a delicate line in her plan to rein in banks http://t.co/uvwz5Dp7yZ http://t.co/6wK0wqE9f0","politics"
"2","Donald who? Wall Street ignores the summer of Trump http://t.co/9bgaJnaPWb http://t.co/iQCVf50wWz","politics"
"3","Is this the real reason Kevin McCarthy dropped out of the speaker's race? http://t.co/UZM5M4TM4G http://t.co/HjPktCHjZ6","politics"
"4","Here's the problem with using Chicago to make the case against gun control http://t.co/3xjgowkzxZ http://t.co/0NsjqkKJiR","politics"
"5",".@bpolitics GOP focus groups discuss the appeal of Ted Cruz and Marco Rubio http://t.co/XmCqL68B5c http://t.co/6MpUf5GDDd","politics"
"6","HUD Sec. Castro to endorse Hillary Clinton next week, says a new repoprt http://t.co/9XmTL34LmP","politics"
"7",".@bpolitics focus groups see trouble on the horizon for GOP establishment candidates http://t.co/XiwUcFSgeS http://t.co/hst2TB2VX3","politics"
"8","Scaled-back program to train Syrian rebels may prompt a renewed push for negotiations http://t.co/wrRcvthnWJ http://t.co/4JiTdmWB5M","politics"
"9","What's next? And 3 other reasons Paul Ryan wouldn't want a promotion http://t.co/SspYadFBmd http://t.co/wBz24dA5FE","politics"
"10","After months spent mostly in defense mode, Hillary Clinton is switching things up http://t.co/SGMqtUGRSO http://t.co/skw6tKyAGN","politics"
"11","Joe Biden blames Republicans for a failure to fund US infrastructure needs http://t.co/iT0ydljNVn http://t.co/QkZzLDiikp","politics"
"12","Hillary Clinton's net favorability rating is hovering around -8%. Can she make a comeback? http://t.co/NR8izEZjmQ http://t.co/8XbzSQYTug","politics"
"13","With the Iran deal in place, congressional attention is turning to North Korea http://t.co/HfU62YDqLc http://t.co/Vmr7v35NSX","politics"
"14","Can Hillary Clinton win the Democratic race for toughest Wall Street cop? http://t.co/1Q86J5kPTN http://t.co/5YiCtCaaMw","politics"
"15","California becomes the 5th state to enact a ""right-to-die"" law http://t.co/qPn6LlacB6 http://t.co/IqPm40v5vJ","politics"
"16","Jeb Bush's dog, explained http://t.co/fibjTZ5UGX http://t.co/8sZr94pu9c","politics"
"17","Why the TPP trade deal strengthens Obama’s hand in Asia http://t.co/9SeLCBS9F4 http://t.co/vAc7j2a6NE","politics"
"18","Hillary Clinton goes on the offense ahead of the debate and Benghazi testimony http://t.co/SGMqtUGRSO http://t.co/akSOwUfPih","politics"
