"","user","type"
"1","Angelina Jolie Pitt’s childhood home is up for sale for $2 million ","business"
"2","VIDEO: Watch video from the blast outside the Ankara train station. ","business"
"3","What are the implications of America's disengagement from the Middle East? @yarotrof weighs the costs and benefits ","business"
"4","Study finds antioxidants doubled spread of skin cancer in mice ","business"
"5","Breaking: Death toll from blasts in Turkish capital raised to 86  ","business"
"6","Sponsorship deals with obscure firms cause headaches for European soccer clubs ","business"
"7","Delta to give strong start to airlines’ earnings season ","business"
"8","North Korea and China play up ties at military parade ","business"
"9","Stabbing attack leaves two Israelis wounded; police shoot dead assailant ","business"
"10","In bank earnings this week, clues on housing market’s health ","business"
"11","Russian missile strikes in Syria trigger European alert to airlines ","business"
"12","The Volkswagen emission scandal in numbers. Video: ","business"
"13","Turkish capital Ankara hit by explosions, killing at least 30 ","business"
"14","Refugee crisis intensifies political backlash against Merkel ","business"
"15","Inside a hostage crisis, Obama's Syria options, the GOP split and more. Today's front page: ","business"
"16","Breaking: Twin blasts in Turkish capital kill at least 30, injure scores ","business"
"17","In Afghan city of Kunduz, local discontent eased Taliban’s advance    ","business"
"18","AB InBev CEO Brito runs afoul of U.K. takeover rules ","business"
"19","Mets announce themselves to the world with Game 1 win over Dodgers ","business"
"20","Obama’s options narrow in Syria ","business"
"21","A journey to Le Corbusier’s famed Ronchamp Chapel in France ","business"
"22","Take an early look at the front page of The Wall Street Journal's weekend edition.","business"
"23","“You’re going to have to shoot me.” Bus driver shielded students, refused gunman’s demand. ","business"
"24","How @chancetherapper built his fame through grass-roots marketing ","business"
"25","House Republicans search for their next speaker, and more of today's top headlines: ","business"
"26","There are hidden dangers to switching credit cards for bonuses ","business"
"27","Social media use among Americans of retirement age has more than tripled since 2010. ","business"
"28","How a New York DJ became an earl and restored an English estate ","business"
"29","In search of deals and commissions, real-estate agents are increasingly jumping ship ","business"
"30","After 14 years, still fighting in Afghanistan: via @WSJThinkTank ","business"
"31","Zack Greinke is baseball’s big-data pitcher. ","business"
"32","U.S. envoy Bernard Aronson opens a window on the largely secret peace between Colombia and FARC guerrillas: ","business"
"33","Fantasy-sports turmoil, shifting sands in Syria and more — your weekend catch up reading: ","business"
"34","The Volkswagen emissions scandal in numbers: via @WSJvideo","business"
"35","Several hundred protesters gather in Roseburg during Obama's Oregon visit, some carrying guns ","business"
"36","The U.S. will scale back its training of rebels in Syria, and more of today’s top stories ","business"
"37","Gov. Christie takes eminent domain action against affluent residents of anti-dune city ","business"
"38","Congress is considering lifting the ban on American oil exports in place since the 1970s. What you need to know: ","business"
"39","Political backlash against Merkel grows over refugee crisis ","business"
"40","Shootings stun university towns in Arizona and Texas in the week after Oregon shooting ","business"
"41","Uber vs. the new taxi-hailing apps ","business"
"42","Gas prices slip on supply concerns ","business"
"43","Local discontent eased Taliban’s advance into Afghan city of Kunduz ","business"
"44","Ex-U.S. ambassador to Iraq: “It’s the lowest ebb since World War II for U.S. influence and engagement in the region” ","business"
"45","Pain-pill guidelines for children spark a fierce debate ","business"
"46","GOP science committee leaders slam NASA for cutting deep space exploration spending ","business"
"47","During the Alabama hostage crisis, FBI agents worried they might face charges if the rescue attempt went badly.","business"
"48","Introducing a brand new way to track the real estate market: @MarketWatch Location Scouts ","business"
"49","Rebound: Emerging markets jump, thanks to commodities and the Fed via @WSJmarkets ","business"
"50","Starbucks and Nespresso enter warzones in scramble for African coffee ","business"
"51","Breaking: House votes 261-159 to lift U.S. ban on oil exports  ","business"
"52","“I have a hostage. I’m in an underground bunker.”  ","business"
"53","Scientists to parents of smartphone kids: keep calm and text on ","business"
"54","“You’re going to have to shoot me.” Bus driver shielded students, refused gunman’s demand. ","business"
"55","Breaking: House lawmakers backing the Export-Import Bank said they have support to force a reauthorization vote  ","business"
"56","The inside-the-bunker story of the 2013 Alabama hostage standoff. ","business"
"57","Another superstorm Sandy is inevitable. How cities can prepare for disasters ","business"
"58","Federal appeals court blocks EPA rule expanding water and wetlands protection nationwide ","business"
"59","More retailers grant free returns, delighting customers but raising costs for companies ","business"
"60","Colombia’s Santo Domingo family holds keys to SABMiller, AB InBev deal ","business"
"61","Standard Chartered to cut 1,000 senior staff ","business"
"62","Who’s going to win the 2015 Nobel Prize in economics? ","business"
"63","As House Republicans search for next speaker, many point to Paul Ryan ","business"
