"","user","type"
"1","15 photos that will make you want to travel to #Indonesia http://t.co/69sz7t86Zj http://t.co/72nsyxxLVS","business"
"2","11 eye-opening photos of what tears look like under a microscope http://t.co/IJV4lguOaM http://t.co/9q2fqi0gpz","business"
"3","5 signs your company is still in the Dark Ages — via @EONYC http://t.co/QbMVmD2ucR http://t.co/xApH2yWpqH","business"
"4","These are the 13 easiest ways to make sure you're not hacked or tracked on the internet http://t.co/LYg98C1Ahs http://t.co/KMC3z5pJkr","business"
"5","'A couple steps above Valerie Plame': Clinton email could prompt new intel probe @FreeBeacon http://t.co/Nm3FUGZyzy http://t.co/eJuVwmh4zF","business"
"6","ICYMI: Ben Carson had an epic 'The View' interview about Nazis, evolution, and hurricanes http://t.co/xq9NvEhgxH http://t.co/GlsWe9WemR","business"
"7","This 5-star hotel is serving up $112 meals to kids @BI_Video http://t.co/AjyKNCx49h http://t.co/4ohFeKjNJS","business"
"8","7 ways to tell if someone is cheating on you http://t.co/SSwks1rlV0 http://t.co/fy5p0mUEms","business"
"9","A futuristic razor that shaves hair with a laser has raised nearly $4 million on Kickstarter http://t.co/eWLDL0N5L3 http://t.co/KlOLp2062H","business"
"10","Hillary Clinton has laid out a sweeping gun-control plan http://t.co/ftXmQh4M1G http://t.co/yLSTwcjXVZ","business"
"11","Women are the next China http://t.co/9rTo2ThndS","business"
"12","It's #pumpkinbeer season! We found the 10 best pumpkin beers this year http://t.co/9dGA2rK47z http://t.co/fUxDKCg8qe","business"
"13","BEN CARSON: Here's why people should take Kanye West seriously http://t.co/H12HXY5PgN http://t.co/CNR5bCq5jd","business"
"14","Ferrari worth $10 billion? Just check out how much its classic cars sell for at auction http://t.co/tpZIA5513V http://t.co/oUNnI9IoJz","business"
"15","Goldman Sachs' hot new fund is off to a flying start http://t.co/r9dRw111vN http://t.co/2AT5hmbMcI","business"
"16","4% of people hear music differently — and it tells us something fascinating about the brain http://t.co/C5sGf0kPt0 http://t.co/8VRtFXocNs","business"
"17","This map shows how easily something very bad could happen over Syria http://t.co/37k2eZmv0P http://t.co/xaDXwsZCQ3","business"
"18","Driverless cars are coming, but we don't actually know what they're going to do http://t.co/0qUT45z9Mo http://t.co/1fcXNgd1gZ","business"
"19","Here's the most disproportionately high-paying job in every state http://t.co/HOvzDjo6AZ http://t.co/VNokzxZde7","business"
"20","Homeless man had brilliant response to being excluded from Chick-fil-A's giveaway @BI_Video http://t.co/ZvTV5ce3NG http://t.co/4KWs3KDLaU","business"
"21","Here are the 15 least affordable housing markets in the US http://t.co/6NfPziibCu http://t.co/IvnExidjJ4","business"
"22","ICYMI: Donald Trump rips 'disgusting' media for suggesting he might end his campaign http://t.co/t9PB4IRB9t http://t.co/1R39GIkWCa","business"
"23","Here's where America's 'first kids' went to college http://t.co/jd8E4ydsOw http://t.co/KAg7maMlfC","business"
"24","Meet 'Mikro,' a cyber warrior who sells weed so he can take on ISIS — via @TheAtlantic http://t.co/LLHGADM7E0 http://t.co/FyaHqvuLXi","business"
"25","'He's afraid of his own weakness': That time Angela Merkel destroyed Putin's machismo http://t.co/XgfhWvmUM5 http://t.co/ZwrxpycEwN","business"
"26","Norman Reedus lost his role in 'Tomorrowland' because he wouldn't cut his hair http://t.co/gPg1KnKJFS http://t.co/lJRtVkFsbA","business"
"27","The 5 most bizarre weapons of World War II http://t.co/jblZHg3PkC http://t.co/S1q24o2dlR","business"
"28","The highest-paid player on every NFL team http://t.co/kAb5YypqeE http://t.co/b2XEqvQNXq","business"
"29","Ben Carson's campaign manager wants him to stop making Nazi analogies — but he won't http://t.co/u5EOvjOIGQ http://t.co/xEgIGaHRO9","business"
"30","We made pumpkin haters try pumpkin spice products, by @thisisinsider http://t.co/fi9pQPlkuf http://t.co/2McxVeu3en","business"
"31","The 25 most ruthless leaders of all time: http://t.co/FqcML1ncvs http://t.co/539txtH7Z6","business"
"32","T-Mobile CEO John Legere just bought an $18 million penthouse that looks like a church http://t.co/P7ZtpIgZkd http://t.co/TEgFOt0B7q","business"
"33","How to tell if your kid should become a programmer http://t.co/eudDW8hv9K http://t.co/85owxIw4z0","business"
"34","I discovered a way cheaper alternative to Lululemon http://t.co/sCG4SwldvZ http://t.co/NBJ0KDe9OT","business"
"35","Marco Rubio says one startup would've vastly improved life for his mom http://t.co/sGNjNoiL5x","business"
"36","PIMCO says Gross lawsuit 'has no merit' http://t.co/Ela8QW4bR1 http://t.co/KCLnTDdwYZ","business"
"37","A leaked document from the Trans-Pacific Partnership has some high-powered advocates worried http://t.co/tQfJi2E4XI http://t.co/i2dHJHYkRh","business"
"38","'A military game changer': Obama could be wrong about Putin's big moves in Syria http://t.co/sBVRdM4tHg http://t.co/q4x5YpcSqM","business"
"39","I shipped my spit to a genetics company to have it tested, 23andMe style — here's what I ... http://t.co/7sEPP9fWlB http://t.co/fecyAICEIM","business"
"40","'Shark Tank' investor Daymond John makes a $150,000 investment in a wooden bow tie company http://t.co/EgawcX06S8","business"
"41","Pablo Escobar's top hit man claims famed author Gabriel Garcia Marquez worked with El Patron http://t.co/slHCcIUtc4 http://t.co/RNDvrlkm6f","business"
"42","Neil deGrasse Tyson explains how Batman can really beat Superman - via @techinsider http://t.co/63rpUnLbiX http://t.co/yhJTxwFYHZ","business"
"43","BI right now: http://t.co/GIgos2KUK1 http://t.co/tBZF02YR3f","business"
"44","The bombing of a pro-Kurdish rally in Ankara highlights the 'dangerous cocktail' brewing in Turkey: http://t.co/FOqMhLtlE6","business"
"45","Professional gambler explains why regular guys are getting fleeced by daily fantasy sports http://t.co/qkViFKPjUH http://t.co/lLIN7if9jx","business"
"46","Ben Carson: Viral 'man-on-the-street videos' confirm that most Americans don't know their Constitutional rights http://t.co/wRMVvjsYyZ","business"
"47","Store cards are driving loyalty at big brands and hitting mobile wallets next http://t.co/cloxRuNACi http://t.co/ZkZ0DynwJ7","business"
"48","RETURNING HEROES: 10 tech founders who reclaimed the CEO spot http://t.co/KqeBz7bP0H http://t.co/ZmWbBf2A4C","business"
"49","Astronauts just shot one of their first videos in ultra-high def, and it's mesmerizing http://t.co/RbmEwF39VG http://t.co/jBzoPd0yMH","business"
"50","What the Chinese saying 'The ugly wife is a treasure at home' actually means @BI_Video http://t.co/gFzEkArVfO http://t.co/meSVoGv8p8","business"
"51","How China went from communist to capitalist http://t.co/hJeEwQ9lKc http://t.co/1kT9WEVASE","business"
"52","Bill Clinton explains the 'macho appeal' of Donald Trump to Stephen Colbert http://t.co/SzehgwWr7w http://t.co/QzOKZG64m1","business"
"53","Kyle Bass scored a breakthrough in his short strategy — and big pharma should be scared http://t.co/AqScrwdMNa http://t.co/f6d0FNzV3X","business"
"54","@IanBremmer: Putin's intervention in Syria is about 3 things http://t.co/Tc7eUXIoYX http://t.co/POE8BCTzGB","business"
"55","The fabulous life of Nikola Tesla, who electrified our world and fell in love with a pigeon http://t.co/2GBf89rqYx http://t.co/P4gWp1Hkbr","business"
"56","26 scientific ways your childhood influences your success as an adult http://t.co/x1oq8UWzE2","business"
"57","LinkedIn is giving its employees 'unlimited' vacation plus 17 paid holidays http://t.co/fA2xhWtrx4 http://t.co/pxrpsO8ben","business"
"58","Disney announced all its movies coming in the next 4 years — here's what to look for http://t.co/ULaSVk912d http://t.co/DkmUALIDMt","business"
"59","What to do if you lose your passport while traveling abroad http://t.co/tMIbVXvFut http://t.co/zpUOyz1IMa","business"
"60","Angela Merkel's incredible rise from quantum chemist to the world's most powerful woman http://t.co/wCcbZqiW7J http://t.co/HegxD56edZ","business"
"61","Donald Trump's spending shows how he's redefining the modern political campaign http://t.co/fL7LRcI0fE","business"
"62","Watch 400 adrenaline junkies race down a dangerous mountain trail @BI_Video http://t.co/eQZkRAEHHi http://t.co/HoQITTTPdv","business"
"63","MORGAN STANLEY: Tesla's new SUV is just way too expensive http://t.co/09BAGE3Xzx http://t.co/Ah79Q2TSVB","business"
"64","Deadliest in Turkey's history: Twin bombs kill 86 at pro-Kurdish rally in Ankara http://t.co/8OTdQXkGlz http://t.co/frP3JQFfgC","business"
"65","Aaron Sorkin and Danny Boyle talk #SteveJobs and the question they'd ask the Apple founder http://t.co/hqysBgKGXA http://t.co/JaZ5D9bpjr","business"
"66","Ben Carson botched an interview about the debt ceiling http://t.co/RxIn8Vhgcc","business"
"67","Nuclear physicists, unreported exits, and huge losses: How a hedge fund blew up in August http://t.co/WrdFrgrkTy http://t.co/VICZA244V4","business"
"68","Meet early Macintosh marketer Joanna Hoffman, who was not afraid to stand up to Steve Jobs http://t.co/XDBka4TZQw http://t.co/zf6qNE4oOt","business"
"69","This 12-year-old came up with a way to stop allergies before they start http://t.co/76vGpEABxD http://t.co/ZEIOKhlkMV","business"
"70","QE doesn't cause inflation, it causes deflation http://t.co/BzNSQew6fT","business"
"71","Here's why Soul Cycle might be in big trouble http://t.co/JvggEZMOBE http://t.co/ncULQ2sXgP","business"
"72","The worst job is Washington is up for grabs and one name keeps coming up — via @PostOpinions http://t.co/7xWeJU3klV http://t.co/rfTN95m6S2","business"
"73","How America's most prominent for-profit college fleeced the US military and taxpayers http://t.co/OSSb6CUCJl http://t.co/gzfHQ0NY4Y","business"
"74","One reason why men join ISIS is not flattering for the 'caliphate' http://t.co/2fNmv73b27 http://t.co/aAjTrJ7y6o","business"
"75","The thermometer for demand shows a sick global economy http://t.co/X1sRy13UPq","business"
"76","History's most famous science satellites have grown to enormous proportions since Sputnik 1 http://t.co/98xQrH9Qxs http://t.co/m6AWdy5Aps","business"
"77","Silicon Valley's denial is over: Everybody thinks we're in a bubble http://t.co/rnEcHpbICo http://t.co/iRqswutNB1","business"
"78","Donald Trump the brash New Yorker is looking South — via @AP http://t.co/OtNjBVhjvf http://t.co/LH9UiBUfv6","business"
"79","People weren't supposed to be saving this much money — and now it's a problem http://t.co/ROEWUk6SbS http://t.co/wB93ZTRxxC","business"
"80","John Boehner truly has nothing to lose now http://t.co/x55H0G4EmO http://t.co/16WOUeu6RS","business"
"81","The leader of al Qaeda described what ISIS needs or else it'll be 'crushed in the shadows': http://t.co/A5PamM0uXi http://t.co/WNIxfFfHpN","business"
"82","Soon we'll find out whether Microsoft can catch up to Apple and Google in mobile http://t.co/bLLtpg0ENm","business"
"83","Brazil just held the most disastrous oilfield auction in decades http://t.co/eNS6PdoyRB","business"
"84","Former administration official Dennis Ross: Here's what Obama gets wrong about Syria http://t.co/h1eCqA7YOQ","business"
"85","Biden might make a big decision this weekend — but he'd have a bumpy road to the White House http://t.co/dczjHyxwU2 http://t.co/NOEE3tbEAU","business"
"86","Infographic tells all about the Su-34, Russia's newest plane in Syria — via @TheAviationist http://t.co/ZyfxlySpGe http://t.co/Nf3Cdwzpk7","business"
"87","People won't stop complaining about this thing that experts struggle to define http://t.co/4sto4xYDQA","business"
"88","Edward Snowden says spies can send 'Smurfs' to hack into your phone http://t.co/uSCWfteTBy","business"
"89","Ordinary old people are to blame for London's home price surge — NOT the super wealthy http://t.co/uh6flHSpeE","business"
"90","This 12-year-old came up with an ingenious way to stop allergies before they start http://t.co/WdQUpJYtwH http://t.co/j8lqOcpOQ5","business"
"91","Here's what successful people do at the start of every workday http://t.co/c8cx0CuMoX http://t.co/gGQC2h2Dhp","business"
"92","Brazil’s richest man dreams of taking over Coca Cola and firing all of its employees http://t.co/XGOpK7BZ0s http://t.co/jeBwTRYIbH","business"
"93","Apple may take Tesla's rejects, but Elon Musk is happy to have the competition — via @TheMotleyFool http://t.co/p2lpLQz71B","business"
"94","Astronomers have a new way to measure planets' potential for life http://t.co/i3qEcP9NkG http://t.co/eQtRvg3S9K","business"
"95","Gingrich: 'You show up with 218 votes, I'll talk to you' — via @TPM http://t.co/rrti3yWQVN http://t.co/3Eej5Is2nU","business"
"96","Microsoft has almost twice as many data experts as Facebook http://t.co/KhVMzu5L2s http://t.co/Ilj1G5Iqwr","business"
"97","GE is in talks to sell its $30 billion loan portfolio to Wells Fargo http://t.co/6foPn6R1Xk http://t.co/clKCMQJ2Zs","business"
"98","The 12 most innovative countries in the world http://t.co/VvMRpLmTqD","business"
"99","The 25 most ruthless leaders of all time http://t.co/prJuWCQq5r http://t.co/HOR6R94aFu","business"
"100","Darrell Issa says he could 'potentially' run for House speaker — via @TPM http://t.co/chgVD1vbQK http://t.co/u5Mc248HTb","business"
"101","A judge just hit Bill Cosby with another legal setback http://t.co/rJfQ5DvbM8 http://t.co/Tvw8UDKQ74","business"
"102","A new unreleased video of Steve Jobs shows him thanking the original iPhone team http://t.co/Pfx3lRnCCj http://t.co/zgJUSBfT8y","business"
"103","The best bakery in every state http://t.co/gPMkWsGs27 http://t.co/eAPbhLpvaM","business"
"104","7 tweets from people who just realized ""The Martian isn't based on a true story http://t.co/i0PrhW9txf http://t.co/SNfCaIAKyN","business"
"105","Obama's administration spent some $5.3 billion improving the government's image — via @TheFiscalTimes http://t.co/3xQzUff2nM","business"
"106","4 self-driving French cars successfully made a 360-mile trip with no test driver http://t.co/P5VF16ZMqb http://t.co/oOSOdlgOu0","business"
"107","China finished building lighthouses in the disputed South China Sea http://t.co/Frywa2Hca1 http://t.co/6m1fvgNSFX","business"
"108","Tour a $149 million Beverly Hills mansion with a 27-car garage and bowling alley @BI_Video http://t.co/8VvPFDVl9Y http://t.co/XQROqZUdbk","business"
"109","Are you really an adventurous eater? http://t.co/fM6kD6JOuc http://t.co/ERLhiNVNaL","business"
"110","The UN approves EU military measures against smugglers off the Libyan coast http://t.co/upWLT8tEua http://t.co/0dHiTewZ6t","business"
"111","There is a specific sociological reason why Facebook introduced its new emoji 'reactions' http://t.co/npKG3tiFNV http://t.co/S8SxupGgeC","business"
"112","Land Rover is coming out with a new drop-top SUV http://t.co/ybZ28rOLjU http://t.co/qc37yzPwBt","business"
"113","DuckDuckGo CEO calls out Google, says it's 'a myth you need to track people to make money' http://t.co/XusY2CDeVW http://t.co/DuaJcqS3IR","business"
"114","Ben Carson: Hitler may have been stopped if the German public were armed http://t.co/gOOG2XJx10 http://t.co/aMxsqoSIyO","business"
"115","Elon Musk says that Apple only hires Tesla's worst engineers http://t.co/Y8cT5ka8fF http://t.co/pLddXy6soV","business"
"116","Scientists discovered the dirtiest places on an airplane @BI_Video http://t.co/iSIgtZZlva http://t.co/jJTgCb9CZg","business"
"117","A 'Cosby Show' alum says allegations against Bill Cosby have 'tarnished' their legacy http://t.co/r5wwu7h5bY http://t.co/L926fywBbC","business"
"118","These are the 65 hottest startups in New York City http://t.co/PGa8QXkwjO http://t.co/fbtWq4IwE0","business"
"119","More people now search Google on their phone than from their computers http://t.co/x8uh54a126 http://t.co/s1ZwkzilKj","business"
"120","Tesla destroys the competition when it comes to how far its cars go on one charge http://t.co/kmVMCUH3OG http://t.co/QY2uMHy2lT","business"
"121","Gun activists protested Obama's visit to the Oregon town where a gunman killed 9 people http://t.co/obWoKuNihM http://t.co/rMue7LI7mJ","business"
"122","The startup that wants to charge all your electronics wirelessly finally reveals how it works http://t.co/j4QdPh3oUT http://t.co/u8HFBLeTUO","business"
"123","Samsung's latest smartwatch is the only smartwatch worth using — via @techinsider http://t.co/AfggmnSni5 http://t.co/SMoPBLh1uy","business"
"124","Daniel Craig says he would rather slit his wrists than play Bond again #Spectre http://t.co/SkI2fwtZtI http://t.co/ZLXNCteCIW","business"
"125","Twitter says it has a bigger audience than Facebook, but that's not quite right — via @TheMotleyFool http://t.co/cd9IU9edgZ","business"
"126","6 little-known Excel shortcuts that will impress your boss @BI_Video http://t.co/WJnJM9QIcK http://t.co/3f2egAwxJC","business"
"127","Stephen Hawking said we should be careful of AI, but his biggest mystery is women http://t.co/hAJ4l68O3j http://t.co/IqH8ucElCp","business"
"128","The dollar just received a death sentence http://t.co/Il89tI25mV","business"
"129","The flooding in South Carolina is so bad you can see it from space http://t.co/bNd1I2U1Dh http://t.co/Cl9nXhM5iv","business"
"130","Report: Ferrari IPO could value the automaker at over $12 billion http://t.co/RCOMnTFAeF http://t.co/H1u2TMGnQW","business"
"131","This American has been hired to persuade Britain to leave the EU http://t.co/eHiJBtPWgK http://t.co/VVSPo9IQtz","business"
"132","Paris train hero was reportedly breaking up a fight when he was stabbed http://t.co/U0VymKk01x http://t.co/ifrInBLvKQ","business"
"133","6 fascinating ideas that are about to change our world http://t.co/K8ZRA21KCH http://t.co/IzTYYcCj3E","business"
"134","Posting photos of your boarding pass online is a terrible idea http://t.co/O3XDIves69 http://t.co/dS5G5duRv2","business"
"135","Israeli troops killed five Palestinian stone-throwers at the Gaza border — via @IBTimesUK http://t.co/VtPyIFoDp9 http://t.co/n2lVd3smrb","business"
"136","A 50-lane traffic jam in China will make you regret complaining about your commute @BI_Video http://t.co/2K6yqXAEa8 http://t.co/0lG1ZfUQeb","business"
"137","A Hong Kong real estate tycoon is giving away 15 million Hong Kong dollars to celebrate the birth of his grandson http://t.co/nCg0qoon06","business"
"138","Consumers are increasingly shopping online for health and personal care products—here's why http://t.co/vv5gTlCAUO http://t.co/NsYhMg1y06","business"
"139","""But everyone has the right to get as drunk as they want to without the threat of being raped.""","business"
"140","FIFA may delay its presidential election http://t.co/KjUiCIOrtz http://t.co/bat5svbpzZ","business"
"141","China has arrested hackers at the request of the US http://t.co/XEfVuKxVSE http://t.co/2lToawmlRP","business"
"142","Actually, wages are going up http://t.co/GtfZeZs48y","business"
"143","Hillary Clinton’s support just plunged 10 points in a week http://t.co/323p3W9UbL http://t.co/j0t77MZonH","business"
"144","48 of the best hockey players on Wall Street http://t.co/TnYFkzu18N http://t.co/zeiHFfEqVF","business"
"145","The panicked capital flight from China is a red herring http://t.co/a70yJV5i8V","business"
"146","BI right now: http://t.co/GIgos2KUK1 http://t.co/oxrYjaXo1g","business"
"147","RANKED: All 50 states and DC, from the weirdest to the most normal http://t.co/wHc1PcesQx http://t.co/2e9XSgpm9Y","business"
"148","Donald Trump on Kevin McCarthy's stunning drop-out: 'People have been giving me credit on @realdonaldtrump' http://t.co/h2mXz1AdJ3","business"
"149","Elon Musk tries to smooth the waters after his scathing remarks about Apple http://t.co/kCAwzLhn9D http://t.co/LhjCqjiqGE","business"
"150","Another round of HP layoffs hit on Monday, with more coming through November http://t.co/klnurdlr2N http://t.co/x1vWqEfWMh","business"
"151","Here's why Ferrari thinks it's so special http://t.co/d6tlV5CHnK http://t.co/MN67BoxCHU","business"
"152","Here's how all the big new network TV shows are doing in the ratings http://t.co/CETU2CfQHh http://t.co/MRPSYnjv2H","business"
"153","The high-profile Google exec that almost defected to Dropbox just got a promotion http://t.co/k2R75QOUvv http://t.co/IaK0me7Gao","business"
"154","The 13 most innovative schools in the world http://t.co/ez7ewBQsDB","business"
"155","Ferrari's IPO will value the automaker at nearly $10 billion http://t.co/nFYk5MzyXL http://t.co/k9Ffk5ShXG","business"
"156","These $1 billion 'unicorns' could be in big trouble, says company that tracks startups http://t.co/XfGaoRZW7q http://t.co/tyWyUvTEJz","business"
"157","The CEO of a $3 billion startup that recently raised $280 million is suddenly stepping down http://t.co/BovaVCcPLX http://t.co/fARPRfsMJ1","business"
"158","Twitter will have big layoffs next week http://t.co/2AD6UWTycc http://t.co/4DzRF6E0VC","business"
"159","We now have details on Ferrari's IPO http://t.co/d6tlV5CHnK http://t.co/DQsEr3xajD","business"
